"SÈlectif RÈgional Slalom (Double) - Foix - Course n∞1 | Qualification - 2017-11-11","Course n∞1 | Qualification","2017-11-11","RÈgional","221"
"Nicolas Baudoin","K1H","96.93","85.88","196.25",""
"Leo Vuitton","K1H","97.21","214.96","199.64",""
"Leo Fournier","K1H","97.94","177.96","208.47",""
"Hippolyte Cail","K1H","97.95","184.84","208.59",""
"Tom Bouchardon","K1H","98.23","239.76","211.98",""
"Alan Dollo","K1H","98.78","85.45","218.63",""
"Damien Laborde","K1H","99.15","206.81","223.11",""
"Natan Brule","K1H","99.22","214.72","223.96",""
"Theo Roisin","K1H","99.22","-","223.96",""
"Antoine Gaillard","K1H","99.23","167.02","224.08",""
"Maxence Merpillat","K1H","99.5","233.25","227.34",""
"Romain Chabrol","K1H","99.57","235.85","228.19",""
"Valentin Courtiade","K1H","99.77","191.63","230.61",""
"Jimy Bercon","K1H","99.78","178.27","230.73",""
"Tom Deconchy","K1H","100.4","171.34","238.23",""
"Jonathan Delagnes","K1H","100.6","219.2","240.65",""
"Gael Adisson","K1H","102.69","214.09","265.93",""
"Jeremie Palazy","K1H","102.72","196.86","266.3",""
"Tino Forgues","K1H","103.46","303.98","275.25",""
"Adrien Mesmoudi","K1H","104.01","283.24","281.9",""
"Bertrand Gourrat","K1H","104.46","218.22","287.34",""
"Nour Ait Kaddour","K1H","105.11","328.23","295.21",""
"Antoine Laye","K1H","105.82","300.17","303.8",""
"Aldric Estanguet","K1H","105.95","-","305.37",""
"Nicolas Saurat","K1H","106.49","293.47","311.9",""
"Quentin Clerc","K1H","106.75","241.09","315.05",""
"Alexis Dorey","K1H","107.1","261.85","319.28",""
"Ludovic Gaignon","K1H","107.74","365.93","327.02",""
"Marc Sarramea","K1H","108.44","365.95","335.49",""
"Theo Ducasse","K1H","108.47","327.95","335.85",""
"Vincent Garcia","K1H","108.68","305.5","338.4",""
"Fabien Paleau","K1H","109.22","313.78","344.93",""
"Elian Giondini","K1H","109.34","372.08","346.38",""
"Nathan Pavot","K1H","109.75","350.54","351.34",""
"Nathaniel Levy","K1H","110.6","395.88","361.62",""
"Raoul Colin","K1H","110.73","330.61","363.19",""
"Clement Guiraud","K1H","110.77","317.83","363.68",""
"Herve Clerc","K1H","110.91","343.65","365.37",""
"Laurence Scrimgeour","K1H","110.97","468.23","366.1",""
"Marc Cordier","K1H","111.23","331.49","369.24",""
"Patrick Clerc","K1H","112.37","315.27","383.03",""
"Samuel Taillefer","K1H","112.66","392.32","386.54",""
"Ugo Rolland","K1H","113.54","-","397.19",""
"Pablo Chaminade","K1H","113.63","378.46","398.28",""
"Esteban Illido","K1H","113.65","355.08","398.52",""
"Jacques Roisin","K1H","113.98","473.44","402.51",""
"Maxime Charron","K1H","114.11","363.24","404.08",""
"Denis Vintrou","K1H","114.58","551.85","409.77",""
"Abel Boidron","K1H","114.9","564.26","413.64",""
"Yannis Dast","K1H","115.51","512.39","421.02",""
"Laurent Brossard","K1H","116.49","-","432.88",""
"Marc Brossard","K1H","116.87","349.49","437.47",""
"Jules Besson","K1H","117.03","495.01","439.41",""
"Benoit Pacteau","K1H","117.05","579.93","439.65",""
"Gedeon Cothias-faure","K1H","117.3","429.36","442.67",""
"Karl Bouthegourd","K1H","117.77","370.72","448.36",""
"Felix Sperandio","K1H","118.38","438.67","455.74",""
"Eric Vidou","K1H","119.21","402.99","465.78",""
"Angus Cruickshank","K1H","122.25","414.97","502.56",""
"Remi Dramard","K1H","123.88","-","522.27",""
"Antonin Maystre","K1H","126.07","362.45","548.77",""
"Renaud Clerc","K1H","126.91","542.5","558.93",""
"Jean Dayraut","K1H","127.14","553.31","561.71",""
"Arthur Cousty","K1H","128.88","398.54","582.76",""
"Etienne Saint Picq","K1H","129.81","439.54","594.01",""
"Compton Cruickshank","K1H","132.36","612.48","624.86",""
"Tristan Ruiz","K1H","135.62","666.54","664.3",""
"Romain Cadiot","K1H","139.55","1073.69","711.84",""
"Thibault Clerc","K1H","139.78","359.25","714.62",""
"Nicolas Neveu","K1H","139.95","546","716.68",""
"Guillaume Fletcher","K1H","150.41","-","843.21",""
"Loic Leymonerie","K1H","152.59","701.38","869.59",""
"Frederic Reus","K1H","161.1","436.57","972.53",""
"Th…o Palumbo","K1H","161.23","979.68","974.11",""
"Pascal Dongarra","K1H","164.83","338.84","1017.66",""
"Tom Zanfini","K1H","164.94","309.8","1018.99",""
"Felix Praderie","K1H","168.07","321.67","1056.85",""
"Stephane Perilhou","K1H","176.43","482.28","1157.99",""
"Thomas Moret","K1H","176.94","526.19","1164.16",""
"Jose Pereira","K1H","177.8","478.57","1174.56",""
"Cedric Landreau","K1H","181.02","369.47","1213.51",""
"Paul Gobert","K1H","184.52","458.13","1255.85",""
"Tom Gonzales","K1H","185.91","489.15","1272.67",""
"Louis Midy","K1H","213.45","334.09","1605.83",""
"Lucas Dongarra","K1H","233.19","534.67","1844.63",""
"Quentin Rabot","K1H","243.72","1031.27","1972.01",""
"Jean Cougul","K1H","249.42","740.03","2040.97",""
"Edgar Paleaubrasseur","K1H","271.17","-","-",""
"Clement Serres","K1H","273.16","1375.26","2328.15",""
"Otello Willmann Rosso","K1H","Abs","-","-",""
"Guillaume Viguier","K1H","Abs","-","-",""
"Thierry Raimbault","K1H","Abs","-","-",""
"Jean Charles Creusot Walter","K1H","Abs","-","-",""
"Sebastien Mouyen Bie","K1H","Abs","-","-",""
"Djendy Simeant","K1H","Abs","-","-",""
"Benjamin Renia","K1H","Abs","-","-",""
"Aurelien Blois","K1H","Des","-","-",""
"Cyprien Cail","K1HM","107.55","407.22","324.73",""
"Baptiste Delemotte","K1HM","112.4","465.99","383.4",""
"Yon Dandonneau","K1HM","116.47","534.54","432.63",""
"Emilien Courtiade","K1HM","116.94","440.76","438.32",""
"Hugo Crespo","K1HM","124","405.51","523.73",""
"Alexandre Medge","K1HM","126.11","539.99","549.25",""
"Mael Bernes","K1HM","126.4","397.79","552.76",""
"Lohan Wyon","K1HM","130.17","731.7","598.37",""
"Guillaume Pradalie","K1HM","131.84","700.6","618.57",""
"Timeo Canonico","K1HM","132.86","1342.63","630.91",""
"Clement Claret","K1HM","134.57","768.47","651.59",""
"Antton Erdois","K1HM","145.54","523.43","784.3",""
"Matt Vidou","K1HM","149.16","550.17","828.09",""
"Thomas Terr…","K1HM","152.14","562.84","864.14",""
"Lukas Estanguet-santamaria","K1HM","154.42","1543.99","891.72",""
"Cl…ment Corbeil","K1HM","164.44","464.58","1012.94",""
"Fantin Delage-garez","K1HM","168.48","418.32","1061.81",""
"Guillaume Malmezac","K1HM","170.4","518.67","1085.04",""
"Alex Baldoni","K1HM","208.12","471.59","1541.35",""
"Marin Saint Macary","K1HM","231.63","567","1825.75",""
"Nicolas Leman","K1HM","263.54","1414.46","2211.78",""
"Clement Guyon","K1HM","332.41","693.6","3044.92",""
"Jules Maitre","K1HM","364.74","1781.15","3436.02",""
"Simon Tourtois","K1HM","Des","-","-",""
