"Championnat de France C sur J sur S - Bourg St Maurice - Demi-finale (haut du bassin) - 2012-07-22","Demi-finale (haut du bassin)","2012-07-22","Championnats de France","115"
"Armand Rauturier-Nicolas Labat","C2H","177.3","43.11","250",""
"Charly Chassigneux-Fabien Tournadre","C2H","199.18","59.23","325.84",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","230.53","116.97","434.5",""
"Maxime Vallin-Gauthier Gonseth","C2H","296.8","128.83","664.19",""
"Caroline Loir","K1D","109.87","10.95","6.18",""
"Carole Bouzidi","K1D","111.42","12.73","11.41",""
"Pauline Guiet","K1D","118.8","18.62","36.31",""
"Clementine Geoffray","K1D","121.17","39.32","44.3",""
"Gaelle Tosser-roussey","K1D","126.34","41.6","61.75",""
"Julie Labarelle","K1D","129.67","69.43","72.98",""
"Flora Huvelin","K1D","134.21","99.33","88.3",""
"Lea Wetzel","K1D","136.21","69.23","95.05",""
"Berenice Kolenc","K1D","137.6","51.18","99.74",""
"Lise Vinet","K1D","140.43","89.63","109.29",""
"Laura Combot","K1D","140.82","39.67","110.6",""
"Mylene Ferry","K1D","143.39","85.46","119.27",""
"Flora Bove","K1D","150.26","86.84","142.45",""
"Marie-zelia Lafont","K1D","166.88","7.04","198.53",""
"Estelle Hellard","K1D","170.41","25.71","210.44",""
"Lucie Baudu","K1D","179.89","20.7","242.43",""
"Sarah Lyphout","K1D","193.87","53.64","289.59",""
"Solene Graille","K1D","199.24","82.54","307.72",""
"Elise Pierron","K1D","218.75","40.14","373.54",""
"Josepha Longa","K1D","231.4","39.46","416.22",""
"Melanie Ragaru","K1D","239.08","81.4","442.13",""
"Caroline Bourry","K1D","340.64","59.89","784.8",""
"Cecile Tixier","K1D","394.43","124.24","966.29",""
"Julie Neime","K1D","436.41","51.97","1107.93",""
"Maria Ferekidi","K1D","Nt","-","-",""
"Thomas Bersinger","K1H","95.61","4.49","0",""
"Sebastien Combot","K1H","95.74","10.77","0.5",""
"Pierre Bourliaud","K1H","96.07","12.11","1.75",""
"Fabien Lefevre","K1H","96.85","9.04","4.73",""
"Benjamin Travostino","K1H","97.16","7.48","5.91",""
"Hugo Cailhol","K1H","97.72","14.23","8.04",""
"Benoit Guillaume","K1H","98.47","10.01","10.9",""
"Benoit Peschier","K1H","98.58","10.89","11.32",""
"Boris Neveu","K1H","98.65","4.66","11.59",""
"Antoine Launay","K1H","99.06","7.08","13.15",""
"Renaud Doby","K1H","99.21","22.17","13.73",""
"Jimy Bercon","K1H","99.57","7.39","15.1",""
"Benjamin Renia","K1H","99.78","3.58","15.9",""
"Benjamin Buys","K1H","100.68","9.28","19.33",""
"Ludovic Di Nisi","K1H","101.98","17","24.29",""
"Mathieu Biazizzo","K1H","102.03","8.84","24.48",""
"Kevin Schultz","K1H","102.96","35.04","28.02",""
"Julien Dekarczyk","K1H","103.12","17.37","28.63",""
"Enrick Cunsolo","K1H","103.18","19.06","28.86",""
"Martin Daviet","K1H","104.05","40.29","32.18",""
"Yann Gudefin","K1H","104.11","15.68","32.41",""
"Tom Scianimanico","K1H","104.37","21.34","33.4",""
"Martin Dougoud","K1H","104.89","36.34","35.38",""
"Mathieu Bandelier","K1H","105.2","-","36.56",""
"Frederic Walczak","K1H","105.36","15.92","37.17",""
"Quentin Mignard","K1H","106.14","72.06","40.15",""
"Mathieu Desnos","K1H","106.29","35.98","40.72",""
"Ewen Legrand","K1H","107.14","38.78","43.96",""
"William Desnos","K1H","107.68","36.84","46.02",""
"Caryck Bouladjat","K1H","110.03","105.61","54.98",""
"Benjamin Thiboust","K1H","110.36","42.89","56.24",""
"Louison Turmeau","K1H","110.84","79.43","58.07",""
"Nicolas Abbal","K1H","111.85","42.74","61.92",""
"Tristan Bronsard","K1H","115.54","83.14","75.99",""
"Willy Hugedet","K1H","115.56","83.81","76.06",""
"Damien Launay","K1H","115.57","67.63","76.1",""
"Quentin Bove","K1H","116.01","18.09","77.78",""
"Enzo Seker","K1H","118.87","79.71","88.68",""
"Gary Allemann","K1H","119.58","105.46","91.39",""
"Nicolas Labat","K1H","124.76","39.85","111.14",""
"Ciaran Heurteau","K1H","146.2","51.28","192.88",""
"Jonathan Delagnes","K1H","150.89","33.24","210.76",""
"Oswald Besch","K1H","153.14","26.44","219.34",""
"Thomas Schmitt","K1H","153.93","34.89","222.35",""
"Emmanuel Walczak","K1H","156.59","16.39","232.5",""
"James Duvernoy","K1H","156.78","73.15","233.22",""
"Pierre Audouin","K1H","173.52","109.39","297.04",""
"Arnaud Gallois","K1H","196.3","94.16","383.9",""
"Nathanael Renia","K1H","208.85","27.22","431.74",""
"Emile Devaux","K1H","311.83","32.99","824.37",""
