"Sélectif Régional - Jarnac - 2009-11-15","Course 2","2009-11-15","Régional","217"
"Christelle Macaire","K1D","112.37","-","309",""
"Helena Heysch De La Borde","K1D","112.68","371","312",""
"Mathilde Pelletan","K1D","114.32","275","332",""
"Armelle Canali","K1D","114.90","406","338",""
"Morgane Alain","K1D","117.57","448","371",""
"Manon Prioux","K1D","117.83","333","373",""
"Manon Sacre","K1D","121.11","-","412",""
"Amelie Perier","K1D","123.79","468","444",""
"Marielle Counil","K1D","124.64","-","453",""
"Marine Dumartin","K1D","126.77","417","479",""
"Lydie Moreaud","K1D","126.80","622","480",""
"Charlotte Robuchon","K1D","127.82","730","491",""
"Clarisse Robin","K1D","128.20","454","495",""
"Aurore Berger","K1D","133.68","532","560",""
"Marie Charlotte Doreau","K1D","134.89","-","575",""
"Oceane Drouet","K1D","136.77","-","597",""
"Gabrielle Ducournau","K1D","137.09","-","601",""
"Aurelie Pantier","K1D","140.33","-","639",""
"Manon Linck","K1D","145.21","-","696",""
"Alison Drouet","K1D","145.95","605","705",""
"Elsa Metayer","K1D","148.70","776","738",""
"Elise Turowsky","K1D","158.27","1968","850",""
"Ivana Lebegue","K1D","160.32","-","875",""
"Caroline Michaud","K1D","174.38","1174","1040",""
"Antoine Launay","K1H","82.06","78","77",""
"Quentin Bove","K1H","83.20","24","93",""
"Nicolas Labat","K1H","84.58","27","112",""
"Lucas Kelifaoui","K1H","84.91","78","116",""
"Romain Bove","K1H","85.95","140","129",""
"Louis-maxime Main","K1H","86.73","143","140",""
"Yoann Gottardo","K1H","86.79","162","141",""
"Quentin Lyphout","K1H","88.01","163","157",""
"Alexandre Di Nisi","K1H","89.22","119","173",""
"Gurgen Brun","K1H","89.81","161","181",""
"David Riffaud","K1H","90.62","166","192",""
"Thibaud Delaunay","K1H","90.73","162","193",""
"Thibault Dufour","K1H","91.39","183","201",""
"Jonathan Delagnes","K1H","91.91","52","209",""
"Vincent Menager","K1H","92.01","-","210",""
"Jean Messialle","K1H","92.40","183","215",""
"Julien Riffaud","K1H","92.53","187","217",""
"Damien Caillon","K1H","92.77","199","220",""
"Marc Brossard","K1H","92.86","210","221",""
"Guillaume Chainier","K1H","92.90","220","222",""
"James Duvernoy","K1H","93.09","231","224",""
"Damien Launay","K1H","93.11","220","224",""
"Felix Merzeau","K1H","93.32","209","228",""
"Pierre Portais","K1H","93.43","208","229",""
"Marc Robert","K1H","93.65","210","232",""
"Nicolas Baudoin","K1H","93.75","214","233",""
"Valentin Marin","K1H","93.90","272","235",""
"Frederic Descot","K1H","95.20","227","253",""
"Mathieu Cheze","K1H","95.42","260","256",""
"Mathieu Pouchet","K1H","96.13","226","265",""
"Nicolas Arnoult","K1H","97.53","221","284",""
"Jean-philippe Rome","K1H","97.66","291","285",""
"Etienne Chauvin","K1H","98.52","262","297",""
"Baptiste Piveteau","K1H","98.73","240","300",""
"Florian Petit","K1H","98.83","401","301",""
"Clement Praille","K1H","98.95","240","303",""
"Bastien Pailler","K1H","99.07","-","304",""
"Caryck Bouladjat","K1H","99.15","291","305",""
"Kevin Sponem","K1H","100.09","296","318",""
"Olivier Nonnet","K1H","100.62","298","325",""
"Camille Balsac","K1H","101.66","367","338",""
"David Peigne","K1H","101.75","349","339",""
"Pierre Dehaudt","K1H","101.75","329","339",""
"Quentin Mignard","K1H","101.76","295","339",""
"Antoine Roux","K1H","101.96","183","343",""
"Benoit Sergent","K1H","102.16","384","346",""
"Benjamin Sanella","K1H","102.50","262","350",""
"Simon Richar","K1H","102.51","-","350",""
"Florian Chaumier","K1H","102.52","-","350",""
"Valentin Cesbron","K1H","102.88","-","355",""
"Jeremy Rouet","K1H","103.54","-","364",""
"Jean Salavert","K1H","104.16","-","372",""
"Jean-daniel Bost","K1H","105.36","401","388",""
"Thomas Perrin","K1H","105.45","394","389",""
"Jean-philippe Brothier","K1H","105.94","353","396",""
"Mathis Besse","K1H","105.98","-","396",""
"Guillaume Chasseriault","K1H","106.18","341","399",""
"Luc Jauvin","K1H","106.22","360","399",""
"Hugo Le Goff","K1H","107.31","485","414",""
"Alexandre Dherbilly","K1H","107.79","-","420",""
"Jordan Rocdunos","K1H","108.43","-","428",""
"David Vacher","K1H","110.05","-","450",""
"Batiste Dubois","K1H","110.12","-","451",""
"Jason Brothier","K1H","110.22","409","452",""
"Gaetan Minotte","K1H","110.30","426","453",""
"Loic Pierre","K1H","110.56","426","458",""
"Philippe Audouin-dubreuil","K1H","110.89","520","462",""
"Jerome Muller","K1H","112.18","-","479",""
"Jean-noel Biteau","K1H","113.07","421","491",""
"Samuel Enon","K1H","114.41","-","509",""
"Gabriel Prunet-foch","K1H","115.56","642","524",""
"Kevin Rocdunos","K1H","115.57","-","524",""
"Loup Charles","K1H","117.53","-","550",""
"Jeremy Lepoutre","K1H","117.54","679","551",""
"Dimitri Rochier","K1H","117.96","-","556",""
"Hippolyte Granados","K1H","119.25","541","573",""
"Vincent Zago","K1H","119.91","622","582",""
"Maxime Buton","K1H","120.75","819","593",""
"Jonathan Bourdier","K1H","121.21","676","599",""
"Jean Luc Pessoni","K1H","121.53","586","603",""
"Baptiste Charlier","K1H","122.22","-","612",""
"Vincent Lapeyrigne","K1H","122.71","875","619",""
"Theotime Bordes","K1H","122.92","-","622",""
"Clement Lavergne","K1H","122.93","-","622",""
"Maxime Bos","K1H","123.52","-","630",""
"Julien Anglade","K1H","123.82","1074","634",""
"Damien Berger","K1H","124.19","607","639",""
"Daniel Bregazzi","K1H","126.97","683","676",""
"Thomas Megard","K1H","128.08","-","691",""
"Nicolas Boulesteix","K1H","131.70","-","739",""
"Paul Bertrand","K1H","134.84","-","781",""
"Maurice Pubert","K1H","141.62","725","871",""
"Robert Antoinet","K1H","141.99","1160","876",""
"Victor Niney","K1H","142.40","-","881",""
"Enguerran Sers","K1H","182.56","-","1416",""
"Charlie Baron","K1H","Nt","-","-",""
"Philippe Seguinot","K1H","Nt","-","-",""
"Kevin Baroy","K1H","Nt","-","-",""
"Guillaume Garuet-lempirou","K1H","Nt","-","-",""
"Adrien Doumingos","K1H","Nt","-","-",""
"Valentin Millet Naas","K1H","Nt","-","-",""
"Keir Simpson","K1H","Nt","-","-",""
"Hugo Dagois","K1H","Nt","-","-",""
"Thomas Marino","K1H","Nt","-","-",""
"Maxime Perrin","K1H","Nt","-","-",""
