"coupe de Lorraine de Slalom - Ancerville - 2008-10-26","Course 1","2008-10-26","Régional","132"
"Blanche Legin","K1D","273.44","286","364",""
"Lea Bechereau","K1D","274.97","256","372",""
"Rosalie Kempf","K1D","279.95","341","398",""
"Emilie Saguet","K1D","281.36","338","406",""
"Melanie Ragaru","K1D","283.57","-","417",""
"Gaelle Delaborde","K1D","283.78","357","418",""
"Emma Maujean","K1D","286.63","793","434",""
"Carole Dolmaire","K1D","298.21","465","495",""
"Victorine Gerard","K1D","298.89","484","498",""
"Marlene Dumoulin","K1D","304.88","437","530",""
"Djamila Mihoubi","K1D","341.11","-","721",""
"Sandra Carisey","K1D","358.56","778","813",""
"Angelique Bakalarz","K1D","369.73","713","872",""
"Justine Sautre","K1D","376.34","-","907",""
"Pauline Bertrand","K1D","387.24","1691","964",""
"Claire Marie Peltier","K1D","390.06","1852","979",""
"Salome Quirin","K1D","414.23","-","1107",""
"Camille Counot","K1D","572.79","-","1943",""
"Frederic Walczak","K1H","187.73","12","30",""
"Johan De Mareuil","K1H","193.55","36","64",""
"Jerome Olhagaray","K1H","200.88","108","108",""
"Remi Thomas","K1H","207.29","155","146",""
"Florient Tagnon","K1H","207.73","189","149",""
"Mael Othenin Girard","K1H","212.51","186","176",""
"Julien Bley","K1H","214.32","195","187",""
"Nikolas Stanik","K1H","215.00","198","192",""
"Lucas Ferraina","K1H","215.17","263","193",""
"Quentin Vallee","K1H","218.11","247","210",""
"Arthur Georges","K1H","218.78","119","214",""
"Stefan Stanik","K1H","221.06","188","227",""
"Geoffroy Schwentzel","K1H","222.06","270","233",""
"Olivier Urbain","K1H","223.11","231","240",""
"Pierre Rat","K1H","224.99","249","251",""
"Billel Khenchouche","K1H","225.62","-","254",""
"Michel Ragot","K1H","225.63","305","254",""
"Stephane Rousse","K1H","226.00","298","256",""
"Damien Burteaux","K1H","227.32","230","264",""
"David Beyer","K1H","228.22","-","270",""
"Nicolas Mangeolle","K1H","229.80","261","279",""
"Thomas Stutzmann","K1H","230.20","275","282",""
"Leo Capelle","K1H","230.30","327","282",""
"Vincent Bajolot","K1H","230.33","346","282",""
"Nicolas Leclerc","K1H","231.63","369","289",""
"Audren Schiel","K1H","233.91","362","304",""
"Christophe Godinat","K1H","234.53","323","307",""
"Anthony Beaudoing","K1H","235.38","307","312",""
"Beranger Bechereau","K1H","236.21","305","317",""
"Guillaume Cochut","K1H","236.25","329","317",""
"Sidney Malgras","K1H","239.11","372","334",""
"Jonathan Matern","K1H","241.56","406","348",""
"Patrick Gass","K1H","241.80","296","350",""
"Xavier Rat","K1H","241.98","376","352",""
"Pierre Cassin","K1H","243.93","312","363",""
"Emilien Kempf","K1H","247.58","468","384",""
"Andre Kempf","K1H","251.02","464","405",""
"Mathieu Douillet","K1H","252.80","338","415",""
"Even Perot","K1H","254.97","-","428",""
"Eric Formet","K1H","262.66","-","474",""
"Therence Bernard","K1H","265.59","784","490",""
"Gauthier Ruspini","K1H","265.71","589","491",""
"Bertrand Bourguignon","K1H","266.58","516","497",""
"Thomas Barraco","K1H","268.19","829","506",""
"Romain Viry","K1H","268.58","160","508",""
"Simon Barthelemy","K1H","273.22","514","536",""
"Matthieu Walfard","K1H","273.32","234","537",""
"Erwinn Bremond","K1H","274.29","-","542",""
"Laurent Graillot","K1H","274.85","1056","546",""
"Florent Bronchain","K1H","277.28","472","560",""
"Pierre Aubry","K1H","277.31","-","560",""
"Sullivan Barrere","K1H","279.11","-","570",""
"Luc Guillard","K1H","280.43","-","578",""
"Coddy Beuve","K1H","298.56","-","685",""
"Romain Tissier","K1H","307.27","-","736",""
"Theo Colombain","K1H","309.38","-","750",""
"Quentin Roche","K1H","310.30","-","755",""
"Baptiste Maes","K1H","317.66","-","798",""
"Loic Richard","K1H","318.31","-","802",""
"Anthony Gillot","K1H","327.19","1190","855",""
"Cyril Menzin","K1H","327.35","-","855",""
"Antoine Leroy","K1H","328.30","-","862",""
"Gauthier Cuny","K1H","402.74","-","1301",""
"Riyad Khelil","K1H","441.99","-","1533",""
"Quentin Charron","K1H","473.03","-","1717",""
