"2ème MANCHE COUPE DE LORRAINE - Nancy - 2003-10-05","Course 1","2003-10-05","Régional","216"
"Bernachon Sidonie","K1D","252.64","-","695",""
"Kaczmarkiewicz Wanda","K1D","262.61","-","768",""
"Falcetta Charlotte","K1D","265.28","639","787",""
"Camille Billerach","K1D","269.07","-","815",""
"Cindy Beche","K1D","273.57","-","847",""
"L'orphelin Lucille","K1D","276.41","478","867",""
"Lalouani Lambria","K1D","277.68","-","876",""
"Bergdoll Lucie","K1D","307.31","-","1091",""
"Poix Christine","K1D","317.95","2664","1168",""
"Julien Arribe","K1H","153.38","55","88",""
"Gregory Busson","K1H","154.16","116","94",""
"Piquard Gregoire","K1H","156.38","75","113",""
"Di Lauro Maxime","K1H","157.77","129","123",""
"Lambert Guillaume","K1H","160.00","105","140",""
"Massias Aurelien","K1H","160.24","191","143",""
"Nicolas Ciemniewski","K1H","160.40","171","144",""
"Mehdi Amini","K1H","160.95","224","149",""
"Sylvain Herrbach","K1H","161.60","177","153",""
"Johan De Mareuil","K1H","161.64","127","154",""
"Christophe Siffert","K1H","162.90","168","164",""
"Julien Antide","K1H","164.75","-","179",""
"Michel Ragot","K1H","165.35","147","183",""
"Domingo Benoit","K1H","165.38","231","183",""
"Ragot Laurent","K1H","165.40","218","183",""
"Potelle Pierreandre","K1H","165.56","-","186",""
"Nizar Samlal","K1H","165.93","157","188",""
"David Beyer","K1H","166.09","204","189",""
"Romain Bove","K1H","166.51","189","193",""
"Bazin Patryce","K1H","167.97","133","204",""
"Quentin Bove","K1H","170.02","248","221",""
"Alexandre Guerinet","K1H","170.78","282","226",""
"Soete Arnaud","K1H","171.19","355","230",""
"Bourgeois Cedric","K1H","171.45","-","232",""
"Kudla Romain","K1H","171.67","272","233",""
"Florent Tamburini","K1H","171.73","307","235",""
"Lang Paul","K1H","172.21","-","238",""
"Guillaume Maraquin","K1H","172.32","253","239",""
"Jeremy Poux","K1H","172.49","259","240",""
"Rumeau Martin","K1H","173.01","240","245",""
"Sebastien Serot","K1H","174.06","312","253",""
"Arthur Georges","K1H","174.79","286","259",""
"Jerome Olhagaray","K1H","175.11","229","261",""
"Mathieu Bandelier","K1H","175.11","224","261",""
"Guillaume Bandelier","K1H","175.99","-","268",""
"Hayot Sylvain","K1H","177.04","367","276",""
"Olivier Urbain","K1H","177.26","282","279",""
"Patrick Gass","K1H","177.44","344","280",""
"Guillaume Huppert","K1H","177.73","354","282",""
"Pierson Cyril","K1H","178.71","280","290",""
"Thibaud Kudla","K1H","179.96","233","300",""
"Serre Eric","K1H","180.49","169","304",""
"Marc Jegou","K1H","181.14","-","309",""
"Sebastien Thevenin","K1H","181.20","260","310",""
"Revelle Yohann","K1H","181.30","325","310",""
"Quentin Vallee","K1H","181.52","345","313",""
"Ricci Miege Raphael","K1H","184.83","347","338",""
"Kevin Burgi","K1H","185.48","-","344",""
"Stephane Rousse","K1H","185.74","339","346",""
"Nicolas Mangeolle","K1H","185.84","380","346",""
"William Boutet","K1H","186.32","383","351",""
"Noble Aurelien","K1H","186.72","344","353",""
"Beghoura Yoni","K1H","186.73","481","353",""
"Dalla-Zuana Christophe","K1H","187.00","276","356",""
"Loic Sieber","K1H","187.78","-","363",""
"Alliaume Antoine","K1H","188.03","459","364",""
"Gacoin Stephane","K1H","188.43","565","367",""
"Ciemniewski Olivier","K1H","188.75","436","369",""
"Soulon Florian","K1H","189.61","489","376",""
"Thevenin Johann","K1H","189.92","-","379",""
"David Sebastien","K1H","189.97","-","380",""
"Arthur Sucker","K1H","192.65","-","401",""
"Arette Hourquet Olivier","K1H","193.53","-","408",""
"Balducci Hugo","K1H","193.91","-","411",""
"Billel Khenchouche","K1H","195.01","-","419",""
"Nathan Barbier","K1H","195.41","372","423",""
"Hubschwerlin Pierre","K1H","195.84","502","426",""
"Di Majo Romain","K1H","197.80","469","442",""
"Aubert Anthony","K1H","199.16","401","453",""
"Julien Bley","K1H","199.31","-","454",""
"Miler Thomas","K1H","199.52","521","456",""
"Tosser Roussey Loic","K1H","202.09","-","476",""
"Courtier Jeremy","K1H","203.11","622","485",""
"Poix Stanislas","K1H","203.30","507","486",""
"Guerin Alexandre","K1H","204.97","354","499",""
"Wendling Valentin","K1H","207.83","913","522",""
"Jacquet Kevin","K1H","208.45","-","526",""
"Decaux Louis","K1H","209.43","592","535",""
"Nicolle Xavier","K1H","209.65","434","536",""
"Grandemange Jeanleonard","K1H","209.98","141","539",""
"Hamann Damien","K1H","211.87","527","554",""
"Pierre Clement","K1H","215.35","-","581",""
"Noel Jeremie","K1H","215.40","-","582",""
"Hitou Sofiane","K1H","215.51","-","583",""
"Audren Schiel","K1H","217.14","-","596",""
"Lacan Alan","K1H","217.30","-","597",""
"Gautier Boudat","K1H","217.38","-","597",""
"Stefan Stanik","K1H","217.47","-","599",""
"Eric Formet","K1H","217.61","-","600",""
"Chapellier Pierre Emmanuel","K1H","217.66","-","600",""
"Diemert Maxime","K1H","218.26","1587","604",""
"Pierre Thibaut","K1H","218.64","-","608",""
"Brouillot Mathieu","K1H","220.79","-","625",""
"Damien Burteaux","K1H","221.69","1285","632",""
"Joel Ramillon","K1H","222.06","-","635",""
"Aubert Louis","K1H","223.98","-","651",""
"Eric Louis","K1H","226.56","632","671",""
"Marco Rodrigues","K1H","227.33","-","676",""
"Boutter Victor","K1H","228.34","-","685",""
"Guizelin Maxime","K1H","228.58","-","687",""
"Parmentelat Steve","K1H","229.15","-","692",""
"Gangloff Alexandre","K1H","234.83","-","737",""
"Wendling Jean-Mathieu","K1H","235.89","-","745",""
"Mangeolle Matthieu","K1H","237.36","619","757",""
"Vincent Bajolot","K1H","238.03","-","762",""
"Sassatelli Nicolas","K1H","239.57","668","774",""
"Kowalski Maximilien","K1H","240.30","-","780",""
"Treiber Edouard","K1H","242.22","-","795",""
"Arthur Veber","K1H","246.87","-","832",""
"Luc Rumeau","K1H","247.36","-","837",""
"Fontanella Mathieu","K1H","248.90","-","849",""
"Depreck Josselin","K1H","251.56","-","869",""
"Renaut Brice","K1H","254.82","-","896",""
"De Mareuil Marc","K1H","259.86","-","936",""
"Bajolet Julien","K1H","260.16","-","938",""
"Colin Maxime","K1H","261.91","-","952",""
"Thiaville Julien","K1H","268.69","-","1007",""
"Sewert Mai Felix","K1H","275.36","-","1059",""
"Thomann Simon","K1H","283.76","-","1126",""
"Courtois Julian","K1H","313.14","-","1360",""
"Bontemps Romain","K1H","313.35","-","1361",""
"Thomann Florian","K1H","317.51","-","1395",""
"Pereira Gilles","K1H","696.43","-","4411",""
