"SLALOM REGIONAL GOND PONTOUVRE - Gond Pontouvre - 2006-10-08","Course 1","2006-10-08","Régional","137"
"Valentin Lesseau","K1H","285.74","-","606",""
"Mathieu Laroze","K1H","285.90","693","607",""
"Bardol Martin","K1H","286.07","670","608",""
"Hauselmann Yannick","K1H","288.72","-","623",""
"Baptiste Piveteau","K1H","289.28","-","627",""
"Benjamin Sanella","K1H","290.65","-","634",""
"Millieroux Marc","K1H","291.00","-","636",""
"Benjamin Martin","K1H","295.38","605","662",""
"Gerard Folle","K1H","301.09","849","696",""
"Charlie Baron","K1H","302.81","-","706",""
"Matthias Jauvin","K1H","304.71","-","717",""
"Jeanchristophe Pelletant","K1H","310.45","-","751",""
"Guidicelli Antoine","K1H","311.10","-","754",""
"Julien Neymond","K1H","316.10","1809","784",""
"Etienne Baudry","K1H","316.96","-","788",""
"Thierry Le Bonniec","K1H","321.81","-","817",""
"Dutilloy Rasmus","K1H","323.77","-","829",""
"Valentin Marin","K1H","324.88","-","834",""
"Lefebvre Jerome","K1H","343.40","-","943",""
"Gaetan Robin","K1H","344.91","-","952",""
"Guillaume Crochet","K1H","349.38","-","978",""
"Giry Kevin","K1H","349.93","-","981",""
"Yves Nicot","K1H","357.23","-","1024",""
"Coxon Ethan","K1H","374.13","-","1123",""
"Thomas Renaud","K1H","408.78","-","1326",""
"Chastanet Ronald","K1H","419.25","-","1388",""
"Dallet Antoine","K1H","420.19","-","1393",""
"Guillaume Boullault","K1H","438.31","-","1499",""
