"SELECTIF REGIONAL EPINAL -  - 2001-10-21","Course 1","2001-10-21","Régional","170"
"Oreze Audrey","K1D","292.73","-","369",""
"Marie Ringeisen","K1D","295.44","362","381",""
"Leonard Julie","K1D","311.52","323","455",""
"Demol Brindille","K1D","313.49","333","464",""
"Sarah Michel","K1D","315.25","423","472",""
"Marion Fischer","K1D","364.29","432","696",""
"Bernachon Charlotte","K1D","395.91","-","841",""
"L'orphelin Lucille","K1D","551.02","-","1551",""
"Poix Christine","K1D","932.18","-","3296",""
"Pierre Devaux","K1H","203.41","60","99",""
"Frederic Walczak","K1H","205.13","71","109",""
"Julien Arribe","K1H","208.35","79","125",""
"Ragot Laurent","K1H","209.61","87","132",""
"Grandemange Jeanleonard","K1H","213.99","156","155",""
"Bourgeois Cedric","K1H","214.37","83","157",""
"Johan De Mareuil","K1H","216.04","133","166",""
"Michel Ragot","K1H","218.48","174","179",""
"Mehdi Amini","K1H","219.12","160","182",""
"Bazin Patryce","K1H","219.94","174","187",""
"Jean Charles Creusot Walter","K1H","220.33","122","189",""
"Jean Christophe Boivin","K1H","222.01","107","197",""
"Michael Guyon","K1H","222.19","187","198",""
"Christophe Siffert","K1H","222.31","165","199",""
"Jeanmaire Cyril","K1H","222.56","222","200",""
"Guillaume Maraquin","K1H","226.27","194","220",""
"Serre Eric","K1H","227.37","196","226",""
"Gregory Booth","K1H","227.37","168","226",""
"Sylvain Herrbach","K1H","228.48","205","231",""
"Lambert Guillaume","K1H","229.09","209","235",""
"Stephane Rousse","K1H","229.97","259","239",""
"Sebastien Thevenin","K1H","230.23","219","241",""
"David Beyer","K1H","231.74","-","249",""
"Bigand Baptiste","K1H","233.24","230","257",""
"Del Rey Emmanuel","K1H","233.35","-","257",""
"Nicolas Ciemniewski","K1H","235.06","269","266",""
"Di Lauro Maxime","K1H","235.16","284","267",""
"Weber Nicolas","K1H","236.28","213","273",""
"Patrick Gass","K1H","237.58","306","279",""
"Guerin Alexandre","K1H","239.6","301","290",""
"Lombard Brice","K1H","241.18","278","298",""
"Douillet Guilhem","K1H","242.96","254","308",""
"Fatah Samy","K1H","247.52","295","332",""
"Jeremy Poux","K1H","247.61","255","332",""
"Ambiehl Fabrice","K1H","248.3","-","336",""
"Mathieu Arnaud","K1H","248.59","228","337",""
"Kudla Romain","K1H","249.09","378","340",""
"De Berchen Sebastien","K1H","249.69","-","343",""
"Luc Formet","K1H","249.72","-","343",""
"Fanoi Vincent","K1H","251.2","-","351",""
"Jerome Olhagaray","K1H","251.24","420","351",""
"Guiavarc'h Mathieu","K1H","252.13","-","356",""
"Boehler Jean","K1H","253.47","335","363",""
"Chiche Martin","K1H","253.57","-","364",""
"Thevenin Johann","K1H","253.95","346","366",""
"Joder Morgan","K1H","254.73","325","370",""
"Thibaud Kudla","K1H","256.65","351","380",""
"Piermay Mathieu","K1H","257.27","544","383",""
"Pierson Cyril","K1H","262.96","423","413",""
"Hayot Sylvain","K1H","263.08","-","414",""
"Eric Formet","K1H","265.27","-","425",""
"Rumeau Martin","K1H","266.34","-","431",""
"Hugo Hager","K1H","267.56","-","437",""
"Bartl Boris","K1H","267.72","480","438",""
"Nicolas Mangeolle","K1H","268.49","358","442",""
"Guillaume Huppert","K1H","274.85","466","476",""
"Muguet-Robba Paul-Antoine","K1H","278.66","475","496",""
"Arthur Georges","K1H","279.39","-","500",""
"Ehlinger Robin","K1H","280.34","-","505",""
"Noble Aurelien","K1H","281.45","-","510",""
"Revelle Yohann","K1H","287.76","-","544",""
"Lambert Kevin","K1H","288.13","275","546",""
"Hager Yoan","K1H","292.17","1043","567",""
"Philippe Cedric","K1H","295.48","580","584",""
"Gacoin Stephane","K1H","297.27","562","594",""
"Creuza Jeremy","K1H","297.54","535","595",""
"Antoine Dufrene","K1H","299.46","217","605",""
"Eric Louis","K1H","302.6","-","622",""
"Sirot Nicolas","K1H","302.91","-","623",""
"Gaudel Romaric","K1H","305.6","-","638",""
"Saidi Pascal","K1H","311.76","-","670",""
"Ladouce Romain","K1H","319.54","-","711",""
"Hubschwerlin Pierre","K1H","320.34","-","715",""
"Miler Thomas","K1H","349.63","-","869",""
"Serra Thibault","K1H","356.59","-","906",""
"Pierrat Simon","K1H","358.82","-","918",""
"Doury Jean-Francois","K1H","360.67","657","927",""
"Boespflug Sebastien","K1H","370.42","-","979",""
"Parmentelat Steve","K1H","372.27","-","989",""
"Hamann Damien","K1H","382.09","563","1040",""
"William Boutet","K1H","398.71","-","1128",""
"Collinet Matthieu","K1H","398.87","745","1129",""
"Mangeolle Matthieu","K1H","413.12","-","1204",""
"Michel Baptiste","K1H","421.99","-","1250",""
"Lahaye Noe","K1H","425.92","-","1271",""
"Ursot Olivier","K1H","429.89","-","1292",""
"Kupczyk Julien","K1H","471.88","-","1513",""
"Jully Scherer Vincent","K1H","509.05","-","1709",""
"Romon Pierre Adrien","K1H","527.35","-","1805",""
"Grinner Fabien","K1H","545.36","-","1900",""
"De Mareuil Marc","K1H","855.42","-","3532",""
"Blenck Gaetan","K1H","1020.43","-","4401",""
