"Manche de la Coupe de France National 2 Slalom - 81100 Burlats - Finale - 2020-02-23","Finale","2020-02-23","Nationale 2","140"
"Emilie Armani","K1D","152.42","450.39","789.32","Finale B"
"Oceane Sedrue","K1D","158.89","410.5","864.07","Finale B"
"Camille Santa Cruz","K1D","182.13","473.73","1132.55","Finale B"
"Pauline Rouilhet","K1D","209.49","524.62","1448.63","Finale B"
"Jules Silvin","K1H","88.08","192.08","178.29","Finale B"
"Benjamin Dodane","K1H","88.41","190.75","182.6","Finale B"
"Gawaine Chikh","K1H","88.56","186.69","184.56","Finale B"
"Theo Reby","K1H","89.14","215.55","192.13","Finale B"
"Loric Bertrand Delorme","K1H","89.52","304.09","197.09","Finale B"
"Lukas Estanguet-santamaria","K1H","89.64","266.86","198.66","Finale B"
"Oskar Hillion","K1H","90.46","279.56","209.36","Finale B"
"Kilian Cottet","K1H","90.67","283.46","212.11","Finale B"
"Loic Thielen","K1H","91.21","275.75","219.16","Finale B"
"Corentin Georgeon","K1H","92.05","277.46","230.12","Finale B"
"Yvan Leblond","K1H","92.48","149.32","235.74","Finale B"
"Valentin Berland","K1H","92.83","267.83","240.3","Finale B"
"Nour Ait Kaddour","K1H","92.88","279.65","240.96","Finale B"
"Mael Bernes","K1H","94.05","203.43","256.23","Finale B"
"Guillaume Gonzalez","K1H","94.64","262.77","263.93","Finale B"
"Hugo Latimier","K1H","96.59","345.3","289.39","Finale B"
"Paul Bostoen","K1H","97.15","248.73","296.7","Finale B"
"Hugo Monasse","K1H","98.43","206.21","313.41","Finale B"
"Charles Edouard Dherment","K1H","100.29","281.58","337.69","Finale B"
"Maxence Davy","K1H","100.71","269.5","343.18","Finale B"
"Julien Saguet","K1H","100.72","346.7","343.31","Finale B"
"Antoine Saul","K1H","100.94","263.91","346.18","Finale B"
"Maxime Melmont","K1H","100.96","622.5","346.44","Finale B"
"Matthieu Koffel","K1H","101.45","271.43","352.84","Finale B"
"Angus Cruickshank","K1H","101.64","298.33","355.32","Finale B"
"Hugo Martin -laemle","K1H","102.4","315.61","365.24","Finale B"
"Nathan Frison","K1H","105.09","327.84","400.35","Finale B"
"Nicolas Demofsqui","K1H","106.73","308.88","421.76","Finale B"
"Raphael Massot","K1H","107.45","275.18","431.16","Finale B"
"Leonard Painteaux","K1H","107.58","293.03","432.86","Finale B"
"Antoine Raby","K1H","108.42","282.76","443.83","Finale B"
"Aurelien Merieux Danneaux","K1H","109.64","293.18","459.75","Finale B"
"Nicolas Mangeolle","K1H","110.45","309.88","470.33","Finale B"
"Gino Benini","K1H","111.14","223.76","479.34","Finale B"
"Fantin Delage-garez","K1H","111.65","248.46","485.99","Finale B"
"Thomas L'huillier","K1H","114.16","484.62","518.76","Finale B"
"Esteban Illido","K1H","143.79","295.26","905.57","Finale B"
"Pierre Biagui","K1H","152.37","290.73","1017.58","Finale B"
"Jules Andrien","K1H","158.07","273.35","1091.99","Finale B"
"Nicolas Feuillard","K1H","163.38","216.43","1161.31","Finale B"
"Mohamed Saœd Bekkadour","K1H","200.25","331.52","1642.64","Finale B"
