"SÈlectif RÈgional Slalom (Double) - Eev De Saint Pierre De Boeuf - Course n∞1 | Finale - 2017-10-07","Course n∞1 | Finale","2017-10-07","RÈgional","324"
"Titouan Sourieau-Jules Sourieau","C2HM","283.77","-","2220.04","Course n∞1 | Finale A"
"Nil Georgel-Anneline Triomphe","C2M","136.73","-","430.92","Course n∞1 | Finale A"
"Coline Charel","K1D","103.76","220.82","156.17","Course n∞1 | Finale A"
"Lea Wetzel","K1D","104.38","111.19","162.98","Course n∞1 | Finale A"
"Caroline Bourry","K1D","104.44","169.18","163.64","Course n∞1 | Finale A"
"Julie Neime","K1D","104.91","67.67","168.81","Course n∞1 | Finale A"
"Viviana Daille","K1D","105.16","153.64","171.56","Course n∞1 | Finale A"
"Mylene Ferry","K1D","105.82","184.07","178.81","Course n∞1 | Finale A"
"Camille Fontaine","K1D","109.2","222.02","215.97","Course n∞1 | Finale A"
"Emeline Oudet","K1D","109.67","124.76","221.13","Course n∞1 | Finale A"
"Eva Pietracha","K1D","110.1","199.84","225.86","Course n∞1 | Finale A"
"Joey Bercon","K1D","110.5","112.84","230.26","Course n∞1 | Finale A"
"Anneline Triomphe","K1D","111.37","152.73","239.82","Course n∞1 | Finale A"
"Zoe Bruchon","K1D","113.29","264.73","260.93","Course n∞1 | Finale A"
"Alice Evlachev","K1D","114.41","259","273.24","Course n∞1 | Finale A"
"Solene Grenier","K1D","114.98","312.14","279.5","Course n∞1 | Finale A"
"Louane Chenal","K1D","115.27","328.43","282.69","Course n∞1 | Finale A"
"Marion Pasquali","K1D","117.16","312.52","303.46","Course n∞1 | Finale A"
"Tifenn Primet","K1D","119.65","321.99","330.84","Course n∞1 | Finale A"
"Solen Friconneau","K1D","121.45","391.09","350.63","Course n∞1 | Finale A"
"Oceane Dorval","K1D","121.99","296.02","356.57","Course n∞1 | Finale A"
"Marie Juquelier","K1D","123.78","330.42","376.24","Course n∞1 | Finale A"
"Ilona Martin -laemle","K1DM","118.54","314.18","318.64","Course n∞1 | Finale A"
"Marie Amelie Silvin","K1DM","123.52","322.62","373.38","Course n∞1 | Finale A"
"Melyne Jost","K1DM","123.56","389.91","373.82","Course n∞1 | Finale A"
"Charlotte Grenier","K1DM","136.16","483.52","512.33","Course n∞1 | Finale A"
"Pauline Georgeon","K1DM","186.74","572.28","1068.34","Course n∞1 | Finale A"
"Marthealice Beaurepaire","K1DM","193.73","637","1145.17","Course n∞1 | Finale A"
"Kesia Georgel","K1DM","Abd","-","-","Course n∞1 | Finale A"
"Maxime Bottex","K1H","90.08","99.4","134.51","Course n∞1 | Finale A"
"Loic Bertoia","K1H","92.24","75.08","161.35","Course n∞1 | Finale A"
"Gregoire Guerin","K1H","93.88","127.45","181.72","Course n∞1 | Finale A"
"Pierre Grapotte","K1H","94.32","143.73","187.18","Course n∞1 | Finale A"
"Nicolas Abbal","K1H","95.02","81.19","195.88","Course n∞1 | Finale A"
"Leo Fournier","K1H","95.04","178.35","196.13","Course n∞1 | Finale A"
"Valentin Brindeau","K1H","95.18","167.33","197.87","Course n∞1 | Finale A"
"Mathieu Monier","K1H","95.55","151.95","202.46","Course n∞1 | Finale A"
"Lucas Latimier","K1H","95.59","86.73","202.96","Course n∞1 | Finale A"
"Tom Deconchy","K1H","95.82","171.34","205.81","Course n∞1 | Finale A"
"Nicolas Feuillard","K1H","96.3","186.13","211.78","Course n∞1 | Finale A"
"Jonathan Chapatte","K1H","96.55","196.68","214.88","Course n∞1 | Finale A"
"Jules Cresp","K1H","96.82","216.35","218.24","Course n∞1 | Finale A"
"Kawan Thomas","K1H","97.82","182.13","230.66","Course n∞1 | Finale A"
"Florian Busson","K1H","98.11","201","234.26","Course n∞1 | Finale A"
"Gawaine Chikh","K1H","98.32","281.25","236.87","Course n∞1 | Finale A"
"Sylvain Dandel","K1H","98.55","-","239.73","Course n∞1 | Finale A"
"Thomas Sicre","K1H","98.8","258.39","242.83","Course n∞1 | Finale A"
"Loœc Winiarski","K1H","99.18","244.77","247.55","Course n∞1 | Finale A"
"Jules Silvin","K1H","100.71","242.44","266.56","Course n∞1 | Finale A"
"Patrice Campioni","K1H","101.28","321.44","273.64","Course n∞1 | Finale A"
"Kevin Schultz","K1H","102.36","139.12","287.05","Course n∞1 | Finale A"
"Maxime Melmont","K1H","103.67","315.71","303.33","Course n∞1 | Finale A"
"Samuel Bonella","K1H","103.7","226.58","303.7","Course n∞1 | Finale A"
"Djendy Simeant","K1H","103.9","263.86","306.18","Course n∞1 | Finale A"
"Nicolas Detheve","K1H","103.99","299.91","307.3","Course n∞1 | Finale A"
"Arthur Lagleyze","K1H","104.42","272.85","312.64","Course n∞1 | Finale A"
"Yann Zaepffel","K1H","104.56","275.4","314.38","Course n∞1 | Finale A"
"Jean Philippe Roche","K1H","104.57","283.71","314.51","Course n∞1 | Finale A"
"Louis Masson","K1H","104.61","236.24","315","Course n∞1 | Finale A"
"Cedric Mace","K1H","104.75","304.39","316.74","Course n∞1 | Finale A"
"Sebastien Lepaulard","K1H","105.18","332.6","322.08","Course n∞1 | Finale A"
"Loic Joly","K1H","105.19","356.6","322.21","Course n∞1 | Finale A"
"Erwan Cadio","K1H","105.25","262.45","322.95","Course n∞1 | Finale A"
"Alexis Pacholak","K1H","105.39","337.36","324.69","Course n∞1 | Finale A"
"Benjamin Dodane","K1H","105.65","216.97","327.92","Course n∞1 | Finale A"
"Vincent Garcia","K1H","105.68","293.37","328.29","Course n∞1 | Finale A"
"Alexandre Goujon","K1H","106.15","314.21","334.13","Course n∞1 | Finale A"
"Tom Zanfini","K1H","106.64","307.49","340.22","Course n∞1 | Finale A"
"Luca Barone","K1H","106.68","273.95","340.72","Course n∞1 | Finale A"
"Hugo Martin -laemle","K1H","106.95","378.11","344.07","Course n∞1 | Finale A"
"Herve Busson","K1H","107.06","233.11","345.44","Course n∞1 | Finale A"
"Alexandre Marin","K1H","107.71","268.51","353.51","Course n∞1 | Finale A"
"Raphael Massot","K1H","107.74","351.66","353.88","Course n∞1 | Finale A"
"Yann Leruste","K1H","107.95","334.85","356.49","Course n∞1 | Finale A"
"Noe Monier","K1H","107.96","282.28","356.61","Course n∞1 | Finale A"
"Collin Pouradier","K1H","108.24","344.48","360.09","Course n∞1 | Finale A"
"Romain Branjauneau","K1H","108.33","265.46","361.21","Course n∞1 | Finale A"
"Thomas Ukalovic","K1H","108.92","271.7","368.54","Course n∞1 | Finale A"
"Bertrand Dubiez","K1H","109.44","320.77","375","Course n∞1 | Finale A"
"Olivier Hardonniere","K1H","109.77","337.46","379.1","Course n∞1 | Finale A"
"Bertrand Bercon","K1H","109.8","259.75","379.47","Course n∞1 | Finale A"
"Jonathan Himpens","K1H","109.82","353.65","379.72","Course n∞1 | Finale A"
"Hafiz Ali Hassan","K1H","109.87","-","380.34","Course n∞1 | Finale A"
"Charles Fernandes De Oliveira","K1H","109.92","301.97","380.96","Course n∞1 | Finale A"
"Remy Beal","K1H","110.1","443.55","383.2","Course n∞1 | Finale A"
"Nour Ait Kaddour","K1H","110.64","334.27","389.91","Course n∞1 | Finale A"
"Yazid Koraichi","K1H","110.95","402.61","393.76","Course n∞1 | Finale A"
"Kilian Godart","K1H","110.96","342.93","393.88","Course n∞1 | Finale A"
"Pascal Hunault","K1H","112.06","384.08","407.54","Course n∞1 | Finale A"
"Erwan Degreve","K1H","114.63","402.44","439.47","Course n∞1 | Finale A"
"Yves Masson","K1H","119.27","475.72","497.1","Course n∞1 | Finale A"
"Cyril Audoit","K1H","119.81","296.14","503.81","Course n∞1 | Finale A"
"Theo Soulier","K1H","121.19","415.86","520.95","Course n∞1 | Finale A"
"Emmanuel Triomphe","K1H","130.02","403.11","630.64","Course n∞1 | Finale A"
"Antonin Dustou","K1H","130.5","-","636.6","Course n∞1 | Finale A"
"Renaud Doby","K1H","145.18","95.68","818.95","Course n∞1 | Finale A"
"Alex Louveau","K1H","149.46","215.99","872.12","Course n∞1 | Finale A"
"Frederic Brissaud","K1H","166.86","-","1088.26","Course n∞1 | Finale A"
"Davy Egraz","K1H","Abs","-","-","Course n∞1 | Finale A"
"Gino Benini","K1HM","107.75","362.4","354.01","Course n∞1 | Finale A"
"Arthur Contamine","K1HM","108.37","378.99","361.71","Course n∞1 | Finale A"
"Mael Hervault","K1HM","109.7","401.27","378.23","Course n∞1 | Finale A"
"Clement Couchoud","K1HM","111.23","441.66","397.23","Course n∞1 | Finale A"
"Clement Grapotte","K1HM","113.63","-","427.05","Course n∞1 | Finale A"
"Julien Ojard-chillet","K1HM","115.88","424.15","455","Course n∞1 | Finale A"
"Tanguy Adisson","K1HM","116.17","473.17","458.6","Course n∞1 | Finale A"
"Samuel Tahaafe","K1HM","117.09","469.36","470.03","Course n∞1 | Finale A"
"Theo Brun","K1HM","119.53","-","500.33","Course n∞1 | Finale A"
"Jules Latimier","K1HM","119.74","438.75","502.94","Course n∞1 | Finale A"
"Baptiste Gaillard","K1HM","119.9","404.71","504.93","Course n∞1 | Finale A"
"Yann Mercier","K1HM","120.93","551.09","517.72","Course n∞1 | Finale A"
"Louis Payan","K1HM","126.23","690.81","583.56","Course n∞1 | Finale A"
"Axel Clement","K1HM","127.69","-","601.7","Course n∞1 | Finale A"
"Matis Cote","K1HM","130.26","-","633.62","Course n∞1 | Finale A"
"Corentin Georgeon","K1HM","130.65","479.66","638.46","Course n∞1 | Finale A"
"Oscar Pasteur","K1HM","133.78","538.3","677.34","Course n∞1 | Finale A"
"Alexis Guillon","K1HM","135.63","620.24","700.32","Course n∞1 | Finale A"
"Gabin Chenal","K1HM","135.71","-","701.32","Course n∞1 | Finale A"
"Arthur Sanchez","K1HM","145.29","679.83","820.32","Course n∞1 | Finale A"
"Quentyn Maitre","K1HM","158.42","769.84","983.42","Course n∞1 | Finale A"
"Antonin Robert","K1HM","168.54","339.09","1109.12","Course n∞1 | Finale A"
"Edouard Chenal","K1HM","170.41","313.75","1132.35","Course n∞1 | Finale A"
"Maxime Devis","K1HM","194.9","740.41","1436.56","Course n∞1 | Finale A"
"Daniel Chambert","K1HM","195.48","688.91","1443.77","Course n∞1 | Finale A"
"Titouan Sourieau","K1HM","248.5","-","2102.37","Course n∞1 | Finale A"
"Guillaume Carbon","C1H","110.06","341.67","322.6","Course n∞1 | Finale B"
"Patrice Campioni","C1H","110.79","370.45","331.23","Course n∞1 | Finale B"
"Arthur Perez","C1H","113.29","390.75","360.81","Course n∞1 | Finale B"
"Jonathan Chapatte","C1H","117.1","389.52","405.89","Course n∞1 | Finale B"
"Maxime Kabir","C1H","118.2","319.43","418.89","Course n∞1 | Finale B"
"Alexis Caspar","C1H","119.25","466.59","431.31","Course n∞1 | Finale B"
"Nicolas Feuillard","C1H","119.95","405.36","439.6","Course n∞1 | Finale B"
"Nil Georgel","C1H","121.26","352.92","455.1","Course n∞1 | Finale B"
"Jerome Daille","C1H","121.72","-","460.54","Course n∞1 | Finale B"
"Etienne Wiche","C1H","122.77","384.9","472.96","Course n∞1 | Finale B"
"Cedric Mace","C1H","123.32","480.6","479.47","Course n∞1 | Finale B"
"Guillaume Gonseth","C1H","123.89","416.67","486.2","Course n∞1 | Finale B"
"Antonin Dustou","C1H","126.15","-","512.95","Course n∞1 | Finale B"
"Charles Fernandes De Oliveira","C1H","133.36","542.28","598.25","Course n∞1 | Finale B"
"Philippe Senechal","C1H","135.3","412.2","621.19","Course n∞1 | Finale B"
"Yanis Clerc","C1H","144.5","502.8","730.03","Course n∞1 | Finale B"
"Enki Georgel","C1H","152.1","601.7","819.94","Course n∞1 | Finale B"
"Benjamin Guyon","C1H","158.56","824.41","896.37","Course n∞1 | Finale B"
"Gregory Menuat","C1H","174.1","509.12","1080.21","Course n∞1 | Finale B"
"Yasin Gulay","C1H","189.99","-","1268.19","Course n∞1 | Finale B"
"Julien Lambert","C1H","196.72","641.94","1347.8","Course n∞1 | Finale B"
"Yanniss Aghanine","C1H","221.56","-","1641.68","Course n∞1 | Finale B"
"Sebastien Varin","C1H","325.51","666.71","2871.43","Course n∞1 | Finale B"
"Gregoire Guerin","C1H","Abs","-","-","Course n∞1 | Finale B"
"Gabin Chenal","C1HM","164.22","-","963.32","Course n∞1 | Finale B"
"Arthur Contamine","C1HM","164.35","-","964.86","Course n∞1 | Finale B"
"Oscar Pasteur","C1HM","179.76","909.38","1147.17","Course n∞1 | Finale B"
"Baptiste Gaillard","C1HM","200.67","-","1394.53","Course n∞1 | Finale B"
"Maxime Devis","C1HM","226.62","-","1701.54","Course n∞1 | Finale B"
"Titouan Sourieau","C1HM","234.68","-","1796.89","Course n∞1 | Finale B"
"Maxime Melmont-Adrien Fischer","C2H","117.4","443.66","346.3","Course n∞1 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","129.59","481.65","483.96","Course n∞1 | Finale B"
"Philippe Senechal-Xavier Rat","C2H","142.1","577.4","625.23","Course n∞1 | Finale B"
"Yanniss Aghanine-Yasin Gulay","C2H","295.68","-","2359.53","Course n∞1 | Finale B"
"Arthur Sanchez-Alexis Guillon","C2HM","282.48","-","2210.47","Course n∞1 | Finale B"
"Emilie Delahaye","K1D","115.4","256.12","289.12","Course n∞1 | Finale B"
"Barbara Gibert","K1D","122.47","-","366.84","Course n∞1 | Finale B"
"Anouk Alberti","K1D","122.71","463.04","369.48","Course n∞1 | Finale B"
"Charlotte Issagarre","K1D","123.3","-","375.96","Course n∞1 | Finale B"
"Elke Saragas","K1D","123.99","316.73","383.55","Course n∞1 | Finale B"
"Justine Clerc","K1D","124.15","316.08","385.3","Course n∞1 | Finale B"
"Lucie Adisson","K1D","124.66","394.65","390.92","Course n∞1 | Finale B"
"Adeline Roux","K1D","125","340.14","394.64","Course n∞1 | Finale B"
"Emilie Armani","K1D","126.42","445.15","410.26","Course n∞1 | Finale B"
"Chloe Faverjon","K1D","128.23","463.64","430.16","Course n∞1 | Finale B"
"Emma Miton","K1D","129.29","435.11","441.81","Course n∞1 | Finale B"
"Lucie Fromentoux","K1D","129.36","443.29","442.58","Course n∞1 | Finale B"
"Jessica Joyau","K1D","129.57","375.27","444.89","Course n∞1 | Finale B"
"Nelly Dejours","K1D","131.99","-","471.49","Course n∞1 | Finale B"
"Chiara Cini","K1D","150.6","689.36","676.06","Course n∞1 | Finale B"
"Juliette Ribault","K1D","152.1","618.73","692.55","Course n∞1 | Finale B"
"Clara Jannic","K1D","159.57","444.42","774.66","Course n∞1 | Finale B"
"Clarisse Feramus","K1D","251.9","-","1789.62","Course n∞1 | Finale B"
"Helene Bonnet","K1D","428.14","-","3726.98","Course n∞1 | Finale B"
"Ameline Saunier","K1DM","179.64","1514.58","995.29","Course n∞1 | Finale B"
"Cendres Le Floch","K1DM","191.15","696.21","1121.81","Course n∞1 | Finale B"
"Camille Vion Delphin","K1DM","223.1","-","1473.04","Course n∞1 | Finale B"
"Aurelie Cabrera","K1DM","315.37","909.81","2487.34","Course n∞1 | Finale B"
"Caroline Guita","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Lisa Sadelli","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Naia Roser","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Valentin Vibert","K1H","98.14","238.37","239.63","Course n∞1 | Finale B"
"Raphael Olla","K1H","98.34","215.79","242.12","Course n∞1 | Finale B"
"Alexis Caspar","K1H","101.31","257.02","279.01","Course n∞1 | Finale B"
"Lucas Dominguez","K1H","101.58","349.84","282.36","Course n∞1 | Finale B"
"Teo Bouvier","K1H","103.58","307.3","307.21","Course n∞1 | Finale B"
"Erwann Buthod","K1H","104.84","417.67","322.86","Course n∞1 | Finale B"
"Louis Mazoyer","K1H","106.19","327.55","339.63","Course n∞1 | Finale B"
"Eddy Cassard","K1H","107.83","345.95","360","Course n∞1 | Finale B"
"Laurent Echivard","K1H","110.42","417.01","392.17","Course n∞1 | Finale B"
"Kilian Cottet","K1H","110.97","390.75","399","Course n∞1 | Finale B"
"Nathaniel Levy","K1H","111.12","390.36","400.87","Course n∞1 | Finale B"
"Mohamed Saœd Bekkadour","K1H","111.3","396.16","403.1","Course n∞1 | Finale B"
"Guillaume Belet","K1H","112.02","451.49","412.05","Course n∞1 | Finale B"
"Benjamin Guyon","K1H","112.91","429.81","423.1","Course n∞1 | Finale B"
"Nicolas Monzerian","K1H","112.92","-","423.23","Course n∞1 | Finale B"
"Xavier Rat","K1H","113.34","475.27","428.44","Course n∞1 | Finale B"
"Florian Jarousse","K1H","113.84","-","434.65","Course n∞1 | Finale B"
"Denis Cote","K1H","114.64","-","444.59","Course n∞1 | Finale B"
"Felix Balas","K1H","117.11","480.68","475.27","Course n∞1 | Finale B"
"Philippe Couchoud","K1H","117.92","-","485.34","Course n∞1 | Finale B"
"Paul Bornier","K1H","118.18","560.56","488.57","Course n∞1 | Finale B"
"Adrien Jacquemet","K1H","120.45","-","516.76","Course n∞1 | Finale B"
"Arthur Tebib","K1H","120.75","678.08","520.49","Course n∞1 | Finale B"
"Matthew Vuillard","K1H","121.52","447.25","530.05","Course n∞1 | Finale B"
"Sebastien Chapatte","K1H","121.67","-","531.92","Course n∞1 | Finale B"
"Come Champurney","K1H","122.3","505.98","539.74","Course n∞1 | Finale B"
"Herve Vitali","K1H","123.16","416.82","550.43","Course n∞1 | Finale B"
"Dominique Polard","K1H","123.44","532.54","553.9","Course n∞1 | Finale B"
"Philippe Lelieur","K1H","124.1","-","562.1","Course n∞1 | Finale B"
"Romain Caburol","K1H","124.81","533.12","570.92","Course n∞1 | Finale B"
"Justin Murphy","K1H","124.99","-","573.16","Course n∞1 | Finale B"
"Antoine Martin","K1H","126.14","-","587.44","Course n∞1 | Finale B"
"Aymeric Rivier","K1H","127.11","528.99","599.49","Course n∞1 | Finale B"
"Enzo Mazouat","K1H","127.12","705.2","599.62","Course n∞1 | Finale B"
"Nicolas Demofsqui","K1H","127.24","471.72","601.11","Course n∞1 | Finale B"
"Jordan Agullo","K1H","127.27","-","601.48","Course n∞1 | Finale B"
"Rutger Hoedemaker","K1H","127.54","653.48","604.83","Course n∞1 | Finale B"
"Maxime Pilard","K1H","128.61","584.2","618.12","Course n∞1 | Finale B"
"Marc Jungling","K1H","129.18","531.34","625.2","Course n∞1 | Finale B"
"Florent Vallier","K1H","130.4","576","640.36","Course n∞1 | Finale B"
"Mathieu Meilier","K1H","130.67","-","643.71","Course n∞1 | Finale B"
"Serge Doby","K1H","130.94","617.5","647.07","Course n∞1 | Finale B"
"Virgile Bessot","K1H","131.07","608.93","648.68","Course n∞1 | Finale B"
"Philippe Bigard","K1H","132.27","560.44","663.59","Course n∞1 | Finale B"
"Thomas Ypas-gil","K1H","133.59","-","679.98","Course n∞1 | Finale B"
"Paul Badache","K1H","138.11","513.96","736.13","Course n∞1 | Finale B"
"Jonathan Ferreira","K1H","141","557.99","772.03","Course n∞1 | Finale B"
"Jean-marc Suarez","K1H","141.55","1101.6","778.86","Course n∞1 | Finale B"
"Matthieu Fontanez","K1H","141.57","-","779.11","Course n∞1 | Finale B"
"Valentin Capel","K1H","142.21","549.08","787.06","Course n∞1 | Finale B"
"Alexei Evlachev","K1H","142.36","469.01","788.92","Course n∞1 | Finale B"
"Esteban Reder-issartel","K1H","148.58","-","866.19","Course n∞1 | Finale B"
"Lucas Mancuso","K1H","152.18","824.9","910.9","Course n∞1 | Finale B"
"Jean Bonnet","K1H","155.75","716.03","955.25","Course n∞1 | Finale B"
"Ronan Emery","K1H","161.52","625.73","1026.92","Course n∞1 | Finale B"
"Thomas Moret","K1H","161.65","526.19","1028.54","Course n∞1 | Finale B"
"Ange Bernard","K1H","163.06","750.39","1046.05","Course n∞1 | Finale B"
"Manu Kempf","K1H","165.73","-","1079.22","Course n∞1 | Finale B"
"Baptiste Guillaubez","K1H","179.09","-","-","Course n∞1 | Finale B"
"Etienne Wiche","K1H","179.5","272.36","1250.27","Course n∞1 | Finale B"
"Arthur Talarmain","K1H","179.9","664.14","1255.24","Course n∞1 | Finale B"
"Yasin Gulay","K1H","182.46","649.43","1287.03","Course n∞1 | Finale B"
"Mattheo Szkuta","K1H","194.11","-","1431.75","Course n∞1 | Finale B"
"Swann Imbert","K1H","204.44","827.87","1560.06","Course n∞1 | Finale B"
"Kevin Vienny","K1H","206.63","723.74","1587.27","Course n∞1 | Finale B"
"Jules Huardel","K1H","214.54","-","1685.52","Course n∞1 | Finale B"
"Yorick Richioud","K1H","267.45","2529.25","2342.76","Course n∞1 | Finale B"
"Ga l Bonnot","K1H","277.37","-","2465.98","Course n∞1 | Finale B"
"Raphael Maville","K1H","278.98","-","2485.98","Course n∞1 | Finale B"
"Nicolas Vattan","K1H","Abd","-","-","Course n∞1 | Finale B"
"Antoine Mazoyer","K1HM","130.27","789.19","638.74","Course n∞1 | Finale B"
"Thibaud Chovin","K1HM","131.03","-","648.18","Course n∞1 | Finale B"
"Tao Colonna","K1HM","132.86","-","670.92","Course n∞1 | Finale B"
"Leo Parnotte","K1HM","135.15","677.16","699.36","Course n∞1 | Finale B"
"Lucas Mirabel","K1HM","135.9","-","708.68","Course n∞1 | Finale B"
"Basile Monzerian","K1HM","137.03","-","722.71","Course n∞1 | Finale B"
"Gaspard Gonseth","K1HM","143.7","-","805.57","Course n∞1 | Finale B"
"Sam Pemberton","K1HM","147.97","-","858.61","Course n∞1 | Finale B"
"Hugo Ausseresse","K1HM","150.67","-","892.15","Course n∞1 | Finale B"
"Luke Ribeyre","K1HM","150.76","-","893.27","Course n∞1 | Finale B"
"Emilien Charrier","K1HM","152.59","-","916","Course n∞1 | Finale B"
"Mathys Rene","K1HM","155.8","-","955.87","Course n∞1 | Finale B"
"Jules Sourieau","K1HM","160.48","-","1014","Course n∞1 | Finale B"
"Clement Quaeghebeur","K1HM","169.8","-","1129.78","Course n∞1 | Finale B"
"Oscar Puc","K1HM","171.33","1016.23","1148.78","Course n∞1 | Finale B"
"Sacha Caron","K1HM","173.4","-","1174.49","Course n∞1 | Finale B"
"Charlie Bouvier","K1HM","184.24","842.47","1309.15","Course n∞1 | Finale B"
"Raphael Bonnard","K1HM","194.13","-","1432","Course n∞1 | Finale B"
"William Varela","K1HM","227.37","-","1844.9","Course n∞1 | Finale B"
"Erwan Fagon","K1HM","252.9","-","2162.02","Course n∞1 | Finale B"
"Corentin Amand","K1HM","330.35","-","3124.09","Course n∞1 | Finale B"
"Axel Gondard","K1HM","335.08","-","3182.84","Course n∞1 | Finale B"
"Damien Chamblay","K1HM","Abd","-","-","Course n∞1 | Finale B"
"Antonin Castille","K1HM","Abd","-","-","Course n∞1 | Finale B"
