"Coupe d'Automne - Bassin Du Rebech - Ayroule - Qualification - Manche 2 - 2016-10-22","Qualification - Manche 2","2016-10-22","Nationale 1","115"
"Pierre Giudicelli","K1H","104.24","-","-",""
"Thibault Marchand","K1H","104.37","-","-",""
"Lucas Latimier","K1H","104.53","-","-",""
"Jimy Bercon","K1H","104.59","-","-",""
"Sebastien Nouvel","K1H","104.69","-","-",""
"Louison Turmeau","K1H","104.87","-","-",""
"Mathis Soudi","K1H","104.89","-","-",""
"Anatole Delassus","K1H","105.45","-","-",""
"Alan Dollo","K1H","105.68","-","-",""
"Christophe Marechal","K1H","106.01","-","-",""
"Nicolas Bernardy","K1H","106.07","-","-",""
"Pol Euzenes","K1H","106.81","-","-",""
"Benoit Chantry","K1H","107.49","-","-",""
"Pierre-louis Saussereau","K1H","107.99","-","-",""
"William Desnos","K1H","108.72","-","-",""
"Theo Desvignes","K1H","108.92","-","-",""
"Isaac Dufrene","K1H","109.26","-","-",""
"Kendaor Le Huitou","K1H","109.32","-","-",""
"Paul Cornut-chauvinc","K1H","109.62","-","-",""
"Hippolyte Cail","K1H","109.76","-","-",""
"Hugo Crepeau","K1H","109.87","-","-",""
"Vincent Delahaye","K1H","110","-","-",""
"Robin Pottelette","K1H","110.59","-","-",""
"Julien Pajaud","K1H","110.73","-","-",""
"Charlie Barbier","K1H","110.99","-","-",""
"Luca Dos Santos","K1H","111.2","-","-",""
"Malo Legrand","K1H","111.7","-","-",""
"Raphael Lassechere","K1H","111.98","-","-",""
"Hugo Regnier","K1H","112.07","-","-",""
"Samuel Bonella","K1H","112.57","-","-",""
"Nicolas Mevel","K1H","113.25","-","-",""
"Arthur Mizzi","K1H","113.41","-","-",""
"Kawan Thomas","K1H","113.64","-","-",""
"Pierre Grapotte","K1H","115.27","-","-",""
"Emeric Bussonnais","K1H","116.76","-","-",""
"Yanis Rainaud","K1H","117.85","-","-",""
"Aaron Penning","K1H","158.85","-","-",""
"Gregoire Guerin","K1H","159.8","-","-",""
"James Duvernoy","K1H","568.45","-","-",""
"Maxime Bottex","K1H","Abs","-","-",""
