"Slalom régional de Périgueux - Périgueux - 2008-10-19","Course 1","2008-10-19","Régional","140"
"Virgile Pigache-donnet","K1H","223.09","145","140",""
"Sylvain Colonnier","K1H","226.97","162","162",""
"Thibaud Lacour","K1H","229.20","150","174",""
"Jonathan Delagnes","K1H","229.28","86","174",""
"Franck Peyrical","K1H","231.02","163","185",""
"Guillaume Bernis","K1H","232.55","181","193",""
"Adrien Roussel","K1H","233.05","91","196",""
"Nathanael Renia","K1H","234.83","108","207",""
"Thibault Dufour","K1H","235.83","-","212",""
"Tom Scianimanico","K1H","236.20","-","214",""
"Damien Mareau","K1H","236.33","-","215",""
"Alexandre Ittel","K1H","238.42","248","226",""
"Frederic Descot","K1H","239.19","263","231",""
"Damien Caillon","K1H","239.44","207","232",""
"Jean-francois Souville","K1H","240.27","-","237",""
"Antoine Sudrie","K1H","241.42","271","244",""
"Remy Guerinet","K1H","241.82","245","246",""
"Mathieu Pouchet","K1H","245.51","278","267",""
"Julien Lenaour","K1H","245.59","-","267",""
"Roman Thoreau","K1H","246.27","-","271",""
"Gurgen Brun","K1H","247.05","314","276",""
"Mathieu Cheze","K1H","248.01","217","280",""
"Stanislas Pradeleix","K1H","248.79","192","285",""
"Matthias Besse","K1H","249.32","313","289",""
"Nathanael Jay","K1H","249.50","323","290",""
"Robin Bourianne","K1H","251.83","-","302",""
"Boris Lesimple","K1H","252.33","218","306",""
"Colin Beziade","K1H","252.90","186","308",""
"Jerome Dorizon","K1H","253.40","409","312",""
"Clement Guiraud","K1H","253.68","314","313",""
"Nicolas Le Provost","K1H","254.30","-","316",""
"Francois Cauchi","K1H","254.62","280","319",""
"Antoine Roux","K1H","258.36","-","339",""
"Pierre Dehaudt","K1H","258.59","284","341",""
"Herve Mars","K1H","259.52","335","346",""
"Jeancharles Bernis","K1H","263.33","346","368",""
"Jean-daniel Bost","K1H","264.18","376","373",""
"Antoine Demateis","K1H","264.57","414","375",""
"Nicolas Baudoin","K1H","264.94","-","376",""
"Gaetan Coat","K1H","265.19","454","379",""
"Benoit Sergent","K1H","265.98","-","383",""
"Quentin Hostens","K1H","267.02","-","389",""
"Leo Slaghuis","K1H","270.01","-","405",""
"Gregoire Olivier","K1H","270.57","509","409",""
"Thomas Wingerter","K1H","271.79","442","416",""
"Jean Bernard Lacave","K1H","272.00","492","417",""
"Florian Fargier","K1H","272.34","490","419",""
"Jean Salavert","K1H","275.54","-","436",""
"Camille Balsac","K1H","276.14","424","440",""
"Florian Campagnole","K1H","277.12","612","446",""
"Nicolas Herr","K1H","278.39","-","452",""
"Max Trouve","K1H","281.34","-","470",""
"Lucas Pazat","K1H","282.47","-","476",""
"Gabriel Salle","K1H","284.07","-","485",""
"Pierre-antoine Comby","K1H","285.41","-","493",""
"Maxime Vinel","K1H","287.94","571","507",""
"Elie Compain","K1H","288.25","848","509",""
"Eric Jolit","K1H","289.79","228","517",""
"Pierre Adrien Plantion","K1H","291.56","871","528",""
"Florian Juanico","K1H","292.83","-","534",""
"Ludovic Carniaux","K1H","293.70","689","540",""
"Joseph Robert","K1H","300.41","-","578",""
"Arnaud Delpeyroux","K1H","304.36","711","600",""
"Romain Zambon","K1H","308.47","700","623",""
"Jean Luc Pessoni","K1H","315.86","716","665",""
"Cyril Blanc","K1H","316.56","860","669",""
"Thierry Dugue","K1H","318.06","745","678",""
"Jerome Muller","K1H","322.04","-","701",""
"Guillaume Verhaeghe","K1H","325.97","1108","723",""
"Roland Blaudy","K1H","327.18","-","730",""
"Alexandre Jouve","K1H","328.40","-","736",""
"Damien Berger","K1H","333.04","-","763",""
"Adrien Chatignol","K1H","336.30","-","781",""
"Adrien Doumingos","K1H","339.42","-","799",""
"Olivier Ramos","K1H","342.85","-","818",""
"Thomas Justin","K1H","345.26","-","832",""
"Maurice Pubert","K1H","361.68","-","925",""
"Aurelien Penicaud","K1H","380.95","872","1034",""
"Aymerik Granveau","K1H","386.64","1513","1067",""
"Yoan Maury","K1H","437.22","-","1353",""
"Thibault Panier","K1H","501.44","-","1716",""
