"SELECTIF REGIONAL SLALOM - St Brieuc - 2008-01-20","Course 1","2008-01-20","Régional","129"
"Luke Long","K1H","331.71","-","548",""
"Romain Foulon","K1H","340.01","564","587",""
"Verre Brendan","K1H","341.15","-","592",""
"Pierreyves Hellard","K1H","341.20","567","593",""
"Sylvain Le Roux","K1H","344.69","432","609",""
"Frederi Mahieu","K1H","360.78","292","686",""
"Ronan Dhabit","K1H","361.86","544","690",""
"Loic Kervella","K1H","372.18","447","740",""
"Ollivier Guenroc","K1H","400.09","-","872",""
"Fejean Benjamin","K1H","427.20","-","1000",""
"Victor Carrouer","K1H","430.41","-","1016",""
"Antoine Rioual","K1H","439.83","883","1060",""
"Maxime Lignereux","K1H","525.57","-","1467",""
"William Le Berre","K1H","587.62","-","1761",""
"Vincent Mevel","K1H","629.98","-","1962",""
"Florian Rivoal","K1H","650.53","-","2059",""
"Remy Le Gall","K1H","1003.16","-","3731",""
