"COUPE DE LORRAINE N°2 - Epinal - 2007-10-07","Course 1","2007-10-07","Régional","190"
"Alexandre Mathis-Pierre Melin","C2H","255.09","371","332",""
"Pierrick Maujean-Julien Bley","C2H","255.13","-","332",""
"Bertrand Gutierrez-Nikolas Stanik","C2H","267.55","410","400",""
"Bazin Patryce- Noel Jeremie","C2H","279.64","526","465",""
"Nicolas Ciemniewski-Emmanuel Walczak","C2H","285.47","-","498",""
"Frederic Saguet-Didier Thomas","C2H","346.96","786","834",""
"Kempf Emilien- Welfringer Symon","C2H","360.63","-","908",""
"Cassin Pierre- Oueslati Pierre-Yves","C2H","384.33","1328","1039",""
"Alexandre Diemert-Rosalie Kempf","C2M","347.36","-","803",""
"Emilie Saguet-Alexis Collin","C2M","411.72","-","1149",""
"Clotilde Miclo","K1D","205.13","24","68",""
"Claire Jacquet","K1D","214.46","62","120",""
"Lea Martin","K1D","219.29","114","146",""
"Carole Pocard","K1D","224.12","48","173",""
"Harmony Thery","K1D","227.68","259","193",""
"Anne Traband","K1D","228.00","242","194",""
"Andrea De Azevedo","K1D","229.52","124","203",""
"Gaelle Tosser-roussey","K1D","230.15","194","206",""
"Laura Fauste","K1D","237.20","163","246",""
"Blanche Legin","K1D","240.17","319","262",""
"Maud Caspar","K1D","241.11","-","267",""
"Andrea Gratwohl","K1D","241.11","-","267",""
"Calypso Freichel","K1D","244.66","295","286",""
"Florianne Gautier","K1D","244.80","276","287",""
"Lorraine Mathis","K1D","250.18","-","317",""
"Christelle Gilg","K1D","251.75","312","325",""
"Marechal Brigitte","K1D","252.02","325","328",""
"Anais Dieterling","K1D","254.73","286","342",""
"Rosalie Kempf","K1D","255.64","358","347",""
"Lisa Elasri","K1D","256.06","329","349",""
"Cecile Meichel","K1D","256.62","310","353",""
"Sophie Louis","K1D","257.49","375","357",""
"Sophie Balmossiere","K1D","259.05","298","366",""
"Wey Marie Linh","K1D","259.48","324","368",""
"Gaelle Delaborde","K1D","260.25","-","372",""
"Maud Thisse","K1D","267.16","343","411",""
"Emmanuelle Gigandet","K1D","270.10","450","427",""
"Sabrina Boespflug","K1D","274.41","298","451",""
"Sarah Rothenbuhler","K1D","278.98","462","476",""
"Priscille Duruz","K1D","285.84","210","514",""
"Julie Mourot","K1D","289.76","347","535",""
"Camille Billerach","K1D","294.75","483","563",""
"Jeanne L'orphelin","K1D","298.71","660","585",""
"Lea Bechereau","K1D","299.94","397","591",""
"Wojcik Marina","K1D","327.37","518","743",""
"Ceccarelli Anais","K1D","328.31","-","748",""
"Victorine Gerard","K1D","345.49","-","843",""
"Amalia Mazzilli","K1D","351.83","703","878",""
"Oudenot-Gounant Marion","K1D","355.69","-","900",""
"Angelique Bakalarz","K1D","710.38","-","2857",""
"Emmanuel Walczak","K1H","189.38","79","107",""
"Mathieu Biazizzo","K1H","192.48","148","126",""
"Julien Arribe","K1H","196.03","57","148",""
"Pierre Labarelle","K1H","196.75","-","153",""
"Julien Haberland","K1H","196.99","152","154",""
"Arthur Georges","K1H","198.51","423","163",""
"Nathan Barbier","K1H","201.59","183","182",""
"Alexandre Pocard","K1H","201.86","-","184",""
"Mathieu Haberland","K1H","202.25","156","186",""
"Jean Charles Creusot Walter","K1H","202.27","130","186",""
"Sylvain Herrbach","K1H","203.22","191","192",""
"Ragot Laurent","K1H","203.46","159","194",""
"Remi Thomas","K1H","204.24","220","198",""
"Romain Viry","K1H","204.62","200","201",""
"Julien Bley","K1H","205.65","190","207",""
"Stefan Stanik","K1H","206.69","196","214",""
"Beghoura Yoni","K1H","206.75","189","214",""
"Louison Tanet","K1H","207.53","204","219",""
"Damien Burteaux","K1H","208.19","233","223",""
"Sebastien Thevenin","K1H","208.94","242","228",""
"Jeremy Poux","K1H","209.03","215","228",""
"Nikolas Stanik","K1H","209.54","260","231",""
"Nicolas Mangeolle","K1H","211.15","214","241",""
"Enrick Cunsolo","K1H","211.25","194","242",""
"Bajolet Julien","K1H","211.63","225","244",""
"Bertrand Gutierrez","K1H","211.78","160","246",""
"Paul Aubert","K1H","211.87","229","246",""
"Jeremy Lehning","K1H","212.57","234","250",""
"Von Schulthess Craig","K1H","213.03","239","253",""
"Vincent Bajolot","K1H","213.45","216","255",""
"Mael Othenin Girard","K1H","215.26","268","266",""
"Thibaut Chariot","K1H","215.75","234","270",""
"Eddy Cassard","K1H","215.90","314","271",""
"Michel Ragot","K1H","216.02","-","272",""
"Guillaume Carpentier","K1H","216.13","251","272",""
"Stephane Ferrignio","K1H","216.88","345","277",""
"Patrick Gass","K1H","217.65","320","282",""
"Silvere Desongins","K1H","218.21","293","285",""
"Stephane Rousse","K1H","219.35","298","293",""
"Clement Martin","K1H","220.23","291","298",""
"Thomas Michel","K1H","220.90","244","301",""
"Pierre Rat","K1H","221.57","304","306",""
"Gwendal Duchet","K1H","222.54","-","312",""
"Billel Khenchouche","K1H","224.08","214","321",""
"Thomas Stutzmann","K1H","225.54","-","331",""
"Leo Capelle","K1H","225.90","402","333",""
"Lucas Ferraina","K1H","226.57","-","336",""
"Fabien Fritsch","K1H","226.69","288","337",""
"Pierre Cassin","K1H","227.44","405","342",""
"Nicolas Fritsch","K1H","227.57","-","343",""
"Anthony Beaudoing","K1H","228.14","343","346",""
"Philippe Thevenin","K1H","228.95","340","352",""
"Clement Mangeolle","K1H","229.43","384","355",""
"Xavier Rat","K1H","229.71","319","356",""
"Jerome Laflotte","K1H","230.35","348","360",""
"Frederic Walczak","K1H","231.15","10","365",""
"Nicolas Labat","K1H","238.53","45","411",""
"Romain Chane","K1H","241.70","369","430",""
"Florient Tagnon","K1H","242.15","262","433",""
"Jules Argentini","K1H","242.48","358","435",""
"Geoffrey Walczak","K1H","250.01","-","482",""
"Oueslati Pierre-Yves","K1H","250.35","586","484",""
"Beranger Bechereau","K1H","254.44","-","509",""
"Pierre Melin","K1H","254.52","-","509",""
"Risser Arthur","K1H","256.14","429","519",""
"Patrick Thevenin","K1H","257.71","408","529",""
"Romain Buchot","K1H","261.58","-","553",""
"Andre Kempf","K1H","263.94","568","568",""
"Bourgeois Cedric","K1H","265.17","218","575",""
"Ricci Miege Raphael","K1H","266.46","227","584",""
"Nicolas Ciemniewski","K1H","270.35","202","608",""
"Dardoise Antoine","K1H","270.78","-","610",""
"Gabriel Schnetz","K1H","280.90","283","672",""
"Simon Barthelemy","K1H","283.52","-","689",""
"Welfringer Symon","K1H","290.71","-","733",""
"Sylvain Garnier","K1H","292.51","-","744",""
"Laurent Starck","K1H","293.08","-","748",""
"Michel Ternynck","K1H","294.53","876","756",""
"Sidney Malgras","K1H","297.59","-","776",""
"Didier Joris","K1H","299.61","-","788",""
"Nicolas Dinquer","K1H","303.37","-","811",""
"Michael Ullrich","K1H","304.91","-","821",""
"Alexandre Lambert","K1H","317.48","897","899",""
"Florian Balhuizen","K1H","319.83","260","913",""
"Yann Tosser  Roussey","K1H","329.60","308","974",""
"Anthony Jouannic","K1H","377.16","-","1267",""
"Gauthier Ruspini","K1H","462.85","-","1798",""
"Elie Voltz","K1H","536.18","-","2251",""
"Fauchille Erwan","K1H","667.87","-","3065",""
