"Finale du Championnat Interrégional - Stade d'eau vive de Slalom Corbeil Essonnes - Demi - 2014-06-01","Demi","2014-06-01","Nationale 3","143"
"Lucie Cecile","K1D","131.81","323.22","368.85","Demi A"
"Marie Vandeville","K1D","135.58","398.67","406.83","Demi A"
"Tiphaine Duboc","K1D","136.12","326.39","412.28","Demi A"
"Ilhame Siraj","K1D","142.97","416.93","481.31","Demi A"
"Natacha Giraud","K1D","145.29","386.37","504.69","Demi A"
"Mallaury Bour","K1D","149.73","524.88","549.43","Demi A"
"Manon Borde","K1D","153.83","676.04","590.76","Demi A"
"David Mingasson","K1H","107.02","239.67","259.23","Demi A"
"Adrien Suardana","K1H","109.79","238.45","290.77","Demi A"
"Thomas Postaire","K1H","110.23","272.88","295.78","Demi A"
"Luca Dos Santos","K1H","110.46","274.02","298.4","Demi A"
"Francois Durand","K1H","111.22","245.63","307.06","Demi A"
"Alexandre Perrin Mortier","K1H","111.24","251.8","307.28","Demi A"
"Yohan Marck","K1H","111.75","275.57","313.09","Demi A"
"Nathan Boudaillez","K1H","111.93","256.26","315.14","Demi A"
"Arnaud Delattre","K1H","112.1","252.83","317.08","Demi A"
"Xavier Chantry","K1H","112.24","285.31","318.67","Demi A"
"Maxime Poupart","K1H","112.49","314.31","321.52","Demi A"
"Thomas Durand","K1H","113.51","276.65","333.13","Demi A"
"Yani Ferhaoui","K1H","113.63","314.98","334.5","Demi A"
"Nathan Aubert","K1H","113.81","228.89","336.55","Demi A"
"Laurent Dupuis","K1H","114.87","250.06","348.62","Demi A"
"Mathurin Garnier","K1H","115.03","340.81","350.44","Demi A"
"Antoine Saul","K1H","115.89","400.6","360.24","Demi A"
"Martin Rohaut","K1H","115.99","344.57","361.38","Demi A"
"Francois Pech","K1H","116.36","340.1","365.59","Demi A"
"Corentin Desenclos","K1H","116.55","337.49","367.75","Demi A"
"Axel Guilleret","K1H","116.96","351.44","372.42","Demi A"
"Clement Sannier","K1H","118.01","351.73","384.38","Demi A"
"Lucas Gillet","K1H","119.34","323.76","399.52","Demi A"
"Nicolas Dupres","K1H","119.51","335.85","401.46","Demi A"
"Clement Carbonnel","K1H","119.93","265.32","406.24","Demi A"
"Robin Dheilly","K1H","120.16","386.58","408.86","Demi A"
"Edouard Gracias","K1H","120.63","263.63","414.21","Demi A"
"Son Bui","K1H","120.7","401.8","415.01","Demi A"
"Theo Zilber","K1H","120.79","395.08","416.04","Demi A"
"Mickael Louchard","K1H","121.81","276.04","427.65","Demi A"
"Matthieu Walfard","K1H","122.07","308.22","430.61","Demi A"
"Philippe Valeri","K1H","122.86","391.86","439.61","Demi A"
"Pierre Ferrand","K1H","123.59","386.15","447.92","Demi A"
"Jeremy Huguenin","K1H","124.14","308.21","454.18","Demi A"
"Aymeric Dollat","K1H","124.53","378.71","458.63","Demi A"
"Gerard Lafargue","K1H","125.48","375.28","469.44","Demi A"
"Paul Besnard","K1H","126.47","401.26","480.72","Demi A"
"Ludovic Ngo","K1H","163.42","242.26","901.49","Demi A"
"Adele Charlaigre","C1D","187.67","589.23","826.46","Demi B"
"Louis Vandeville","C1H","120.83","256.25","355.97","Demi B"
"Loic Bourgeois","C1H","129.1","382.26","445.66","Demi B"
"Guillaume Picavet","C1H","134.31","488.33","502.16","Demi B"
"Jacques Nardeau","C1H","135.27","471.56","512.58","Demi B"
"Virgile Bourlet De La Vallee","C1H","139.42","567.62","557.58","Demi B"
"Benjamin Pre","C1H","139.51","529.11","558.56","Demi B"
"Erwan Gautrelet","C1H","139.78","451.17","561.49","Demi B"
"Alexis Pierlot","C1H","144.26","624.14","610.07","Demi B"
"Antoine Cruard","C1H","146.03","500.7","629.27","Demi B"
"Antoine Martin","C1H","147.37","543.13","643.8","Demi B"
"Bastien Moreaux","C1H","165.11","490.49","836.2","Demi B"
"Nicolas Candieu","C1H","234.28","874.35","1586.37","Demi B"
"Axel Lepenant","C1H","272.36","713.61","1999.35","Demi B"
"Adrien Barlier","C1H","Nt","-","-","Demi B"
"David Mingasson","C1H","Nt","-","-","Demi B"
"Adam Collin -Maxence Nevo Pinto","C2H","138.04","503.52","474.57","Demi B"
"Aymeric Dollat-Pierre Ferrand","C2H","153.6","593.03","635.65","Demi B"
"Axel Lepenant-Paul Besnard","C2H","230.8","632.64","1434.85","Demi B"
"Jeremy Grippon-Nathan Aubert","C2H","Nt","-","-","Demi B"
"Agathe Sananikone","K1D","148.43","463.82","541.33","Demi B"
"Sandrine Arnal","K1D","149.37","469.88","550.81","Demi B"
"Marion Taviaux","K1D","149.93","594.1","556.45","Demi B"
"Shererazade Ayadi","K1D","155.64","580.75","614","Demi B"
"Louise Muller","K1D","159.52","584.7","653.09","Demi B"
"Anne Lambert","K1D","189.65","731.59","956.73","Demi B"
"Pauline Ferreira De Abreu","K1D","196.71","697.22","1027.88","Demi B"
"Agnes Gigan","K1D","203.81","493.52","1099.43","Demi B"
"Maryse Viseur","K1D","Nt","-","-","Demi B"
"Louis Vandeville","K1H","114.55","305.03","349.98","Demi B"
"Benjamin Pre","K1H","117.29","389.62","381.18","Demi B"
"Samuel Lhote","K1H","118.91","397.91","399.63","Demi B"
"Erwan Gautrelet","K1H","119.13","386.53","402.13","Demi B"
"Bastien Moreaux","K1H","120.02","433.89","412.27","Demi B"
"Leo Degraeve","K1H","120.64","396.72","419.33","Demi B"
"Maxence Nevo Pinto","K1H","120.89","289.59","422.17","Demi B"
"Yoann Deschemaeker","K1H","123.32","350.52","449.85","Demi B"
"Louison Laumondais","K1H","125.39","359.81","473.42","Demi B"
"Arthur Dupont","K1H","126.3","479.72","483.78","Demi B"
"Maxime Pilard","K1H","128.46","394.12","508.38","Demi B"
"Theo Loury","K1H","128.93","418.54","513.73","Demi B"
"Valentin Bonnot","K1H","129.33","399.89","518.29","Demi B"
"Robin Jullien","K1H","133.21","566.02","562.47","Demi B"
"Vincent Amisse","K1H","134.57","605.44","577.96","Demi B"
"Theo Lecointe","K1H","134.68","428.54","579.21","Demi B"
"Adrien Barlier","K1H","134.8","435.93","580.58","Demi B"
"Antoine Martin","K1H","135.48","462.89","588.32","Demi B"
"Batiste Morin","K1H","135.72","607.05","591.05","Demi B"
"Juan Guerrero","K1H","136.01","499.59","594.35","Demi B"
"Isidore Dubuisson","K1H","136.04","608.3","594.7","Demi B"
"Alexis Pierlot","K1H","136.4","629.1","598.8","Demi B"
"Axel Godard","K1H","136.5","577.27","599.93","Demi B"
"Nicolas Chainay","K1H","138.28","590.95","620.2","Demi B"
"Nicolas Candieu","K1H","138.61","582.17","623.96","Demi B"
"Leonard Legroux","K1H","142.54","607.37","668.72","Demi B"
"Lucas Gamain","K1H","144.66","652.13","692.86","Demi B"
"Lilian Lepenant","K1H","145.93","648.28","707.32","Demi B"
"Martin Rich","K1H","147.23","709.99","722.12","Demi B"
"Remi Blaud","K1H","156.09","720.24","823.02","Demi B"
"Antoine Pas","K1H","156.42","799.2","826.77","Demi B"
"Paul Beteille","K1H","162.11","657.12","891.57","Demi B"
"Mathieu Cruard","K1H","162.25","620.97","893.16","Demi B"
"Mickael Dubois","K1H","163.02","516.35","901.93","Demi B"
"Nicolas Castagnetti","K1H","191.36","509.89","1224.66","Demi B"
"Fabien De Almeida","K1H","199.59","600.27","1318.38","Demi B"
"Alexis Loiseau","K1H","280.45","759.06","2239.17","Demi B"
"Adam Collin","K1H","Nt","-","-","Demi B"
