"Sélectif Régional - Servon sur Vilaine (La Mecque1) - Finale - 2014-03-23","Finale","2014-03-23","Régional","112"
"Arthur Mizzi","K1HM","120.25","-","-","Finale A"
"Valentin Vigilant","K1HM","128.96","-","-","Finale A"
"Maxime Margely","K1HM","132.05","-","-","Finale A"
"Eric Moyangar","K1HM","132.82","-","-","Finale A"
"Jonas Flament","K1HM","135.07","-","-","Finale A"
"Killian Perrier","K1HM","135.98","-","-","Finale A"
"Maxime Robin","K1HM","138.28","-","-","Finale A"
"Marie-francoise Prigent","C1D","147.74","384.43","554.15","Finale B"
"Celia Jodar","C1D","157.15","-","650.11","Finale B"
"Thiphaine Ruellan","C1D","179.3","-","876.01","Finale B"
"Luc Boisnard","C1H","126.36","713.53","520.2","Finale B"
"Simon Seuru","C1H","138.58","-","662.63","Finale B"
"Nicolas Perrin","C1H","146.67","-","756.92","Finale B"
"Thibault Gautherot","C1H","151.79","-","816.59","Finale B"
"Cyril Mangeard","C1H","180.26","-","1148.42","Finale B"
"Florent Delacroix","C1H","Nt","-","-","Finale B"
"Camille Grasland-Nathan Leretrif","C2M","Nt","-","-","Finale B"
"Camille Grasland","K1D","137.72","442.18","538.96","Finale B"
"Anais Pignet","K1D","145.77","457.7","626.14","Finale B"
"Caroline Froissard","K1D","185.69","-","1058.48","Finale B"
"Nolwen Guiheux-vallee","K1DM","165.22","-","-","Finale B"
"Laura Saliou","K1DM","230.39","-","-","Finale B"
"Theo Foucher","K1H","111.37","374.04","410.39","Finale B"
"Nathan Leretrif","K1H","114.05","449.31","443.19","Finale B"
"Augustin Thomas","K1H","116.66","404.49","475.13","Finale B"
"Samuel Flament","K1H","120.04","413.31","516.49","Finale B"
"Yannick Faguet","K1H","121.46","558.39","533.87","Finale B"
"Mathis Busnel","K1H","121.7","543.18","536.81","Finale B"
"Remy Tual","K1H","122.18","-","542.68","Finale B"
"Florent Delacroix","K1H","127.98","-","613.66","Finale B"
"Brice Merienne","K1H","128.01","-","614.03","Finale B"
"Leo Paillat","K1H","129.9","659.48","637.16","Finale B"
"Franck-emmanuel Lepretre","K1H","130.07","-","639.24","Finale B"
"Nicolas Perrin","K1H","130.16","588.38","640.34","Finale B"
"Arthur Millet","K1H","131.9","707.79","661.64","Finale B"
"Samuel Le Dean","K1H","137.35","859.69","728.33","Finale B"
"Thierry Dugue","K1H","137.52","811.12","730.41","Finale B"
"Aubin Davaic","K1H","137.85","-","734.45","Finale B"
"Gerard Lemonnier","K1H","141.2","603.77","775.45","Finale B"
"Ali Kismi","K1H","146.02","1129.11","834.44","Finale B"
"Cyril Mangeard","K1H","149.57","-","877.88","Finale B"
"Maxence Guiziou","K1H","152.96","-","919.37","Finale B"
"Alexis Heude","K1H","168.06","-","1104.16","Finale B"
"Mathieu Menier","K1H","174.89","-","1187.75","Finale B"
"Jordan James","K1H","423.17","-","4226.22","Finale B"
"Thomas Hardy","K1H","Nt","-","-","Finale B"
"Steven Mulot","K1H","Nt","-","-","Finale B"
"Timothee Cornu","K1HM","142.22","-","-","Finale B"
"Mael Crespel","K1HM","142.93","-","-","Finale B"
"Nicolas Maurel","K1HM","143.42","-","-","Finale B"
"Nathanael Pedron","K1HM","145","-","-","Finale B"
"Roman Busnel","K1HM","150.96","-","-","Finale B"
"Aymerick Leborgne","K1HM","151","-","-","Finale B"
"Charles Temple","K1HM","152.07","-","-","Finale B"
"Lucas Messina","K1HM","167.87","-","-","Finale B"
