"Sélectif National 3 Slalom Sud-Ouest - Reals Orb - Finale - 2017-03-19","Finale","2017-03-19","Nationale 3","179"
"Paul Gobert","K1H","107.77","536.94","565.27","Finale B"
"Valentin Affortit","K1H","107.79","474.93","565.55","Finale B"
"Jules Besson","K1H","107.93","487.64","567.54","Finale B"
"Etienne Saint Picq","K1H","108.39","490.58","574.07","Finale B"
"Maxime Reubrez","K1H","108.6","550.79","577.05","Finale B"
"Guillaume Malmezac","K1H","108.68","595.14","578.19","Finale B"
"Elian Giondini","K1H","108.78","383.61","579.61","Finale B"
"Gauthier Sanchou","K1H","108.8","443.16","579.89","Finale B"
"Romain Bouby","K1H","108.84","522.99","580.46","Finale B"
"Baptiste Delemotte","K1H","109.55","533.58","590.54","Finale B"
"Alexis Goussebayle","K1H","110.06","667.32","597.78","Finale B"
"Maxime Pourret","K1H","110.08","516.1","598.06","Finale B"
"Clement Gillaizeau","K1H","110.31","575.64","601.32","Finale B"
"Clement Riera","K1H","110.75","546.27","607.57","Finale B"
"Alex Baldoni","K1H","110.85","582.54","608.99","Finale B"
"Seraphin Margot","K1H","111.47","495.55","617.79","Finale B"
"Tonin Desmet","K1H","111.47","496.1","617.79","Finale B"
"Damien Caillard","K1H","111.61","629.92","619.78","Finale B"
"Yannis Dast","K1H","112.3","523.51","629.57","Finale B"
"Robin Genty","K1H","112.42","526.85","631.28","Finale B"
"Baptiste San Nicolas","K1H","114.08","523.2","654.84","Finale B"
"Matt Vidou","K1H","114.24","581.91","657.11","Finale B"
"Robin Mougel","K1H","116","516.7","682.09","Finale B"
"Renaud Clerc","K1H","117.02","581.11","696.57","Finale B"
"Titouan Conseil","K1H","119.39","811.93","730.21","Finale B"
"Eric Vuiet","K1H","120.94","691.96","752.22","Finale B"
"Yanis Delmas","K1H","123.31","668.45","785.86","Finale B"
"Baptiste Moret","K1H","125.58","817.61","818.08","Finale B"
"Romain Guichet","K1H","127.21","628.39","841.22","Finale B"
"Daniel Lafitte","K1H","130.19","889.84","883.52","Finale B"
"Matthieu Desbons","K1H","136.03","851.06","966.42","Finale B"
"Clement Serres","K1H","137.84","997.53","992.11","Finale B"
"Loic Leymonerie","K1H","157.54","691.65","1271.75","Finale B"
"Alexandre Dubrous","K1H","165.73","644.12","1388.01","Finale B"
"Alexandre Weiler","K1H","172.15","793.48","1479.14","Finale B"
"Remi Mazet","K1H","174.13","796.66","1507.24","Finale B"
"Tom Gonzales","K1H","220.39","516.48","2163.9","Finale B"
