"Sélectif Régional - Espace Eaux Vives du Pilat Rhodanien - Course 2 - Finale - 2014-09-28","Course 2 - Finale","2014-09-28","Régional","293"
"Eva Pietracha","K1DM","151.17","-","-","Course 2 - Finale A"
"Lea Ferraris","K1DM","162.82","-","-","Course 2 - Finale A"
"Marie Juquelier","K1DM","221.59","-","-","Course 2 - Finale A"
"Coline Charel","K1DM","268","-","1650.21","Course 2 - Finale A"
"Martin Dougoud","K1H","95.48","81.34","87.12","Course 2 - Finale A"
"Kevin Schultz","K1H","96.96","56.71","103.45","Course 2 - Finale A"
"Boris Chenal","K1H","97.35","59","107.75","Course 2 - Finale A"
"Maxime Bottex","K1H","99.82","109.86","135","Course 2 - Finale A"
"Romain Guyomard","K1H","100.02","92.49","137.21","Course 2 - Finale A"
"Nicolas Abbal","K1H","100.46","47.52","142.06","Course 2 - Finale A"
"Antoine Gaillard","K1H","101.12","166.46","149.34","Course 2 - Finale A"
"Kendaor Le Huitou","K1H","102.4","152.32","163.46","Course 2 - Finale A"
"Titouan Dupras","K1H","102.84","137.4","168.32","Course 2 - Finale A"
"Enzo Seker","K1H","103.85","109.01","179.46","Course 2 - Finale A"
"Martin Daviet","K1H","104.57","63.09","187.4","Course 2 - Finale A"
"Baptiste Granger","K1H","105.2","188.61","194.35","Course 2 - Finale A"
"Maxime Le Morvan","K1H","106.29","198.88","206.38","Course 2 - Finale A"
"Jimy Bercon","K1H","106.77","43.82","211.67","Course 2 - Finale A"
"Jonas Le Morvan","K1H","106.98","175.97","213.99","Course 2 - Finale A"
"Bertrand Bercon","K1H","107.72","225.6","222.15","Course 2 - Finale A"
"Vincent Gerdeaux","K1H","107.85","196.66","223.59","Course 2 - Finale A"
"Mathieu Monier","K1H","108.25","223.15","228","Course 2 - Finale A"
"Paul Cornut-chauvinc","K1H","108.33","184.06","228.88","Course 2 - Finale A"
"Gregoire Guerin","K1H","108.68","166.98","232.74","Course 2 - Finale A"
"Erwan Cadio","K1H","108.75","206.29","233.52","Course 2 - Finale A"
"Loic Bertoia","K1H","109.02","184.71","236.5","Course 2 - Finale A"
"Axel Kournwsky","K1H","109.23","215.52","238.81","Course 2 - Finale A"
"Antonin Elne","K1H","109.39","151.87","240.58","Course 2 - Finale A"
"Alexis Lozachmeur","K1H","109.99","-","247.2","Course 2 - Finale A"
"Louis Masson","K1H","110.03","199.97","247.64","Course 2 - Finale A"
"Luc Doye","K1H","110.17","238.19","249.18","Course 2 - Finale A"
"Thomas Neime","K1H","111.97","306.36","269.04","Course 2 - Finale A"
"Alexandre Lismonde","K1H","112.24","218.18","272.02","Course 2 - Finale A"
"Sebastien Lepaulard","K1H","113.47","272.21","285.59","Course 2 - Finale A"
"Emeric Vibert","K1H","113.77","266.17","288.9","Course 2 - Finale A"
"Yohann Biglia","K1H","113.87","291.65","290","Course 2 - Finale A"
"Thomas Girard","K1H","115.9","283.57","312.4","Course 2 - Finale A"
"Arnaud Gallois","K1H","116.45","206.49","318.46","Course 2 - Finale A"
"Adelin Constans","K1H","116.54","396.27","319.46","Course 2 - Finale A"
"Quentin Sablayrolles","K1H","116.58","308.37","319.9","Course 2 - Finale A"
"Lucas Vancon","K1H","116.59","-","320.01","Course 2 - Finale A"
"Alexandre Bordas","K1H","116.6","317.2","320.12","Course 2 - Finale A"
"Olivier Barriere","K1H","116.61","311.34","320.23","Course 2 - Finale A"
"Valentin Vibert","K1H","116.71","238.43","321.33","Course 2 - Finale A"
"William Gettliffe","K1H","117.36","246.86","328.5","Course 2 - Finale A"
"Charles Vallet","K1H","117.54","278.21","330.49","Course 2 - Finale A"
"Jean Philippe Roche","K1H","117.56","372.23","330.71","Course 2 - Finale A"
"Olivier Hardonniere","K1H","118.66","281.01","342.84","Course 2 - Finale A"
"Timothee Olla","K1H","120.44","343.93","362.48","Course 2 - Finale A"
"Alain Ferry","K1H","120.76","280.31","366.01","Course 2 - Finale A"
"Boris Rostaing","K1H","121.04","373.42","369.1","Course 2 - Finale A"
"Jules Goutte-toquet","K1H","122.1","385.99","380.79","Course 2 - Finale A"
"Jeremie Devillers","K1H","123.7","390.22","398.44","Course 2 - Finale A"
"Lucas Barriere","K1H","124.94","354.51","412.12","Course 2 - Finale A"
"Adrien Reinard","K1H","126.17","-","425.69","Course 2 - Finale A"
"Emmanuel Triomphe","K1H","126.4","328.78","428.23","Course 2 - Finale A"
"Mahe Dersoir","K1H","127.52","373.65","440.59","Course 2 - Finale A"
"Pacome Ricciardi","K1H","127.72","421.79","442.79","Course 2 - Finale A"
"Paul Brier","K1H","149.32","89.52","681.08","Course 2 - Finale A"
"Matthieu Le Gall","K1H","150.71","166.65","696.42","Course 2 - Finale A"
"Corentin Douady","K1H","159.89","219.61","797.69","Course 2 - Finale A"
"Sebastien Nouvel","K1H","167.48","146.92","881.42","Course 2 - Finale A"
"Alexis Cordier","K1H","169.86","221.29","907.68","Course 2 - Finale A"
"Alexis Mercoirol","K1H","181.12","402.65","1031.9","Course 2 - Finale A"
"Baptiste Podor","K1H","192.97","231.15","1162.63","Course 2 - Finale A"
"Matteo Licoine","K1H","224.62","387.62","1511.79","Course 2 - Finale A"
"Dimitri Lotigie","K1HM","116.57","-","319.79","Course 2 - Finale A"
"Samuel Bonella","K1HM","117.8","-","333.36","Course 2 - Finale A"
"Emeric Bussonnais","K1HM","117.88","-","334.24","Course 2 - Finale A"
"Jimmy Ly","K1HM","118.07","-","-","Course 2 - Finale A"
"Kawan Thomas","K1HM","119.9","355.17","356.52","Course 2 - Finale A"
"Quentin Robin","K1HM","120.57","-","363.91","Course 2 - Finale A"
"Henri Bergognon","K1HM","120.79","-","-","Course 2 - Finale A"
"Jules Silvin","K1HM","122.91","-","389.73","Course 2 - Finale A"
"Pierre Grapotte","K1HM","123.19","-","392.82","Course 2 - Finale A"
"Tom Benini","K1HM","124.09","-","402.75","Course 2 - Finale A"
"Teo Bouvier","K1HM","125.2","-","414.99","Course 2 - Finale A"
"Paul Gaillard","K1HM","131.61","-","485.71","Course 2 - Finale A"
"Louis Pein","K1HM","133.55","-","507.11","Course 2 - Finale A"
"Jules Cresp","K1HM","134.54","369.82","518.03","Course 2 - Finale A"
"Adrien Fischer","K1HM","139.3","-","-","Course 2 - Finale A"
"Emilie Lhomme","C1D","151.28","293.29","429.56","Course 2 - Finale B"
"Mana Thomas","C1D","165.83","416.67","563.32","Course 2 - Finale B"
"Laura Rocher","C1D","171.04","591.63","611.21","Course 2 - Finale B"
"Hind Jamili","C1D","173.63","396.54","635.03","Course 2 - Finale B"
"Marie-amelie Jullien","C1D","194.57","1386.01","827.53","Course 2 - Finale B"
"Coline Bertin","C1D","Abd","-","-","Course 2 - Finale B"
"Lorene Scalbert","C1D","Abs","-","-","Course 2 - Finale B"
"Lea Ferraris","C1DM","250.37","-","-","Course 2 - Finale B"
"Yann Rivallant","C1H","113.93","105.98","235.81","Course 2 - Finale B"
"Christopher Lucas","C1H","116.01","274.5","257.67","Course 2 - Finale B"
"Timothee Olla","C1H","122.83","334.04","329.32","Course 2 - Finale B"
"Theo Viens","C1H","123.85","277.72","340.03","Course 2 - Finale B"
"Antonin Elne","C1H","124.75","500.83","349.5","Course 2 - Finale B"
"Adrien Reinard","C1H","125.35","287.62","355.8","Course 2 - Finale B"
"Philippe Senechal","C1H","126.66","337.65","369.57","Course 2 - Finale B"
"Hugo Andre","C1H","128.63","421.37","390.26","Course 2 - Finale B"
"Adrien Maire","C1H","131.4","-","419.36","Course 2 - Finale B"
"Alexis Mercoirol","C1H","134.33","426.36","450.14","Course 2 - Finale B"
"Guillaume Gonseth","C1H","134.45","412.88","451.41","Course 2 - Finale B"
"Gregoire Guerin","C1H","135.7","739.02","464.54","Course 2 - Finale B"
"Loic Bertoia","C1H","136.06","426.13","468.32","Course 2 - Finale B"
"Mathieu Monier","C1H","136.6","-","473.99","Course 2 - Finale B"
"Cyril Audoit","C1H","149.47","525.31","609.21","Course 2 - Finale B"
"Tomy Ly","C1H","149.87","615.41","613.41","Course 2 - Finale B"
"Mathieu Lions","C1H","153.61","608.23","652.71","Course 2 - Finale B"
"Florent Cossou","C1H","156.96","-","687.91","Course 2 - Finale B"
"Eric Archambault","C1H","168.57","-","809.89","Course 2 - Finale B"
"Axel Kournwsky","C1H","179.92","339.26","929.14","Course 2 - Finale B"
"Valentin Vibert","C1H","237.77","369.09","1536.95","Course 2 - Finale B"
"Joseph Risson","C1H","Abd","-","-","Course 2 - Finale B"
"Jules Silvin","C1HM","162.74","-","748.63","Course 2 - Finale B"
"Adrien Fischer","C1HM","175.63","-","-","Course 2 - Finale B"
"Hugo Martin -laemle","C1HM","258.12","-","1750.76","Course 2 - Finale B"
"Olivier Bourgey-Thomas Denais","C2H","149.21","-","535.22","Course 2 - Finale B"
"Philippe Senechal-Xavier Rat","C2H","151.07","538.89","553.88","Course 2 - Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","155.02","-","593.49","Course 2 - Finale B"
"Mathieu Lions-Cyril Audoit","C2H","193.37","736.1","978.11","Course 2 - Finale B"
"Axel Kournwsky-Adrien Maire","C2H","Abs","-","-","Course 2 - Finale B"
"Mylene Ferry-Pascal Ferry","C2M","143.66","-","359.5","Course 2 - Finale B"
"Laure Castel-Alexandre Lismonde","C2M","203.73","480.23","911.74","Course 2 - Finale B"
"Chloe Faverjon-Benjamin Gonthier","C2M","500.75","-","3642.33","Course 2 - Finale B"
"Marine Schmitt","K1D","118.27","129.45","193.44","Course 2 - Finale B"
"Carine Chapuis","K1D","128.68","359.45","295.07","Course 2 - Finale B"
"Mana Thomas","K1D","131.79","326.24","325.43","Course 2 - Finale B"
"Marie-amelie Jullien","K1D","132.68","378.1","334.12","Course 2 - Finale B"
"Charlotte Issagarre","K1D","138.07","339.95","386.74","Course 2 - Finale B"
"Carla Cerrutti - Bozzola","K1D","146.06","411.37","464.75","Course 2 - Finale B"
"Lorene Scalbert","K1D","146.32","494.17","467.29","Course 2 - Finale B"
"Coline Bertin","K1D","149.79","432.23","501.17","Course 2 - Finale B"
"Aude Lanchais","K1D","153.17","-","534.16","Course 2 - Finale B"
"Laure Castel","K1D","157.33","520.34","574.77","Course 2 - Finale B"
"Emma Vieira Coelha","K1D","163.53","-","635.3","Course 2 - Finale B"
"Manon Scotto","K1D","176.34","690.24","760.36","Course 2 - Finale B"
"Marie Boyer","K1D","176.71","573.24","763.98","Course 2 - Finale B"
"Sarah Monod","K1D","180.74","1137.68","803.32","Course 2 - Finale B"
"Juliette Rousset","K1D","181.9","-","814.64","Course 2 - Finale B"
"Deborah Bouchenot","K1D","198.2","544.59","973.77","Course 2 - Finale B"
"Julie Fauroux","K1D","202.72","465.78","1017.9","Course 2 - Finale B"
"Oceane Charel","K1D","275.58","-","1729.22","Course 2 - Finale B"
"Chloe Faverjon","K1D","288.89","-","1859.16","Course 2 - Finale B"
"Lucie Adisson","K1D","Abd","-","-","Course 2 - Finale B"
"Patricia Raspaut","K1D","Abs","-","-","Course 2 - Finale B"
"Laura Guillem","K1DM","167.3","-","672.1","Course 2 - Finale B"
"Eva Bard","K1DM","182.46","-","820.11","Course 2 - Finale B"
"Capucine Dubut","K1DM","254.36","-","1522.05","Course 2 - Finale B"
"Juliette Ribault","K1DM","Abd","-","-","Course 2 - Finale B"
"Tristan Bronsard","K1H","109.09","203.82","242.27","Course 2 - Finale B"
"Pascal Ferry","K1H","110.37","166.83","256.39","Course 2 - Finale B"
"Adrien Maire","K1H","113.87","178.98","295","Course 2 - Finale B"
"Leo Fournier","K1H","114.37","214.04","300.52","Course 2 - Finale B"
"Julien Signarbieux","K1H","114.75","259.57","304.71","Course 2 - Finale B"
"Hippolyte Brunier","K1H","115.01","295.19","307.58","Course 2 - Finale B"
"Olivier Bourgey","K1H","117.54","305.41","335.49","Course 2 - Finale B"
"Thomas Denais","K1H","118.69","270.85","348.17","Course 2 - Finale B"
"Loris Duchesne","K1H","119.55","400.45","357.66","Course 2 - Finale B"
"Mathias Guillot","K1H","120.22","519.55","365.05","Course 2 - Finale B"
"Anselm Arnaud","K1H","121.08","439.47","374.54","Course 2 - Finale B"
"Charles Fernandes De Oliveira","K1H","122.15","258.73","386.34","Course 2 - Finale B"
"Yannick Grizaud","K1H","122.39","318.15","388.99","Course 2 - Finale B"
"Florent Cossou","K1H","123.02","-","395.94","Course 2 - Finale B"
"Mathieu Lions","K1H","123.08","328.24","396.6","Course 2 - Finale B"
"Maxime Gaillard","K1H","123.77","345.66","404.22","Course 2 - Finale B"
"Emmanuel Lanchais","K1H","123.82","502.29","404.77","Course 2 - Finale B"
"Antoni Zaki","K1H","124.42","-","411.39","Course 2 - Finale B"
"Xavier Rat","K1H","124.7","394.8","414.48","Course 2 - Finale B"
"Emerick Billon","K1H","126.99","449.25","439.74","Course 2 - Finale B"
"Thibaut Semiond","K1H","127.24","439.4","442.5","Course 2 - Finale B"
"Flavien Portier","K1H","128.17","435.28","452.76","Course 2 - Finale B"
"Theo Viens","K1H","129.91","338.74","471.95","Course 2 - Finale B"
"Morgan Meffre","K1H","130.66","431.38","480.23","Course 2 - Finale B"
"Adrien Jacquemet","K1H","131","965.86","483.98","Course 2 - Finale B"
"Cyril Audoit","K1H","131.05","397.28","484.53","Course 2 - Finale B"
"Louis Burignat","K1H","131.43","443.87","488.72","Course 2 - Finale B"
"Sylvain Bonnet","K1H","132.81","413.94","503.95","Course 2 - Finale B"
"Francois Lecuit","K1H","134.71","620.62","524.91","Course 2 - Finale B"
"Pierre Louis Debuigne","K1H","135.85","443.93","537.48","Course 2 - Finale B"
"Sebastien Routhier","K1H","136.78","553.35","547.74","Course 2 - Finale B"
"Romain Gayral","K1H","139.79","615.83","580.95","Course 2 - Finale B"
"Emilien Senneret","K1H","140.86","713.27","592.75","Course 2 - Finale B"
"Marc Scognamiglio","K1H","141.36","501.83","598.27","Course 2 - Finale B"
"Lucien Goulet","K1H","143.21","438.33","618.68","Course 2 - Finale B"
"Hugo Polard","K1H","146.12","891.59","650.78","Course 2 - Finale B"
"Morgan Hoarau","K1H","146.19","504.22","651.55","Course 2 - Finale B"
"Benjamin Harreau","K1H","153.47","-","731.86","Course 2 - Finale B"
"Paul Badache","K1H","153.68","804.45","734.18","Course 2 - Finale B"
"Clement Bachellerie","K1H","156","1172.28","759.78","Course 2 - Finale B"
"Jerome Burignat","K1H","158.37","-","785.92","Course 2 - Finale B"
"Raphael Warot","K1H","160.65","601.43","811.07","Course 2 - Finale B"
"Hugo Gondeaux","K1H","161.95","717.81","825.42","Course 2 - Finale B"
"Martin Chiche","K1H","161.97","-","825.64","Course 2 - Finale B"
"Damien Borlet","K1H","164.61","-","854.76","Course 2 - Finale B"
"Sylvain Dandel","K1H","167.03","140.94","881.46","Course 2 - Finale B"
"Julien Petit-maire","K1H","177.59","407.35","997.95","Course 2 - Finale B"
"Hugo Andre","K1H","180.74","374.54","1032.7","Course 2 - Finale B"
"Samuel Breton","K1H","184.16","425.38","1070.43","Course 2 - Finale B"
"Benjamin Gonthier","K1H","186.19","-","1092.83","Course 2 - Finale B"
"Lucas Ferro","K1H","223.5","637.24","1504.43","Course 2 - Finale B"
"Gregoire Michel","K1H","224.33","815.66","1513.59","Course 2 - Finale B"
"Stephane Breton","K1H","230.37","1516.63","1580.22","Course 2 - Finale B"
"Lilian Querry","K1H","231.17","281.58","1589.04","Course 2 - Finale B"
"Sebastien Chilard","K1H","234.83","1160.42","1629.42","Course 2 - Finale B"
"Fabien Bezut","K1H","249.28","-","1788.83","Course 2 - Finale B"
"Hugo Avril","K1H","255.76","835.41","1860.32","Course 2 - Finale B"
"Jean-louis Scotto","K1H","263.24","-","1942.84","Course 2 - Finale B"
"Thomas Galbrun","K1H","279.4","3045.41","2121.11","Course 2 - Finale B"
"Paul Roubaud","K1H","387.91","447.61","3318.19","Course 2 - Finale B"
"Yann Tabone","K1H","Abd","-","-","Course 2 - Finale B"
"Dominique Polard","K1H","Abd","-","-","Course 2 - Finale B"
"Matthieu Basset","K1H","Abs","-","-","Course 2 - Finale B"
"Gael Adisson","K1HM","130.23","-","-","Course 2 - Finale B"
"Nayl Tazi-sidqui","K1HM","139.84","525.67","581.5","Course 2 - Finale B"
"Louis Mazoyer","K1HM","142.99","-","-","Course 2 - Finale B"
"Hugo Jugand","K1HM","146.25","-","652.21","Course 2 - Finale B"
"Hugo Martin -laemle","K1HM","147.74","-","668.65","Course 2 - Finale B"
"Yann Leruste","K1HM","160.86","-","813.39","Course 2 - Finale B"
"Maxime Melmont","K1HM","167.85","-","-","Course 2 - Finale B"
"Enzo Mazouat","K1HM","179.25","-","1016.27","Course 2 - Finale B"
"Arthur Tebib","K1HM","182.56","-","1052.78","Course 2 - Finale B"
"Kilian Hervault","K1HM","192.4","-","1161.34","Course 2 - Finale B"
"Tom Mazouat","K1HM","223.81","-","1507.85","Course 2 - Finale B"
"Arthur Viallard","K1HM","229.64","-","-","Course 2 - Finale B"
"Thomas Courtois","K1HM","240.66","577.44","1693.74","Course 2 - Finale B"
