"Coupe de Lorraine de Slalom - Epinal - 2004-11-07","Course 1","2004-11-07","Régional","278"
"Cornevin Maud","K1D","229.52","298","349",""
"Cloe Hun","K1D","231.98","393","364",""
"Marion Fischer","K1D","233.19","339","372",""
"Emmanuelle Gigandet","K1D","237.43","407","398",""
"Pariot Eloise","K1D","240.83","-","419",""
"Cindy Beche","K1D","240.84","420","419",""
"Bergdoll Lucie","K1D","241.37","481","422",""
"L'orphelin Lucille","K1D","243.04","409","434",""
"Carole Pocard","K1D","246.35","137","453",""
"Andrea De Azevedo","K1D","259.41","-","535",""
"Falcetta Charlotte","K1D","260.77","581","543",""
"Stephanie Ansot","K1D","261.16","893","545",""
"Wey Marie Linh","K1D","264.49","-","566",""
"Sophie Louis","K1D","275.28","-","634",""
"Defoix Angelique","K1D","295.57","311","760",""
"Bourbon Julie","K1D","296.93","870","767",""
"Carole Dolmaire","K1D","300.71","848","791",""
"Dieterling Marion","K1D","300.85","475","792",""
"Lalouani Lambria","K1D","305.99","1412","824",""
"Pauline Pillion","K1D","336.37","766","1013",""
"Madelaine Caroline","K1D","349.46","823","1094",""
"Sophie Busson","K1D","376.43","-","1262",""
"Marlene Dumoulin","K1D","427.04","-","1576",""
"Poix Christine","K1D","474.86","-","1872",""
"Peduzzi Lisa","K1D","516.27","-","2129",""
"Sophie Balmossiere","K1D","642.06","1994","2910",""
"Boucolon Flore","K1D","680.49","-","3149",""
"Julien Arribe","K1H","168.86","51","108",""
"Nicolas Labat","K1H","172.63","106","135",""
"Jean Charles Creusot Walter","K1H","173.45","65","141",""
"Di Lauro Maxime","K1H","174.18","102","146",""
"Lambert Guillaume","K1H","175.96","74","158",""
"Bazin Patryce","K1H","176.23","99","160",""
"Johan De Mareuil","K1H","176.42","83","162",""
"Bourgeois Cedric","K1H","178.89","167","179",""
"Ragot Laurent","K1H","180.06","214","187",""
"Ronan Lucas","K1H","180.08","181","188",""
"Potelle Pierreandre","K1H","180.73","169","193",""
"Jerome Olhagaray","K1H","180.78","160","193",""
"Sylvain Herrbach","K1H","184.11","151","216",""
"Christophe Siffert","K1H","184.12","139","216",""
"Pierre Labarelle","K1H","184.37","-","218",""
"Mehdi Amini","K1H","184.65","139","220",""
"De Berchen Sebastien","K1H","184.71","144","220",""
"Guillaume Bandelier","K1H","184.74","193","220",""
"Kudla Romain","K1H","184.90","172","221",""
"Nicolas Ciemniewski","K1H","184.97","162","222",""
"Valadon Louis","K1H","185.01","225","222",""
"Emmanuel Walczak","K1H","185.55","217","226",""
"Beghoura Yoni","K1H","185.68","278","227",""
"Ricci Miege Raphael","K1H","186.92","229","236",""
"Mathieu Bandelier","K1H","186.98","168","236",""
"Demange Marc","K1H","187.60","259","240",""
"Quentin Vallee","K1H","187.88","249","242",""
"Frederic Tinchant","K1H","188.49","199","247",""
"Soete Arnaud","K1H","189.26","268","252",""
"Julien Bley","K1H","189.71","264","256",""
"Maxime Faivre","K1H","189.85","197","257",""
"Gwendal Duchet","K1H","189.98","-","257",""
"Cedric Mace","K1H","190.24","226","259",""
"Vieillard Alexis","K1H","190.39","289","260",""
"David Beyer","K1H","190.53","212","261",""
"Douillet Guilhem","K1H","190.95","228","264",""
"Franck Dessaint","K1H","191.31","222","267",""
"Nathan Barbier","K1H","191.59","284","269",""
"Thibaud Kudla","K1H","191.79","211","270",""
"Abadie Stephane","K1H","192.09","-","272",""
"Antoine Dufrene","K1H","192.40","231","274",""
"Noble Aurelien","K1H","192.94","257","278",""
"Revelle Yohann","K1H","193.18","234","280",""
"Viellard Amaury","K1H","195.29","292","294",""
"Louison Tanet","K1H","196.11","329","300",""
"Pascal Philip","K1H","196.85","325","305",""
"Sergent Sylvain","K1H","196.91","332","305",""
"Guillaume Sebastien","K1H","197.29","352","309",""
"Geoffroy Schwentzel","K1H","198.20","289","315",""
"Kevin Burgi","K1H","198.30","302","315",""
"Arthur Sucker","K1H","199.38","288","323",""
"Christophe Billaud","K1H","199.51","278","324",""
"Olivier Urbain","K1H","200.40","285","330",""
"Damien Burteaux","K1H","200.45","375","331",""
"Aubert Anthony","K1H","200.99","291","334",""
"Stefan Stanik","K1H","201.48","320","337",""
"Lambert Kevin","K1H","203.15","381","349",""
"Patrick Gass","K1H","204.27","319","357",""
"Billel Khenchouche","K1H","204.85","449","362",""
"Nicolas Leclerc","K1H","204.93","288","362",""
"Courtier Jeremy","K1H","205.17","369","364",""
"Hayot Sylvain","K1H","205.19","330","364",""
"Luc Formet","K1H","205.47","-","366",""
"Ben Brahim Anouar","K1H","205.68","-","367",""
"Loic Monbel","K1H","206.17","406","370",""
"Pierre Baux","K1H","206.19","314","370",""
"Tachet Xavier","K1H","206.21","365","370",""
"Diemert Maxime","K1H","206.49","419","373",""
"Marc Jegou","K1H","206.54","226","373",""
"Bajolet Julien","K1H","207.69","418","382",""
"Gaetan Kieffert","K1H","207.84","456","383",""
"Christophe Godinat","K1H","207.94","271","383",""
"Patrick Thevenin","K1H","208.55","469","387",""
"Emile Devaux","K1H","209.13","-","392",""
"Arette Hourquet Olivier","K1H","209.80","336","396",""
"Thibaud Vielliard","K1H","210.08","312","398",""
"Ova Roberto","K1H","210.30","785","399",""
"Guillaume Doutreix","K1H","210.39","-","400",""
"Argenson Thomas","K1H","211.89","472","410",""
"Philippe Godinat","K1H","211.99","379","411",""
"Duchiron Stephane","K1H","212.06","495","411",""
"Averlant Alexis","K1H","212.89","368","418",""
"Romain Viry","K1H","213.34","441","421",""
"Philippe Devillers","K1H","214.42","443","428",""
"Audren Schiel","K1H","214.77","827","431",""
"Nicolle Xavier","K1H","214.97","382","432",""
"Hitou Sofiane","K1H","215.34","425","435",""
"Lagache Jean Christophe","K1H","215.45","512","436",""
"Malnory Jean","K1H","216.24","-","441",""
"Thomann Simon","K1H","216.51","586","443",""
"Dougoud Adrien","K1H","218.05","479","453",""
"Lacour Gregory","K1H","218.80","-","459",""
"Frederic Caillet","K1H","218.97","429","460",""
"Decaux Louis","K1H","219.18","484","462",""
"Nicolas Burgi","K1H","220.73","467","472",""
"Richard Carpentier","K1H","221.16","493","476",""
"Leroy Anthony","K1H","222.46","671","484",""
"Jeanty Thomas","K1H","223.36","-","491",""
"Wendling Valentin","K1H","223.64","365","493",""
"Becker Benjamin","K1H","224.17","-","497",""
"Garret Bertrand","K1H","224.41","465","499",""
"Boutter Victor","K1H","224.50","574","499",""
"Bontemps Romain","K1H","224.56","613","500",""
"Carisey Pierre","K1H","224.62","525","500",""
"Buffler Ambroise","K1H","226.78","598","515",""
"Aurelien Desgrez","K1H","227.31","531","519",""
"Terryn Gilles","K1H","227.82","409","522",""
"Gautier Boudat","K1H","227.95","656","523",""
"Romain Buchot","K1H","228.16","550","525",""
"Sidney Malgras","K1H","229.23","-","532",""
"Moritz Luscher","K1H","229.31","-","533",""
"Albertelli Romain","K1H","230.59","665","542",""
"Remi Thomas","K1H","230.69","399","543",""
"Gilles Lucas","K1H","231.29","482","546",""
"Weiss Eddie","K1H","231.63","-","550",""
"Stock Marc-Antoine","K1H","234.32","-","568",""
"Soulon Florian","K1H","234.53","453","569",""
"Collet Timothe","K1H","234.61","536","571",""
"Romain Chane","K1H","235.44","569","576",""
"Eric Lamour","K1H","236.52","-","584",""
"Benjamin Fourmet","K1H","237.26","650","588",""
"Weber Nicolas","K1H","237.36","208","589",""
"Eric Louis","K1H","237.88","604","593",""
"Wendling Jean-Mathieu","K1H","240.35","510","610",""
"Nicolas Mangeolle","K1H","241.87","256","621",""
"Germain Carre","K1H","244.46","-","639",""
"Ardelean Dan Marian","K1H","244.65","-","640",""
"Becker Alexandre","K1H","246.01","-","650",""
"Thibault Gautherot","K1H","248.49","730","668",""
"Brillaud Robin","K1H","251.90","-","691",""
"Miclo Jean-Baptiste","K1H","253.57","-","703",""
"Renard Guillaume","K1H","255.45","-","717",""
"Florian Colle","K1H","260.47","-","752",""
"Personeni Florian","K1H","261.17","-","756",""
"Eddy Cassard","K1H","262.04","427","763",""
"Cheval Kevin","K1H","263.68","-","774",""
"Vincent Bajolot","K1H","269.32","398","814",""
"Depreck Josselin","K1H","270.85","566","824",""
"Cambier Jonathan","K1H","274.90","-","853",""
"Guillaume Carpentier","K1H","276.97","491","867",""
"Vernier Thomas","K1H","284.37","-","919",""
"Dubois Mortimer","K1H","285.19","1089","924",""
"Henriot Thomas","K1H","292.86","800","979",""
"Malnory Loic","K1H","296.96","-","1007",""
"Henriot Frederic","K1H","303.77","941","1055",""
"Lemaire David","K1H","337.07","-","1289",""
"Gonthier Lucas","K1H","340.90","-","1316",""
"Dupin Nicolas","K1H","349.75","-","1378",""
"Sabre Quentin","K1H","364.44","-","1480",""
"Kornalewski Remi","K1H","382.57","824","1608",""
"Brouillard Aurelien","K1H","396.06","1565","1703",""
"Mazzetti David","K1H","396.61","-","1706",""
"Pierron Aurelien","K1H","439.45","-","2007",""
"Andre Kempf","K1H","462.14","-","2166",""
"Grandin Berenger","K1H","499.56","-","2429",""
"Brouillard Thibault","K1H","513.32","2007","2525",""
"Aimeric Brouillard","K1H","573.29","-","2945",""
