"SELECTIF REGIONAL SLALOM - Roches Du Diable - 2008-02-09","Course 1","2008-02-09","Régional","176"
"Kristell Bervet","K1D","332.25","378","503",""
"Julie Arsento - Lefrancois","K1D","335.57","414","517",""
"Aurelie Le Fee","K1D","341.17","329","543",""
"Pauline Bercon","K1D","349.69","365","583",""
"Charlene Le Corvaisier","K1D","375.37","228","702",""
"Barbara Cavyn","K1D","439.97","388","1001",""
"Marie Landais","K1D","461.60","394","1101",""
"Pierre Marie Roussel","K1H","214.64","91","77",""
"Nicolas Veillard","K1H","218.18","113","95",""
"Ronan Lucas","K1H","218.29","60","96",""
"Laurent Le Touze","K1H","219.18","81","100",""
"Adrien Chabbey","K1H","219.25","130","100",""
"Laurent Rigaud","K1H","220.51","122","107",""
"Edern Le Ruyet","K1H","220.94","-","109",""
"Mathieu Le Gal","K1H","221.17","67","111",""
"Quentin Burgi","K1H","221.41","140","112",""
"Nicolas Coudert","K1H","223.08","150","121",""
"Erwan Cadio","K1H","223.19","105","121",""
"Stephane Odot","K1H","224.12","164","126",""
"Julien Coudert","K1H","224.40","126","127",""
"Simon Despres","K1H","224.66","151","129",""
"Franck Delachair","K1H","225.33","134","132",""
"Kendaor Le Huitou","K1H","226.22","139","137",""
"Alexis Caspar","K1H","226.96","108","141",""
"Yann Le Govic","K1H","227.01","179","141",""
"Christophe Le Mercier","K1H","228.85","164","151",""
"Lionel Tinevez","K1H","229.25","131","153",""
"Melaine Pichard","K1H","229.67","133","155",""
"Romain Guyomard","K1H","230.15","113","157",""
"William Desnos","K1H","230.60","169","159",""
"Valentin Brindeau","K1H","230.77","154","160",""
"Fabien Le Nechet","K1H","231.85","137","165",""
"Boris Pernelle","K1H","232.40","116","169",""
"Guigo Luc","K1H","232.51","213","170",""
"Mathieu Haberland","K1H","232.98","137","172",""
"Frederic Castryck","K1H","233.81","171","176",""
"Quentin De Fierville","K1H","233.96","191","177",""
"Julien Dosse","K1H","235.87","147","187",""
"Guillaume Huppert","K1H","235.98","147","188",""
"Benoit Jouan","K1H","236.63","196","191",""
"Nicolas Carduner","K1H","237.53","210","195",""
"Riwal Le Berre","K1H","239.23","166","204",""
"Jean Yves Prigent","K1H","239.63","183","206",""
"Brieuc Cadic","K1H","240.35","155","210",""
"Nicolas Burgi","K1H","241.10","170","213",""
"Erwan Beyou","K1H","241.17","204","215",""
"Regis Cabel","K1H","241.26","228","215",""
"Pierre-yves Lebreton","K1H","242.51","234","221",""
"Sebastien Kerneis","K1H","242.90","230","223",""
"Philippe Gendraux","K1H","242.94","235","223",""
"Gwenael Marquer","K1H","243.00","178","224",""
"Jeanmarie Le Guyader","K1H","243.38","253","226",""
"Romain Lecrenais-perrel","K1H","243.73","249","227",""
"Emmanuel Cosse","K1H","246.61","221","242",""
"Yves Prigent","K1H","248.99","297","255",""
"Yann Lardic","K1H","252.38","298","272",""
"Melen Pilorge","K1H","252.52","222","273",""
"Jeanpierre Le Lann","K1H","253.06","-","276",""
"Jerome Mainguy","K1H","255.93","209","291",""
"Julien Signarbieux","K1H","256.16","229","292",""
"Sebastien Gautier","K1H","256.25","-","292",""
"Thomas Le Berre","K1H","257.45","299","299",""
"David Despierres","K1H","257.83","290","301",""
"Gardan Benjamin","K1H","259.30","239","308",""
"Hugo Le Guennic","K1H","261.37","306","319",""
"Tangui Quemeneur","K1H","262.98","250","328",""
"Melaine Caurant","K1H","263.12","284","329",""
"Arnaud Le Calvez","K1H","264.77","271","337",""
"Denis Voisin","K1H","265.08","403","338",""
"Vivien Colober","K1H","265.16","28","338",""
"Maxime Beaulieu","K1H","266.34","386","345",""
"William Jacopin","K1H","267.52","387","351",""
"Emmanuel L'anton","K1H","273.69","362","383",""
"Hoel Carnot","K1H","275.41","362","392",""
"Mael Rogard","K1H","276.20","327","396",""
"Vincent Salmon","K1H","277.57","305","403",""
"Adrien Ferec","K1H","278.69","72","409",""
"Quentin Gillot","K1H","283.53","414","434",""
"Ludovic Gaignon","K1H","283.60","473","434",""
"Alexis Lotton","K1H","284.46","304","439",""
"Sylvain Le Roux","K1H","285.00","432","442",""
"Tristan Bronsard","K1H","285.58","213","445",""
"Frederi Mahieu","K1H","287.00","308","452",""
"Nowan Bertin","K1H","287.68","505","456",""
"Charles Kerbellec","K1H","288.67","487","461",""
"David Julou","K1H","290.08","508","468",""
"Camille L'hostis","K1H","291.77","407","477",""
"Thibaud Couetil","K1H","296.73","478","503",""
"Francois Adam","K1H","298.67","-","512",""
"Julien Caillarec","K1H","298.71","-","513",""
"Drouhard Francois-Xavier","K1H","299.25","-","515",""
"Manuel Coquelin","K1H","299.93","206","520",""
"Olivier Brillaut","K1H","304.30","573","542",""
"Jeremy Pean","K1H","307.11","476","556",""
"Riwal Chardon","K1H","309.36","300","568",""
"Louis Guillot","K1H","310.00","435","572",""
"Simon Even","K1H","310.42","272","574",""
"Pierre Mikolajczak","K1H","312.60","265","585",""
"Richard Fradin","K1H","314.51","449","594",""
"Francois Prevoteau","K1H","316.63","454","606",""
"William Basset","K1H","329.05","362","670",""
"Victor Carrouer","K1H","329.52","-","672",""
"Charles Gudemard","K1H","330.91","549","680",""
"Victor Azam","K1H","340.12","387","728",""
"Logan Nannette","K1H","341.44","384","734",""
"Luke Long","K1H","346.13","-","759",""
"Tanguy Le Marec","K1H","351.60","599","787",""
"Guillaume Blin","K1H","356.54","424","813",""
"Brindeau Joachim","K1H","365.50","460","859",""
"Lorin Oger","K1H","370.50","-","885",""
"Clement Lucas","K1H","370.63","413","885",""
"Beguinel Simon","K1H","379.40","494","931",""
"Christophe Le Bihan","K1H","384.61","527","958",""
"Simon Seuru","K1H","384.62","682","958",""
"Romain Foulon","K1H","389.21","544","983",""
"Benoit Ricard","K1H","406.83","311","1073",""
"Thomas Richer","K1H","437.97","945","1235",""
"Thomas Jegou","K1H","462.72","-","1363",""
"Loic Kervella","K1H","472.82","447","1416",""
"Christophe Mitchell","K1H","506.41","469","1591",""
"Renan Le Caro","K1H","528.10","767","1703",""
"Florian Rivoal","K1H","774.35","-","2980",""
