"SLALOM REGIONAL CESSON SEVIGNE - Cesson Sévigné - 2008-12-14","Course 1","2008-12-14","Régional","156"
"Yves Prigent","K1H","220.25","232","242",""
"Tristan Bronsard","K1H","220.39","199","243",""
"Pierre Yves Tanguy","K1H","220.53","199","244",""
"Jacques Despierres","K1H","220.84","211","246",""
"Manuel Coquelin","K1H","221.31","191","248",""
"Clement Burel","K1H","222.68","232","257",""
"Maxime Beaulieu","K1H","222.86","292","258",""
"Kevin Lucas Mendes","K1H","222.89","255","258",""
"Alexis Lotton","K1H","223.67","282","262",""
"Romain Lecrenais-perrel","K1H","225.33","211","271",""
"Ludovic Gaignon","K1H","229.79","324","296",""
"Tanguy Le Marec","K1H","229.80","266","296",""
"Didier Niel","K1H","230.05","181","297",""
"Vincent Froger","K1H","232.08","182","309",""
"Camille Richer","K1H","235.25","294","327",""
"Julien Douais","K1H","236.19","319","332",""
"Francois Bonnet","K1H","240.11","-","353",""
"Bertrand Kerzerho","K1H","242.48","-","367",""
"Simon Bonnet","K1H","242.84","489","369",""
"Victor Azam","K1H","243.88","297","375",""
"Matthieu Jonnart-baur","K1H","244.18","303","377",""
"Oswald Besch","K1H","244.83","58","380",""
"Mathieu Bourdet","K1H","248.94","-","403",""
"Nicolas Coudert","K1H","249.97","93","410",""
"Thibault Gautherot","K1H","252.25","484","422",""
"Nowan Bertin","K1H","256.08","336","443",""
"Ronan Gestin","K1H","258.87","313","459",""
"Simon Despres","K1H","264.28","108","489",""
"Emmanuel Hirbec","K1H","265.09","-","493",""
"Wilfried Harduin","K1H","266.96","484","504",""
"Romain Hernot","K1H","267.97","-","510",""
"Quentin Moret De Rocheprise","K1H","270.45","543","524",""
"Erwan Le Pen","K1H","270.72","-","525",""
"Thomas Richer","K1H","273.18","-","539",""
"Baptiste Granger","K1H","275.51","149","552",""
"Florian Lepretre","K1H","276.49","288","557",""
"Richard Fradin","K1H","280.20","455","578",""
"Pierrick Meheust","K1H","281.75","415","587",""
"Francois Madec","K1H","282.37","485","590",""
"Maxime Thoreau","K1H","285.49","466","607",""
"Theo Laudrin","K1H","285.72","577","610",""
"Lorin Oger","K1H","289.27","-","629",""
"Antoine Hirbec","K1H","289.35","-","630",""
"Gael Bleunven","K1H","290.13","812","634",""
"Stephen Le Diagon","K1H","291.88","-","643",""
"Romain Treguier","K1H","294.98","641","661",""
"Damien Kerangoarec","K1H","295.72","579","666",""
"Simon Seuru","K1H","297.57","367","676",""
"Mathieu Eyrolle","K1H","299.73","-","688",""
"Alexis Cadoret","K1H","304.92","-","717",""
"Pierreyves Renaudin","K1H","312.64","692","759",""
"Matthieu Laumonier","K1H","317.55","983","787",""
"Jonathan Jouet","K1H","325.54","-","832",""
"Olivier Pelgrin","K1H","332.37","578","871",""
"Antoine Guillet","K1H","350.29","-","971",""
"Paul Fromont","K1H","369.46","-","1078",""
"Simon Le Guillou","K1H","383.82","-","1158",""
"Jean Francois Clement","K1H","399.10","532","1244",""
"Mathieu Guitton","K1H","403.23","-","1267",""
"Philippe Belan","K1H","409.38","786","1301",""
"Maxime Tridon","K1H","409.91","-","1304",""
"Simon Gaillardon","K1H","442.29","690","1486",""
"Thibault Gacouin","K1H","532.97","-","1993",""
"Guillaume Cheval","K1H","533.91","-","1998",""
"Leo Manneheut","K1H","552.97","-","2105",""
"Alexandre Le Potier","K1H","555.39","-","2119",""
"Thibaud Trevily","K1H","595.85","-","2345",""
"Maxime Le Cadre","K1H","655.09","-","2677",""
"Martin Belliot","K1H","666.43","1464","2740",""
