"3EME MANCHE COUPE DE LORRAINE 2003 - Nancy - 2002-10-20","Course 1","2002-10-20","Régional","195"
"Gregory Busson","K1H","201.86","116","193",""
"David Beyer","K1H","203.89","245","204",""
"Di Lauro Maxime","K1H","203.99","194","205",""
"Dalla-Zuana Christophe","K1H","204.95","212","211",""
"Massias Aurelien","K1H","206.85","197","221",""
"Prevot Xavier","K1H","207.31","293","224",""
"Frederic Tinchant","K1H","209.25","239","236",""
"Guillaume Maraquin","K1H","209.83","198","240",""
"Bigand Baptiste","K1H","210.87","168","246",""
"Lemaire Maxime","K1H","211.10","263","247",""
"Maxime Faivre","K1H","211.74","223","251",""
"Rumeau Martin","K1H","212.25","298","253",""
"Sebastien Thevenin","K1H","212.76","199","256",""
"Franck Dessaint","K1H","214.18","225","266",""
"Jerome Olhagaray","K1H","215.33","326","272",""
"Jeremy Poux","K1H","216.34","273","278",""
"Antoine Dufrene","K1H","218.21","225","289",""
"Thomas Michel","K1H","218.80","315","292",""
"Stephane Rousse","K1H","219.95","265","300",""
"Olivier Mittler","K1H","222.14","-","312",""
"Jules Bevalot","K1H","222.77","-","316",""
"Arthur Georges","K1H","223.81","313","322",""
"Fatah Samy","K1H","224.64","310","327",""
"Bazin Jerome","K1H","226.73","-","340",""
"Thevenin Johann","K1H","228.45","352","349",""
"Hayot Sylvain","K1H","229.25","389","354",""
"Guerin Alexandre","K1H","230.26","307","360",""
"Piermay Mathieu","K1H","230.37","269","360",""
"Falcetta Thomas","K1H","230.51","-","361",""
"Nicolas Leclerc","K1H","230.77","-","363",""
"Patrick Gass","K1H","231.12","290","365",""
"Gwendal Duchet","K1H","232.43","-","373",""
"Olivier Urbain","K1H","232.81","262","375",""
"Quentin Vallee","K1H","233.00","396","376",""
"Yann Le Guedard","K1H","234.77","364","387",""
"Thibaud Kudla","K1H","235.32","269","390",""
"Florent Tamburini","K1H","240.41","420","420",""
"Ringeisen Gautier","K1H","240.97","-","423",""
"Dallazuana Anthony","K1H","241.09","350","424",""
"Pouillard Quentin","K1H","242.46","387","432",""
"Ehlinger Robin","K1H","242.84","475","434",""
"Gacoin Stephane","K1H","243.25","377","436",""
"Aubert Anthony","K1H","245.57","-","451",""
"Pierre Devaux","K1H","249.35","60","472",""
"Drosseau Simon","K1H","250.41","606","479",""
"Falcetta Simon","K1H","251.39","-","485",""
"Noel Jeremie","K1H","252.27","-","490",""
"Collinet Matthieu","K1H","252.44","543","491",""
"Soulon Florian","K1H","255.28","-","507",""
"Savart Matthieu","K1H","255.60","-","509",""
"Nicolas Mangeolle","K1H","256.26","359","514",""
"David Sebastien","K1H","256.86","389","517",""
"Beghoura Yoni","K1H","261.32","-","543",""
"Ambiehl Fabrice","K1H","263.16","328","554",""
"Parmentelat Steve","K1H","265.35","-","567",""
"Douillot Nicolas","K1H","266.98","505","576",""
"De Berchen Sebastien","K1H","268.12","232","584",""
"Kudla Romain","K1H","268.94","299","589",""
"Degreave Jérémie","K1H","269.31","-","591",""
"Biton Jonas","K1H","272.45","-","609",""
"Schmitz Benjamin","K1H","272.78","-","611",""
"Ciemniewski Olivier","K1H","273.06","-","612",""
"Miler Thomas","K1H","274.96","498","624",""
"Balland Mathieu","K1H","276.58","-","633",""
"Mangeolle Matthieu","K1H","278.00","982","642",""
"Romain Viry","K1H","279.02","-","647",""
"Muguet-Robba Paul-Antoine","K1H","282.43","343","668",""
"Vernotte Vincent","K1H","282.63","305","669",""
"Hamann Damien","K1H","282.88","507","671",""
"Ricci Miege Raphael","K1H","288.07","-","701",""
"Courtier Jeremy","K1H","290.24","-","714",""
"Pierre Clement","K1H","294.78","-","741",""
"Billel Khenchouche","K1H","295.84","-","747",""
"Ladouce Romain","K1H","302.38","581","785",""
"Nicolle Xavier","K1H","304.60","827","799",""
"Jimenez Adrien","K1H","307.24","-","814",""
"Stock Marc-Antoine","K1H","312.24","-","844",""
"Lemaire Alexandre","K1H","316.53","666","870",""
"Poix Stanislas","K1H","332.08","-","961",""
"Balducci Hugo","K1H","336.18","378","985",""
"Duparcq Romain","K1H","368.04","972","1173",""
"Spirkel Nicolas","K1H","373.60","-","1206",""
"Mercier Maxime","K1H","387.01","-","1285",""
"Tachet Xavier","K1H","410.94","-","1426",""
"Diemert Maxime","K1H","582.78","-","2441",""
"Michael Ullrich","K1H","635.42","-","2752",""
