"8ème Manche Championnats de France N1 - Course de Finale - L'Argentière-la-bessée - Course de qualification - 2010-05-23","Course de qualification","2010-05-23","Nationale 1","130"
"Marie Borlet","K1D","Nt","-","-",""
"Mathieu Doby","K1H","89.2","1","5",""
"Yann Gudefin","K1H","89.51","15","7",""
"Julien Dekarczyk","K1H","90","12","9",""
"Benjamin Buys","K1H","90.06","1","9",""
"Samuel Hernanz","K1H","90.13","9","10",""
"Benjamin Travostino","K1H","90.14","12","10",""
"Jimy Bercon","K1H","90.36","5","11",""
"Thomas Bersinger","K1H","90.84","5","13",""
"Vivien Colober","K1H","91.04","4","14",""
"Florian Berail","K1H","91.38","22","15",""
"Frederic Walczak","K1H","91.5","13","16",""
"Emmanuel Walczak","K1H","91.56","10","16",""
"Mathieu Biazizzo","K1H","91.67","23","17",""
"Benjamin Boukpeti","K1H","92.14","13","19",""
"Benjamin Renia","K1H","92.22","5","19",""
"Goulwen Chapelier","K1H","92.47","39","21",""
"Oswald Besch","K1H","92.47","25","21",""
"Bryan Seiler","K1H","92.68","51","21",""
"Pierre Bourliaud","K1H","93.32","14","24",""
"Hugo Cailhol","K1H","93.58","22","26",""
"Vincent Reiter","K1H","93.68","41","26",""
"Andy Pajani","K1H","93.83","24","27",""
"Christophe Marechal","K1H","94.19","32","28",""
"Jeremy Cremonesi","K1H","94.95","32","32",""
"Yann Le Govic","K1H","95.05","30","32",""
"Louis Georges Lafont","K1H","95.09","19","32",""
"Quentin Bove","K1H","96.26","12","38",""
"Quentin Burgi","K1H","96.28","17","38",""
"Quentin De Fierville","K1H","96.29","72","38",""
"Nicolas Labat","K1H","96.32","26","38",""
"Jules Bevalot","K1H","96.5","28","39",""
"Julien Haberland","K1H","96.96","18","41",""
"Aurelien Maynadier","K1H","97.44","35","43",""
"Ludovic Di Nisi","K1H","97.55","17","44",""
"Arnaud Lapeze","K1H","97.56","28","44",""
"Antoine Launay","K1H","97.68","63","45",""
"Loris Minvielle","K1H","97.74","45","45",""
"Christophe Augu","K1H","97.8","25","45",""
"Jonathan Delagnes","K1H","98.08","33","46",""
"Louis Philippe Rigal","K1H","98.43","51","48",""
"Loic Jeanningros","K1H","98.77","73","49",""
"Johan De Mareuil","K1H","99.3","25","52",""
"Davy Egraz","K1H","100.3","46","57",""
"Ronan Lucas","K1H","101.06","41","60",""
"Thomas Rosset","K1H","101.6","17","62",""
"Ciaran Heurteau","K1H","101.74","-","63",""
"Guillaume Bernis","K1H","102.02","87","64",""
"Samuel Lhegu","K1H","102.41","43","66",""
"Enrick Cunsolo","K1H","102.79","32","68",""
"Alexis Caspar","K1H","103.6","34","72",""
"Benoit Jouan","K1H","106.82","90","87",""
"Benoit Guillaume","K1H","142.22","8","250",""
"Cedric Bron","K1H","146.58","57","269",""
"Guillaume Bandelier","K1H","Nt","-","-",""
