"slalom régional des Ecrins selectif - L'argentière La Bessée - 2008-09-21","Course 1","2008-09-21","Régional","129"
"Edouard Blanc","K1H","236.33","-","471",""
"Florent Bret","K1H","238.04","526","483",""
"Clement Rombi","K1H","238.35","493","485",""
"Gautier Boudat","K1H","238.77","-","489",""
"Ronan Lecouturier","K1H","239.26","-","491",""
"Gaetan Gaudissard","K1H","240.29","-","498",""
"Arnaud Glenet","K1H","241.39","-","507",""
"Cedric Pawlowski","K1H","241.50","-","507",""
"Frederic Bordier","K1H","244.27","595","527",""
"Laurent Roux","K1H","245.51","-","535",""
"Mathieu Gueguen","K1H","245.73","-","536",""
"Morgan Merel","K1H","246.56","-","542",""
"Christian Hugues","K1H","246.93","-","544",""
"Lorenzo Roccelli","K1H","247.19","-","547",""
"Jorys Plissot","K1H","250.12","1000","567",""
"Mattieu Villeuneuve","K1H","251.46","-","575",""
"Yoann Mourier","K1H","258.71","-","625",""
"Luka Neel","K1H","258.78","-","626",""
"Manuel Pinault","K1H","259.09","-","628",""
"Sidney Moureux","K1H","260.03","-","634",""
"Jeanfrancois Antonelli","K1H","262.13","-","648",""
"Nolan Miton","K1H","262.58","-","652",""
"Olivier Kremer","K1H","267.66","689","686",""
"Simon Bonnet","K1H","269.22","-","698",""
"Sebastien Disdier","K1H","275.34","710","740",""
"Pierre Chaleyer","K1H","278.51","-","762",""
"Eric Marillonnet","K1H","291.53","-","851",""
"Camille Dumont","K1H","300.55","-","913",""
"Timothee Bernard","K1H","301.54","-","919",""
"Simon Fressynet","K1H","301.81","610","922",""
"Cedric Cordone","K1H","312.41","-","995",""
"Maxime Berthuit","K1H","318.39","878","1035",""
"Clement Ardaillou","K1H","330.20","-","1117",""
"Theo Olinger","K1H","343.58","-","1209",""
"Pierrick Bonnefoy","K1H","343.60","597","1209",""
"Matthieu Allamand","K1H","343.79","-","1210",""
"Maxime Blanc","K1H","349.11","-","1247",""
"Sean Pitcher","K1H","351.08","-","1260",""
"Pascal Gilbert","K1H","353.26","-","1275",""
"Alexandre Pitcher","K1H","578.97","-","2827",""
