"FINALE NATIONAL 3 OUEST - Tournon St Martin - 2008-06-07","Course 1","2008-06-07","Nationale 3","176"
"Emilie Chamouleau-Sylvain Brunet","C2M","263.97","372","360",""
"Pierre Chassigneux-Brigitte Passet","C2M","426.16","634","1148",""
"Emilie Chamouleau","K1D","215.12","163","150",""
"Rocher Laura","K1D","242.60","307","288",""
"Lucie Baudu","K1D","244.82","298","298",""
"Julie Quesne","K1D","248.45","256","316",""
"Claire Moal","K1D","260.86","215","378",""
"Camille Grezard","K1D","263.42","358","392",""
"Pauline Bercon","K1D","265.24","374","401",""
"Marine Joslin","K1D","270.69","347","427",""
"Andrea Menant","K1D","313.24","534","640",""
"Angelina Brebion","K1D","320.05","376","674",""
"Claire Pichon","K1D","324.10","304","694",""
"Mathilde Pelletan","K1D","345.99","368","803",""
"Laurine Naveau","K1D","364.26","552","895",""
"Angelique Chasseriault","K1D","432.58","593","1236",""
"Nicolas Coudert","K1H","179.82","125","81",""
"Joffrey Lemeux","K1H","186.82","183","121",""
"Vincent Froger","K1H","189.37","210","135",""
"Sebastien Kerneis","K1H","191.93","207","149",""
"Christophe Le Mercier","K1H","192.50","154","153",""
"Kilian Foulon","K1H","193.00","266","155",""
"Pierre Bontoux","K1H","193.62","205","159",""
"Jerome Trousson","K1H","193.84","207","160",""
"Quentin Lyphout","K1H","194.67","229","165",""
"Alexandre Thomasseau","K1H","196.77","224","177",""
"Philippe Niquet","K1H","197.77","230","182",""
"Vincent Lemonnier","K1H","199.16","210","190",""
"Jacques Despierres","K1H","199.41","227","191",""
"Etienne Legeay","K1H","199.77","222","193",""
"Paul Storez","K1H","199.87","246","193",""
"Benoit Jouan","K1H","202.99","190","211",""
"Come Hebert","K1H","203.24","280","212",""
"Erwan Beyou","K1H","203.28","204","213",""
"Riwal Chardon","K1H","203.32","248","213",""
"Damien Gaillard","K1H","203.63","284","215",""
"Regis Cabel","K1H","205.43","206","225",""
"Antoine Godet","K1H","207.15","261","234",""
"Pierre Yves Tanguy","K1H","208.08","214","240",""
"Pierre-yves Lebreton","K1H","208.79","223","243",""
"Yves Prigent","K1H","211.30","247","257",""
"Jean Messialle","K1H","213.59","194","271",""
"Remy Linard","K1H","214.18","232","273",""
"Nicolas Marcus","K1H","214.22","282","274",""
"Gael Prodeau","K1H","214.59","345","276",""
"Fabien Cambon","K1H","214.64","230","276",""
"Nicolas Arnoult","K1H","216.87","261","289",""
"Guillaume Blin","K1H","217.25","355","291",""
"Maxime Beaulieu","K1H","217.47","320","292",""
"Arnaud Le Calvez","K1H","218.90","242","300",""
"Antoine Beaudoin","K1H","219.10","449","301",""
"Felix Merzeau","K1H","220.66","250","310",""
"Quentin Gillot","K1H","221.15","380","313",""
"Sylvain Le Roux","K1H","221.58","391","315",""
"Alexis Lotton","K1H","222.93","298","322",""
"Mael Rogard","K1H","222.99","313","323",""
"Pierre Mikolajczak","K1H","223.74","236","327",""
"Thomas Drouart","K1H","223.86","352","328",""
"William Basset","K1H","224.37","344","330",""
"Fabien Le Bourser","K1H","224.64","249","332",""
"Jan Baudet","K1H","224.71","417","333",""
"Benjamin Sanella","K1H","224.83","334","333",""
"Jean-noel Avril","K1H","224.91","310","334",""
"Paul Messialle","K1H","228.01","351","351",""
"Antoine Michaud","K1H","228.26","405","353",""
"Mathieu Laroze","K1H","228.78","399","355",""
"Tangui Quemeneur","K1H","229.93","216","361",""
"Louis Guillot","K1H","230.29","426","364",""
"Philippe Rocher","K1H","230.40","310","364",""
"Baptiste Piveteau","K1H","231.03","310","368",""
"Francois Prevoteau","K1H","232.52","407","377",""
"Julien Douais","K1H","234.51","318","387",""
"Valentin Lesseau","K1H","234.93","329","390",""
"Etienne Chauvin","K1H","238.47","421","409",""
"Ludovic Gaignon","K1H","238.52","393","409",""
"Camille L'hostis","K1H","238.63","371","410",""
"Tanguy Le Marec","K1H","240.32","409","420",""
"Emmanuel L'anton","K1H","244.16","388","441",""
"Erwan Le Guevel","K1H","244.71","397","444",""
"Guirec Le Guen","K1H","245.48","438","449",""
"Thibaud Couetil","K1H","245.87","422","451",""
"Guillaume Chasseriault","K1H","246.18","359","453",""
"Guillaume Chainier","K1H","246.69","406","456",""
"Valentin Giret","K1H","249.33","257","470",""
"Jean Thomas Genet","K1H","249.85","413","473",""
"Nicolas Leconte","K1H","250.11","516","474",""
"Maxime Perrin","K1H","250.45","272","476",""
"Valentin Blondel","K1H","250.51","494","477",""
"Alexandre Plumejeau","K1H","251.06","578","480",""
"Jonas Turmeau","K1H","251.21","444","481",""
"Xavier Flatreau","K1H","254.60","384","500",""
"Florent Regrettier","K1H","254.91","433","502",""
"Denis Voisin","K1H","257.33","325","515",""
"David Couture","K1H","259.09","477","525",""
"Stephane Machet","K1H","259.81","427","529",""
"Maxime Bardieux","K1H","261.15","301","537",""
"Thomas Pierre","K1H","261.23","489","537",""
"Luc Jauvin","K1H","263.59","489","550",""
"Pierrick Meheust","K1H","263.60","436","550",""
"Alexandre Plouzeau","K1H","266.05","266","564",""
"Philippe Metran","K1H","266.91","300","569",""
"Richard Fradin","K1H","267.23","423","570",""
"Simon Deboysson","K1H","270.41","280","588",""
"Thomas Perrin","K1H","272.83","391","601",""
"Etienne Baudry","K1H","274.26","583","609",""
"Julien Bourdet","K1H","275.04","540","614",""
"Matthias Jauvin","K1H","275.69","503","617",""
"Benjamin Millet Naas","K1H","276.03","570","619",""
"Flavien Odile","K1H","277.95","294","630",""
"Nowan Bertin","K1H","278.85","336","635",""
"Loic Kervella","K1H","280.41","366","644",""
"David Julou","K1H","281.53","298","650",""
"Alexandre Avril","K1H","281.68","541","651",""
"Logan Nannette","K1H","284.57","346","667",""
"Romain Foulon","K1H","286.50","507","678",""
"William Jacopin","K1H","286.63","346","679",""
"Olivier Nonnet","K1H","287.63","597","684",""
"Jean-noel Biteau","K1H","292.36","456","711",""
"Renan Le Caro","K1H","294.28","593","721",""
"Luke Long","K1H","296.21","484","732",""
"Charlie Baron","K1H","298.74","491","746",""
"Simon Vaillant","K1H","299.15","266","749",""
"Goulven Le Bigot","K1H","304.80","362","780",""
"Antoine Launay","K1H","307.86","199","798",""
"Gerard Lemonnier","K1H","310.40","585","812",""
"Christophe Mitchell","K1H","310.84","458","814",""
"Valentin Millet Naas","K1H","317.21","690","849",""
"Jeremy Pean","K1H","321.25","478","872",""
"Simon Drouart","K1H","321.74","556","875",""
"Damien Guyonnet","K1H","331.77","536","931",""
"Ludovic Couture","K1H","363.46","598","1108",""
"Yann Drouet","K1H","369.17","504","1140",""
"Gerard Folle","K1H","371.53","627","1153",""
"Alexandre Rivolet","K1H","379.67","504","1199",""
"Thibaut Mechling","K1H","380.13","662","1201",""
"Romain Lecrenais-perrel","K1H","504.17","220","1895",""
