"Sélectif Régional - Saint Benoit - Finale - 2014-11-23","Finale","2014-11-23","Régional","145"
"Valentin Alliot-Violaine Vennin","C2M","127.21","-","420.41","Finale B"
"Sophie Delage-Christian Boob","C2M","147.11","499.91","635.7","Finale B"
"Helene Baty-Maxime Bouvet","C2M","351.54","1271.74","2847.16","Finale B"
"Frederique Merle","K1D","110.2","252.05","310.26","Finale B"
"Armelle Canali","K1D","117.55","311.86","394.7","Finale B"
"Marie Charbonneau","K1D","123.25","475.86","460.18","Finale B"
"Ethel Simon","K1DM","154.27","-","-","Finale B"
"Margaux Longeau","K1DM","159.74","-","879.37","Finale B"
"AdÈle Aguesseau","K1DM","197.33","-","1311.19","Finale B"
"Emile Laurent","K1H","109.85","507.11","470.29","Finale B"
"Valentin Soullard","K1H","110.52","404.93","478.99","Finale B"
"Pierre Ferrand","K1H","111.09","-","486.39","Finale B"
"Zeph Scamps","K1H","111.73","-","494.69","Finale B"
"Axel Delage","K1H","111.85","338.25","496.25","Finale B"
"Yanis Koubaiti","K1H","114.29","-","527.93","Finale B"
"Michel Daupeux","K1H","117.19","631.2","565.57","Finale B"
"Antoine Richard","K1H","117.61","-","571.02","Finale B"
"Yann Maillocheau","K1H","120.16","581.08","604.13","Finale B"
"Wilfried Truffy","K1H","120.48","471.52","608.28","Finale B"
"Dyllan Van De Weghe","K1H","121.38","891.84","619.96","Finale B"
"Nathan Ferchaud","K1H","121.59","847.83","622.69","Finale B"
"Frederic Foubert","K1H","122.76","625.44","637.88","Finale B"
"Maxime Bouvet","K1H","123.25","610.94","644.24","Finale B"
"Mattias Poirat","K1H","124.16","-","656.05","Finale B"
"Leo Aranda","K1H","126.69","542.07","688.89","Finale B"
"Christophe Joubert","K1H","127.02","-","693.18","Finale B"
"Thilbault Rucher","K1H","129.72","-","728.23","Finale B"
"Jamie Whitehouse","K1H","130.04","-","732.38","Finale B"
"Thierry Le Bonniec","K1H","131.18","727.29","747.18","Finale B"
"Antoine Bougette","K1H","134.87","692.71","795.08","Finale B"
"Nour Rajoub","K1H","136.73","991.22","819.23","Finale B"
"NaËl Rajoub","K1H","138.04","762.15","836.23","Finale B"
"Etienne Bennetot","K1H","146.1","813.43","940.86","Finale B"
"Paul Gendron","K1H","168.29","542.21","1228.91","Finale B"
"Loann Le Guyader","K1H","173.8","437.11","1300.44","Finale B"
"Lois Moreau","K1H","185.94","-","1458.03","Finale B"
"Nathan Cordier","K1HM","113.58","-","518.71","Finale B"
"Sylvain Decombe","K1HM","120.34","-","606.46","Finale B"
"Matisse Bourreau","K1HM","125.25","-","670.2","Finale B"
"Maxime Antoine","K1HM","127.68","-","701.74","Finale B"
"Tom Baubit","K1HM","129.3","-","-","Finale B"
"Adrien Latus","K1HM","130.02","-","732.12","Finale B"
"Sam Traquet","K1HM","133.57","-","-","Finale B"
"Julien Brice","K1HM","137.82","-","-","Finale B"
"Axel Forgerit","K1HM","181.23","-","-","Finale B"
"Gautier Nammour","K1HM","231.73","-","2052.45","Finale B"
