"Selectif de slalom - Corbeil-Essonnes - 2005-11-13","Course 1","2005-11-13","Régional","226"
"Depreck Josselin","K1H","193.16","508","404",""
"Nicolas Arnoult","K1H","193.40","285","407",""
"Remy Daumont","K1H","194.34","429","414",""
"Valentin Casse","K1H","194.57","680","415",""
"Coudiere Sebastien","K1H","194.62","452","415",""
"Gerard Lafargue","K1H","195.51","352","423",""
"Josselin Bertrand","K1H","196.14","-","427",""
"Lebar Johnny","K1H","196.29","429","428",""
"Theate Cyril","K1H","196.78","-","432",""
"Massie Nicolas","K1H","196.87","-","433",""
"Coudiere Julien","K1H","198.17","-","443",""
"Dominique Odile","K1H","198.81","448","448",""
"Kermer Serge","K1H","198.84","486","448",""
"Mathys Morgan","K1H","199.18","-","450",""
"Vallee Mathieu","K1H","199.97","437","457",""
"Roberge Sebastien","K1H","200.32","465","459",""
"Gilles Lucas","K1H","200.56","430","461",""
"Lecomte Romain","K1H","200.64","538","461",""
"Dupin Nicolas","K1H","201.19","571","465",""
"Philippe Valeri","K1H","201.23","303","465",""
"Joel Ramillon","K1H","202.22","-","473",""
"Mannier Quentin","K1H","202.26","414","474",""
"Clement Mangeolle","K1H","202.52","571","475",""
"Thomas Viratelle","K1H","202.94","873","479",""
"Chemin Ludovic","K1H","204.51","-","491",""
"Pierron Aurelien","K1H","207.22","602","511",""
"Guillaume Hermant","K1H","207.26","576","511",""
"Leclerc Julien","K1H","207.38","614","512",""
"Jean-loup Bachmann","K1H","208.09","758","518",""
"Flavien Odile","K1H","208.46","500","521",""
"Pascault Didier","K1H","208.63","615","522",""
"Monbel Romain","K1H","208.90","567","524",""
"Nicolas Girault","K1H","209.26","538","527",""
"Hugo Francois","K1H","210.78","1409","539",""
"Imbert Louis","K1H","211.80","-","546",""
"Brouillard Thibault","K1H","211.99","665","547",""
"Marteau David","K1H","212.09","-","548",""
"Yann Tosser  Roussey","K1H","213.24","804","557",""
"Bayeux Aurelien","K1H","215.29","907","572",""
"Bellacicco Denis","K1H","215.32","-","572",""
"Gautier Boudat","K1H","215.67","540","576",""
"Camille Mege","K1H","217.01","486","585",""
"Vinet Florian","K1H","217.45","-","589",""
"Gaillard Sebastien","K1H","218.89","-","600",""
"Alexandre Peslin","K1H","219.37","630","604",""
"Jeremy Huguenin","K1H","219.86","721","607",""
"Andre Kempf","K1H","220.35","822","611",""
"Dalle Alexandre","K1H","223.85","-","638",""
"Laurent Remi","K1H","224.54","948","643",""
"Aurelien Noiret","K1H","224.63","1369","643",""
"Rognant Thomas","K1H","224.67","-","643",""
"Sassier Guillaume","K1H","225.76","-","652",""
"Baudry Pierre Luc","K1H","226.11","819","654",""
"Cheron Valentin","K1H","228.48","662","673",""
"Louis Piot","K1H","230.81","-","690",""
"Adrien Helbert","K1H","242.75","-","781",""
"Bigeard Marc","K1H","244.13","-","792",""
"Sertier Remi","K1H","244.90","-","797",""
"Benjamin Millet Naas","K1H","249.22","764","830",""
"Rayssac Fabien","K1H","250.14","-","838",""
"Spark Alistair","K1H","251.33","890","846",""
"Camille Simonin","K1H","255.69","949","879",""
"Joubier Aurelien","K1H","268.17","-","974",""
"Anthony Jouannic","K1H","273.40","-","1013",""
"Gerard Cartier","K1H","276.82","630","1039",""
"Dupont Joan","K1H","282.78","-","1085",""
"Ernou Gregoire","K1H","282.87","702","1085",""
"Brouillard Aurelien","K1H","295.53","750","1181",""
"Victor Moraine","K1H","304.65","-","1251",""
"Denis Gaetan","K1H","334.79","-","1479",""
"Logan Nannette","K1H","335.43","-","1485",""
"Matthieu Laruelle","K1H","335.77","-","1487",""
"Merine Karim","K1H","341.31","-","1529",""
"Descamps Paulmikael","K1H","347.51","-","1576",""
"Corentin Marteau","K1H","376.47","-","1796",""
"Leonard Thibault","K1H","427.18","-","2181",""
"Violette Jerome","K1H","475.00","-","2543",""
"Sentenac Marwan","K1H","496.90","-","2710",""
"Hassan Zaryoh","K1H","500.92","-","2741",""
"Saillard Nathan","K1H","541.49","-","3049",""
