"Championnat Régional de Slalom - Sélestat - Qualification - 2015-09-27","Qualification","2015-09-27","Régional","139"
"Benjamin Hene","K1H","107.88","432.67","375.81",""
"Jan Rohrer","K1H","108.47","669.24","383.07",""
"Dylan Hirtz","K1H","109.86","-","400.18",""
"Felix Rochlitz","K1H","110.17","-","404",""
"Thomas Michel","K1H","110.43","-","407.2",""
"Kyle Gelb","K1H","110.65","456.09","409.91",""
"Leo Peter","K1H","112.53","492.61","433.06",""
"Dyclan Plessis","K1H","112.69","408.04","435.03",""
"Nicolas Fritsch","K1H","113.06","-","439.58",""
"Antoine Esseric","K1H","113.51","398.56","445.12",""
"Rafael Pawlus","K1H","114.83","493.99","461.38",""
"William Pawlus","K1H","115.1","577.41","464.7",""
"Michael Didier","K1H","116.12","-","477.26",""
"Christophe Godinat","K1H","117.16","403.71","490.06",""
"Pascal Philip","K1H","117.89","395.62","499.05",""
"Pierre Aubry","K1H","118.75","-","509.64",""
"Jean Guyot","K1H","118.95","467.26","512.1",""
"Eliot Wendling","K1H","119.19","-","515.06",""
"Eli Haug","K1H","119.45","493.01","518.26",""
"Augustin Jaujay","K1H","119.92","648.23","524.05",""
"Gilles Barthelemy","K1H","120.77","610.75","534.51",""
"Gilles Schweitzer","K1H","121.56","-","544.24",""
"Julien Carisey","K1H","121.85","-","547.81",""
"Jules Gastaud","K1H","124.75","549.2","583.51",""
"Jacques Mischler","K1H","125.43","-","591.89",""
"Guillaume Schneider","K1H","126.15","-","600.75",""
"Philippe Koffel","K1H","130.64","-","656.03",""
"David Matchavariani","K1H","132.97","-","684.72",""
"Bryan Wolffer","K1H","138.78","-","756.25",""
"Eric Louis","K1H","141.12","-","785.07",""
"Gaetan Gagner","K1H","147.7","-","866.08",""
"Simon Vernier","K1H","163.5","-","1060.61",""
"Frederic Bracker","K1H","220.75","-","1765.49",""
"Titouan Riviere","K1H","Abs","-","-",""
"Jean- Nicolas Veigel","K1H","Abs","-","-",""
"Charles Billon","K1H","Abd","-","-",""
"Yael Leleu","K1H","Abd","-","-",""
"Lucas Wietrich","K1H","Abd","-","-",""
"Alain David","K1H","Abs","-","-",""
"Arnaud Jamet","K1H","Abs","-","-",""
"Pierre Carisey","K1H","Des","-","-",""
"Paul Bostoen","K1HM","121.12","-","-",""
"Pierre-louis Gstalter","K1HM","122.38","-","554.33",""
"Titouan Auriol","K1HM","124.98","-","586.35",""
"Loic Trenchant","K1HM","127.03","-","-",""
"Irenee Jaujay","K1HM","132.52","-","679.18",""
"Hugo Courtin","K1HM","133.94","-","696.66",""
"Lars Bingert","K1HM","136.15","-","723.87",""
"Victor Henry","K1HM","136.2","-","724.49",""
"Nicolas Leport","K1HM","152.44","-","924.44",""
"Anatole Fuchs","K1HM","190.03","-","1387.26",""
"CÉlestin Vernier","K1HM","Abd","-","-",""
