"Double Sélectif Slalom Pont Des Grottes de Betharram - Pont Des Grottes De Betharram - Course n°2 | Finale - 2016-11-13","Course n°2 | Finale","2016-11-13","Régional","205"
"Clement Caillard","K1H","104.09","343.84","303.42","Course n°2 | Finale A"
"Patrick Clerc","K1H","104.11","358.79","303.66","Course n°2 | Finale A"
"Didier Baylacq","K1H","104.23","271.55","305.15","Course n°2 | Finale A"
"Marc Darribere","K1H","104.27","342.09","305.64","Course n°2 | Finale A"
"Tino Forgues","K1H","104.34","340.84","306.51","Course n°2 | Finale A"
"Nicolas Saurat","K1H","104.79","309.8","312.08","Course n°2 | Finale A"
"Pierrealain Clerc","K1H","104.93","339.52","313.81","Course n°2 | Finale A"
"Paul Luquet","K1H","105.34","315.37","318.88","Course n°2 | Finale A"
"Dimitri Thauvin","K1H","105.62","334.53","322.35","Course n°2 | Finale A"
"Pierre Cottereau","K1H","106.12","-","328.53","Course n°2 | Finale A"
"Manuel Legros","K1H","107.32","341.04","343.38","Course n°2 | Finale A"
"Nicolas Corbin","K1H","107.86","368","350.06","Course n°2 | Finale A"
"Thibault Clerc","K1H","108.96","344.19","363.66","Course n°2 | Finale A"
"Julien Delaleux","K1H","110.66","305.15","384.7","Course n°2 | Finale A"
"Felix Praderie","K1H","112.64","395.7","409.19","Course n°2 | Finale A"
"Guilhem Viguier","K1H","118.01","388.14","475.62","Course n°2 | Finale A"
"Baptiste Lauroua","K1H","133.54","375.87","667.75","Course n°2 | Finale A"
"Pierre Bourliaud","K1H","139.05","28.95","735.91","Course n°2 | Finale A"
"Manuel Munsch","K1H","141.04","110.83","760.53","Course n°2 | Finale A"
"Hugo Mouffle","K1H","146.99","240.2","834.14","Course n°2 | Finale A"
"Natan Brule","K1H","148.15","225.74","848.49","Course n°2 | Finale A"
"Adrien Mesmoudi","K1HM","102.65","308.5","285.6","Course n°2 | Finale A"
"Tom Bouchardon","K1HM","104.9","262.29","313.44","Course n°2 | Finale A"
"Tomy Dandonneau","K1HM","110.05","440.64","377.15","Course n°2 | Finale A"
"Mael Bernes","K1HM","110.14","420.92","378.26","Course n°2 | Finale A"
"Angus Cruickshank","K1HM","111.4","458.94","393.85","Course n°2 | Finale A"
"Loris Shayam Affre","K1HM","116.46","490.58","456.45","Course n°2 | Finale A"
"Pablo Chaminade","K1HM","119.79","489.11","497.64","Course n°2 | Finale A"
"Fantin Delage-garez","K1HM","121.05","525.2","513.23","Course n°2 | Finale A"
"Tonin Desmet","K1HM","128.08","524.48","600.2","Course n°2 | Finale A"
"Etienne Saint Picq","K1HM","132.54","490.58","655.38","Course n°2 | Finale A"
"Hugo Crespo","K1HM","136.37","666.2","702.76","Course n°2 | Finale A"
"Thomas Fernandez","K1HM","159.39","657.64","987.54","Course n°2 | Finale A"
"Alex Baldoni","K1HM","163.42","710.12","1037.4","Course n°2 | Finale A"
"Abel Boidron","K1HM","178.49","601.71","1223.83","Course n°2 | Finale A"
"Esteban Illido","K1HM","186.7","502.11","1325.4","Course n°2 | Finale A"
"Elorri Erdois","C1D","151.38","463.63","581.32","Course n°2 | Finale B"
"CÉcilia Bourgeois","C1D","161.3","441.28","683.6","Course n°2 | Finale B"
"Lea Baldoni","C1D","176.51","714.02","840.4","Course n°2 | Finale B"
"Cleo Santini","C1D","205.75","881.12","1141.83","Course n°2 | Finale B"
"Amelie Leclercq","C1DM","Abd","-","-","Course n°2 | Finale B"
"Leo Vuitton","C1H","108.75","359.18","302","Course n°2 | Finale B"
"Theau Le Loch","C1H","112.74","373.42","349.01","Course n°2 | Finale B"
"Clement Ravoteur","C1H","114.61","401.05","371.04","Course n°2 | Finale B"
"Raoul Colin","C1H","115.82","374.26","385.3","Course n°2 | Finale B"
"Martin Jouves","C1H","117.83","364.51","408.98","Course n°2 | Finale B"
"Marc Sarramea","C1H","117.87","385.88","409.45","Course n°2 | Finale B"
"Yanis Clerc","C1H","134.18","566.06","601.61","Course n°2 | Finale B"
"Gauthier Beyneix","C1H","209.41","506.98","1487.98","Course n°2 | Finale B"
"Stephanie Kaczmarek","K1D","106.45","254.72","186.11","Course n°2 | Finale B"
"CÉcilia Bourgeois","K1D","121.69","375.09","352.95","Course n°2 | Finale B"
"Lea Baldoni","K1D","129.75","365.27","441.2","Course n°2 | Finale B"
"Helene Courtel","K1D","136.15","527.63","511.27","Course n°2 | Finale B"
"Carla Voineau","K1D","139.26","467.52","545.31","Course n°2 | Finale B"
"Cleo Santini","K1D","140.09","559.99","554.39","Course n°2 | Finale B"
"Lyse Brichet","K1D","146.12","596.64","620.42","Course n°2 | Finale B"
"Jeanne Pecot","K1D","146.4","457.08","623.49","Course n°2 | Finale B"
"Berenice Kolenc","K1D","149.59","82.26","658.41","Course n°2 | Finale B"
"Lea Hubert","K1D","159.26","586.67","764.27","Course n°2 | Finale B"
"Oceane Baylacq","K1D","164.59","318.62","822.62","Course n°2 | Finale B"
"Lucile Cans","K1D","166.04","629.26","838.5","Course n°2 | Finale B"
"Clarisse Hoogland","K1D","178.39","552.96","973.7","Course n°2 | Finale B"
"Ismaella Khattou","K1D","372.55","704.41","3099.34","Course n°2 | Finale B"
"Youlia Estanguet","K1DM","148.84","607.93","650.19","Course n°2 | Finale B"
"Amelie Leclercq","K1DM","152.66","675.8","692.01","Course n°2 | Finale B"
"Aurore Poirot","K1DM","213.65","1067.67","1359.73","Course n°2 | Finale B"
"Pauline Rouilhet","K1DM","Des","-","-","Course n°2 | Finale B"
"Hippolyte Cail","K1H","91.81","180.83","156.5","Course n°2 | Finale B"
"Hugo Crepeau","K1H","92.05","165.21","159.47","Course n°2 | Finale B"
"Bryan Seiler","K1H","95.64","220.17","203.88","Course n°2 | Finale B"
"Theo Lecomte","K1H","98.94","261.58","244.71","Course n°2 | Finale B"
"Valentin Courtiade","K1H","99.82","262.03","255.59","Course n°2 | Finale B"
"Elliot Perez","K1H","101","345.56","270.19","Course n°2 | Finale B"
"Pascal Dongarra","K1H","104.8","374.15","317.2","Course n°2 | Finale B"
"Alois Bertrand","K1H","105.19","373.11","322.03","Course n°2 | Finale B"
"Jean Christophe Erdois","K1H","107.57","327.57","351.47","Course n°2 | Finale B"
"Lionel Blank","K1H","108.35","-","361.12","Course n°2 | Finale B"
"Eric Vidou","K1H","108.85","420.49","367.3","Course n°2 | Finale B"
"Jeremy Rouchereau","K1H","110.94","406.6","393.16","Course n°2 | Finale B"
"Antonin Maystre","K1H","111.95","354.59","405.65","Course n°2 | Finale B"
"Jules Besson","K1H","114.06","526.49","431.76","Course n°2 | Finale B"
"Yanis Clerc","K1H","114.23","432.28","433.86","Course n°2 | Finale B"
"Jean Yves Courtiade","K1H","114.3","459.25","434.73","Course n°2 | Finale B"
"Marc Sarramea","K1H","114.54","377.72","437.7","Course n°2 | Finale B"
"Stephane Perilhou","K1H","115.26","461.76","446.6","Course n°2 | Finale B"
"Robin Julier","K1H","115.57","521.58","450.44","Course n°2 | Finale B"
"Denis Vintrou","K1H","115.66","619.67","451.55","Course n°2 | Finale B"
"Pierre Adrien Plantion","K1H","116.24","494.11","458.73","Course n°2 | Finale B"
"Baptiste Riviere","K1H","118.51","431.52","486.81","Course n°2 | Finale B"
"Gauthier Sanchou","K1H","120.39","506.06","510.07","Course n°2 | Finale B"
"Tom Gonzales","K1H","121.02","604.49","517.86","Course n°2 | Finale B"
"Florian Giraud","K1H","124.99","389.59","566.97","Course n°2 | Finale B"
"Robin Genty","K1H","128.41","511.27","609.28","Course n°2 | Finale B"
"Jean Dayraut","K1H","128.46","555.38","609.9","Course n°2 | Finale B"
"Anthony Jonot","K1H","128.52","716.78","610.64","Course n°2 | Finale B"
"Iyelmo Padova","K1H","128.82","533.06","614.36","Course n°2 | Finale B"
"Damien Caillard","K1H","128.97","583.77","616.21","Course n°2 | Finale B"
"Compton Cruickshank","K1H","130.37","533.51","633.53","Course n°2 | Finale B"
"Maxime Pourret","K1H","130.86","575.77","639.59","Course n°2 | Finale B"
"Clement Sempe","K1H","132.39","772.66","658.52","Course n°2 | Finale B"
"Alexis Goussebayle","K1H","133.54","693.25","672.75","Course n°2 | Finale B"
"Lucas Mauer","K1H","135.62","552.99","698.48","Course n°2 | Finale B"
"Renaud Clerc","K1H","137.35","639.04","719.88","Course n°2 | Finale B"
"Alexandre Dubrous","K1H","139.65","596.78","748.33","Course n°2 | Finale B"
"Theophile Prunetfoch","K1H","141.63","618.06","772.83","Course n°2 | Finale B"
"Camille Poirot","K1H","148.5","624.05","857.82","Course n°2 | Finale B"
"Luc Sarramea","K1H","148.52","231.5","858.07","Course n°2 | Finale B"
"Samuel Taillefer","K1H","159.43","443.82","993.03","Course n°2 | Finale B"
"Daniel Lafitte","K1H","160.33","786.73","1004.17","Course n°2 | Finale B"
"Frederic Reus","K1H","163.98","458.27","1049.32","Course n°2 | Finale B"
"Mathias Rodrigues","K1H","174.33","349.69","1177.36","Course n°2 | Finale B"
"Bastien Darmayan","K1H","176.91","755.62","1209.28","Course n°2 | Finale B"
"Hugo Lavedan","K1H","179.51","835.51","1241.45","Course n°2 | Finale B"
"Theo Laudrin","K1H","183.86","-","1295.26","Course n°2 | Finale B"
"Mateo Gaudin","K1H","187.58","-","1341.28","Course n°2 | Finale B"
"Nicolas Peyroux","K1H","740.71","1190.79","8184.12","Course n°2 | Finale B"
"Antonin Beyneix","K1H","Des","-","-","Course n°2 | Finale B"
"Matthieu Desbons","K1H","Abd","-","-","Course n°2 | Finale B"
"Gedeon Cothias-faure","K1HM","117.91","500.12","479.39","Course n°2 | Finale B"
"Cedric Landreau","K1HM","121.96","517.17","529.49","Course n°2 | Finale B"
"Matt Vidou","K1HM","128.79","676.69","613.98","Course n°2 | Finale B"
"Lohan Wyon","K1HM","139.74","833.18","749.45","Course n°2 | Finale B"
"Maxime Reubrez","K1HM","145","601.14","814.52","Course n°2 | Finale B"
"Thomas TerrÉ","K1HM","146.84","760.24","837.28","Course n°2 | Finale B"
"Paul Gobert","K1HM","148.28","628.69","855.1","Course n°2 | Finale B"
"Baptiste San Nicolas","K1HM","149.05","591.48","864.62","Course n°2 | Finale B"
"Romain Guichet","K1HM","175.32","791.92","1189.61","Course n°2 | Finale B"
"Cyprien Cail","K1HM","180.03","829.49","1247.88","Course n°2 | Finale B"
"Julien Dubarry","K1HM","199.66","611.66","1490.72","Course n°2 | Finale B"
"Pierre Arsuffi","K1HM","246.38","1564.47","2068.7","Course n°2 | Finale B"
"ThÉo Palumbo","K1HM","253.45","1109.54","2156.17","Course n°2 | Finale B"
"Jules Maitre","K1HM","Des","-","-","Course n°2 | Finale B"
"Baptiste Mondin","K1HM","Abs","-","-","Course n°2 | Finale B"
