"Sélectif régional de slalom de Cergy - Cergy - 2006-10-15","Course 1","2006-10-15","Régional","260"
"Donatien Lamoureux","C1H","285.97","434","692",""
"William Ozanne","C1H","288.13","-","706",""
"Joel Ramillon","C1H","288.71","-","710",""
"Gilles Gaud","C1H","288.83","424","710",""
"Jacques Nardeau","C1H","290.48","517","721",""
"Pierre Maillard","C1H","308.21","405","832",""
"Sertier Remi","C1H","319.98","-","907",""
"Mazillier Romain","C1H","399.46","762","1407",""
"Bernard Cerney","C1H","483.04","-","1931",""
"Deguil Eric- Gaspard Remi","C2H","195.12","30","65",""
"Sebastien Andrieu-Pierre Pans","C2H","219.27","249","211",""
"Monvoisin Benoit- Granger Terence","C2H","227.69","264","261",""
"Teddy Poulard-Jeremy Bretteville","C2H","230.69","323","279",""
"Allemandou Fabien- Darcillon Bastien","C2H","236.79","310","315",""
"Vallee Quentin- Schwentzel Geoffroy","C2H","253.31","-","415",""
"Burgard Jean Roch- Chauvary Hugo","C2H","286.03","718","612",""
"Simon Boulan-Axel Le Nevanic","C2H","287.67","-","621",""
"Carre Germain- Noiret Aurelien","C2H","304.36","-","722",""
"Jerome Lacire-Jerome Mailfait","C2H","313.83","492","779",""
"Bechade Olivier- Hetier Louis","C2H","328.54","-","866",""
"Delaplace Baptiste- Delaplace Ophelie","C2M","281.21","-","582",""
"Rigal Louis Philippe- Lesigne Agathe","C2M","300.20","-","697",""
"Walfard Matthieu- Igier Manon","C2M","306.96","-","737",""
"Claire Landrin","K1D","202.10","53","75",""
"Ophelie Delaplace","K1D","203.53","49","83",""
"Caroline Loir","K1D","205.55","120","95",""
"Caroline Bourry","K1D","205.79","56","97",""
"Anne Sophie Le Bailly","K1D","219.69","148","178",""
"Beuvin Camille","K1D","220.05","245","180",""
"Lesigne Agathe","K1D","220.68","-","183",""
"Melina Letellier","K1D","228.12","179","228",""
"Pauline Soenen","K1D","229.22","230","233",""
"Harmony Thery","K1D","230.27","150","240",""
"Flora Bove","K1D","236.25","219","274",""
"Julie Paoletti","K1D","243.99","281","320",""
"Sophie Machiels","K1D","248.24","284","345",""
"Fiora Bourges","K1D","249.64","292","353",""
"Lea Feuillard","K1D","253.03","278","373",""
"Nathalie Gil","K1D","257.22","293","397",""
"Chloe Gatuingt","K1D","258.99","400","407",""
"Camille Gil","K1D","261.10","333","420",""
"Godron Camille","K1D","264.21","-","438",""
"Celia Jodar","K1D","273.66","361","493",""
"Remy Julie","K1D","274.99","332","501",""
"Heroui Lynda","K1D","280.24","593","532",""
"Vinzend Ingrid Thuy Vi","K1D","286.40","349","567",""
"Clara Dos Santos","K1D","307.18","-","689",""
"Alize Bachelot","K1D","355.74","434","973",""
"Cart Sophie","K1D","363.51","-","1018",""
"Marion Gallois","K1D","374.31","494","1082",""
"Delecolle Audrey","K1D","502.83","944","1833",""
"Pierre Devaux","K1H","176.99","23","63",""
"Christophe Augu","K1H","178.81","36","75",""
"Louis Philippe Rigal","K1H","179.65","90","80",""
"Quentin Bove","K1H","180.54","42","87",""
"Ciaran Heurteau","K1H","180.82","51","88",""
"Yoann Hautecloche","K1H","181.42","95","92",""
"Xavier Jourdain","K1H","182.92","105","102",""
"Ronan Lucas","K1H","183.00","104","103",""
"Benjamin Buys","K1H","183.01","65","103",""
"Gregory Busson","K1H","185.17","112","117",""
"Benjamin Thouvignon","K1H","186.05","103","123",""
"Olivier Machiels","K1H","186.39","145","125",""
"Michel Gombert","K1H","186.85","136","128",""
"Benoit Letellier","K1H","186.93","113","129",""
"Paul Brier","K1H","187.61","55","133",""
"De Berchen Sebastien","K1H","188.36","93","138",""
"Vincent Reiter","K1H","188.74","152","140",""
"Jeremy Cremonesi","K1H","189.05","142","142",""
"Oswald Besch","K1H","189.47","105","146",""
"Julien Daumont","K1H","190.57","139","153",""
"Vincent Hannedouche","K1H","191.01","-","155",""
"Dupont Eric","K1H","191.47","212","158",""
"Anthony Thuillier","K1H","192.25","170","164",""
"Le Berte Maxime","K1H","193.68","193","173",""
"Samuel Lhegu","K1H","194.32","228","178",""
"Alexis Caspar","K1H","194.40","175","178",""
"Brogniart Arnaud","K1H","194.47","127","179",""
"Benoit Chantry","K1H","194.51","-","179",""
"Emile Devaux","K1H","195.49","169","186",""
"Lismonde Alexandre","K1H","197.21","-","197",""
"Mehdi Amini","K1H","197.98","144","202",""
"Julien Haberland","K1H","198.59","179","206",""
"Quentin Vallee","K1H","198.59","182","206",""
"Fabien Tournadre","K1H","198.86","141","207",""
"Loic Monbel","K1H","199.60","181","212",""
"Nicolas Germay","K1H","199.69","-","213",""
"Gilles Flores","K1H","199.89","219","214",""
"Quentin Burgi","K1H","200.28","276","216",""
"Louison Tanet","K1H","201.03","294","222",""
"Philippe Daumont","K1H","201.08","158","222",""
"Mathieu Haberland","K1H","202.59","227","232",""
"Alexandre Guerinet","K1H","202.66","269","232",""
"Julien Fougeron","K1H","203.11","-","236",""
"Florian Perenchio","K1H","203.80","200","240",""
"Bajolet Julien","K1H","204.00","230","241",""
"Sergent Sylvain","K1H","204.45","231","245",""
"Billel Khenchouche","K1H","204.50","237","245",""
"Didier Niel","K1H","204.64","222","246",""
"Bertrand Avril","K1H","205.31","252","250",""
"Jodar Sebastien","K1H","205.90","292","254",""
"Guillaume Maraquin","K1H","206.97","267","261",""
"Antoine Lebastard","K1H","207.92","236","267",""
"Fourneau Ianis","K1H","208.49","-","271",""
"Mickael Louchard","K1H","208.93","306","274",""
"Thomas Monvoisin","K1H","209.17","300","275",""
"Franck Dessaint","K1H","209.21","205","275",""
"Romain Viry","K1H","210.09","229","281",""
"Gaetan Dheilly","K1H","210.89","283","287",""
"Romain Content","K1H","211.26","297","289",""
"Sebastien Tester","K1H","211.57","359","291",""
"Lismonde Jean Batiste","K1H","212.42","-","297",""
"Yves Debailleul","K1H","212.53","-","298",""
"Bastien Darcillon","K1H","212.89","271","300",""
"Laville Alexandre","K1H","213.61","356","305",""
"Boris Sacre","K1H","214.15","235","308",""
"Maxime Cousin","K1H","214.42","-","311",""
"Matthieu Walfard","K1H","214.49","361","311",""
"Philippe Valeri","K1H","215.15","335","315",""
"Keuterick Yohan","K1H","215.15","360","315",""
"Simon Boulan","K1H","215.89","-","320",""
"Quentin Moreaux","K1H","216.79","323","325",""
"Domingo Benoit","K1H","217.80","293","332",""
"Bonnin Sylvain","K1H","217.82","283","332",""
"Bastien Belembert","K1H","218.05","425","334",""
"Guillaume Doutreix","K1H","218.18","279","334",""
"Dupont Pierrick","K1H","218.96","-","340",""
"Florian Lefebvre","K1H","219.54","435","343",""
"Loic Gobert","K1H","221.06","365","354",""
"Thibault Dhennin","K1H","221.91","387","359",""
"Germain Carre","K1H","222.71","318","365",""
"Guillaume Sebastien","K1H","223.23","411","368",""
"Bensabeur Frederic","K1H","223.56","-","371",""
"Viratelle Vincent","K1H","224.05","333","374",""
"Thomas Plomion","K1H","224.39","399","376",""
"Timothee Venot","K1H","224.78","284","379",""
"Creuza Jeremy","K1H","224.92","-","380",""
"Quentin Dheilly","K1H","225.11","422","381",""
"Valentin Casse","K1H","226.13","333","388",""
"Julien Signarbieux","K1H","226.81","603","392",""
"Jean-noel Avril","K1H","226.82","283","392",""
"Dutois Pierre","K1H","227.22","-","395",""
"Jemaa Souleyk","K1H","227.73","-","398",""
"Jerome Mailfait","K1H","230.30","375","415",""
"Antoine Deffontaine","K1H","231.86","381","425",""
"Gerard Lafargue","K1H","233.06","415","433",""
"Stephane Helle","K1H","233.81","-","438",""
"Camille Mege","K1H","234.02","384","440",""
"Romain Lemaire","K1H","234.06","532","440",""
"Ludovic Lino","K1H","234.26","-","441",""
"Desemerie Thomas","K1H","235.32","432","448",""
"Jess Masson","K1H","236.48","436","456",""
"Averlant Alexis","K1H","236.71","370","457",""
"Domenger Paul","K1H","237.52","629","463",""
"Dinally Ganny","K1H","238.25","-","467",""
"Mannier Quentin","K1H","239.16","322","473",""
"Barnavon Nicolas","K1H","239.32","-","474",""
"Hetier Louis","K1H","240.27","-","481",""
"Remi Deblangy","K1H","240.34","-","481",""
"Rayssac Fabien","K1H","240.39","622","482",""
"Stephane Sagnier","K1H","241.58","335","489",""
"Monbel Romain","K1H","242.04","492","492",""
"Remy Daumont","K1H","242.59","393","496",""
"Thibault Gautherot","K1H","242.99","405","499",""
"Hugo Chauvary","K1H","243.33","666","501",""
"Barnavon Guillaume","K1H","243.68","-","504",""
"Logan Nannette","K1H","244.32","663","507",""
"Etienne Carpentier","K1H","245.63","-","516",""
"Joffrey Lemeux","K1H","246.37","455","521",""
"Sebastien Dupont","K1H","246.69","-","523",""
"Romaric Baron","K1H","247.98","-","532",""
"Mehdi Rouich","K1H","248.01","-","532",""
"Nicolas Feuillard","K1H","248.21","-","533",""
"Le Nevanic Axel","K1H","249.15","-","539",""
"Gaetan Kieffert","K1H","249.30","353","540",""
"Le Nevanic Gerald","K1H","251.10","550","552",""
"Yoann Turowsky","K1H","252.06","481","558",""
"Lahaye Noe","K1H","253.06","-","565",""
"Denis Parizia","K1H","255.55","-","582",""
"Salinie Sylvain","K1H","257.32","433","593",""
"Alexandre Peslin","K1H","257.75","404","596",""
"Cheron Valentin","K1H","259.08","487","605",""
"Paul Bornier","K1H","261.69","-","622",""
"Romain Faurie","K1H","266.40","-","654",""
"Albertelli Romain","K1H","266.58","490","655",""
"Frechon Camille","K1H","270.73","693","682",""
"Jeremy Huguenin","K1H","273.31","490","699",""
"Adel Faycal","K1H","276.65","317","721",""
"Berenger Bonnard","K1H","277.94","551","730",""
"Simon Philibert","K1H","281.47","275","752",""
"Gest Elliot","K1H","281.52","-","754",""
"Guillaume Cochut","K1H","283.16","-","764",""
"Benko Morgan","K1H","283.62","-","767",""
"Matthieu Rousseau","K1H","287.55","597","793",""
"Calmon Tom","K1H","294.49","-","839",""
"Romain Bove","K1H","294.67","134","840",""
"Thomas Viratelle","K1H","297.67","401","860",""
"Emmanuel Despont","K1H","301.33","595","884",""
"Aurelien Noiret","K1H","303.55","510","899",""
"Paul Poulet","K1H","312.17","272","956",""
"Gaillot Mathias","K1H","315.78","-","980",""
"Louis Piot","K1H","318.91","-","1000",""
"Benjamin Fourmet","K1H","328.01","352","1060",""
"Alexandre Avril","K1H","331.34","-","1082",""
"Maxime Dubuisson","K1H","354.67","1036","1236",""
"Roberge Sebastien","K1H","357.23","408","1253",""
"Villeneuve Vincent","K1H","370.87","-","1343",""
"Kronovsek Patrick","K1H","370.95","-","1344",""
"Adam Florent","K1H","403.08","-","1555",""
"Benoit Mercier","K1H","408.79","-","1594",""
"Paul Batrel","K1H","430.39","-","1736",""
"Louis Firmin","K1H","439.45","-","1796",""
"Henry Théophile","K1H","454.71","576","1897",""
"Gwizdziel Guillaume","K1H","473.43","888","2020",""
"Camille Simonin","K1H","474.10","703","2025",""
"Jerome Urbanczyk","K1H","476.12","1167","2038",""
