"Sélectif Régional - Cergy-Pontoise - 2009-10-18","Course 1","2009-10-18","Régional","331"
"Oriane Rebours-Yoann Rebours","C2M","112.94","269","248",""
"Laurine Naveau-Henri Despont","C2M","122.49","496","358",""
"Emilie Hernandez-brossard-Kevin Lucas Mendes","C2M","131.88","515","466",""
"Catherine Boulan-Xavier Jourdain","C2M","136.98","407","525",""
"Marie Borlet","K1D","92.25","47","58",""
"Elisa Venet","K1D","93.27","49","71",""
"Ophelie Delaplace","K1D","93.40","58","72",""
"Oriane Rebours","K1D","93.55","47","74",""
"Anne Sophie Le Bailly","K1D","97.92","79","127",""
"Emilie Chamouleau","K1D","98.02","69","128",""
"Emilie Hernandez-brossard","K1D","99.03","133","140",""
"Pauline Soenen","K1D","102.35","160","180",""
"Clara Dos Santos","K1D","104.63","203","206",""
"Celia Jodar","K1D","105.06","250","212",""
"Camille Grezard","K1D","105.08","223","212",""
"Juliette Legendre","K1D","105.31","293","215",""
"Sophie Machiels","K1D","106.21","202","226",""
"Marion Gallois","K1D","106.93","171","234",""
"Laurine Naveau","K1D","108.73","276","256",""
"Fiora Bourges","K1D","108.88","149","257",""
"Camille Gil","K1D","109.44","289","264",""
"Lea Feuillard","K1D","110.92","237","282",""
"Alize Bachelot","K1D","115.65","263","339",""
"Flora Huvelin","K1D","116.39","-","347",""
"Camille Andrieux","K1D","119.56","385","385",""
"Stephanie Bender","K1D","120.00","347","390",""
"Camille Godron","K1D","120.15","296","392",""
"Laurence Carrecabe","K1D","120.27","350","394",""
"Marine Vegnaduzzo","K1D","125.52","404","457",""
"Marion Laurain","K1D","128.34","354","490",""
"Camille Beuvin","K1D","128.89","-","497",""
"Juliette Pitrey","K1D","131.72","504","531",""
"Melodie Aiech","K1D","156.12","344","823",""
"Suzon Bachmann","K1D","173.48","595","1030",""
"Emmanuelle Delrue","K1D","236.16","435","1781",""
"Clothilde Charbeaux","K1D","239.89","496","1825",""
"Elise Turowsky","K1D","446.15","-","4294",""
"Mathilde Bouquin","K1D","524.32","-","5230",""
"Agathe Villien","K1D","Nt","-","-",""
"Chloe Gatuingt","K1D","Nt","-","-",""
"Boris Neveu","K1H","81.57","3","58",""
"Ronan Lucas","K1H","82.43","32","69",""
"Christophe Augu","K1H","83.10","26","78",""
"Renaud Doby","K1H","83.28","11","81",""
"Jeremy Cremonesi","K1H","83.83","41","88",""
"Christophe Marechal","K1H","84.36","36","96",""
"Louis Philippe Rigal","K1H","84.86","39","102",""
"Vincent Reiter","K1H","85.07","63","105",""
"Romain Bove","K1H","85.27","158","107",""
"Benoit Letellier","K1H","86.01","65","117",""
"Oswald Besch","K1H","86.52","28","125",""
"Xavier Jourdain","K1H","86.67","95","127",""
"Benjamin Thouvignon","K1H","87.37","98","136",""
"Yoann Rebours","K1H","87.40","237","136",""
"Julien Daumont","K1H","87.42","127","136",""
"Samuel Lhegu","K1H","87.55","66","139",""
"Quentin Moreaux","K1H","87.65","154","140",""
"Pierre Baux","K1H","88.17","-","147",""
"Nicolas Feuillard","K1H","88.82","139","156",""
"Emile Devaux","K1H","89.10","69","159",""
"Didier Niel","K1H","89.11","163","159",""
"Michel Gombert","K1H","89.29","153","162",""
"Axel Marais","K1H","89.37","147","163",""
"Yves Debailleul","K1H","89.45","163","164",""
"Philippe Daumont","K1H","89.83","166","169",""
"Mathieu Godin","K1H","90.03","211","172",""
"Nicolas Germay","K1H","90.08","-","173",""
"Mehdi Rouich","K1H","90.15","182","173",""
"Benoit Chantry","K1H","90.48","128","178",""
"Victor Paulais","K1H","90.51","211","178",""
"Venceslas Viseur","K1H","90.59","174","180",""
"Tristan Lejot","K1H","90.72","220","182",""
"Emmanuel Moreau","K1H","90.91","177","184",""
"Etienne Baudu","K1H","90.93","-","184",""
"Julien Fougeron","K1H","91.14","202","187",""
"Simon Deboysson","K1H","91.30","157","189",""
"Antoine Dubost","K1H","91.39","-","190",""
"Simon Boulan","K1H","91.70","187","195",""
"Gael Wassmer","K1H","91.79","188","196",""
"Matthieu Walfard","K1H","92.33","208","203",""
"Nicolas Arnoult","K1H","92.74","233","209",""
"Thomas Monvoisin","K1H","92.82","182","210",""
"Jan Baudet","K1H","93.42","222","218",""
"Alexandre Lismonde","K1H","93.43","279","218",""
"Quentin Vallee","K1H","94.04","200","226",""
"Guillaume Arnaud","K1H","94.13","211","228",""
"Maxime Degesves","K1H","94.15","-","228",""
"Ludovic Lino","K1H","94.18","174","228",""
"Arnaud Delattre","K1H","94.30","296","230",""
"Evence Granger","K1H","94.55","-","233",""
"Jeansebastien Simonklein","K1H","95.08","212","240",""
"Mickael Louchard","K1H","95.19","187","242",""
"Florian Perenchio","K1H","95.40","202","244",""
"Louis Valadon","K1H","95.76","-","249",""
"Maxime Poupart","K1H","95.76","-","249",""
"Kevin Lucas Mendes","K1H","95.81","151","251",""
"Nicolas Dupres","K1H","96.48","218","259",""
"Guillaume Cochut","K1H","96.69","268","262",""
"Mathieu Monvoisin","K1H","96.76","243","263",""
"Louis Hetier","K1H","96.85","-","264",""
"Maxime Cousin","K1H","97.01","314","267",""
"Guillaume Le Floch Decorchemont","K1H","97.05","-","267",""
"Quentin Mannier","K1H","97.13","-","268",""
"Jeremy Bretteville","K1H","97.22","252","269",""
"Gaetan Kieffert","K1H","97.23","215","269",""
"Quentin Chopart","K1H","97.28","303","270",""
"Damien Jacques","K1H","97.30","285","270",""
"Christophe Gosselin","K1H","97.33","244","271",""
"Antoine Germay","K1H","97.52","-","273",""
"Jean-loup Bachmann","K1H","97.61","352","274",""
"Maxime Huvelin","K1H","97.74","442","276",""
"Frederic Bensabeur","K1H","97.96","-","280",""
"Bastien Pailler","K1H","98.08","-","281",""
"Germain Carre","K1H","98.09","248","281",""
"Gaspard Vivien","K1H","98.22","329","283",""
"Lorrie Delattre","K1H","98.27","-","284",""
"Quentin Dheilly","K1H","98.29","256","284",""
"Olivier Bechade","K1H","98.43","-","286",""
"Alexandre Paulais","K1H","98.70","-","289",""
"Thomas Viratelle","K1H","98.95","366","292",""
"Arnaud Gallois","K1H","99.05","-","294",""
"Tom Barthelemy","K1H","99.44","354","299",""
"Adrien Helbert","K1H","99.45","-","299",""
"Yoann Turowsky","K1H","99.92","281","305",""
"Jeanchristophe Laroque","K1H","100.00","353","306",""
"Vincent Fontaine","K1H","100.30","-","311",""
"Jerome Boudin","K1H","100.39","421","312",""
"Gerard Lafargue","K1H","100.50","317","314",""
"Tom Lay","K1H","101.13","446","323",""
"Riwan Guillermic","K1H","101.22","-","324",""
"Vincent Nicolosi","K1H","101.43","305","326",""
"Maxime Boisgontier","K1H","102.17","292","337",""
"Thomas Theunissen","K1H","102.27","542","338",""
"Vianney Tillier","K1H","102.30","256","338",""
"Gaetan Leroux","K1H","102.62","358","342",""
"Guilherme Goncalves Maghin","K1H","103.62","293","356",""
"Gaspard Gindt","K1H","103.88","314","359",""
"Thomas Letellier","K1H","104.07","395","361",""
"Philippe Valeri","K1H","104.16","286","363",""
"Camille Mege","K1H","105.08","-","375",""
"Alexandre Marteau","K1H","105.23","-","377",""
"Antoine Decambon","K1H","105.67","396","384",""
"Florian Souchaire","K1H","106.53","346","395",""
"Stephane Helle","K1H","106.53","371","395",""
"Lancelot Meillier","K1H","107.12","310","403",""
"Nicolas Delaunoy","K1H","107.48","-","408",""
"Thibault Dhennin","K1H","107.92","323","414",""
"Alexis Averlant","K1H","108.13","-","417",""
"Nicolas Girault","K1H","108.65","396","424",""
"Jeremy Huguenin","K1H","109.31","343","432",""
"Xavier Leclercq","K1H","109.62","500","437",""
"Aurelien Noiret","K1H","110.27","453","445",""
"Kevin Pantofel","K1H","110.91","405","454",""
"Jerome Mailfait","K1H","110.92","470","455",""
"Antoine Lecocq","K1H","111.41","473","461",""
"Thomas Van Craenenbroeck","K1H","111.89","434","468",""
"Jess Masson","K1H","112.24","295","472",""
"Sebastien Dupont","K1H","112.38","-","474",""
"Nicolas Leconte","K1H","112.83","448","481",""
"Remy Daumont","K1H","113.57","454","490",""
"Clement Sannier","K1H","114.98","460","510",""
"Vincent Gales","K1H","114.99","462","510",""
"Louka Bachmann","K1H","115.14","590","512",""
"Morgan Candas","K1H","115.44","-","515",""
"Loic Ozeray","K1H","116.14","434","525",""
"Benjamin Defrocourt","K1H","117.22","474","540",""
"Victor Moraine","K1H","117.55","912","544",""
"Thomas Lesage","K1H","117.93","-","550",""
"Sebastien Roberge","K1H","119.92","-","576",""
"Steve Bruniquel","K1H","120.17","-","580",""
"Adrien Goetink","K1H","120.43","357","583",""
"Corentin Marteau","K1H","121.06","-","591",""
"Guillaume Quintaine","K1H","121.31","-","595",""
"Nicolas Petipez","K1H","121.60","553","599",""
"Christophe Dufresne","K1H","121.74","522","601",""
"Vinny Cornet","K1H","122.11","-","605",""
"Romain Postaire","K1H","122.14","387","607",""
"Olivier Ranucci","K1H","126.09","496","659",""
"Pierre Gulli","K1H","126.79","-","669",""
"Baptiste Humbert","K1H","129.97","-","712",""
"Valentin Millet Naas","K1H","131.26","652","729",""
"Wilhelm Heimburger","K1H","136.97","507","807",""
"Guillaume Doutreix","K1H","141.09","219","863",""
"Pierre Devaux","K1H","142.08","61","875",""
"Florian Plault","K1H","142.37","-","880",""
"Maxime Dubuisson","K1H","152.17","-","1012",""
"Yoann Nurit","K1H","162.12","391","1147",""
"Vincent Villeneuve","K1H","162.90","-","1157",""
"Edouard Gracias","K1H","165.46","403","1192",""
"Xavier Montenoise","K1H","167.43","449","1219",""
"Victor Duhamel","K1H","167.69","-","1222",""
"Matthieu Rousseau","K1H","168.29","327","1230",""
"Eric Bernard","K1H","169.18","564","1242",""
"Francois Palant","K1H","170.44","-","1259",""
"Alexandre Degeeter","K1H","170.48","595","1259",""
"Paul Moutinho","K1H","171.22","-","1270",""
"Joe Cook","K1H","174.48","-","1314",""
"Adrien Barlier","K1H","176.18","663","1337",""
"Antoine Martin","K1H","181.08","490","1404",""
"Elie Mahfouz","K1H","182.07","479","1416",""
"Arnaud Jorand","K1H","182.86","1383","1427",""
"Pierre Dampeyrou","K1H","183.03","-","1429",""
"Romain Decotte","K1H","183.55","-","1437",""
"Maxime Hanique","K1H","227.58","-","2032",""
"Lucas Bandin","K1H","235.55","-","2140",""
"Denis Martin","K1H","249.97","513","2335",""
"Quentin Anfrey","K1H","265.83","-","2549",""
"Jean Marc Lejot","K1H","267.88","593","2577",""
"Thomas Postaire","K1H","273.86","-","2658",""
"Marc Laurent","K1H","314.22","734","3204",""
"Remi Lengagne","K1H","315.72","500","3225",""
"Quentin Prevot","K1H","329.25","512","3407",""
"Mehdy Lakenal","K1H","373.93","-","4011",""
"Nicolas Guerin","K1H","375.42","927","4031",""
"Yoann Hautecloche","K1H","Nt","-","-",""
"Gregory Busson","K1H","Nt","-","-",""
"Valentin Casse","K1H","Nt","-","-",""
"Etienne Carpentier","K1H","Nt","-","-",""
"Romain Lemaire","K1H","Nt","-","-",""
"Gaetan Dheilly","K1H","Nt","-","-",""
"Hugo Chauvary","K1H","Nt","-","-",""
"Sami Fossat","K1H","Nt","-","-",""
"Elliot Gest","K1H","Nt","-","-",""
"Leo Boulard","K1H","Nt","-","-",""
"Cedric Meynier","K1H","Nt","-","-",""
"Bastien Darcillon","K1H","Nt","-","-",""
"Mehdi Nedjma","K1H","Nt","-","-",""
"Flavien Odile","K1H","Nt","-","-",""
"Benjamin Poutonnet","K1H","Nt","-","-",""
"Jeremy Bouchet","K1H","Nt","-","-",""
"Jacky Bachelot","K1H","Nt","-","-",""
"Jose Santos","K1H","Nt","-","-",""
"Arnaud Allibert","K1H","Nt","-","-",""
"Florian El Assali","K1H","Nt","-","-",""
"Julien Antide","K1H","Nt","-","-",""
"Martin Fraipont","K1H","Nt","-","-",""
