"Sélectif Régional - Espace Eaux Vives du Pilat Rhodanien - 2012-09-30","Course 3","2012-09-30","Régional","310"
"Aurore Pellegrini","K1D","217.21","1103.31","1054.25",""
"Beatrice Favre","K1D","221.71","-","1093.99",""
"Melanie Bordier","K1D","227.48","160.65","1144.92",""
"Stephanie Bourdin","K1D","238.76","390.41","1244.49",""
"Myriam Boulard","K1D","245.94","-","1307.87",""
"Marie Boyer","K1D","316.2","516.94","1928.09",""
"Angele Picco","K1D","321.9","469.28","1978.41",""
"Jade Vassallo","K1D","Nt","-","-",""
"Tiffany Fourt","K1D","Nt","-","-",""
"Deborah Bouchenot","K1D","Nt","-","-",""
"Zoe Chinal","K1D","Nt","-","-",""
"Michaela Daille","K1D","Nt","-","-",""
"Anais Couturier","K1D","Nt","-","-",""
"Marine Tournier","K1D","Nt","-","-",""
"Charlotte Paulien","K1D","Nt","-","-",""
"Melanie Palazy","K1D","Nt","-","-",""
"Helene Thuret","K1D","Nt","-","-",""
"Annaelle Meheut","K1D","Nt","-","-",""
"Jimy Bercon","K1H","89.54","14.54","30",""
"Renaud Doby","K1H","91.61","19.26","50.65",""
"Kevin Schultz","K1H","93","31.69","64.51",""
"Martin Dougoud","K1H","93.69","34.75","71.4",""
"Thomas Schmitt","K1H","94.61","34.89","80.57",""
"William Desnos","K1H","94.7","42.23","81.47",""
"Remi Baudot","K1H","95.13","67.29","85.76",""
"Jonathan Chapatte","K1H","95.16","67.09","86.06",""
"Andy Pajani","K1H","95.22","26.44","86.66",""
"Nicolas Abbal","K1H","95.38","60.39","88.25",""
"Jeremy Cremonesi","K1H","95.41","21.26","88.55",""
"Boris Chenal","K1H","96.24","52.43","96.83",""
"Enzo Seker","K1H","97.09","77.23","105.31",""
"Emmanuel Sarazin","K1H","97.8","97.42","112.39",""
"Sylvain Dandel","K1H","98.67","95.71","121.07",""
"Titouan Dupras","K1H","99.28","108.52","127.16",""
"Hugues Parisse","K1H","99.37","153.17","128.06",""
"Bertrand Bercon","K1H","99.57","106.49","130.05",""
"Pascal Ferry","K1H","100.39","94.88","138.23",""
"Aubry Bertin","K1H","100.39","91.95","138.23",""
"Jean Baptiste Thiel","K1H","100.88","122.81","143.12",""
"Jonas Le Morvan","K1H","101","109.76","144.31",""
"Maxime Faivre","K1H","101.08","146.63","145.11",""
"Vincent Gerdeaux","K1H","101.33","120.08","147.61",""
"Alexandre Lismonde","K1H","101.5","116.57","149.3",""
"Emeric Vibert","K1H","101.52","95.43","149.5",""
"Thibault Gibert","K1H","101.95","68.82","153.79",""
"Martin Daviet","K1H","101.99","37.22","154.19",""
"Julien Coudert","K1H","103.08","134.37","165.06",""
"William Gettliffe","K1H","103.58","147.21","170.05",""
"Erwan Cadio","K1H","103.61","151.86","170.35",""
"Cedric Bron","K1H","103.71","119.26","171.35",""
"Thomas Janeriat","K1H","103.81","160.25","172.34",""
"Valentin Vibert","K1H","104.01","119.46","174.34",""
"Antonin Elne","K1H","104.18","116.03","176.04",""
"Dimitri Durannot","K1H","104.35","172.94","177.73",""
"Yoann Mourier","K1H","104.37","205.08","177.93",""
"Sullivan Porcher","K1H","104.41","35.15","178.33",""
"Anthony Deschamps","K1H","104.9","150.23","183.22",""
"Hafiz Ali Hassan","K1H","105.03","183.59","184.51",""
"Julien Signarbieux","K1H","105.24","164.56","186.61",""
"Sebastien Lepaulard","K1H","105.33","169.89","187.51",""
"Julien Jeanningros","K1H","105.47","222.44","188.9",""
"Maxime Le Morvan","K1H","105.96","132.35","193.79",""
"Jeremy Vibert","K1H","106.41","163.8","198.28",""
"Quentin Duhamel","K1H","106.52","180.96","199.38",""
"Axel Kournwsky","K1H","106.62","179.91","200.37",""
"Adrien Picco","K1H","106.74","189.01","201.57",""
"Romain Delachenal","K1H","107.65","187.09","210.65",""
"Paul Jean","K1H","107.75","129.69","211.65",""
"Corentin Talancieux","K1H","107.83","190.65","212.44",""
"Antoine Gaillard","K1H","108.62","178.85","220.33",""
"Boris Doye","K1H","109.05","-","224.61",""
"Julien Beltrami","K1H","109.15","181.71","225.61",""
"Jeremy Boisgibault","K1H","109.22","216.71","226.31",""
"Thomas Neime","K1H","109.32","198.23","227.31",""
"Pierrealain Clerc","K1H","110.18","223.46","235.89",""
"Thomas Denais","K1H","110.74","187.81","241.47",""
"Elie Miquel","K1H","110.8","188.46","242.07",""
"Guillaume Affortit","K1H","110.88","238.91","242.87",""
"Valentin Bigonet","K1H","111.43","164.42","248.36",""
"Hippolyte Brunier","K1H","111.45","190.88","248.55",""
"Thomas Dandel","K1H","111.45","80.64","248.55",""
"Mathieu Lions","K1H","111.8","293.47","252.05",""
"Cedric Mace","K1H","111.91","246.34","253.14",""
"Alain Ferry","K1H","111.98","211.34","253.84",""
"Vincent Rat","K1H","111.99","207.29","253.94",""
"Adrien Tappero","K1H","112.13","202.43","255.34",""
"Adrien Reinard","K1H","112.18","234.26","255.84",""
"Daniel Geay","K1H","112.28","209.29","256.83",""
"Baptiste Podor","K1H","112.58","267.51","259.83",""
"Leo Fournier","K1H","112.64","213.29","260.43",""
"Antoine Beguer","K1H","112.86","176.61","262.62",""
"Olivier Bourgey","K1H","113.14","151.78","265.41",""
"Francis Gaillard","K1H","113.59","242.95","269.9",""
"Guillaume Jardin","K1H","113.79","254.39","271.9",""
"Martin Rombi","K1H","116.09","-","294.84",""
"Xavier Rat","K1H","116.21","227.8","296.04",""
"Ronan Cordier","K1H","116.4","230.7","297.93",""
"Benoit Morand","K1H","117.16","-","305.51",""
"Loic Joly","K1H","117.62","286.13","310.1",""
"Sebastien Manteau","K1H","117.63","307.89","310.2",""
"Morgan Meffre","K1H","118.47","446.4","318.58",""
"Stephane Boulanger","K1H","118.66","-","320.48",""
"Lilian Querry","K1H","118.67","249.46","320.58",""
"Alexis Mercoirol","K1H","122.24","351.52","356.19",""
"Damien Ferraud","K1H","122.79","234.28","361.67",""
"Elie Miton","K1H","122.99","344.25","363.67",""
"Louis Masson","K1H","123.33","338.16","367.06",""
"Philippe Lelieur","K1H","124.69","321.66","380.63",""
"Alex Piotte","K1H","125.68","206.33","390.5",""
"Hugo Lelieur","K1H","126","438.23","393.69",""
"Thomas Baudelet","K1H","126.1","294.05","394.69",""
"Dylan Bard","K1H","126.4","326.27","397.68",""
"Emmanuel Triomphe","K1H","126.56","225.39","399.28",""
"Kevin Guyard","K1H","126.94","426.12","403.07",""
"Yannick Grizaud","K1H","127.33","285.3","406.96",""
"Louis Burignat","K1H","127.46","343.39","408.26",""
"Theophile Gaillard","K1H","127.81","320.98","411.75",""
"Victorien Lombard","K1H","127.95","374.67","413.14",""
"Vincent Cedolini","K1H","128.5","361.57","418.63",""
"Gaetan Viallard","K1H","130.72","-","440.78",""
"Marc Janeriat","K1H","131.54","449.01","448.95",""
"Mathieu Monier","K1H","131.76","430.96","451.15",""
"Pierre Cauwet","K1H","133.09","-","464.42",""
"Ollivier Paumier","K1H","134.01","357.36","473.59",""
"Mathieu Chossat","K1H","134.62","308.7","479.68",""
"Keryann Brest","K1H","135.33","346.91","486.76",""
"Florent Bernard","K1H","135.82","307.14","491.65",""
"Francois Lecuit","K1H","136.54","-","498.83",""
"Martin Chiche","K1H","136.77","-","501.12",""
"Corentin Mounier","K1H","136.85","472.34","501.92",""
"Matteo Dardonville","K1H","136.88","422.42","502.22",""
"Pacome Ricciardi","K1H","137.59","381.11","509.3",""
"Jordan Bard","K1H","138.06","327.22","513.99",""
"Marc Le Morvan","K1H","138.78","386.54","521.17",""
"Pierre Louis Debuigne","K1H","140.48","512.62","538.13",""
"Anselm Arnaud","K1H","143.23","450.42","565.56",""
"Anthony Claveyroles","K1H","143.73","478.83","570.55",""
"Sylvain Ferry","K1H","144.73","232.96","580.53",""
"Vincent Maire","K1H","145.99","412.11","593.1",""
"Thomas Rosset","K1H","146.01","12.12","593.29",""
"Theo Taillebois","K1H","148.66","-","619.73",""
"Cyril Audoit","K1H","148.88","533.62","621.92",""
"Emilien Senneret","K1H","151.47","538.84","647.76",""
"Claude Breuzard","K1H","152.13","478.58","654.34",""
"Luis Brisson","K1H","154.28","-","675.79",""
"Virgile Pigache-donnet","K1H","155.33","67.44","686.26",""
"Paul Roubaud","K1H","156.54","584.86","698.33",""
"Julien Guillerault","K1H","157.23","269.61","705.22",""
"Jerome Burignat","K1H","158.09","821.62","713.79",""
"Maurice Pubert","K1H","163.49","604.17","767.66",""
"Florent Rambaud","K1H","166.16","187.62","794.29",""
"Morgan Hoarau","K1H","175.88","535.49","891.25",""
"Arnaud Deletraz","K1H","178.99","523.13","922.27",""
"Xavier Monnet","K1H","182.16","-","953.9",""
"Clement Gourmelon","K1H","183.08","316.2","963.07",""
"Thibaut Semiond","K1H","192.9","500.69","1061.03",""
"Ange Bernard","K1H","205.31","666.86","1184.82",""
"Loic Blanco","K1H","235.94","-","1490.36",""
"Loic Collard","K1H","243.49","611.25","1565.67",""
"Joffrey Skandera","K1H","318.31","-","2312.01",""
"Maxime Benay","K1H","374.79","528.29","2875.4",""
"Emile Devaux","K1H","399.05","32.99","3117.4",""
"Ayoub Roger","K1H","401.71","780.77","3143.93",""
"Pierre Morgan Carville","K1H","461.18","-","3737.15",""
"Hugo Serratrice","K1H","Nt","-","-",""
"Yann Maignant","K1H","Nt","-","-",""
"Francois Emin","K1H","Nt","-","-",""
"Jonathan Himpens","K1H","Nt","-","-",""
"Loic Vichard","K1H","Nt","-","-",""
"Benjamin Duchene","K1H","Nt","-","-",""
"Benoit Renaudier","K1H","Nt","-","-",""
"Benoit Dubath","K1H","Nt","-","-",""
"Corentin Quignard","K1H","Nt","-","-",""
"Jonathan De Coninck","K1H","Nt","-","-",""
"Benoit Jacquot-bertrand","K1H","Nt","-","-",""
"Edouard Grosjean","K1H","Nt","-","-",""
"Quentin Dheilly","K1H","Nt","-","-",""
"Jean Francois Bry","K1H","Nt","-","-",""
"Frederic Morand","K1H","Nt","-","-",""
"Vincent Garcia","K1H","Nt","-","-",""
"Gaetan Drouin","K1H","Nt","-","-",""
"Leo Bernard","K1H","Nt","-","-",""
"Patrice Fischer","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Thibaut Bernot","K1H","Nt","-","-",""
"Tristan Lejot","K1H","Nt","-","-",""
"Gary Allemann","K1H","Nt","-","-",""
"Arthur Bernot","K1H","Nt","-","-",""
"Etienne Carpentier","K1H","Nt","-","-",""
"Willy Hugedet","K1H","Nt","-","-",""
