"Slalom Bertrand-Réals (Double Sélectif Régional) - Cessenon sur Orb - Course n°2 | Qualification - 2018-10-07","Course n°2 | Qualification","2018-10-07","Régional","136"
"Nour Ait Kaddour","K1H","100.27","269.42","364.95",""
"Guilhem Viguier","K1H","100.44","297.73","367.2",""
"Tom Zanfini","K1H","101.6","318.26","382.6",""
"Alex Baldoni","K1H","101.73","360.29","384.33",""
"Valentin Berland","K1H","101.82","314.17","385.53",""
"Alexis Guillon","K1H","102.33","507.75","392.3",""
"Kilian Cottet","K1H","102.33","342.47","392.3",""
"Gregoire Pouille","K1H","102.66","332.5","396.68",""
"Corentin Georgeon","K1H","102.82","352.04","398.8",""
"Martin Rombi","K1H","103.21","398.95","403.98",""
"Julien Ojard-chillet","K1H","103.46","363.86","407.3",""
"Marin Saint Macary","K1H","103.97","476.51","414.07",""
"Baptiste Gaillard","K1H","104.96","316.72","427.21",""
"Hugo Crespo","K1H","105.08","300.57","428.8",""
"Eric Vidou","K1H","105.63","464.59","436.11",""
"Rutger Hoedemaker","K1H","106.25","479.29","444.34",""
"Gael Villar","K1H","107.35","477.47","458.94",""
"Jacques Roisin","K1H","107.51","387.74","461.06",""
"Lohan Wyon","K1H","108.35","517.67","472.21",""
"Amaury Viguier","K1H","109.97","1071","493.72",""
"Remi Dolcin Tillant","K1H","110.27","494.29","497.7",""
"Leo Parnotte","K1H","110.63","515.94","502.48",""
"Benoit Pacteau","K1H","111.38","507.46","512.44",""
"Pierrick Bresson","K1H","111.53","494.66","514.43",""
"Louis Scalbert","K1H","114.72","547.68","556.78",""
"Frederic Reus","K1H","115.7","414.32","569.79",""
"Baptiste Moret","K1H","116.11","536.55","575.23",""
"Herve Clerc","K1H","117.44","363.26","592.89",""
"Matt Vidou","K1H","118.12","437.51","601.92",""
"Raphael Bonnard","K1H","119.49","490.76","620.1",""
"Arthur Sanchez","K1H","122.84","566.72","664.58",""
"Alexandre Weiler","K1H","123.69","504.5","675.86",""
"Bruno Lamothe","K1H","128.63","617.36","741.44",""
"Luc Doye","K1H","142.08","291.37","920",""
"MatÉo Million","K1H","142.44","1051.36","924.78",""
"Sylvain Lauth","K1H","143.13","965.26","933.94",""
"Jules Maitre","K1H","144.08","1087.95","946.55",""
"Francois Mouttou","K1H","161.85","1164.2","1182.46",""
"Abel Boidron","K1H","162.57","481.35","1192.02",""
"Victor Dhumieres","K1H","177.04","1018.37","1384.11",""
"Tom Deconchy","K1H","185.49","143.63","1496.29",""
"Bary Caron","K1H","204.36","1110.28","1746.8",""
"Valerian Touzet","K1H","297.69","2042.24","2985.81",""
"Tino Forgues","K1H","Abs","-","-",""
"Felix Praderie","K1H","Abs","-","-",""
"Jerome Julien","K1H","Abs","-","-",""
"Raphael Duval","K1H","Des","-","-",""
"Mateo Destruel","K1H","Des","-","-",""
"Jean Charles Creusot Walter","K1H","Abs","-","-",""
"Timeo Canonico","K1HM","107.82","534.45","465.18",""
"Clement Claret","K1HM","111.49","496.69","513.9",""
"Matteo Roubaud","K1HM","120.51","538.01","633.65",""
"Florian Malaval","K1HM","122.31","493.68","657.54",""
"Theo Bertauts","K1HM","128.53","798.22","740.12",""
"Thomas Buffet","K1HM","128.65","512.82","741.71",""
"Rafael Parnotte","K1HM","130.08","762.1","760.69",""
"Walid Belkoussa","K1HM","137.87","892.03","864.11",""
"Gael Touron","K1HM","185.33","1308.3","1494.17",""
"Antonin Bretecher","K1HM","189.78","873.1","1553.25",""
"Wilfrid Pinto De Magalhaes","K1HM","228.99","1915.55","2073.78",""
"Raphael Herzlich","K1HM","229.95","926.49","2086.53",""
"Gael Rivier","K1HM","236.22","800.93","2169.76",""
"Bryan Bertrand","K1HM","246.43","1891.45","2305.31",""
"William Varela","K1HM","309.87","995","3147.51",""
"Arthur Piqueras","K1HM","387.77","968.48","4181.68",""
