"Sélectif Régional Slalom (Double) - 14690 Pont D Ouilly - Course n°1 | Finale - 2019-02-02","Course n°1 | Finale","2019-02-02","Régional","150"
"Leo Tellier","C1H","173.26","984.22","1515.66","Course n°1 | Finale B"
"Hugo Baillet","C1H","Abs","-","-","Course n°1 | Finale B"
"Vincent Dorchat","C1H","Des","-","-","Course n°1 | Finale B"
"Kevin Tanay","C1H","Abs","-","-","Course n°1 | Finale B"
"Yunis Delahaye","C1HM","153.04","993.97","1228.74","Course n°1 | Finale B"
"Nino Lechevallier","C1HM","281.97","1574.89","3058.16","Course n°1 | Finale B"
"Lubin Brionne","C1HM","306.8","1284.84","3410.46","Course n°1 | Finale B"
"Zoe Dronne-Guillaume Cahagne","C2MM","190.78","-","1425.86","Course n°1 | Finale B"
"Salome Huet","K1D","124.35","599.6","696.74","Course n°1 | Finale B"
"Eloise Riviere","K1D","135.54","593.39","844.28","Course n°1 | Finale B"
"Alexia Evrard","K1D","136.45","631.66","856.27","Course n°1 | Finale B"
"Nine Meyer","K1D","139.72","654.26","899.39","Course n°1 | Finale B"
"Daphnee Mouchelet","K1D","142.8","695.46","940","Course n°1 | Finale B"
"Estelle Brodin","K1D","173.31","833.9","1342.27","Course n°1 | Finale B"
"Ophelie Lailler","K1D","269.36","645.21","2608.65","Course n°1 | Finale B"
"Orlane Colmant","K1DM","152.81","866.03","1071.97","Course n°1 | Finale B"
"Camille Jaroszewski","K1DM","166.83","883.41","1256.82","Course n°1 | Finale B"
"Thea Oliviero","K1DM","168.75","2294.36","1282.13","Course n°1 | Finale B"
"Zoe Dronne","K1DM","179.98","1813.38","1430.2","Course n°1 | Finale B"
"Yohan Marck","K1H","89.97","433.1","397.66","Course n°1 | Finale B"
"Cosme Duboc","K1H","93.71","545.34","453.38","Course n°1 | Finale B"
"Quentin Angot","K1H","94.11","367.3","459.34","Course n°1 | Finale B"
"Romain Bouillon","K1H","95.37","466.28","478.12","Course n°1 | Finale B"
"Franck Cahagne","K1H","100.01","683.75","547.24","Course n°1 | Finale B"
"Mathias Vautier","K1H","105.51","822.52","629.19","Course n°1 | Finale B"
"LÉo Bossiere","K1H","105.53","726.73","629.49","Course n°1 | Finale B"
"Kevin Tanay","K1H","109.54","534.05","689.23","Course n°1 | Finale B"
"Loan Guyomarch","K1H","111.09","629.42","712.32","Course n°1 | Finale B"
"Mathis Andrieu","K1H","114.38","644.54","761.34","Course n°1 | Finale B"
"Vincent Dorchat","K1H","115.3","712.02","775.04","Course n°1 | Finale B"
"Sebastien Masseline","K1H","117.92","717.34","814.08","Course n°1 | Finale B"
"Thomas Brunet","K1H","117.96","869.32","814.68","Course n°1 | Finale B"
"Tom Raynaud","K1H","119.56","781.87","838.51","Course n°1 | Finale B"
"Pierre Yves Tempier","K1H","120.85","722.45","857.73","Course n°1 | Finale B"
"Lucas Ferloni","K1H","124.7","726.49","915.09","Course n°1 | Finale B"
"Alain Regnier","K1H","128.29","1722.25","968.58","Course n°1 | Finale B"
"Theo Griffit","K1H","129.48","933.91","986.31","Course n°1 | Finale B"
"Alexandre Mauger","K1H","138.88","852.8","1126.35","Course n°1 | Finale B"
"Geoffroy Lauth","K1H","151.18","775.24","1309.61","Course n°1 | Finale B"
"Leo Tellier","K1H","151.51","735.06","1314.52","Course n°1 | Finale B"
"Enzo Hecquet","K1H","160.68","754.09","1451.15","Course n°1 | Finale B"
"Denis Marrocos","K1H","162.24","1271.12","1474.39","Course n°1 | Finale B"
"Alexandre Leroy","K1H","169.74","686.67","1586.13","Course n°1 | Finale B"
"Tom Armand","K1H","175.24","689.44","1668.07","Course n°1 | Finale B"
"Thomas Coueffe","K1H","199.78","1271.69","2033.68","Course n°1 | Finale B"
"Thomas Gossieaux","K1H","224.56","606.98","2402.87","Course n°1 | Finale B"
"Axel Tempier","K1H","253.16","813.38","2828.97","Course n°1 | Finale B"
"Gatien Bocage","K1H","253.19","1460.3","2829.42","Course n°1 | Finale B"
"Brieuc Aubron","K1H","265.54","1033.21","3013.42","Course n°1 | Finale B"
"Timothee Clep","K1HM","124.04","814.25","905.26","Course n°1 | Finale B"
"Guillaume Cahagne","K1HM","147.25","1307.58","1251.06","Course n°1 | Finale B"
"Virgile Lematre","K1HM","194.19","3378.75","1950.4","Course n°1 | Finale B"
"Raphael Malo","K1HM","199.76","1884.11","2033.38","Course n°1 | Finale B"
"Jonas Huet","K1HM","207.92","2027.52","2154.96","Course n°1 | Finale B"
"Elliot Lelievre","K1HM","276.85","5317.17","3181.92","Course n°1 | Finale B"
"Jules Vimond","K1HM","353.59","2110.39","4325.24","Course n°1 | Finale B"
