"Sélectif Régional - Réals - 2013-10-05","Course 1","2013-10-05","Régional","159"
"Julie Labarelle","K1D","96.7","57.33","186.83",""
"Coralie Yebenes","K1D","107.71","141.35","322.22",""
"Violaine Truche","K1D","108.75","-","335.02",""
"Noa Bouchardon","K1D","108.78","225.04","335.39",""
"Marion Delorme","K1D","109","161.25","338.09",""
"Mana Thomas","K1D","109.41","171.25","343.14",""
"Armelle Canali","K1D","114.24","149.9","402.52",""
"Elsa Cailhol","K1D","116.72","275.65","433.02",""
"Melanie Palazy","K1D","126.24","233.33","550.09",""
"Melanie Connes-lessard","K1D","126.93","502.57","558.57",""
"Annie Ughetto","K1D","131.02","-","608.88",""
"Delia Forgues","K1D","138.39","260.96","699.51",""
"Agathe Gewiss","K1D","161.54","-","984.2",""
"Morgane Foligne","K1D","188.61","658","1317.07",""
"Audeline Lombard","K1D","195.95","-","1407.34",""
"Alysson Goyat","K1D","202.22","811.52","1484.45",""
"Marine Izac","K1D","245.84","419.93","2020.87",""
"Margot Berge","K1D","444.73","-","4466.67",""
"Lise Lacoue-labarthe","K1D","Nt","-","-",""
"Juliette Bonetti","K1D","Nt","-","-",""
"Julia Cuchi Vila","K1D","Nt","-","-",""
"Lorene Scalbert","K1D","Nt","-","-",""
"Romain Chabrol","K1H","82.49","33.28","143.96",""
"Bryan Seiler","K1H","83.45","45.18","157.3",""
"Adrien Roussel","K1H","85.04","104.15","179.39",""
"Bastien Salame","K1H","85.92","-","191.62",""
"Guillaume Graille","K1H","86.08","64.08","193.84",""
"Bernard Babi","K1H","86.81","-","203.99",""
"Tristan Levrien","K1H","87.28","167.97","210.52",""
"Alexandre Lismonde","K1H","87.71","91.44","216.5",""
"Otello Willmann Rosso","K1H","88.19","153.04","223.17",""
"Virgile Pigache-donnet","K1H","88.64","40.38","229.42",""
"Jonathan Delagnes","K1H","88.88","37.08","232.75",""
"Alexandre Pouille","K1H","89","144.87","234.42",""
"Vincent Garcia","K1H","89.38","123.59","239.7",""
"Denis Delaleux","K1H","90.17","283.17","250.68",""
"Jean-francois Souville","K1H","90.89","126.9","260.68",""
"Nicolas Ciemniewski","K1H","91.38","136.8","267.49",""
"Guillaume Picco","K1H","92.04","-","276.67",""
"Clement Guiraud","K1H","92.83","-","287.64",""
"Olivier Octobre","K1H","92.92","-","288.89",""
"Benoit Jacquot-bertrand","K1H","94.2","202.83","306.68",""
"Pablo Guillem","K1H","96.09","255.91","332.94",""
"Leo Bernard","K1H","96.75","109.58","342.11",""
"Hugo Crepeau","K1H","97.25","-","349.06",""
"Nicolas Durand","K1H","97.56","-","353.37",""
"Mathieu Lions","K1H","97.59","244.96","353.78",""
"Brieuc Cadic","K1H","98.96","-","372.83",""
"Arthur Gaudron","K1H","99.78","224.26","384.22",""
"Sebastien Riou","K1H","99.88","220.41","385.61",""
"Gregoire Pouille","K1H","100.22","-","390.34",""
"Quentin Clerc","K1H","100.99","-","401.03",""
"Louis Midy","K1H","104.23","258.01","446.06",""
"Frederic Reus","K1H","105.51","-","463.84",""
"Adrian Lauer","K1H","106.17","360.71","473.02",""
"Valentin Pahon","K1H","106.44","137.75","476.77",""
"Etienne Klatt","K1H","107.3","300.54","488.72",""
"Nicolas Manoussos","K1H","109.71","-","522.2",""
"Lucas Lavit","K1H","110.56","341.44","534.01",""
"Cyril Audoit","K1H","110.57","464.22","534.15",""
"Lucas Maurin","K1H","111.44","431.19","546.25",""
"Marc Cailhol","K1H","112.34","358.5","558.76",""
"Julien Delaleux","K1H","113.17","440.72","570.29",""
"Pioerre-calixte Gaydon-ohl","K1H","118.73","472.56","647.55",""
"Moana Durand","K1H","119.27","-","655.05",""
"Valentin Affortit","K1H","120.23","-","668.39",""
"Simon Demer","K1H","120.82","554.7","676.59",""
"Amaury Viguier","K1H","126.97","-","762.06",""
"Tom Deconchy","K1H","127.59","-","770.66",""
"Olivier Bachelot","K1H","148.01","-","1054.42",""
"Jean Baptsite Cans","K1H","149.87","307.96","1080.27",""
"Victor Demer","K1H","154.37","-","1142.8",""
"Luc Ciappara","K1H","159.12","1144.63","1208.81",""
"Franck Leroy","K1H","163.79","-","1273.7",""
"Ugo Guillois","K1H","166.93","-","1317.34",""
"Benjamin Joly","K1H","172.4","526.56","1393.34",""
"Vincent Ardonceau","K1H","174.63","-","1424.34",""
"Loic Thibaut","K1H","177.05","-","1457.96",""
"Teo Deconchy","K1H","180.68","308.65","1508.4",""
"Paul Sailhac","K1H","184.16","-","1556.76",""
"Louis Foissac","K1H","189.56","-","1631.8",""
"Hugo Avril","K1H","196.93","-","1734.22",""
"Eric Vuiet","K1H","199.86","-","1774.93",""
"Fabien Leist","K1H","207.83","354.49","1885.68",""
"Yvannick Moisan","K1H","217.37","-","2018.24",""
"Jorge Andres Hoyos Ramirez","K1H","226.7","-","2147.9",""
"Ayoub Roger","K1H","278.82","-","2872.16",""
"Lucas Ferro","K1H","420.08","-","4835.11",""
"Jules Collarde","K1H","483.85","-","5721.25",""
"Samuel De Severac","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Valentin Bigonet","K1H","Nt","-","-",""
"Leo Fournier","K1H","Nt","-","-",""
"Ronan Cordier","K1H","Nt","-","-",""
"Jean Francois Bry","K1H","Nt","-","-",""
"Nicolas Alran","K1H","Nt","-","-",""
"Maxime Garcia","K1H","Nt","-","-",""
"Robin Plancade","K1H","Nt","-","-",""
"Jeanluc Nitard","K1H","Nt","-","-",""
"Olivier Blanc","K1H","Nt","-","-",""
"Seraphin Margot","K1H","Nt","-","-",""
"David Bernardeau","K1H","Nt","-","-",""
"David Dih","K1H","Nt","-","-",""
"Alexis Saut","K1H","Nt","-","-",""
"Damien Laborde","K1H","Nt","-","-",""
