"Championnat d'Aquitaine de slalom - Pau - 2007-02-11","Course 1","2007-02-11","Régional","160"
"Damien Laborde","K1H","193.40","30","123",""
"Hugo Cailhol","K1H","193.75","185","126",""
"Louis Georges Lafont","K1H","194.19","88","128",""
"Sylvain Mendez","K1H","194.98","165","134",""
"Yoan Minvielle","K1H","195.16","31","135",""
"Yoann Gottardo","K1H","195.21","167","135",""
"Loris Minvielle","K1H","195.38","36","136",""
"Florian Berail","K1H","195.54","41","137",""
"Thomas Dauvet","K1H","198.42","206","156",""
"Chirez Frederic","K1H","198.54","183","157",""
"Bernis Camille","K1H","198.68","47","157",""
"Chirez Pierre","K1H","199.01","152","159",""
"Boris Doye","K1H","200.34","193","168",""
"Axel Mulle","K1H","200.35","186","168",""
"Baylacq Didier","K1H","200.42","-","168",""
"Cheutin Jean-Yves","K1H","200.97","-","172",""
"Benoit Molinier","K1H","201.27","30","174",""
"Arnaud Hybois","K1H","201.50","-","175",""
"Thomas Rieu","K1H","201.77","200","177",""
"Franck Peyrical","K1H","202.06","183","179",""
"Bastien Salame","K1H","203.12","245","185",""
"Benoit Rouffet","K1H","204.43","56","195",""
"Adrien Ponassie","K1H","204.86","-","197",""
"Jonathan Delagnes","K1H","207.06","156","211",""
"Olivier Cain","K1H","207.09","208","211",""
"Remy Guerinet","K1H","207.64","174","214",""
"Marc Darribere","K1H","210.26","241","232",""
"Colin Molinier","K1H","210.63","-","234",""
"Boris Lesimple","K1H","210.88","237","236",""
"Manuel Legros","K1H","211.52","269","240",""
"Frederic Descot","K1H","213.35","283","251",""
"Sylvain Colonnier","K1H","214.30","365","258",""
"Roman Thoreau","K1H","214.35","-","258",""
"Tayeel Aymeric","K1H","214.80","308","260",""
"Francois Cauchi","K1H","215.27","281","264",""
"Hugues Lesimple","K1H","215.42","266","265",""
"Cassagne Geoffroy","K1H","215.63","399","266",""
"Jeancharles Bernis","K1H","216.13","342","270",""
"Heugas Jeremy","K1H","216.78","-","274",""
"Franck Guarderia","K1H","217.50","-","279",""
"Julien Lenaour","K1H","218.19","267","282",""
"Nicolas Le Provost","K1H","221.36","325","303",""
"Tony Deshayes","K1H","223.93","-","320",""
"Benjamin Sanella","K1H","225.64","650","331",""
"Jean-daniel Bost","K1H","227.57","590","343",""
"Manuel Dolie","K1H","227.58","457","343",""
"Maxime Thomas","K1H","228.98","-","352",""
"Peyre Maxime","K1H","229.19","363","354",""
"Yoan Dalla Longa","K1H","229.38","366","355",""
"Alain Minvielle","K1H","230.28","-","360",""
"Stanislas Pradeleix","K1H","230.55","486","363",""
"Herve Mars","K1H","233.40","438","380",""
"Mathieu Pouchet","K1H","233.55","346","381",""
"Colin Beziade","K1H","234.72","477","389",""
"Marc Cailhol","K1H","235.33","437","393",""
"Loic Pierre","K1H","235.44","528","394",""
"Nasser Belabdi","K1H","236.41","449","400",""
"Theo Levy-lozata","K1H","238.62","505","415",""
"De Teyssiere Thomas","K1H","239.48","-","419",""
"Saüt Bertrand","K1H","240.20","-","424",""
"Baptiste Soulat","K1H","242.37","-","439",""
"Thomas Ducoms","K1H","242.87","-","441",""
"Nicolas Neveu","K1H","245.94","477","462",""
"Bertrand Gourrat","K1H","246.44","149","464",""
"Guillaume Marmer","K1H","252.99","-","507",""
"Pailhassar Pierre","K1H","254.79","-","518",""
"Valentin Rouge","K1H","254.95","-","519",""
"Antony Alves","K1H","257.75","699","538",""
"Thomas Wingerter","K1H","259.65","-","549",""
"Patrick Parage","K1H","262.27","1000","567",""
"Jean Bernard Lacave","K1H","269.32","-","612",""
"Igor Verdy","K1H","269.56","725","614",""
"Benjamin Martin","K1H","274.25","616","644",""
"Martin Erik","K1H","274.68","-","646",""
"Robin Bourianne","K1H","276.99","1214","661",""
"Slaghuis Maarten","K1H","277.31","-","663",""
"Jean Luc Pessoni","K1H","278.29","773","669",""
"Pierson Alfred","K1H","282.75","-","698",""
"Pierrick Gaudin","K1H","282.96","369","699",""
"Pierre-antoine Comby","K1H","295.04","-","777",""
"Gregoire Olivier","K1H","301.25","857","818",""
"Benoit Sergent","K1H","320.54","-","941",""
"Sebastien Mathieu","K1H","331.04","-","1009",""
"Julien Neymond","K1H","332.80","-","1020",""
"Florian Juanico","K1H","335.83","-","1040",""
"Charlie Baron","K1H","337.49","1002","1050",""
"Leo Slaghuis","K1H","341.73","-","1078",""
"Kevin Deborde","K1H","361.23","-","1203",""
"Anthony Royneau","K1H","363.86","-","1221",""
"Jouzeau Pierre","K1H","378.32","-","1313",""
"Gaetan Robin","K1H","455.99","1212","1813",""
"Da Silva Nicolas","K1H","456.57","-","1817",""
"Gaborit Damien","K1H","490.75","-","2037",""
"Joseph Robert","K1H","753.07","-","3725",""
"Colin Nerestan","K1H","866.13","-","4453",""
