"SLALOM REGIONAL D'ANNEMASSE - Annemasse - 2004-09-19","Course 1","2004-09-19","Régional","156"
"Audrey Astier Perret","K1D","258.13","305","412",""
"Leger Alicia","K1D","261.34","-","430",""
"Lutinier Michelle","K1D","262.22","523","436",""
"Harmony Thery","K1D","265.21","249","453",""
"Marie Bourgey","K1D","265.25","410","453",""
"Lafrais Sandra","K1D","275.28","408","513",""
"Chapuis Nathalie","K1D","298.04","703","648",""
"Lucie Beaudet","K1D","305.40","1035","692",""
"Tiphanie Borlet","K1D","315.96","-","756",""
"Le Borgne Melanie","K1D","341.02","938","905",""
"Valla Justine","K1D","343.94","558","922",""
"Sirerol Gaelle","K1D","346.28","588","936",""
"Carine Chapuis","K1D","360.58","-","1021",""
"Anxionnaz Marion","K1D","370.30","-","1079",""
"Crost Karine","K1D","372.40","1462","1091",""
"Raphaelle Hovine","K1D","389.64","-","1194",""
"Maurilieras Laura","K1D","410.53","-","1318",""
"Gaudin Marianne","K1D","670.58","-","2865",""
"Baillon Nicolas","K1H","177.08","37","66",""
"Cedric Bron","K1H","179.12","122","80",""
"Pallud Renaud","K1H","182.56","36","103",""
"Davy Egraz","K1H","182.57","56","103",""
"Julien Tous","K1H","183.41","69","108",""
"Renaud Doby","K1H","183.92","103","112",""
"Patrice Fischer","K1H","185.84","68","126",""
"Nicolas Labat","K1H","186.93","110","133",""
"Benoit Fer","K1H","188.20","172","141",""
"Guillaume Provost","K1H","188.32","205","142",""
"Colliex Olivier","K1H","188.70","130","144",""
"Alexandre Schall","K1H","189.73","107","151",""
"Dimitriou Alexandre","K1H","189.91","207","152",""
"Hafiz Ali Hassan","K1H","190.09","164","153",""
"Julien Beltrami","K1H","192.36","151","170",""
"Yann Gudefin","K1H","192.68","178","171",""
"Bertrand Bercon","K1H","193.33","148","175",""
"Jonathan Chapatte","K1H","194.61","158","185",""
"Kevin Schultz","K1H","194.83","177","186",""
"Bertrand Lamy","K1H","195.09","178","187",""
"Benjamin Buys","K1H","195.42","105","189",""
"Olivier Hardonniere","K1H","197.42","185","203",""
"Andy Pajani","K1H","197.59","188","204",""
"Boris Lutinier","K1H","198.34","217","209",""
"Hugo Hager","K1H","199.76","194","219",""
"Sebastien Lepaulard","K1H","199.79","189","219",""
"Etienne Daille","K1H","200.99","248","227",""
"Medjeberg Jeremy","K1H","201.21","187","228",""
"Daumas Jeremy","K1H","201.36","248","230",""
"Adrien Roussel","K1H","201.42","252","230",""
"Wadel Florian","K1H","202.53","155","238",""
"Benjamin Travostino","K1H","203.69","-","245",""
"Alain Ferry","K1H","203.69","236","245",""
"Pascal Ferry","K1H","203.79","186","246",""
"Delfs Yann","K1H","203.86","197","246",""
"Thomas Rosset","K1H","205.64","-","258",""
"Despax Cedric","K1H","205.73","-","258",""
"Guillaume Gery","K1H","205.87","344","260",""
"Bersinger Sylvain","K1H","206.92","253","267",""
"Olivier Bourgey","K1H","208.58","304","278",""
"Keller Paco","K1H","209.12","201","282",""
"Jeremiah Mosch","K1H","211.29","248","297",""
"Berthiaud Gregory","K1H","212.09","-","301",""
"Chassain Nathael","K1H","214.66","363","318",""
"Palix Lorin","K1H","217.60","265","339",""
"Martin Moreau","K1H","217.90","385","340",""
"Yan Labeye","K1H","220.94","-","361",""
"Ballini Yoann","K1H","221.15","292","362",""
"Philippe Jules","K1H","222.09","372","369",""
"Morel Jeremie","K1H","225.04","444","389",""
"Fabrice Madier","K1H","225.36","390","391",""
"Philippe Chapatte","K1H","225.61","398","392",""
"Hager Yoan","K1H","226.72","362","400",""
"Jimy Bercon","K1H","227.80","-","407",""
"Felix Balas","K1H","230.34","331","425",""
"Vaucher Dimitri","K1H","232.71","412","441",""
"Vibert Guillaume","K1H","234.04","-","449",""
"Yoann Aupee","K1H","234.16","463","450",""
"Vanier Lucas","K1H","235.01","-","456",""
"Ploix Kevin","K1H","235.35","-","458",""
"Jean Christophe Boivin","K1H","235.69","42","460",""
"Antoine Vinay","K1H","235.81","474","461",""
"Faivre-Pierret Nicolas","K1H","236.27","451","464",""
"Ardito Julien","K1H","236.56","-","466",""
"Girardet Julien","K1H","236.69","851","467",""
"Lecuit François","K1H","236.78","-","467",""
"Cottet Gaydon Francois","K1H","236.95","430","468",""
"Dupriez Julien","K1H","236.98","-","468",""
"Tissot Fabien","K1H","237.75","582","474",""
"Romain Hager","K1H","237.85","-","474",""
"Bessiere Florian","K1H","238.56","409","480",""
"Deswarte Antoine","K1H","239.95","613","489",""
"Laurent Wolf","K1H","243.67","452","513",""
"Sylvain Ferry","K1H","247.94","-","542",""
"Lhermitte Mathieu","K1H","249.15","-","550",""
"Fixary Vincent","K1H","250.64","-","561",""
"Contamine Raphael","K1H","251.68","-","568",""
"Renaud Metereau","K1H","252.08","186","570",""
"Biard Adrien","K1H","252.72","374","575",""
"Thomas Burnoud","K1H","252.99","479","577",""
"Vallet Florian","K1H","253.18","855","578",""
"Descotes Vincent","K1H","259.76","590","622",""
"Dommanget Guillin Yann","K1H","260.92","-","630",""
"Neveu Remi","K1H","264.67","-","655",""
"Guilhem Courduries","K1H","267.63","-","675",""
"Fatou Clement","K1H","277.86","598","744",""
"Manolios Remy","K1H","283.08","-","779",""
"Dalex Karl","K1H","288.39","595","815",""
"Dekerleau Sebastien","K1H","299.85","-","892",""
"Cnapelynck Aurélien","K1H","306.18","1754","934",""
"Monteillier Aymeric","K1H","306.96","-","939",""
"Yanis Burdet","K1H","312.56","-","977",""
"David Robin","K1H","379.33","-","1426",""
"Jeremy Pitton","K1H","438.23","-","1822",""
"Anxionnaz Gildas","K1H","438.77","-","1825",""
