"Sélectif Régional de Slalom à CLISSON - Clisson - Moulin De Plessard - Finale - 2017-04-23","Finale","2017-04-23","Régional","89"
"Timothee Cornu","K1H","99.53","245.31","298.32","Finale A"
"Thomas Brochard","K1H","99.97","280.56","303.88","Finale A"
"Alex Louveau","K1H","100.34","246.85","308.55","Finale A"
"Loann Le Guyader","K1H","100.75","318.54","313.72","Finale A"
"Killian Flegeau","K1H","101.99","302.91","329.37","Finale A"
"Herve Busson","K1H","102.08","233.63","330.5","Finale A"
"Pierre Bourdet","K1H","102.28","250.41","333.03","Finale A"
"Nicolas Couprie","K1H","104.56","-","361.8","Finale A"
"Lucas Soudi","K1H","104.92","324.8","366.34","Finale A"
"Joris Hello","K1H","106.03","402.14","380.35","Finale A"
"Matheo Coquel","K1H","107.14","470.28","394.36","Finale A"
"Erwan Desbordes","K1H","107.57","-","399.78","Finale A"
"GaËtan De Greef","K1H","109.63","412.13","425.78","Finale A"
"Philippe Rocher","K1H","113.42","501.96","473.61","Finale A"
"Malo Hery","K1H","116.92","627.83","517.78","Finale A"
"Lucas Godevin","K1H","117.27","455.74","522.19","Finale A"
"David Ravache","K1H","120.05","490.46","557.27","Finale A"
"Victor Morisset","K1H","154.38","-","990.5","Finale A"
"Armand Fougere","K1HM","119.06","422.93","544.78","Finale A"
"Tom Marchand","K1HM","135.91","1180.95","757.42","Finale A"
"Mael Segaud","K1HM","140.93","783.31","820.77","Finale A"
"Mathis Odot","K1HM","142.05","672.1","834.9","Finale A"
"Mallory Brochard","K1HM","147.19","885.39","899.77","Finale A"
"Noah Ouairy","K1HM","148.91","-","921.47","Finale A"
"Alexandre Dupas","C1H","114.83","274.67","427.4","Finale B"
"Christian Boob","C1H","116.63","392.06","449.03","Finale B"
"Alex Louveau","C1H","120","-","489.54","Finale B"
"Yohan Dupont","C1H","150.29","664.16","853.57","Finale B"
"Romain Branjauneau","C1H","184.95","431.76","1270.14","Finale B"
"Benjamin Borgne","C1H","201.61","-","1470.37","Finale B"
"GaËtan De Greef","C1H","Abs","-","-","Finale B"
"Noah Ouairy","C1HM","378.64","-","3598.01","Finale B"
"Pierre Huan","K1H","102.39","306.16","339.42","Finale B"
"Denis Guilmard","K1H","103.4","259.52","352.16","Finale B"
"Gregory Metayer","K1H","104.15","307.36","361.63","Finale B"
"Clement Collardez","K1H","107.13","374.72","399.23","Finale B"
"Romain Branjauneau","K1H","109.29","258.18","426.49","Finale B"
"Romain Bruneau","K1H","112.34","409.66","464.98","Finale B"
"Gaston Guilmard","K1H","112.86","451.52","471.54","Finale B"
"Tom Suteau","K1H","115.4","-","503.59","Finale B"
"Florian Vauselle","K1H","119.04","-","549.53","Finale B"
"Yohan Dupont","K1H","119.74","428.94","558.36","Finale B"
"Florent Menard","K1H","123.25","510.99","602.66","Finale B"
"Vincent Acou","K1H","126.58","-","644.68","Finale B"
"Yoann Chipeau","K1H","128.24","616.04","665.63","Finale B"
"Louis-felix Marchand","K1H","132.61","610.46","720.78","Finale B"
"Balthazar Supiot","K1H","134.43","-","743.74","Finale B"
"Leonard Gomez","K1H","137.02","-","776.43","Finale B"
"Christian Le Parc","K1H","138.83","665.2","799.27","Finale B"
"Alexis Bizon","K1H","140.99","520.17","826.53","Finale B"
"Vincent Laclide","K1H","156.59","332.52","1023.39","Finale B"
"Benjamin Borgne","K1H","157.4","723.02","1033.61","Finale B"
"TimothÉ Leclerc","K1H","157.81","-","1038.78","Finale B"
"Jean-christophe Dubois","K1H","162.46","861.4","1097.47","Finale B"
"Simon Murzeau","K1H","172.51","-","1224.29","Finale B"
"Gerald Huan","K1H","245.47","-","2145","Finale B"
"Thibaud Chevalier","K1H","Nt","-","-","Finale B"
"Martin Letourneau","K1HM","173.34","-","-","Finale B"
