"SELECTION REGIONAL DE SLALOOM - Foix - 2001-12-09","Course 1","2001-12-09","Régional","167"
"Benoit Peschier","K1H","196.52","33","84",""
"Loris Minvielle","K1H","196.93","55","86",""
"Pallud Renaud","K1H","197.91","48","92",""
"Julien Dekarczyk","K1H","199.81","48","102",""
"Pierre Pans","K1H","200.71","114","107",""
"Deslux Bertrand","K1H","201.93","51","114",""
"Damien Laborde","K1H","202.03","74","115",""
"Brogniart Arnaud","K1H","202.1","39","115",""
"Benoit Rouffet","K1H","202.19","55","116",""
"Aurelien Maynadier","K1H","205.53","101","135",""
"Radureau Lionel","K1H","207.12","98","143",""
"Curinier Sylvain","K1H","209.6","-","157",""
"Arnaud Lapeze","K1H","210.37","79","162",""
"Laousse Yannick","K1H","212.56","169","174",""
"Serret Mathieu","K1H","212.61","171","174",""
"Julien Coudert","K1H","212.75","159","175",""
"Boris Neveu","K1H","213.08","202","177",""
"Guillaume Picco","K1H","213.1","110","177",""
"Benoit Molinier","K1H","214.58","249","185",""
"Regis Bonato","K1H","215.07","175","188",""
"Pascal Laurent","K1H","216.4","-","195",""
"Deslux Richard","K1H","216.8","141","198",""
"Samuel Hernanz","K1H","217.16","185","200",""
"Thomas Jean Pascal","K1H","217.31","78","201",""
"Bibron Florian","K1H","217.57","159","202",""
"Lismonde Alexandre","K1H","217.71","141","203",""
"Canovas Cedric","K1H","218.01","173","205",""
"Larenaudie Sebastien","K1H","218.38","252","207",""
"Nicolas Masson","K1H","219.03","213","210",""
"Remi Dramard","K1H","221.37","245","223",""
"Jeremy Wagner","K1H","221.5","244","224",""
"Hayet Julien","K1H","221.5","231","224",""
"Roques Fabien","K1H","223.16","254","233",""
"Portelli Yoann","K1H","223.23","248","234",""
"Barbaglia Remi","K1H","224.3","229","240",""
"Riou Sebastien","K1H","226.3","250","251",""
"Duquet Guillaume","K1H","226.59","-","253",""
"Renaud Doby","K1H","226.73","262","253",""
"Benoit Fer","K1H","227.11","230","256",""
"Luc Doye","K1H","228.04","204","261",""
"Plantevin Clement","K1H","228.23","-","262",""
"Lapeze Edouard","K1H","228.33","-","262",""
"Verchere Thibault","K1H","228.42","307","263",""
"Yoan Minvielle","K1H","229.14","254","267",""
"Franck Guarderia","K1H","229.75","-","270",""
"Julien Lenaour","K1H","229.94","265","271",""
"Pomies Raphael","K1H","232.22","282","284",""
"Veronel Patrice","K1H","232.34","-","285",""
"Benjamin Buys","K1H","232.54","216","286",""
"Lesquer David","K1H","234.24","126","296",""
"Benoit Guillaume","K1H","234.49","-","297",""
"Benjamin Reig","K1H","235.83","297","304",""
"Florent Boulet","K1H","237.18","363","312",""
"Michel Yannick","K1H","238.12","331","317",""
"Boulet Cyril","K1H","238.47","362","319",""
"Colin Molinier","K1H","238.5","325","319",""
"Yoan Dalla Longa","K1H","240.06","331","328",""
"Frederic Descot","K1H","240.77","298","332",""
"Florian Berail","K1H","241.24","357","335",""
"Gregoire Cayez","K1H","243.65","334","348",""
"Sylvain Follenfant","K1H","244.42","371","353",""
"Fugit Gayraud Sylvain","K1H","244.57","-","353",""
"Aurelien Leroy","K1H","245.01","339","356",""
"Aime Brice","K1H","245.7","-","360",""
"Perilhou Sebastien","K1H","246.86","350","366",""
"Dura Francois","K1H","248.5","-","376",""
"Jeremy Moureaux","K1H","249.12","334","379",""
"Barbaglia Sylvain","K1H","250.21","392","385",""
"Publius Julian","K1H","253.07","-","401",""
"Boris Lesimple","K1H","253.23","327","402",""
"Manuel Legros","K1H","253.29","408","402",""
"Eric Vidou","K1H","254.66","-","410",""
"Bastien Dantin","K1H","255.35","301","414",""
"Olivier Cain","K1H","256.47","386","420",""
"Rouleau Jean-Yves","K1H","256.56","431","421",""
"Barthes Julien","K1H","257.83","-","428",""
"Alain Minvielle","K1H","259.07","439","435",""
"Jonathan Delagnes","K1H","264.78","-","467",""
"Bibonne Kevin","K1H","274.86","-","523",""
"Hugues Lesimple","K1H","281.78","-","562",""
"Pourtau Stephane","K1H","283.8","-","573",""
"Chicane Guylain","K1H","286.18","671","587",""
"Molinier Vincent","K1H","289.69","312","607",""
"Salomon Patrice","K1H","290.82","-","613",""
"Laverdure Sylvain","K1H","293.45","-","628",""
"Aguiar Jimmy","K1H","294.72","-","635",""
"Jonot Anthony","K1H","297.24","-","649",""
"Lay Matthieu","K1H","302.56","444","679",""
"Roso Emilien","K1H","304.56","503","690",""
"Marc Laborde","K1H","305.92","-","698",""
"Dal Castello Vincent","K1H","306.44","-","700",""
"Descombes Fabrice","K1H","312.08","-","732",""
"Adrien Ponassie","K1H","313.92","-","742",""
"Biglione Guilhem","K1H","318.73","-","769",""
"Aymeric Maynadier","K1H","322.99","423","793",""
"Courtade Remi","K1H","325.44","-","807",""
"Celerier Romain","K1H","343.96","-","911",""
"Commanay Florian","K1H","348.77","-","938",""
"Belat Yannick","K1H","358.29","-","991",""
"Geffroy Stephen","K1H","362.39","449","1014",""
"Jose Pereira","K1H","387.36","360","1154",""
"Malot Loic","K1H","395.31","-","1199",""
"Payrastre Guillaume","K1H","442.63","-","1464",""
"Doat Fabien","K1H","484.81","740","1701",""
"Douet Damien","K1H","496.02","-","1764",""
"Ruiz Pierre","K1H","515.45","544","1873",""
"Cabot Julien","K1H","542.86","-","2026",""
"Valerian Boulet","K1H","554.11","-","2089",""
"Martinet Romain","K1H","586.17","-","2269",""
"Minet Damien","K1H","589.14","-","2286",""
