"Sélectif Régional Slalom Foix - Bassin Du Rebech Foix - 2004-10-17","Course 1","2004-10-17","Régional","213"
"Tranchant Florian","K1H","331.41","-","903",""
"Christophe Georget","K1H","332.89","-","913",""
"Valentin Grollemund","K1H","338.22","-","947",""
"Axel Mulle","K1H","345.82","-","994",""
"Marc Cailhol","K1H","357.23","-","1065",""
"Thomas Wingerter","K1H","364.36","722","1110",""
"Bret Guillaume","K1H","372.08","-","1160",""
"Delpeyroux Pierre","K1H","375.74","549","1183",""
"Bastien Seger","K1H","377.18","515","1191",""
"Theo Levy-lozata","K1H","418.14","-","1449",""
"Matabos Sylvain","K1H","441.33","881","1594",""
"Labadie Alexandre","K1H","445.18","-","1618",""
"Sebastien Peres","K1H","483.86","-","1861",""
"Payrastre Guillaume","K1H","750.92","-","3540",""
"Lazaro Martin","K1H","799.01","-","3843",""
"Guilhem Becvort","K1H","906.13","-","4517",""
