"CHALLENGE DU PRINTEMPS - Epinal - 2008-04-26","Course 1","2008-04-26","Régional","167"
"Stephane Abadie-Thomas Stutzmann","C2H","231.11","-","290",""
"Alexandre Mathis-Pierre Melin","C2H","234.49","330","311",""
"Enrick Cunsolo-Thomas Koechlin","C2H","236.41","-","322",""
"Jerome Olhagaray-Jonathan Matern","C2H","237.12","-","327",""
"Florient Tagnon-Remi Thomas","C2H","261.04","-","470",""
"Paul Aubert-Mael Othenin Girard","C2H","262.17","-","477",""
"Nathan Barbier-Thibaut Chariot","C2H","264.95","-","493",""
"Frederic Saguet-Didier Thomas","C2H","285.55","515","616",""
"Andre Kempf-Olivier Arette Hourquet","C2H","295.46","-","676",""
"Thibault Francois-Lucas Ferraina","C2H","360.69","-","1067",""
"Christine Poix-Emmanuel Del Rey","C2M","243.98","511","342",""
"Wojcik Marina- Hacquart Marcantoine","C2M","285.37","-","586",""
"Emilie Saguet-Alexis Collin","C2M","289.83","612","612",""
"Harmony Thery-Arthur Georges","C2M","294.50","-","640",""
"Damien Burteaux-Calypso Freichel","C2M","320.68","-","795",""
"Clotilde Miclo","K1D","189.99","14","54",""
"Andrea De Azevedo","K1D","201.48","84","122",""
"Lea Martin","K1D","205.26","65","146",""
"Anne Traband","K1D","207.43","174","159",""
"Gaelle Tosser-roussey","K1D","219.12","188","230",""
"Flora Bove","K1D","220.77","189","240",""
"Florianne Gautier","K1D","221.72","263","245",""
"Laura Fauste","K1D","223.04","211","253",""
"Harmony Thery","K1D","226.65","199","276",""
"Stephanie Ansot","K1D","228.19","258","285",""
"Carole Pocard","K1D","228.47","60","286",""
"Calypso Freichel","K1D","230.04","283","296",""
"Maud Caspar","K1D","230.10","283","296",""
"Sophie Machiels","K1D","230.16","245","296",""
"Melanie Jambeau","K1D","235.65","350","330",""
"Blanche Legin","K1D","236.51","275","336",""
"Cecile Meichel","K1D","236.58","318","336",""
"Lisa Elasri","K1D","237.16","319","339",""
"Lea Bechereau","K1D","242.06","389","368",""
"Emilie Saguet","K1D","244.42","321","383",""
"Rosalie Kempf","K1D","245.37","350","389",""
"Lorraine Mathis","K1D","249.99","348","417",""
"Sophie Balmossiere","K1D","252.08","299","429",""
"Victorine Gerard","K1D","282.34","567","613",""
"Christelle Gilg","K1D","283.79","294","622",""
"Doby Julie","K1D","291.65","354","669",""
"Carole Dolmaire","K1D","310.30","559","782",""
"Angelique Bakalarz","K1D","411.70","960","1397",""
"Pauline Bertrand","K1D","647.32","-","2823",""
"Mathieu Doby","K1H","167.50","17","39",""
"Renaud Doby","K1H","168.74","9","47",""
"Alexis Caspar","K1H","177.52","93","107",""
"Julien Arribe","K1H","178.08","50","110",""
"Jerome Olhagaray","K1H","178.94","107","117",""
"Pierre Baux","K1H","180.61","143","128",""
"Gregory Busson","K1H","180.74","87","128",""
"Mathieu Biazizzo","K1H","180.89","133","129",""
"Jules Bevalot","K1H","181.14","81","131",""
"Alexandre Pocard","K1H","181.19","185","131",""
"Arthur Georges","K1H","181.87","162","136",""
"Enrick Cunsolo","K1H","183.73","124","148",""
"Mathieu Haberland","K1H","184.43","120","154",""
"Julien Haberland","K1H","184.95","123","157",""
"Martin Dougoud","K1H","185.37","143","160",""
"Jean Charles Creusot Walter","K1H","185.66","138","162",""
"Quentin Burgi","K1H","187.47","124","174",""
"Romain Viry","K1H","187.61","169","175",""
"Olivier Machiels","K1H","187.77","327","177",""
"Remi Thomas","K1H","187.84","176","177",""
"Nathan Barbier","K1H","188.36","172","180",""
"Stefan Stanik","K1H","189.92","193","191",""
"Christophe Siffert","K1H","190.73","186","197",""
"Maxime Faivre","K1H","191.19","173","199",""
"Silvere Desongins","K1H","191.58","266","203",""
"Jeremy Lehning","K1H","191.60","189","203",""
"Damien Burteaux","K1H","191.99","221","205",""
"Didier Niel","K1H","192.47","213","208",""
"Nikolas Stanik","K1H","192.53","243","208",""
"Paul Poulet","K1H","193.19","216","213",""
"Florient Tagnon","K1H","193.32","247","214",""
"Paul Aubert","K1H","193.46","219","215",""
"Olivier Bourgey","K1H","195.27","200","227",""
"Mael Othenin Girard","K1H","195.50","246","228",""
"Nicolas Burgi","K1H","196.05","166","233",""
"Axel Sleebus","K1H","196.16","-","233",""
"Thibaut Chariot","K1H","196.42","207","235",""
"Bram Peeters","K1H","196.74","-","237",""
"Fourneau Ianis","K1H","197.05","-","240",""
"Vincent Bajolot","K1H","197.38","216","242",""
"Gregory Booth","K1H","197.68","264","243",""
"Nicolas Mangeolle","K1H","198.29","222","248",""
"Beghoura Yoni","K1H","198.32","200","248",""
"Florian Balhuizen","K1H","198.40","242","249",""
"Herve Delamarre","K1H","201.02","-","266",""
"Florent Tamburini","K1H","201.13","214","267",""
"Romain Lemaire","K1H","202.34","316","275",""
"Nicolas Fritsch","K1H","204.74","336","292",""
"Matthieu Basset","K1H","205.96","259","299",""
"Youcef Bahlat","K1H","206.87","296","306",""
"Patrick Gass","K1H","206.95","297","306",""
"Maxime Lambert","K1H","208.83","329","319",""
"Thomas Stutzmann","K1H","209.56","345","324",""
"Lucas Ferraina","K1H","209.80","331","325",""
"Geoffrey Walczak","K1H","210.02","420","328",""
"Sidney Malgras","K1H","211.39","-","337",""
"Yann Tosser  Roussey","K1H","211.88","307","340",""
"Sebastien Thevenin","K1H","212.09","235","341",""
"Mehdi Amini","K1H","212.29","172","342",""
"Jerome Laflotte","K1H","214.20","348","356",""
"Anthony Jouannic","K1H","219.18","491","390",""
"Pierre Cassin","K1H","219.34","347","391",""
"Yann Maignant","K1H","219.60","552","392",""
"Alexandre Bordas","K1H","222.07","361","409",""
"Alexandre Mathis","K1H","223.26","-","417",""
"Loic Andre","K1H","224.85","-","428",""
"Emmanuel Walczak","K1H","225.68","70","434",""
"Frederic Saguet","K1H","228.98","-","456",""
"Emilien Kempf","K1H","233.39","619","486",""
"Pierre Berberat","K1H","236.06","705","504",""
"Simon Barthelemy","K1H","237.17","583","511",""
"Vivien Tirole","K1H","241.60","-","542",""
"Venceslas Viseur","K1H","246.69","160","576",""
"Remi Vallin","K1H","250.77","478","604",""
"Colas Geier","K1H","251.40","605","608",""
"Bertrand Gutierrez","K1H","253.12","138","620",""
"Laurent Starck","K1H","257.93","696","652",""
"Olivier Mittler","K1H","262.51","-","683",""
"Romain Magnolo","K1H","264.19","513","695",""
"Florent Bronchain","K1H","268.08","1077","721",""
"Michael Ullrich","K1H","280.29","-","804",""
"Gauthier Ruspini","K1H","288.03","1343","857",""
"Bertrand Bourguignon","K1H","292.72","540","888",""
"Beranger Bechereau","K1H","311.03","373","1012",""
"Lionel Ledocq","K1H","322.90","-","1093",""
