"COUPE DE LORRAINE N°1 - Metz - 2007-09-15","Course 1","2007-09-15","Régional","167"
"Beranger Bechereau","K1H","367.59","-","809",""
"Emilien Kempf","K1H","368.84","-","815",""
"Michel Ternynck","K1H","397.76","950","956",""
"Andre Kempf","K1H","410.78","568","1019",""
"Gauthier Ruspini","K1H","422.21","-","1075",""
"Dardoise Antoine","K1H","440.87","-","1166",""
"Baptiste Humbert","K1H","442.69","-","1174",""
"Risser Arthur","K1H","455.65","429","1238",""
"Oueslati Pierre-Yves","K1H","474.37","586","1328",""
"Simon Barthelemy","K1H","487.50","-","1392",""
"Welfringer Symon","K1H","511.79","-","1510",""
"Anthony Jouannic","K1H","571.02","-","1799",""
"Cyril Menzin","K1H","686.15","-","2359",""
