"Sélectif Régional Slalom - Moutiers - Course n°1 | Finale - 2018-09-29","Course n°1 | Finale","2018-09-29","Régional","177"
"Laurene Roisin","K1D","109.44","193.74","211.72","Course n°1 | Finale A"
"Ilona Martin -laemle","K1D","112.32","238.62","243.54","Course n°1 | Finale A"
"Marie Amelie Silvin","K1D","117.63","254.83","302.2","Course n°1 | Finale A"
"Maeva Bachelot","K1D","119.23","373.83","319.87","Course n°1 | Finale A"
"Kesia Georgel","K1D","119.8","350.57","326.18","Course n°1 | Finale A"
"Marie Juquelier","K1D","120.15","343.21","330.04","Course n°1 | Finale A"
"Zoe Gonin","K1D","127.56","390.35","411.91","Course n°1 | Finale A"
"Chloe Faverjon","K1D","129.78","418.39","436.44","Course n°1 | Finale A"
"Zoe Frey","K1D","132.34","422.44","464.71","Course n°1 | Finale A"
"Zora Grosclaude","K1D","134.53","472.27","488.91","Course n°1 | Finale A"
"Lucie Adisson","K1D","135.07","756.96","494.87","Course n°1 | Finale A"
"Anneline Triomphe","K1D","Abs","-","-","Course n°1 | Finale A"
"Iana Gonseth","K1DM","130.05","417.45","439.41","Course n°1 | Finale A"
"Zelie Ferraris","K1DM","131.48","538.61","455.21","Course n°1 | Finale A"
"Jessica Yola Duc","K1DM","146.89","810.92","625.46","Course n°1 | Finale A"
"Jeanne Mazard","K1DM","176.07","3004.28","947.83","Course n°1 | Finale A"
"Leonie Reichert","K1DM","306.11","1230.65","2384.48","Course n°1 | Finale A"
"Emilie Baptiste","K1DM","440.73","5501.69","3871.73","Course n°1 | Finale A"
"Etienne Daille","K1H","88.39","39.12","106.11","Course n°1 | Finale A"
"Tom Deconchy","K1H","91.29","149.62","142.31","Course n°1 | Finale A"
"Gregoire Guerin","K1H","91.55","87.34","145.56","Course n°1 | Finale A"
"Matthieu Le Gall","K1H","93.37","149.19","168.28","Course n°1 | Finale A"
"Mathieu Monier","K1H","95.17","122.6","190.75","Course n°1 | Finale A"
"Lucien Goulet","K1H","96.98","340.17","213.35","Course n°1 | Finale A"
"Jonathan Chapatte","K1H","97.17","206.78","215.72","Course n°1 | Finale A"
"Valentin Vibert","K1H","99.27","246.55","241.94","Course n°1 | Finale A"
"Julien Saguet","K1H","99.7","309.54","247.3","Course n°1 | Finale A"
"Emeric Vibert","K1H","101.07","326.89","264.41","Course n°1 | Finale A"
"Ludovic Boulesteix","K1H","102.15","304.04","277.89","Course n°1 | Finale A"
"Gino Benini","K1H","102.26","274.77","279.26","Course n°1 | Finale A"
"Guillaume Belet","K1H","103.1","338.99","289.75","Course n°1 | Finale A"
"Sylvain Dandel","K1H","103.99","218.13","300.86","Course n°1 | Finale A"
"Jean Philippe Roche","K1H","104.6","291.05","308.48","Course n°1 | Finale A"
"Erwan Cadio","K1H","104.98","289.83","313.22","Course n°1 | Finale A"
"Maxime Melmont","K1H","105.13","287.28","315.09","Course n°1 | Finale A"
"Julien Signarbieux","K1H","105.41","359.83","318.59","Course n°1 | Finale A"
"Arthur Contamine","K1H","105.44","292.47","318.96","Course n°1 | Finale A"
"Hugo Martin -laemle","K1H","105.7","308.09","322.21","Course n°1 | Finale A"
"Raphael Massot","K1H","106.03","311.17","326.33","Course n°1 | Finale A"
"Olivier Hardonniere","K1H","106.11","386.82","327.33","Course n°1 | Finale A"
"Alexandre Lismonde","K1H","107","337.04","338.44","Course n°1 | Finale A"
"Sebastien Lepaulard","K1H","107.84","346.97","348.92","Course n°1 | Finale A"
"Jonathan Himpens","K1H","108.22","332.39","353.67","Course n°1 | Finale A"
"Mael Hervault","K1H","108.84","313.37","361.41","Course n°1 | Finale A"
"Teo Bouvier","K1H","109.59","274.05","370.77","Course n°1 | Finale A"
"Emmanuel Triomphe","K1H","110.26","395.73","379.13","Course n°1 | Finale A"
"Adrien Jacquemet","K1H","111.06","429.02","389.12","Course n°1 | Finale A"
"Nicolas Demofsqui","K1H","111.41","364.58","393.49","Course n°1 | Finale A"
"Erwann Buthod","K1H","115.2","357.96","440.81","Course n°1 | Finale A"
"Luca Gabelli","K1H","116.07","411.38","451.67","Course n°1 | Finale A"
"Daniel Chambert","K1H","122.59","457.82","533.06","Course n°1 | Finale A"
"Maxime Bottex","K1H","139.37","88.95","742.54","Course n°1 | Finale A"
"Baptiste Gaillard","K1H","158.96","317.45","987.1","Course n°1 | Finale A"
"Jonathan Ferreira","K1H","160.38","490.94","1004.83","Course n°1 | Finale A"
"Maxime Devis","K1HM","113.07","487.74","414.21","Course n°1 | Finale A"
"Theo Brun","K1HM","121.31","390.88","517.08","Course n°1 | Finale A"
"Clement Raul","K1HM","121.6","643.24","520.7","Course n°1 | Finale A"
"Baptiste Guillaubez","K1HM","122.58","967.77","532.94","Course n°1 | Finale A"
"Axel Clement","K1HM","123.05","409.64","538.8","Course n°1 | Finale A"
"Gaspard Gonseth","K1HM","124.13","664.31","552.29","Course n°1 | Finale A"
"Elie Sutra","K1HM","125.02","696.08","563.4","Course n°1 | Finale A"
"Tom Fioraso","K1HM","129.68","864.38","621.57","Course n°1 | Finale A"
"Teo Touzet","K1HM","132.72","739.05","659.52","Course n°1 | Finale A"
"Jules Sourieau","K1HM","132.84","640.29","661.02","Course n°1 | Finale A"
"Anton Coux","K1HM","136.14","824.47","702.22","Course n°1 | Finale A"
"Joao Normand","K1HM","136.93","673.53","712.08","Course n°1 | Finale A"
"Louis Bouquet","K1HM","138.24","676.23","728.44","Course n°1 | Finale A"
"Antoine Raul","K1HM","142.87","818.44","786.24","Course n°1 | Finale A"
"Sacha Caron","K1HM","143.4","668.14","792.85","Course n°1 | Finale A"
"Sabri Ayoune","K1HM","346.31","691.57","3325.97","Course n°1 | Finale A"
"Maxime Vallin","C1H","115.92","479.96","385.88","Course n°1 | Finale B"
"Olivier Barriere","C1H","120.4","975.03","439.15","Course n°1 | Finale B"
"Nil Georgel","C1H","126.25","404.94","508.7","Course n°1 | Finale B"
"Julien Saguet","C1H","132.22","444.06","579.68","Course n°1 | Finale B"
"Thibaud Chovin","C1H","152.71","894.2","823.3","Course n°1 | Finale B"
"Baptiste Gaillard","C1H","153.02","899.23","826.98","Course n°1 | Finale B"
"Arthur Contamine","C1H","154.7","610.18","846.95","Course n°1 | Finale B"
"Guillaume Mele","C1H","162.62","851.22","941.12","Course n°1 | Finale B"
"Anton Coux","C1HM","160.78","1058.79","919.25","Course n°1 | Finale B"
"Sacha Caron","C1HM","178.98","1071.68","1135.63","Course n°1 | Finale B"
"Anicet Morel","C1HM","186.81","1681.83","1228.72","Course n°1 | Finale B"
"Emilien Charrier","C1HM","Des","-","-","Course n°1 | Finale B"
"Ugo Zanellato","C1HM","Abs","-","-","Course n°1 | Finale B"
"Annie Ughetto","K1D","128.83","511.83","430.94","Course n°1 | Finale B"
"Aurore Durris","K1D","137.5","717.81","526.71","Course n°1 | Finale B"
"Clarisse Feramus","K1D","139.04","639.67","543.73","Course n°1 | Finale B"
"Lucie Fromentoux","K1D","140.64","437.81","561.41","Course n°1 | Finale B"
"Margaux Hamlin","K1D","141.58","680.55","571.79","Course n°1 | Finale B"
"Emma Miton","K1D","142.76","432.34","584.83","Course n°1 | Finale B"
"Camille Vion Delphin","K1D","143.03","611.61","587.81","Course n°1 | Finale B"
"Juliette Ribault","K1D","150.24","670.1","667.47","Course n°1 | Finale B"
"Valerie Lassausse","K1D","151.89","938.02","685.7","Course n°1 | Finale B"
"Alexandra Strasser","K1D","156.3","1291.55","734.42","Course n°1 | Finale B"
"Emma Fauriel","K1D","158.42","852.39","757.84","Course n°1 | Finale B"
"Lux Debruyne","K1D","201.04","675.63","1228.69","Course n°1 | Finale B"
"Marguerite Mathey","K1D","212.43","2441.38","1354.53","Course n°1 | Finale B"
"Florence Barthelemy","K1D","258.63","1647.4","1864.93","Course n°1 | Finale B"
"Alexandre Georgel","K1H","110.72","675.89","389.88","Course n°1 | Finale B"
"Arthur Talarmain","K1H","113.21","424.82","420.96","Course n°1 | Finale B"
"Julien Beltrami","K1H","113.31","507.87","422.21","Course n°1 | Finale B"
"Thibaud Chovin","K1H","114.5","513.4","437.07","Course n°1 | Finale B"
"Gilles Lovera","K1H","114.98","544.14","443.06","Course n°1 | Finale B"
"Leo Parnotte","K1H","115.45","534.85","448.93","Course n°1 | Finale B"
"Luke Ribeyre","K1H","116.01","686.49","455.92","Course n°1 | Finale B"
"Florent Vallier","K1H","116.21","576.57","458.41","Course n°1 | Finale B"
"Arthur Vernede","K1H","117.93","457.39","479.89","Course n°1 | Finale B"
"Laurent Brossat","K1H","118.74","562.29","490","Course n°1 | Finale B"
"Esteban Reder-issartel","K1H","119.15","508.21","495.12","Course n°1 | Finale B"
"Jean Baptiste Lismonde","K1H","119.44","543.62","498.74","Course n°1 | Finale B"
"Philippe Lelieur","K1H","120.79","476.29","515.59","Course n°1 | Finale B"
"Emerick Billon","K1H","120.85","377.62","516.34","Course n°1 | Finale B"
"Jordan Agullo","K1H","122.25","523.17","533.82","Course n°1 | Finale B"
"Tom Ollinet","K1H","124.97","941.21","567.77","Course n°1 | Finale B"
"Maxence Violy","K1H","125.22","834.29","570.89","Course n°1 | Finale B"
"Sebastien Chapatte","K1H","125.24","519.87","571.14","Course n°1 | Finale B"
"Matthieu Fontanez","K1H","128.69","611.81","614.21","Course n°1 | Finale B"
"Lucas Mancuso","K1H","131.72","564.91","652.04","Course n°1 | Finale B"
"Francois Lecuit","K1H","133.14","648.72","669.77","Course n°1 | Finale B"
"Marc Roussel","K1H","137.5","988.28","724.2","Course n°1 | Finale B"
"Lucas Mirabel","K1H","141.52","621.09","774.38","Course n°1 | Finale B"
"Fatih Frederick","K1H","144.26","1472.39","808.59","Course n°1 | Finale B"
"Fabien Poitevineau","K1H","148.66","1997.13","863.52","Course n°1 | Finale B"
"Jean Bonnet","K1H","152.19","1224.22","907.59","Course n°1 | Finale B"
"GaÊl Bonnot","K1H","156.38","1687.61","959.89","Course n°1 | Finale B"
"Jean-marc Suarez","K1H","177.99","614.89","1229.67","Course n°1 | Finale B"
"Marc Lanchais","K1H","230.37","1049.99","1883.58","Course n°1 | Finale B"
"Ivan Parnotte","K1H","253.2","2201.87","2168.59","Course n°1 | Finale B"
"Ethan Vilardell","K1H","278.34","-","2482.44","Course n°1 | Finale B"
"Florian Jarousse","K1H","305.88","500.86","2826.25","Course n°1 | Finale B"
"Francisco Lafarga","K1H","Dsq","-","-","Course n°1 | Finale B"
"Gabin Chenal","K1HM","119.57","474.82","500.36","Course n°1 | Finale B"
"Titouan Sourieau","K1HM","126.93","634.05","592.24","Course n°1 | Finale B"
"Axel Brossat","K1HM","129.51","717.43","624.45","Course n°1 | Finale B"
"Emilien Charrier","K1HM","133.78","787.05","677.76","Course n°1 | Finale B"
"Rafael Parnotte","K1HM","139.87","821.5","753.78","Course n°1 | Finale B"
"Anicet Morel","K1HM","140.59","972.26","762.77","Course n°1 | Finale B"
"Tom Kuntzinger","K1HM","148.43","1175.25","860.65","Course n°1 | Finale B"
"Yann Houot","K1HM","149.75","1106.85","877.13","Course n°1 | Finale B"
"Antoine Weber","K1HM","169.44","1136.91","1122.94","Course n°1 | Finale B"
"Olivier Mattana","K1HM","182.19","-","1282.11","Course n°1 | Finale B"
"Gabin Beraud","K1HM","182.92","1600.67","1291.22","Course n°1 | Finale B"
"Paul Baligand","K1HM","202.99","2716.35","1541.77","Course n°1 | Finale B"
"Clement Roussel","K1HM","216.27","897.54","1707.56","Course n°1 | Finale B"
"Jules Roussel","K1HM","302.7","3101.96","2786.55","Course n°1 | Finale B"
