"Sélectif régional - Pont Audemer - 2006-10-08","Course 1","2006-10-08","Régional","124"
"Catherine Boulan","K1D","385.35","1603","1236",""
"Pierre Devaux","K1H","167.79","23","80",""
"Benoit Letellier","K1H","172.99","116","115",""
"Xavier Jourdain","K1H","178.26","105","151",""
"Thomas Masuy","K1H","181.33","99","171",""
"Beaudoin Fabien","K1H","182.30","174","177",""
"Yves Lecointe","K1H","183.53","244","186",""
"Anthony Thuillier","K1H","185.29","170","198",""
"Anthony Mottais","K1H","188.51","215","219",""
"Didier Niel","K1H","191.53","222","238",""
"Mickael Louchard","K1H","192.91","-","248",""
"Guillaume Wattez","K1H","193.99","-","255",""
"Nicolas Dupres","K1H","199.22","309","290",""
"Andrieux Martin","K1H","200.26","303","297",""
"Bertrand Avril","K1H","200.52","247","299",""
"Jean-luc Mottais","K1H","202.43","269","312",""
"Guillaume Doutreix","K1H","203.77","279","321",""
"Valentin Cazin","K1H","205.11","377","329",""
"Laville Alexandre","K1H","205.51","381","332",""
"Bonnin Sylvain","K1H","209.66","283","360",""
"Sebastien Delaunay","K1H","209.97","338","362",""
"Simon Boulan","K1H","212.47","-","378",""
"Roberge Sebastien","K1H","212.55","435","379",""
"Vincent Richard","K1H","214.39","451","391",""
"Olivier Cornu","K1H","216.99","396","408",""
"Jess Masson","K1H","217.18","487","410",""
"Maxime Raux","K1H","217.81","490","415",""
"Simon Bonnet","K1H","218.92","380","421",""
"Baptiste Anger","K1H","221.59","442","439",""
"Matthieu Rousseau","K1H","224.51","752","458",""
"Florian Pean","K1H","225.92","-","468",""
"Langlin Romain","K1H","227.50","358","479",""
"Tristan Robin","K1H","228.77","-","487",""
"Mehdi Rouich","K1H","231.92","-","509",""
"Plessy Nicolas","K1H","233.20","-","517",""
"Le Nevanic Axel","K1H","236.15","-","536",""
"Calmon Tom","K1H","236.33","-","537",""
"Le Nevanic Gerald","K1H","240.44","562","565",""
"Verger Nicolas","K1H","240.60","465","566",""
"Dominique Odile","K1H","241.29","481","570",""
"Henry Théophile","K1H","241.86","591","575",""
"Quentin Charles","K1H","242.30","497","577",""
"Thomas Goubert","K1H","244.15","720","590",""
"Bove Morgan","K1H","244.59","520","593",""
"Frechon Camille","K1H","245.88","744","601",""
"Cheron Valentin","K1H","246.86","487","608",""
"Despre Philippe","K1H","248.28","601","617",""
"Colin Maxime","K1H","258.05","663","683",""
"Ernou Gregoire","K1H","259.64","628","693",""
"Laurent Ernou","K1H","264.91","743","727",""
"Fleurant Aurelien","K1H","270.08","1033","763",""
"Jeremy Harel","K1H","273.19","-","783",""
"Leroyer Julien","K1H","276.54","1037","805",""
"Lebar Johnny","K1H","277.49","409","812",""
"Rome Yvan","K1H","283.48","-","851",""
"Maxime Dubuisson","K1H","285.65","1192","866",""
"Cotinet Angelo","K1H","287.20","1287","877",""
"Peltier Alexy","K1H","288.59","-","886",""
"Lecornu Benoit","K1H","294.87","1023","927",""
"Ait Sadoune Jonathan","K1H","297.20","-","943",""
"Paul Batrel","K1H","302.05","-","975",""
"Ferlin Berenger","K1H","323.07","-","1115",""
"Tesson Nicolas","K1H","334.41","-","1191",""
"Wilhelm Heimburger","K1H","348.13","-","1283",""
"Letissier David","K1H","357.39","-","1345",""
"Leleu Maxime","K1H","372.71","-","1446",""
"Brard Jacky","K1H","390.31","-","1564",""
"Sevrez Francois","K1H","456.38","-","2005",""
"Gilles Le Nevanic","K1H","506.81","-","2340",""
"Clement Martin","K1H","547.45","301","2612",""
"Percevault Pierrick","K1H","558.49","-","2685",""
"Quseney Benjamin","K1H","604.89","-","2995",""
