"Championnat Nationale 2 Slalom - Bourg St Maurice - Qualification - Manche 2 - 2017-07-02","Qualification - Manche 2","2017-07-02","Nationale 2","243"
"Camille Fleuret","C1H","213.83","323.46","1464.67",""
"Alan Mahe","C1H","229.08","303.84","1636.02",""
"Louis Vandeville","C1H","231","298.89","1657.6",""
"Lucas Jacob","C1H","235.77","373.6","1711.2",""
"Solen Le Bourles","C1H","266.05","288.93","2051.46",""
"Fabien Tournadre","C1H","277.76","324.47","2183.04",""
"Yvan Leblond","C1H","468.65","360.78","4328.06",""
"Silvere Desongins","C1H","Abs","-","-",""
"Alexandre Ghirardi","C1H","Dsq","-","-",""
"Hector Combes-Alexandre Ghirardi","C2H","126.7","383.31","420.87",""
"Maxime Melmont-Adrien Fischer","C2H","129.79","454.46","454.01",""
"Claude Menissier-Gerard Menissier","C2H","130.23","381.95","458.73",""
"Guillaume Carbon-Maxime Vallin","C2H","130.96","449.6","466.57",""
"Florian Busson-Alex Louveau","C2H","132.57","387.95","483.83",""
"Jean Charles Hacquart-Marvin Tulpin","C2H","135.12","408.32","511.18",""
"Maxence Merpillat-Raphael Lassechere","C2H","137.68","471.28","538.65",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","138.56","384.1","548.09",""
"Benjamin Soroka-Edouard Gracias","C2H","141.62","-","580.9",""
"Simon Dubosc-Quentin Angot","C2H","151.55","404.05","687.42",""
"Hugo Mouffle-Theau Le Loch","C2H","184.43","337.5","1040.1",""
"Alexis Collin-Alexandre Mathis","C2H","188.49","335.35","1083.65",""
"Charley Sannier Durand-Tom Baillon","C2H","Dsq","-","-",""
"Eva Pietracha","K1D","115.02","225.42","262.84",""
"Manon Prioux","K1D","116.23","174.27","275.46",""
"Marie Hilger","K1D","116.26","273.66","275.78",""
"Violaine Truche","K1D","116.51","255.64","278.39",""
"Auregane Philip","K1D","116.62","265.26","279.54",""
"Stephanie Kaczmarek","K1D","118.91","208.56","303.45",""
"Lucie Cecile","K1D","120.71","208.98","322.24",""
"Violaine Vennin","K1D","121.35","170.99","328.92",""
"Elena Hugues","K1D","121.37","210.18","329.13",""
"Clemence Lartigue","K1D","121.38","239.93","329.24",""
"Thais Francois","K1D","121.85","291.73","334.15",""
"Camille Hurez","K1D","122.33","291.42","339.16",""
"Coline Charel","K1D","122.54","269.26","341.35",""
"Marion Grangeon","K1D","123.21","283.16","348.34",""
"Charline Berger Martin","K1D","123.55","231.72","351.89",""
"Alexane Galmiche","K1D","124.23","234.44","359",""
"Sophie Colbus","K1D","125.22","238.11","369.33",""
"Celia Grandadam","K1D","126.14","298.76","378.94",""
"Camille Fontaine","K1D","126.2","222.1","379.56",""
"Coline Bertin","K1D","126.31","291.69","380.72",""
"Zoe Bruchon","K1D","127.52","266.37","393.36",""
"Oceane Dorval","K1D","127.66","327.79","394.81",""
"Margot Perrin","K1D","127.81","358.49","396.38",""
"Tifenn Primet","K1D","128.45","351.71","403.07",""
"Charlotte Abba","K1D","128.53","247.49","403.89",""
"Alice Azam","K1D","130.9","213.16","428.65",""
"Solene Grenier","K1D","131.36","328.9","433.45",""
"Marie Juquelier","K1D","131.66","307.79","436.57",""
"Anne Fischer","K1D","131.77","286.09","437.73",""
"Carla Lacroix","K1D","132.63","299.15","446.71",""
"Morgane Quemerais","K1D","133.21","246.9","452.76",""
"Emilie Delahaye","K1D","134.48","255.27","466.02",""
"Oceane Vienet","K1D","136.7","-","489.2",""
"Margot Beziat","K1D","140.06","331.26","524.29",""
"Adele Charlaigre","K1D","144.01","326.78","565.52",""
"Leontine Dubuisson","K1D","148","343.08","607.19",""
"Lucie Bercon","K1D","150.95","387.86","637.99",""
"Lolita Seguy","K1D","156.2","364.03","692.81",""
"Alicia Gallot","K1D","157.83","316.93","709.84",""
"Laurene Roisin","K1D","171.83","230.3","856.01",""
"Justine Clerc","K1D","178.53","318.04","925.97",""
"Marion Pasquali","K1D","196.45","317.23","1113.08",""
"Carine Chapuis","K1D","204.7","292.97","1199.22",""
"Lise Denat","K1D","233.63","268.94","1501.29",""
"Zoe Huet","K1D","240.14","280.1","1569.26",""
"Jeanne Bernard","K1D","259.89","333.68","1775.48",""
"Jade Robin","K1D","261.1","312.63","1788.12",""
"Elorri Erdois","K1D","280.75","270.41","1993.29",""
"Chloe Gatuingt","K1D","285.2","327.92","2039.75",""
"Julia Budzinski","K1D","285.98","321.8","2047.91",""
"Alice Evlachev","K1D","287.44","240.72","2063.15",""
"Eva Dauvergne","K1D","298.72","308.49","2180.93",""
"Lisa Marechal","K1D","317.57","555.11","2377.74",""
"Oriane Guichet","K1D","338.71","320.18","2598.47",""
"Jann Le Corre","K1D","496.07","369.91","4241.54",""
"Sophie Dupas","K1D","538.34","326.03","4682.9",""
"Alina Rassel","K1D","Des","-","-",""
"Tom Deconchy","K1H","92.91","185.6","158.09",""
"Laurent Starck","K1H","93.82","176.68","168.82",""
"Jan Rohrer","K1H","94.22","253.35","173.54",""
"Matthieu Le Gall","K1H","94.42","156.05","175.9",""
"Antoine Gaillard","K1H","95.99","162.93","194.43",""
"Anthony Thuillier","K1H","96.05","202.61","195.14",""
"Kawan Thomas","K1H","96.31","182.36","198.2",""
"Anthony Drouhin","K1H","96.64","185.9","202.1",""
"Florian Busson","K1H","96.88","201.07","204.93",""
"Benjamin Thiboust","K1H","97.42","175.15","211.3",""
"Mathieu Monier","K1H","97.53","180.75","212.6",""
"Henri Bergognon","K1H","97.59","233.99","213.31",""
"Axel Sleebus","K1H","97.6","243.97","213.42",""
"Jonathan Delagnes","K1H","97.77","216.73","215.43",""
"Leo Fournier","K1H","97.79","162.63","215.67",""
"Arthur Mizzi","K1H","97.95","221.43","217.55",""
"Thibault Blaise","K1H","98.14","-","219.79",""
"Natan Brule","K1H","98.23","219.14","220.86",""
"Benjamin Dodane","K1H","98.31","217.43","221.8",""
"Romain Guyomard","K1H","98.42","171.15","223.1",""
"Otello Willmann Rosso","K1H","98.48","200.24","223.81",""
"David Mingasson","K1H","98.52","191.57","224.28",""
"Sebastien Nouvel","K1H","98.55","141.41","224.63",""
"Vincent Ablin","K1H","98.55","177.99","224.63",""
"Raphael Olla","K1H","98.64","210.21","225.69",""
"Lucas Jacob","K1H","98.84","212.91","228.05",""
"Nathan Boudaillez","K1H","98.85","233.49","228.17",""
"Yanis Rainaud","K1H","98.86","172.34","228.29",""
"Baptiste Granger","K1H","98.9","267.12","228.76",""
"Johann Loiseau","K1H","99.09","218.32","231",""
"Sebastien Routhier","K1H","99.36","266.15","234.19",""
"Jerome Olhagaray","K1H","99.58","171.79","236.79",""
"Tanguy Zaninotto","K1H","100.08","241.28","242.68",""
"Charles Edouard Dherment","K1H","100.26","244.78","244.81",""
"Davy Egraz","K1H","100.3","200.34","245.28",""
"Corentin Monasse","K1H","100.38","213.24","246.22",""
"Gael Adisson","K1H","100.4","229.79","246.46",""
"Florient Tagnon","K1H","100.84","231.31","251.65",""
"Valentin Courtiade","K1H","100.9","249.57","252.36",""
"Zeph Scamps","K1H","101.04","214.4","254.01",""
"Julien Saguet","K1H","101.22","261.22","256.14",""
"Samuel Bonella","K1H","101.3","221.6","257.08",""
"Alexis Caspar","K1H","101.38","264.61","258.02",""
"Thibault Dufour","K1H","101.61","240.77","260.74",""
"Antoine Saul","K1H","101.86","235.43","263.69",""
"Guilhem Douillet","K1H","102.12","292.22","266.75",""
"Hugo Mouffle","K1H","102.48","231.65","271",""
"Valentin Vibert","K1H","102.7","217.77","273.6",""
"Jules Silvin","K1H","102.87","245.42","275.6",""
"Simon Dubosc","K1H","103.29","256.83","280.56",""
"Vincent Reiter","K1H","103.5","266.78","283.04",""
"Hugo Simon","K1H","103.65","240.51","284.81",""
"Erwan Rouch","K1H","103.65","221.87","284.81",""
"Jonas Godevin","K1H","103.89","225.1","287.64",""
"Jean Philippe Winiarski","K1H","104.23","250.36","291.65",""
"Alan Mahe","K1H","104.52","204.04","295.07",""
"Silvere Desongins","K1H","104.63","253.21","296.37",""
"Robin Vandenbossche","K1H","104.81","189.96","298.49",""
"Alexis Dorey","K1H","104.83","255.15","298.73",""
"Paul Pradalie","K1H","105.1","196.93","301.91",""
"Cedric Mace","K1H","105.15","281.86","302.5",""
"Thomas Brochard","K1H","105.72","290.04","309.23",""
"Robin Pilard","K1H","106.02","230.94","312.77",""
"Maxime Di Lauro","K1H","106.12","227.61","313.95",""
"Jeanmichel Regnier","K1H","106.36","290.6","316.78",""
"Lorin Dumont","K1H","106.36","277.55","316.78",""
"Tom Bouchardon","K1H","106.38","254.89","317.02",""
"Adrien Picco","K1H","106.39","254.85","317.14",""
"Paul Commenges","K1H","106.61","275.59","319.73",""
"Timothee Cornu","K1H","106.73","240.81","321.15",""
"Dimitri Durannot","K1H","106.87","284.5","322.8",""
"Timothee Le Mort","K1H","106.91","258.49","323.27",""
"Bertrand Bercon","K1H","106.93","234.26","323.51",""
"Jules Cresp","K1H","107.02","239.74","324.57",""
"Clement Le Collinet","K1H","107.13","202.81","325.87",""
"Matheo Gillaizeau","K1H","107.32","276.38","328.11",""
"Olivier Cail","K1H","107.45","204.57","329.64",""
"Julien Dosse","K1H","107.79","273.68","333.65",""
"Florent Iraundegui","K1H","109.13","206.97","349.46",""
"Mathieu Douillet","K1H","109.22","252.62","350.53",""
"Vincent Menager","K1H","109.94","306.24","359.02",""
"Alexandre Marin","K1H","110.75","276.02","368.58",""
"Theau Le Loch","K1H","110.96","291.71","371.06",""
"Antonin Barraud","K1H","111.22","234","374.12",""
"Jean Philippe Roche","K1H","112.71","249.56","391.7",""
"Bertrand Avril","K1H","113.49","270.8","400.91",""
"Djendy Simeant","K1H","113.58","260.38","401.97",""
"Noe Perreau","K1H","114.67","247.23","414.83",""
"Martin Belliot","K1H","116.13","283.13","432.06",""
"Xavier Chantry","K1H","117.67","334.52","450.23",""
"Charles Fernandes De Oliveira","K1H","117.75","282.16","451.17",""
"Julien Fougeron","K1H","117.78","320.52","451.52",""
"Loic Thielen","K1H","122.25","285.52","504.26",""
"Maxence Merpillat","K1H","123.2","242.89","515.47",""
"Denis Guilmard","K1H","123.35","257.48","517.24",""
"Steven Henry","K1H","133.16","237","632.99",""
"Hippolyte Cail","K1H","147.68","175.59","804.31",""
"Benjamin Harreau","K1H","148.55","229.04","814.57",""
"Jean Charles Hacquart","K1H","150.3","234.85","835.22",""
"Alex Louveau","K1H","151.36","246.85","847.73",""
"Aubry Bertin","K1H","151.44","252.55","848.67",""
"Jeremie Palazy","K1H","152.84","226.82","865.19",""
"Florentin Saumon","K1H","153.86","238.43","877.23",""
"Romain Branjauneau","K1H","153.96","267.37","878.41",""
"Pierre Grapotte","K1H","157.85","147.31","924.3",""
"Tom Barthelemy","K1H","159.11","300.69","939.17",""
"Dylan Sourbe","K1H","161","233.68","961.47",""
"Pierre Bourdet","K1H","164.88","250.64","1007.25",""
"Paul Gestin","K1H","167.76","240.17","1041.23",""
"Loic Monbel","K1H","168.96","213.09","1055.39",""
"Joris Schaffner","K1H","169.29","195.7","1059.28",""
"Gwenael Marquer","K1H","174.94","306.31","1125.94",""
"Maxime Gaillard","K1H","208.14","242.94","1517.67",""
"Luca Barone","K1H","214.8","278.72","1596.25",""
"Pierre Audouin","K1H","251.23","237.78","2026.08",""
"Nicolas Rouleaud","K1H","268.59","190.8","2230.91",""
"Nicolas Mangeolle","K1H","390.72","273.3","3671.9",""
"Nicolas Labat","K1H","396.6","224.19","3741.27",""
"Louis Vandeville","K1H","467.3","293.41","4575.45",""
"Nathan Hossin","K1H","Abs","-","-",""
"Luc Sarramea","K1H","Abs","-","-",""
"Jeremy Wagner","K1H","Abs","-","-",""
