"Finale N3 Nord - Corneville sur Risle - 2010-06-06","Course 1","2010-06-06","Nationale 3","162"
"Justine Traversa","K1D","119.42","420","376",""
"Camille Simon","K1D","120.41","329","388",""
"Juliette Pitrey","K1D","121.83","430","404",""
"Elise Rousseau","K1D","123.34","514","421",""
"Maryse Viseur","K1D","133.35","521","533",""
"Agathe Villien","K1D","137.01","565","575",""
"Julie Maillot","K1D","137.55","670","581",""
"Catherine Boulan","K1D","138.72","708","594",""
"Julien Signarbieux","K1H","84.83","193","110",""
"Bastien Belembert","K1H","86.11","166","126",""
"Tristan Lejot","K1H","86.40","182","129",""
"Vincent Gourmel","K1H","86.49","178","131",""
"Mathieu Godin","K1H","86.61","176","132",""
"Michel Gombert","K1H","86.64","174","133",""
"Simon Boulan","K1H","87.80","174","147",""
"Mickael Louchard","K1H","88.37","196","155",""
"Alexandre Lismonde","K1H","89.09","199","164",""
"Arnaud Gallois","K1H","89.32","257","167",""
"Gael Wassmer","K1H","89.41","170","168",""
"Eric Lamour","K1H","89.67","206","172",""
"Etienne Carpentier","K1H","90.32","164","180",""
"Francois Bonnet","K1H","90.75","202","186",""
"Arnaud Delattre","K1H","91.05","236","189",""
"Gaetan Kieffert","K1H","91.33","201","192",""
"Gaspard Gindt","K1H","91.38","282","193",""
"Matthieu Walfard","K1H","91.57","179","196",""
"Jeansebastien Simonklein","K1H","91.92","206","200",""
"Nicolas Dupres","K1H","91.96","226","201",""
"Axel Marais","K1H","92.49","165","207",""
"Rodolphe Rodrigue","K1H","92.60","321","209",""
"Lancelot Meillier","K1H","92.70","273","210",""
"Romain Lemaire","K1H","92.85","243","212",""
"Christophe Gosselin","K1H","92.87","242","212",""
"Maxime Raux","K1H","93.01","239","214",""
"Teddy Poulard","K1H","93.32","248","218",""
"Damien Jacques","K1H","94.06","276","228",""
"Louis Valadon","K1H","94.07","230","228",""
"Jerome Lacire","K1H","94.13","296","229",""
"Florian Souchaire","K1H","94.53","344","234",""
"Vincent Fontaine","K1H","94.67","318","236",""
"Loic Andre","K1H","94.80","275","237",""
"Sebastien Delaunay","K1H","94.87","296","238",""
"Jeremy Harel","K1H","95.03","288","240",""
"Tom Barthelemy","K1H","95.22","291","242",""
"Yoann Deschemaeker","K1H","95.52","286","246",""
"Victor Duhamel","K1H","95.53","332","247",""
"Quentin Chopart","K1H","95.78","256","250",""
"Edouard Gracias","K1H","95.84","340","251",""
"Adrien Goetink","K1H","96.26","333","255",""
"Martin Mottais","K1H","96.66","305","261",""
"Jeanchristophe Laroque","K1H","97.48","302","271",""
"Matthieu Rousseau","K1H","97.78","317","275",""
"Francois Palant","K1H","98.09","329","279",""
"Quentin Anfrey","K1H","98.40","316","283",""
"Jeremy Bretteville","K1H","98.44","257","283",""
"Guillaume Quintaine","K1H","99.49","367","297",""
"Fabien Perruchet","K1H","99.94","390","303",""
"Louis Bouclier","K1H","100.51","370","310",""
"Jean-luc Mottais","K1H","100.87","284","314",""
"Gerard Lafargue","K1H","101.20","313","319",""
"Yoann Nurit","K1H","101.36","328","321",""
"Jess Masson","K1H","101.59","299","324",""
"Clement Robet","K1H","101.90","270","328",""
"Xavier Montenoise","K1H","102.88","384","341",""
"Florian El Assali","K1H","103.96","473","354",""
"Antoine Martin","K1H","104.78","423","364",""
"Maxime Boisgontier","K1H","105.61","290","375",""
"Julien Audren","K1H","106.90","436","391",""
"Loic Ozeray","K1H","107.04","368","393",""
"Pierre Dampeyrou","K1H","108.52","467","412",""
"Clement Sannier","K1H","108.77","439","416",""
"Quentin Deroubaix","K1H","110.72","443","440",""
"Denis Martin","K1H","111.24","458","447",""
"Olivier Cornu","K1H","111.29","476","448",""
"Pierre Lecorre","K1H","112.55","458","464",""
"Sylvain Barrois","K1H","112.86","380","468",""
"Johann Sacleux","K1H","114.01","536","483",""
"Raphael Lemonnier","K1H","119.07","623","547",""
"Sebastien Masseline","K1H","119.63","484","554",""
"Clement Gallois","K1H","119.89","685","558",""
"Loic Durand","K1H","120.35","552","563",""
"Sergepatrick Viseur","K1H","120.79","474","569",""
"Adrien Barlier","K1H","120.89","637","571",""
"Jose Santos","K1H","121.81","647","582",""
"Nicolas Guerin","K1H","141.82","728","838",""
"Thomas Letellier","K1H","Nt","-","-",""
"Sami Fossat","K1H","Nt","-","-",""
"Valentin Casse","K1H","Nt","-","-",""
