"Manche de la Coupe de France National 2 Slalom - 64800 Lestelle Betharram - Finale - 2019-02-17","Finale","2019-02-17","Nationale 2","147"
"Jonathan Delagnes","K1H","109.99","219.21","379.8","Finale A"
"Vincent Garcia","K1H","114.8","266.87","440.19","Finale A"
"Theo Reby","K1H","119.5","292.88","499.19","Finale A"
"Adrien Mesmoudi","K1H","144.79","357.73","816.68","Finale A"
"Sam Traquet","K1H","158.43","179.92","987.91","Finale A"
"Gino Benini","K1H","205.76","273.3","1582.08","Finale A"
"Jan Rohrer","K1H","Abs","-","-","Finale A"
"Elorri Erdois","C1D","135.2","515.3","418.41","Finale B"
"Nahia Oteiza","C1D","146.28","618.5","534.32","Finale B"
"Solene Lafitte","C1D","166.56","456.16","746.48","Finale B"
"Marc Sarramea","C1H","101.65","243.25","219.34","Finale B"
"Etienne Wiche","C1H","103","312.89","235.48","Finale B"
"Louis Rathier","C1H","105.39","337.93","264.05","Finale B"
"Emilien Courtiade","C1H","105.51","372.95","265.49","Finale B"
"Nicolas Baudoin","C1H","108.2","361.4","297.66","Finale B"
"Benjamin Guyon","C1H","109.7","421.78","315.58","Finale B"
"Alex Baldoni","C1H","111.2","384.91","333.52","Finale B"
"Leo Dujourd'hui","C1H","113.83","344.64","364.97","Finale B"
"Dominik Gosset","C1H","116.31","385.79","394.61","Finale B"
"Joris Santoro","C1H","117.93","348.08","413.98","Finale B"
"Lea Baldoni","K1D","110.25","338.57","228.84","Finale B"
"Oceane Baylacq","K1D","111.14","482.6","238.73","Finale B"
"Marie Amelie Silvin","K1D","111.81","255.35","246.17","Finale B"
"Anouk Alberti","K1D","115.29","396.07","284.84","Finale B"
"Cerise Babin","K1D","115.66","381.22","288.94","Finale B"
"Carla Lacroix","K1D","118.07","310.21","315.72","Finale B"
"Lise Denat","K1D","119.02","439.81","326.27","Finale B"
"Emilie Armani","K1D","119.12","401.88","327.38","Finale B"
"Frederique Merle","K1D","122.09","316.84","360.37","Finale B"
"Youlia Estanguet","K1D","123.08","370.95","371.37","Finale B"
"Zoe Waeles","K1D","123.56","381.06","376.71","Finale B"
"Nahia Oteiza","K1D","127.05","356.06","415.49","Finale B"
"Pauline Georgeon","K1D","129.91","452.84","447.26","Finale B"
"Maeva Bachelot","K1D","130.01","409.95","448.36","Finale B"
"Chloe Faverjon","K1D","141.21","418.04","572.8","Finale B"
"Lucie Fromentoux","K1D","146.16","456.14","627.78","Finale B"
"Marine Izac","K1D","177.18","423.97","972.4","Finale B"
"Laetitia Thueux","K1D","188.55","368.09","1098.71","Finale B"
"Tanguy Zaninotto","K1H","91.93","162.71","158.08","Finale B"
"Valentin Courtiade","K1H","94.42","203.48","189.34","Finale B"
"Arnaud Verrons","K1H","95.25","174.82","199.76","Finale B"
"Mathieu Monier","K1H","95.67","122.6","205.03","Finale B"
"Thomas L'huillier","K1H","96.77","313.39","218.84","Finale B"
"Emilien Courtiade","K1H","96.8","306.97","219.22","Finale B"
"Nicolas Abbal","K1H","97.13","119.34","223.36","Finale B"
"Dylan Sourbe","K1H","98.84","209.91","244.83","Finale B"
"Bertrand Gourrat","K1H","99.18","292.96","249.1","Finale B"
"Yohann Senechault","K1H","99.52","182.83","253.37","Finale B"
"Valentin Berland","K1H","100.31","301.95","263.28","Finale B"
"Leo Fournier","K1H","100.38","199.7","264.16","Finale B"
"Marc Sarramea","K1H","100.43","246.51","264.79","Finale B"
"Alexis Dorey","K1H","101","644.38","271.95","Finale B"
"Tanguy Malingre","K1H","101.49","311.72","278.1","Finale B"
"Theo Ducasse","K1H","101.63","281.22","279.85","Finale B"
"Edouard Chenal","K1H","101.82","256.02","282.24","Finale B"
"Thomas Ukalovic","K1H","102.26","271.38","287.76","Finale B"
"Djendy Simeant","K1H","102.41","193.35","289.65","Finale B"
"Loic Trenchant","K1H","102.56","291.92","291.53","Finale B"
"Julien Saguet","K1H","103.01","336.7","297.18","Finale B"
"Gedeon Cothias-faure","K1H","103.1","301.21","298.31","Finale B"
"Arthur Lagleyze","K1H","103.62","305.54","304.84","Finale B"
"Lucas Dominguez","K1H","103.83","258.73","307.47","Finale B"
"Esteban Illido","K1H","104.3","296.11","313.37","Finale B"
"Felix Praderie","K1H","104.43","268.37","315","Finale B"
"Tino Forgues","K1H","105.26","259.93","325.42","Finale B"
"Cyprien Cail","K1H","105.39","263.43","327.06","Finale B"
"Luc Sarramea","K1H","105.88","195.31","333.21","Finale B"
"Jean Philippe Roche","K1H","106.52","285.14","341.24","Finale B"
"Nour Ait Kaddour","K1H","107.42","274.76","352.54","Finale B"
"Antoine Laye","K1H","107.51","278.73","353.67","Finale B"
"Romain Chabrol","K1H","112.16","254.4","412.05","Finale B"
"Mael Hervault","K1H","114.16","305.8","437.15","Finale B"
"Mael Bernes","K1H","130.58","275.13","643.29","Finale B"
"Clement Couchoud","K1H","157.77","307.5","984.62","Finale B"
"Baptiste Delemotte","K1H","163.5","291.38","1056.56","Finale B"
"Alexandre Goujon","K1H","169.43","277.07","1131","Finale B"
