"Sélectif Régional de Hermes - 60370 Hermes - Finale - 2019-10-06","Finale","2019-10-06","Régional","159"
"Pauline Lybrecht","K1D","129.31","591.1","571.24","Finale A"
"Souhayla Khattabi","K1D","129.88","435.65","578.03","Finale A"
"Charline Dole","K1D","133.22","757.04","617.9","Finale A"
"Eva Mainnemare","K1D","138.52","932.75","681.16","Finale A"
"Sandrine Arnal","K1D","143.18","722.91","736.78","Finale A"
"Maeva Firon","K1D","145.79","726.13","767.94","Finale A"
"Nina Pesce-roue","K1DM","115.83","410.31","410.33","Finale A"
"Coline Regnier","K1DM","123.65","493.68","503.68","Finale A"
"Emma Pouilly","K1DM","123.79","592.35","505.35","Finale A"
"Jade Cascarino","K1DM","136.14","631.77","652.75","Finale A"
"Jade Dendele","K1DM","139.58","768.16","693.81","Finale A"
"Benoit Chantry","K1H","88.26","168.66","218.22","Finale A"
"Helwann Rachdi","K1H","89.23","354.69","231.3","Finale A"
"Matheo Dupont","K1H","94.94","314.38","308.31","Finale A"
"Amaury Brucher","K1H","95.7","247.3","318.56","Finale A"
"Ianis Fleury","K1H","95.83","285.2","320.32","Finale A"
"Nathan Huguenin","K1H","96","342.65","322.61","Finale A"
"Fabrice Bethune","K1H","99.07","486.27","364.02","Finale A"
"Paul Pesant","K1H","99.71","502.24","372.65","Finale A"
"Thibaut Evrard","K1H","100.07","341.89","377.5","Finale A"
"Hugo Tellier","K1H","101.23","460.99","393.15","Finale A"
"Pierre Baux","K1H","103.22","402.89","419.99","Finale A"
"Baptiste Duboc","K1H","103.91","403.62","429.3","Finale A"
"Mathis Piepho","K1H","104.48","347.14","436.98","Finale A"
"Hugo Pidoux","K1H","105.93","357.68","456.54","Finale A"
"Dimitry Vandenabeele","K1H","111.06","453.02","525.73","Finale A"
"Axel Girard","K1H","111.41","419.8","530.45","Finale A"
"Adrien Gaillot","K1H","113.37","540.73","556.89","Finale A"
"Tony Faria","K1H","113.46","618.73","558.1","Finale A"
"Robin Dheilly","K1H","113.51","369.3","558.77","Finale A"
"Beranger Doulle","K1H","116","481.65","592.36","Finale A"
"Theo Siguret","K1H","117.27","534.05","609.49","Finale A"
"Jeremy Huguenin","K1H","120.88","334.51","658.18","Finale A"
"Eden Quevremont","K1H","166.35","330.1","1271.45","Finale A"
"Yvan Leblond","K1H","196.22","149.32","1674.32","Finale A"
"Pierre Baudouin","K1H","207.69","429.61","1829.02","Finale A"
"Leni Perreau","K1HM","94.78","385.08","306.16","Finale A"
"Axel Colin","K1HM","97.32","336.27","340.41","Finale A"
"Benjamin Marty Carpentier","K1HM","111.92","648.87","537.33","Finale A"
"ClÉment Tamion","K1HM","112.46","741.1","544.61","Finale A"
"Timothee Clep","K1HM","115.35","651.74","583.59","Finale A"
"Hugo Hernoux","K1HM","119.51","776.4","639.7","Finale A"
"Pierric Clipet","K1HM","120.91","464.83","658.58","Finale A"
"Qeis Khalfaoui","K1HM","120.94","725.62","658.99","Finale A"
"Clement Brault","K1HM","124.38","715.86","705.38","Finale A"
"Mael Thierus","K1HM","128.01","752.57","754.34","Finale A"
"Nathan Morris","K1HM","129.06","750.64","768.5","Finale A"
"Quentin Dubelloy","K1HM","129.46","1016.56","773.9","Finale A"
"Bazil Grignon","K1HM","134.57","887.78","842.82","Finale A"
"Eugene Pataut Ghez","K1HM","153.87","899.04","1103.13","Finale A"
"Louis Rolland","K1HM","159.57","955.83","1180","Finale A"
"Kavishan Kulatunga","K1HM","179.7","807.7","1451.51","Finale A"
"Romain Podevin","K1HM","205.01","961.66","1792.87","Finale A"
"Charline Dole","C1D","135.35","665.15","554.09","Finale B"
"Pauline Lybrecht","C1D","139.93","657.74","605.56","Finale B"
"Eva Mainnemare","C1D","171.68","1039.63","962.42","Finale B"
"Amaury Brucher","C1H","110","427.85","445.79","Finale B"
"Thibaut Evrard","C1H","117.69","734.45","544.57","Finale B"
"Ianis Fleury","C1H","118.4","559.35","553.69","Finale B"
"Adrien Gaillot","C1H","122.37","695.68","604.68","Finale B"
"Matheo Dupont","C1H","125.79","529.4","648.61","Finale B"
"Beranger Doulle","C1H","132.07","755.83","729.28","Finale B"
"Sebastien Marchandin","C1H","145.39","1031.82","900.38","Finale B"
"Mathieu Benkaroun","C1H","146.1","908.34","909.5","Finale B"
"Pascal Sannier","C1H","155.57","1091.19","1031.14","Finale B"
"Quentin Dubelloy","C1HM","141.85","1051.36","854.9","Finale B"
"Mael Thierus","C1HM","143.82","1158.33","880.2","Finale B"
"Antoine Fournier","C1HM","150.61","1015.93","967.43","Finale B"
"Nathan Morris","C1HM","163.67","1141.63","1135.18","Finale B"
"Romain Podevin","C1HM","171.37","1257.62","1234.1","Finale B"
"Marie Vandeville","K1D","136.99","1807.51","667.9","Finale B"
"Angeline Dheilly","K1D","137.38","930.21","672.55","Finale B"
"Elodie Thomasset","K1D","142.23","781.78","730.44","Finale B"
"Clementine Thierus","K1D","145.06","857.44","764.22","Finale B"
"Karelle Payen","K1D","147.68","793.94","795.49","Finale B"
"Noemie Tchoua","K1D","152.89","660.45","857.68","Finale B"
"Lola Arroyo","K1D","155.19","1005.54","885.13","Finale B"
"Catherine Boulan","K1D","159.95","919.74","941.95","Finale B"
"Lou-ann Delmotte","K1D","168.25","1732.43","1041.01","Finale B"
"Manon Venet","K1D","177.37","1086.93","1149.87","Finale B"
"Romane Bedoin","K1D","243.37","1104.3","1937.63","Finale B"
"Blanche Leborgne","K1DM","157.1","1567.7","907.93","Finale B"
"Laure Prieur","K1DM","160.36","1437.68","946.83","Finale B"
"Lea Brioiskheroufi","K1DM","213.22","963.55","1577.76","Finale B"
"Louis Vanbersel","K1H","105.54","434.02","456.28","Finale B"
"Maxime Kerbrat","K1H","110.66","581.91","525.34","Finale B"
"Quentin Podevin","K1H","113.33","503.05","561.35","Finale B"
"Elouan Fouquier","K1H","116.97","801.92","610.44","Finale B"
"Cosme Duboc","K1H","119.85","491.38","649.28","Finale B"
"Paul Cascarino","K1H","120.78","406.68","661.83","Finale B"
"Francois Patte","K1H","122.75","741.9","688.4","Finale B"
"Flavien Firon","K1H","126.53","590.77","739.38","Finale B"
"Pierre Yves Tempier","K1H","126.68","698.61","741.4","Finale B"
"Mathieu Benkaroun","K1H","127.99","743.37","759.07","Finale B"
"Michel Joly","K1H","129.46","715.83","778.9","Finale B"
"Mao Caron","K1H","131.14","815.02","801.56","Finale B"
"Sebastien Marchandin","K1H","132.17","998.98","815.45","Finale B"
"Pierre Carton","K1H","132.42","720.05","818.82","Finale B"
"Arnaud Grignon","K1H","134.33","947.87","844.58","Finale B"
"Theotime Plumet","K1H","136.54","926.03","874.39","Finale B"
"Eric Bernard","K1H","138.52","737.68","901.09","Finale B"
"Denis Marrocos","K1H","140.89","892.42","933.06","Finale B"
"Esteban De Andres","K1H","141.6","892.03","942.64","Finale B"
"Thibault Wurceldorf","K1H","145.38","1263.1","993.62","Finale B"
"Yanis Mancaux","K1H","149.14","2454.93","1044.33","Finale B"
"Jean Baptiste Caillieret","K1H","152.2","1175.63","1085.6","Finale B"
"Didier Firon","K1H","166.8","1374.56","1282.52","Finale B"
"Cedric Cotte","K1H","230.89","2524.06","2146.93","Finale B"
"Evan Maesse","K1H","267.31","1484.44","2638.14","Finale B"
"Leo Le Sort","K1HM","132.8","1154.38","823.95","Finale B"
"Enzo Marchand","K1HM","133.98","816.39","839.86","Finale B"
"Antoine Fournier","K1HM","134.64","979.26","848.76","Finale B"
"Hugo Jouvry","K1HM","140.32","1226.92","925.37","Finale B"
"Victor Berland Laporte","K1HM","151.01","1154.14","1069.55","Finale B"
"Dimitri Zavodszki","K1HM","162.92","2842.81","1230.19","Finale B"
"Nathan Gobert","K1HM","165.69","1275.27","1267.55","Finale B"
"Sebastien De La Rosa","K1HM","166.54","1784.74","1279.01","Finale B"
"Matteo Varlet","K1HM","170.2","2760.2","1328.38","Finale B"
"Titouan Roussel","K1HM","171.9","1494.89","1351.3","Finale B"
"Raphael Paul Donatien","K1HM","173.97","1254.09","1379.22","Finale B"
"Helois Dargent","K1HM","174.53","1488.14","1386.78","Finale B"
"Samuel Marquant","K1HM","353.43","2842.94","3799.67","Finale B"
