"Sélectif Régional Slalom (Double) - Isle De La Serre (sault Brénaz) - Course n°2 | Finale - 2016-10-30","Course n°2 | Finale","2016-10-30","Régional","289"
"Gabin Siau-Djendy Simeant","C2HM","197.56","626.95","1327.74","Course n°2 | Finale A"
"Benjamin Jacon-Lucie Prioux","C2M","113.46","481.8","235.98","Course n°2 | Finale A"
"Manon Prioux-Antoine Roux","C2M","117.58","242.84","280.06","Course n°2 | Finale A"
"Valentin Vibert-Laura Rocher","C2M","118.84","297.81","293.53","Course n°2 | Finale A"
"Manon Prioux","K1D","99.63","196.67","154.06","Course n°2 | Finale A"
"Anneline Triomphe","K1D","102.32","145.24","184.62","Course n°2 | Finale A"
"Julie Labarelle","K1D","106.25","175.83","229.27","Course n°2 | Finale A"
"Marie Borlet","K1D","108.01","255.2","249.26","Course n°2 | Finale A"
"Alina Rassel","K1D","108.49","287.18","254.71","Course n°2 | Finale A"
"Zoe Bruchon","K1D","108.68","286.62","256.87","Course n°2 | Finale A"
"Amaurie Guilleret","K1D","108.75","274.7","257.66","Course n°2 | Finale A"
"Phenicia Dupras","K1D","109.38","291.98","264.82","Course n°2 | Finale A"
"Eva Pietracha","K1D","110.26","272.46","274.82","Course n°2 | Finale A"
"Alice Evlachev","K1D","112","271.89","294.58","Course n°2 | Finale A"
"Laura Rocher","K1D","115.29","263.43","331.96","Course n°2 | Finale A"
"Louane Chenal","K1D","115.38","379.33","332.98","Course n°2 | Finale A"
"Marie Juquelier","K1D","117.06","307.79","352.07","Course n°2 | Finale A"
"Sabine Kleinhenz","K1D","118.24","327.23","365.47","Course n°2 | Finale A"
"Oceane Dorval","K1D","122.16","431.24","410","Course n°2 | Finale A"
"Lucie Prioux","K1D","158.77","95.55","825.88","Course n°2 | Finale A"
"Meryl Steinmann","K1D","164.09","257.83","886.31","Course n°2 | Finale A"
"Caroline Bourry","K1D","Abs","-","-","Course n°2 | Finale A"
"Ilona Martin -laemle","K1DM","114.98","390.33","328.43","Course n°2 | Finale A"
"Adeline Roux","K1DM","125.59","586.42","448.97","Course n°2 | Finale A"
"Solen Friconneau","K1DM","125.69","408.47","450.1","Course n°2 | Finale A"
"Anouk Alberti","K1DM","133.41","476.83","537.8","Course n°2 | Finale A"
"Kesia Georgel","K1DM","149.72","515.17","723.08","Course n°2 | Finale A"
"Cendres Le Floch","K1DM","236.33","1451.84","1706.96","Course n°2 | Finale A"
"Benjamin Travostino","K1H","84.18","36.75","102.87","Course n°2 | Finale A"
"Maxime Bottex","K1H","85.94","106.71","125.46","Course n°2 | Finale A"
"Pierre Grapotte","K1H","87.02","171.01","139.32","Course n°2 | Finale A"
"Kevin Schultz","K1H","88.48","102.11","158.07","Course n°2 | Finale A"
"Renaud Doby","K1H","90.05","75.84","178.22","Course n°2 | Finale A"
"Matthieu Le Gall","K1H","90.75","156.05","187.2","Course n°2 | Finale A"
"Benjamin Jacon","K1H","90.88","84.75","188.87","Course n°2 | Finale A"
"Raphael Lassechere","K1H","91.5","211.88","196.83","Course n°2 | Finale A"
"Nicolas Baudoin","K1H","91.7","105.65","199.4","Course n°2 | Finale A"
"Valentin Vibert","K1H","92.3","231.29","207.1","Course n°2 | Finale A"
"Benjamin Dodane","K1H","92.67","225.04","211.85","Course n°2 | Finale A"
"Maxence Barouh","K1H","92.85","218.52","214.16","Course n°2 | Finale A"
"Antoine Roux","K1H","93.27","148.68","219.55","Course n°2 | Finale A"
"Louis Masson","K1H","93.52","196.07","222.76","Course n°2 | Finale A"
"Jules Silvin","K1H","94.42","258.06","234.32","Course n°2 | Finale A"
"Axel Sleebus","K1H","95.15","245.19","243.69","Course n°2 | Finale A"
"Kawan Thomas","K1H","95.32","182.36","245.87","Course n°2 | Finale A"
"Jonathan Chapatte","K1H","96.03","192.55","254.98","Course n°2 | Finale A"
"Thomas Sicre","K1H","96.18","-","256.91","Course n°2 | Finale A"
"Erwan Cadio","K1H","96.29","284.69","258.32","Course n°2 | Finale A"
"Martin Daviet","K1H","96.39","68.43","259.6","Course n°2 | Finale A"
"Bertrand Bercon","K1H","97.32","234.26","271.54","Course n°2 | Finale A"
"Henri Bergognon","K1H","97.42","242.46","272.82","Course n°2 | Finale A"
"Dimitri Durannot","K1H","97.6","260.11","275.14","Course n°2 | Finale A"
"Teo Bouvier","K1H","98.16","325.11","282.32","Course n°2 | Finale A"
"Samuel Bonella","K1H","98.52","210.73","286.95","Course n°2 | Finale A"
"Raphael Olla","K1H","98.68","212.57","289","Course n°2 | Finale A"
"Nicolas Detheve","K1H","99.85","291.53","304.02","Course n°2 | Finale A"
"Louis Mazoyer","K1H","100.21","340.5","308.64","Course n°2 | Finale A"
"Bertrand Dubiez","K1H","100.35","320.95","310.44","Course n°2 | Finale A"
"Olivier Barriere","K1H","100.83","349.85","316.6","Course n°2 | Finale A"
"Alexandre Goujon","K1H","100.95","366.26","318.14","Course n°2 | Finale A"
"Nayl Tazi-sidqui","K1H","101.04","312.21","319.29","Course n°2 | Finale A"
"Yoni Beghoura","K1H","101.1","313.82","320.06","Course n°2 | Finale A"
"Jean Philippe Roche","K1H","101.12","244.65","320.32","Course n°2 | Finale A"
"Eloi Seemann","K1H","101.21","384.51","321.48","Course n°2 | Finale A"
"Maxence Merpillat","K1H","102.44","262.17","337.26","Course n°2 | Finale A"
"Loic Bourgeois","K1H","102.58","435.6","339.06","Course n°2 | Finale A"
"Jonathan Himpens","K1H","103.02","358.18","344.71","Course n°2 | Finale A"
"Olivier Bourgey","K1H","103.09","385.34","345.61","Course n°2 | Finale A"
"Armand Rakowski","K1H","103.33","-","348.69","Course n°2 | Finale A"
"Antoine Grillier","K1H","105.4","313.37","375.26","Course n°2 | Finale A"
"Patrice Campioni","K1H","106.01","334.54","383.09","Course n°2 | Finale A"
"Nino Chailan","K1H","106.35","387.22","387.46","Course n°2 | Finale A"
"Corentin Talancieux","K1H","106.53","309.3","389.77","Course n°2 | Finale A"
"Leo Demazeau","K1H","107.25","360.95","399.01","Course n°2 | Finale A"
"Emmanuel Triomphe","K1H","107.98","387.11","408.38","Course n°2 | Finale A"
"Enzo Cozette","K1H","108.76","358.99","418.39","Course n°2 | Finale A"
"Louis Pein","K1H","109.22","375.73","424.3","Course n°2 | Finale A"
"Maxime Melmont","K1H","111.08","343.39","448.17","Course n°2 | Finale A"
"Karl Bouthegourd","K1H","111.65","384.25","455.49","Course n°2 | Finale A"
"Remi Vallin","K1H","111.83","470.45","457.8","Course n°2 | Finale A"
"Tom Zanfini","K1H","116.08","315.19","512.36","Course n°2 | Finale A"
"Kilian Godart","K1H","130.14","364.26","692.84","Course n°2 | Finale A"
"Gurgen Brun","K1H","138.46","72.8","799.64","Course n°2 | Finale A"
"Robin Pilard","K1H","141.66","228.75","840.72","Course n°2 | Finale A"
"Nikolas Stanik","K1H","148.13","337.5","923.77","Course n°2 | Finale A"
"Pascal Ferry","K1H","149.33","856.28","939.17","Course n°2 | Finale A"
"Axel Guilleret","K1H","150.99","322.73","960.48","Course n°2 | Finale A"
"Luca Barone","K1H","152.79","373.68","983.59","Course n°2 | Finale A"
"Romain Gayral","K1H","159.75","364.08","1072.93","Course n°2 | Finale A"
"Djendy Simeant","K1HM","94.36","281.64","233.54","Course n°2 | Finale A"
"Noe Monier","K1HM","100.86","343.79","316.98","Course n°2 | Finale A"
"Etienne Wiche","K1HM","101.02","368.85","319.04","Course n°2 | Finale A"
"Raphael Massot","K1HM","104.19","478.24","359.73","Course n°2 | Finale A"
"Robin Andre","K1HM","104.33","542.67","361.53","Course n°2 | Finale A"
"Batiste Ansaldi","K1HM","105.4","428.69","375.26","Course n°2 | Finale A"
"Mohamed SaÏd Bekkadour","K1HM","105.72","461.66","379.37","Course n°2 | Finale A"
"Aurelien Merieux Danneaux","K1HM","106.87","457.07","394.13","Course n°2 | Finale A"
"Loic Trenchant","K1HM","108.51","458.29","415.18","Course n°2 | Finale A"
"Erwann Buthod","K1HM","109.71","470.16","430.59","Course n°2 | Finale A"
"Maxence Jehan","K1HM","110.68","419.19","443.04","Course n°2 | Finale A"
"Edouard Chenal","K1HM","110.96","434.59","446.63","Course n°2 | Finale A"
"Baptiste Gaillard","K1HM","113.37","473.6","477.57","Course n°2 | Finale A"
"Mael Hervault","K1HM","113.41","525.64","478.08","Course n°2 | Finale A"
"Theo Zembalia","K1HM","113.59","513.19","480.39","Course n°2 | Finale A"
"Gino Benini","K1HM","114.61","448.15","493.49","Course n°2 | Finale A"
"Benjamin Guyon","K1HM","115.06","476.87","499.26","Course n°2 | Finale A"
"Corentin Georgeon","K1HM","117.08","532.4","525.19","Course n°2 | Finale A"
"ClÉment Corbeil","K1HM","117.38","-","529.04","Course n°2 | Finale A"
"Sylvain Arnaud","K1HM","119.68","622.33","558.57","Course n°2 | Finale A"
"Theo Soulier","K1HM","164.89","553.01","1138.91","Course n°2 | Finale A"
"LoÏc Winiarski","K1HM","206.27","279.81","1670.09","Course n°2 | Finale A"
"Camille Berson","C1D","132.6","473.75","445.73","Course n°2 | Finale B"
"Carine Chapuis","C1D","142.73","-","554.09","Course n°2 | Finale B"
"Alice Evlachev","C1D","143.16","502.47","558.69","Course n°2 | Finale B"
"Kesia Georgel","C1DM","Abd","-","-","Course n°2 | Finale B"
"Olivier Barriere","C1H","103.88","339.46","297.25","Course n°2 | Finale B"
"Nil Georgel","C1H","105.8","330.3","320.72","Course n°2 | Finale B"
"Alexandre Georgel","C1H","106.4","402.53","328.05","Course n°2 | Finale B"
"Jean Marc Trenchant","C1H","110.86","396.87","382.58","Course n°2 | Finale B"
"Raphael Lassechere","C1H","110.95","370.74","383.69","Course n°2 | Finale B"
"Jules Silvin","C1H","113.45","408.43","414.25","Course n°2 | Finale B"
"Guillaume Gonseth","C1H","114.2","416.85","423.42","Course n°2 | Finale B"
"Enzo Guillarme","C1H","114.63","452.86","428.67","Course n°2 | Finale B"
"Arthur Perez","C1H","114.85","414.72","431.36","Course n°2 | Finale B"
"Maxime Kabir","C1H","115.05","374.26","433.8","Course n°2 | Finale B"
"Loic Bourgeois","C1H","115.76","466.96","442.49","Course n°2 | Finale B"
"Thomas Denais","C1H","116.45","534.21","450.93","Course n°2 | Finale B"
"Nicolas Detheve","C1H","120.13","-","495.92","Course n°2 | Finale B"
"Karl Bouthegourd","C1H","121.95","456.14","518.16","Course n°2 | Finale B"
"Gaspard Perrio","C1H","122.66","395.39","526.84","Course n°2 | Finale B"
"Angelino Castagnetti","C1H","126.9","638.76","578.68","Course n°2 | Finale B"
"Valentin Lacor","C1H","127.95","600.79","591.51","Course n°2 | Finale B"
"Matthis Fradin","C1H","128.48","521.38","598","Course n°2 | Finale B"
"Simon Del Negro","C1H","131.7","592.46","637.37","Course n°2 | Finale B"
"Quentin Laplace","C1H","151.19","627.21","875.63","Course n°2 | Finale B"
"Paul Farrugio","C1H","152.59","664.99","892.75","Course n°2 | Finale B"
"Maxence Merpillat","C1H","184.88","-","1287.5","Course n°2 | Finale B"
"Lucas Barriere","C1H","197.15","-","1437.51","Course n°2 | Finale B"
"Vincent Chamois","C1H","Abd","-","-","Course n°2 | Finale B"
"Gino Benini","C1HM","141.28","850.28","754.47","Course n°2 | Finale B"
"Antonin Robert","C1HM","150.54","1303.1","867.68","Course n°2 | Finale B"
"Edouard Chenal","C1HM","155.43","1043.84","927.47","Course n°2 | Finale B"
"Frederic Momot-Jean Philippe Winiarski","C2H","111.31","518.25","326.23","Course n°2 | Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","123.66","384.1","470.35","Course n°2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","126.83","617.96","507.34","Course n°2 | Finale B"
"Corentin Talancieux-Louis Mazoyer","C2H","127.46","-","514.7","Course n°2 | Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","131.6","497.46","563","Course n°2 | Finale B"
"Teo Bouvier-Hugo Martin -laemle","C2H","181.81","472.22","1148.94","Course n°2 | Finale B"
"Maeva Auriol-Charles Billon","C2M","Abd","-","-","Course n°2 | Finale B"
"Carine Chapuis","K1D","115.7","294.32","341.61","Course n°2 | Finale B"
"Tifenn Primet","K1D","118.21","364.22","370.13","Course n°2 | Finale B"
"Camille Berson","K1D","118.6","462.9","374.56","Course n°2 | Finale B"
"Caoimhe O'ferrall","K1D","120.95","-","401.25","Course n°2 | Finale B"
"Clara Gache","K1D","122.95","523.61","423.97","Course n°2 | Finale B"
"Juliette Rousset","K1D","123.11","395.47","425.79","Course n°2 | Finale B"
"Emma Miton","K1D","125.23","466.28","449.87","Course n°2 | Finale B"
"Elke Saragas","K1D","125.72","407.1","455.45","Course n°2 | Finale B"
"Maeva Auriol","K1D","127.09","396.15","471","Course n°2 | Finale B"
"Lea Ferraris","K1D","127.18","584.44","472.03","Course n°2 | Finale B"
"Elise Carbon","K1D","128.59","643.99","488.04","Course n°2 | Finale B"
"Clara Jannic","K1D","138.78","525.4","603.8","Course n°2 | Finale B"
"Laura Maurilieras","K1D","141.06","-","629.7","Course n°2 | Finale B"
"Juliette Ribault","K1D","141.81","800.19","638.23","Course n°2 | Finale B"
"Jocelyne Roupioz","K1D","142.57","500.4","646.85","Course n°2 | Finale B"
"Sarah Monod","K1D","147.22","588.3","699.67","Course n°2 | Finale B"
"Marion Pasquali","K1D","175.19","328.26","1017.41","Course n°2 | Finale B"
"Nathalie Chapuis","K1D","192.5","-","1214.05","Course n°2 | Finale B"
"Mathieu Monier","K1H","90.66","210.15","191.05","Course n°2 | Finale B"
"Leo Fournier","K1H","93.14","171.54","222.88","Course n°2 | Finale B"
"Kevin Rancon","K1H","103.29","329.42","353.18","Course n°2 | Finale B"
"Mikael Clanchin","K1H","104.63","314.54","370.38","Course n°2 | Finale B"
"Nour Ait Kaddour","K1H","105.34","363.83","379.49","Course n°2 | Finale B"
"Thibault Gache","K1H","105.65","-","383.47","Course n°2 | Finale B"
"Hugo Martin -laemle","K1H","106.28","434.24","391.56","Course n°2 | Finale B"
"Arnaud Lejeune","K1H","106.52","431.25","394.64","Course n°2 | Finale B"
"Philippe Lelieur","K1H","107.06","-","401.57","Course n°2 | Finale B"
"Lucas Barriere","K1H","107.58","427.11","408.24","Course n°2 | Finale B"
"Romaric Baron","K1H","107.85","474.84","411.71","Course n°2 | Finale B"
"Djimy Kar","K1H","109.78","386.5","436.49","Course n°2 | Finale B"
"Laurence Scrimgeour","K1H","109.99","546.91","439.18","Course n°2 | Finale B"
"Jerome Talbot","K1H","110.21","460.02","442.01","Course n°2 | Finale B"
"Erwan Degreve","K1H","111.09","498.24","453.3","Course n°2 | Finale B"
"Nathaniel Levy","K1H","111.53","420.03","458.95","Course n°2 | Finale B"
"Maxime Parigot","K1H","111.77","-","462.03","Course n°2 | Finale B"
"Stephane Boulanger","K1H","112.16","364.62","467.04","Course n°2 | Finale B"
"Loic Bouvier","K1H","112.38","392.99","469.86","Course n°2 | Finale B"
"Remy Beal","K1H","112.4","480.54","470.12","Course n°2 | Finale B"
"Dyclan Plessis","K1H","114.59","377.38","498.23","Course n°2 | Finale B"
"Alexei Evlachev","K1H","116.1","541.15","517.61","Course n°2 | Finale B"
"Tom Mazouat","K1H","116.77","584.28","526.21","Course n°2 | Finale B"
"Alexis Mercoirol","K1H","117.16","439.09","531.22","Course n°2 | Finale B"
"Victor Dormoy","K1H","117.25","-","532.38","Course n°2 | Finale B"
"Aymeric Rivier","K1H","117.56","523.09","536.35","Course n°2 | Finale B"
"Jos Tabone","K1H","118.07","680.63","542.9","Course n°2 | Finale B"
"Benjamin Bergin","K1H","118.12","606.08","543.54","Course n°2 | Finale B"
"Felix Balas","K1H","118.95","545.23","554.2","Course n°2 | Finale B"
"Leonard Painteaux","K1H","119.11","561.12","556.25","Course n°2 | Finale B"
"Louis Bouchiat","K1H","119.16","420.66","556.89","Course n°2 | Finale B"
"Quentin Laplace","K1H","119.77","520.17","564.72","Course n°2 | Finale B"
"Maxime Pilard","K1H","119.82","528.67","565.37","Course n°2 | Finale B"
"Joachim Saussol","K1H","121.01","632.35","580.64","Course n°2 | Finale B"
"Serge Doby","K1H","123.43","600.37","611.71","Course n°2 | Finale B"
"Titouan Auriol","K1H","123.58","448.44","613.63","Course n°2 | Finale B"
"Marc Jungling","K1H","123.73","566.22","615.56","Course n°2 | Finale B"
"Remi Guerinet","K1H","124.06","-","619.79","Course n°2 | Finale B"
"Charles Billon","K1H","124.61","568.16","626.85","Course n°2 | Finale B"
"Francois Lecuit","K1H","126.19","637.74","647.13","Course n°2 | Finale B"
"Arthur Tebib","K1H","126.43","1535.56","650.22","Course n°2 | Finale B"
"Charles Culine","K1H","129.21","556.37","685.9","Course n°2 | Finale B"
"Thomas Moret","K1H","129.35","-","687.7","Course n°2 | Finale B"
"Lucas Matkovic","K1H","131.5","809.24","715.3","Course n°2 | Finale B"
"Benjamin Gonthier","K1H","131.55","682.02","715.94","Course n°2 | Finale B"
"Jean-marc Suarez","K1H","132.77","-","731.6","Course n°2 | Finale B"
"Yasin Gulay","K1H","132.9","858.23","733.27","Course n°2 | Finale B"
"Kevin Vienny","K1H","136.63","754.05","781.15","Course n°2 | Finale B"
"Florent Vallier","K1H","142.97","772.42","862.53","Course n°2 | Finale B"
"Yves Masson","K1H","166.34","506.89","1162.52","Course n°2 | Finale B"
"Arthur Brune","K1H","169.87","874.84","1207.84","Course n°2 | Finale B"
"Paul Farrugio","K1H","179.11","603.19","1326.45","Course n°2 | Finale B"
"Bastien Cothenet","K1H","179.63","720.59","1333.12","Course n°2 | Finale B"
"Antoine Gossieaux","K1H","183.47","-","1382.42","Course n°2 | Finale B"
"Victoryan Krahenbuhl","K1H","205.88","1099.67","1670.08","Course n°2 | Finale B"
"Pierre Jules Lhommel","K1H","209.64","-","1718.35","Course n°2 | Finale B"
"Come Champurney","K1H","217.04","568.52","1813.34","Course n°2 | Finale B"
"Julien Coutet","K1H","228.72","-","1963.27","Course n°2 | Finale B"
"Erwan Quellec","K1H","Abd","-","-","Course n°2 | Finale B"
"Lucas Dominguez","K1HM","105.24","479.98","378.21","Course n°2 | Finale B"
"Arthur Contamine","K1HM","112.08","527.26","466.01","Course n°2 | Finale B"
"Antonin Robert","K1HM","114.12","574.11","492.2","Course n°2 | Finale B"
"Clement Couchoud","K1HM","116.24","565.54","519.41","Course n°2 | Finale B"
"Matthew Vuillard","K1HM","117.38","614.01","534.04","Course n°2 | Finale B"
"Luca Gabelli","K1HM","118.24","526.6","545.08","Course n°2 | Finale B"
"Daniel Chambert","K1HM","121.62","819.95","588.47","Course n°2 | Finale B"
"Nicolas Demofsqui","K1HM","124.09","565.8","620.18","Course n°2 | Finale B"
"Jonathan Ferreira","K1HM","124.31","769.75","623","Course n°2 | Finale B"
"Antoine Marion","K1HM","125.98","705","644.44","Course n°2 | Finale B"
"Pierre Fillinger","K1HM","129.16","1164.79","685.26","Course n°2 | Finale B"
"Oscar Pasteur","K1HM","129.28","779.86","686.8","Course n°2 | Finale B"
"Tom Dubourd","K1HM","135.93","1006.9","772.16","Course n°2 | Finale B"
"Arthur Talarmain","K1HM","138.53","664.14","805.54","Course n°2 | Finale B"
"Simon Tourtois","K1HM","140.87","-","835.58","Course n°2 | Finale B"
"Matheo Dejonghe","K1HM","153.96","497.07","1003.61","Course n°2 | Finale B"
"Heino Leveque","K1HM","158.62","-","1063.43","Course n°2 | Finale B"
"Baptiste Dumas","K1HM","226.63","2481.6","1936.44","Course n°2 | Finale B"
"Julien Barbut","K1HM","335.15","-","3329.47","Course n°2 | Finale B"
"Stephen Furio","K1HM","Abd","-","-","Course n°2 | Finale B"
