"Sélectif Régional - Vinon sur Verdon - 2012-03-25","Course 2","2012-03-25","Régional","149"
"David Dih","K1H","131.39","-","429.66",""
"Benoit Viallon","K1H","132.1","427.03","437.49",""
"Aurelien Fualdes","K1H","132.17","419.43","438.26",""
"Benoit Renaudier","K1H","133.24","417.37","450.07",""
"Anthony Claveyroles","K1H","136.58","540.86","486.92",""
"Ollivier Paumier","K1H","136.88","407.53","490.23",""
"Jean Marie Ballouard","K1H","139.26","-","516.5",""
"Frederic Bordier","K1H","140.01","581.27","524.77",""
"Morgan Meffre","K1H","140.91","433.92","534.7",""
"Arnaud Deletraz","K1H","141.85","-","545.07",""
"Hugo Lelieur","K1H","142.44","621.08","551.58",""
"Simon Demer","K1H","148.58","574.38","619.34",""
"Paul Roubaud","K1H","152.59","664.18","663.58",""
"Valentin Mannent","K1H","152.77","1185.64","665.57",""
"Ange Bernard","K1H","153.05","740.02","668.66",""
"Simon Bolla","K1H","154.55","-","685.21",""
"Bastien Benoit","K1H","154.77","642.39","687.64",""
"Cyril Audoit","K1H","157.83","840.29","721.4",""
"Ayoub Roger","K1H","158.91","881.33","733.32",""
"Jean Saez","K1H","167.99","218.84","833.51",""
"Orion Ragnini","K1H","168.07","266.07","834.39",""
"Teo Deconchy","K1H","169.99","325.05","855.58",""
"Julien Nutte","K1H","175.52","-","916.6",""
"Jules Vezole","K1H","185.66","611.52","1028.49",""
"Fabien Leist","K1H","Nt","-","-",""
"Theotime Forest","K1H","Nt","-","-",""
"Morgan Hoarau","K1H","Nt","-","-",""
"Enzo Di Litta","K1H","Nt","-","-",""
"Matteo Dardonville","K1H","Nt","-","-",""
"Nathaniel Levy","K1H","Nt","-","-",""
"Mathias Levy","K1H","Nt","-","-",""
"Philippe Lelieur","K1H","Nt","-","-",""
"Henrique Almeida","K1H","Nt","-","-",""
"Julien Beltrami","K1H","Nt","-","-",""
