"Championnat Régional - Evrunes, Gazeau - 2011-01-08","Course 1","2011-01-08","Régional","121"
"Christian Belouin","K1H","135.27","507.25","552.89",""
"Antonin Leray","K1H","156.59","983.89","774.01",""
"Eric Borg","K1H","184.97","-","1068.36",""
"Nicolas Cochet","K1H","185.87","639.65","1077.69",""
"Vincent Sibioude","K1H","194.78","-","1170.1",""
"Marc Laurent","K1H","247.99","870.15","1721.97",""
"Gerard Lemonnier","K1H","248.38","644","1726.02",""
"Arnaud Moulin","K1H","474.47","-","4070.92",""
"Valentin Langevin","K1H","527.32","2607.44","4619.06",""
"Christian Le Parc","K1H","537.09","-","4720.39",""
"Vincent Froger","K1H","Nt","-","-",""
"Nicolas Rouleaud","K1H","Nt","-","-",""
"Pierrick Meheust","K1H","Nt","-","-",""
"Thierry Dugue","K1H","Nt","-","-",""
