"Nationale 2 - Cesson Sévigné - 2013-02-17","Course 3","2013-02-17","Nationale 2","174"
"Clothilde Le Louarn","K1D","126.56","148.57","242.75",""
"Oceane Vienet","K1D","127.15","124.27","247.63",""
"Elodie Le Nechet","K1D","130.06","164.91","271.73",""
"Marie-francoise Prigent","K1D","130.17","160.73","272.64",""
"Laura Nicolas","K1D","131.73","156.52","285.55",""
"Helene Thuret","K1D","131.86","170.06","286.63",""
"Celia Jodar","K1D","132.12","149.18","288.78",""
"Lisa Marechal","K1D","134.1","165.47","305.18",""
"Amelie Perier","K1D","135.33","175.6","315.36",""
"Elodie Delavelle","K1D","135.93","182.66","320.33",""
"Laurine Grandadam","K1D","138.52","163.15","341.78",""
"Marine Schmitt","K1D","138.8","159.43","344.1",""
"Alize Bachelot","K1D","147.3","196.35","414.48",""
"Chloe Gatuingt","K1D","148.73","188.92","426.31",""
"Marion Laurain","K1D","151.51","155.39","449.33",""
"Lisa Robin","K1D","188.97","156.91","759.49",""
"Marianne Bercon","K1D","205.86","150.55","899.34",""
"Laurene Cougnet","K1D","Nt","-","-",""
"Manon Sacre","K1D","Nt","-","-",""
"Tifenn Van Delft","K1D","Nt","-","-",""
"Sarah Desnos","K1D","Nt","-","-",""
"Lou Renaud","K1D","Nt","-","-",""
"Remi Baudot","K1H","95.57","64.38","89.03",""
"Christophe Marechal","K1H","95.96","37.07","92.67",""
"Pierre Marie Roussel","K1H","97.36","33.72","105.78",""
"Fabien Le Nechet","K1H","97.69","69.61","108.86",""
"Nicolas Rebours","K1H","98.1","56.25","112.69",""
"Valentin Brindeau","K1H","98.19","43.87","113.54",""
"Anthony Mottais","K1H","98.65","55.77","117.84",""
"Louison Turmeau","K1H","98.82","52.37","119.43",""
"Mehdi Rouich","K1H","99.07","69.55","121.77",""
"Eric Lamour","K1H","99.23","51.28","123.27",""
"Alexandre Dherbilly","K1H","99.39","61.27","124.77",""
"Thibault Marchand","K1H","99.53","88.36","126.08",""
"Mathieu Douillet","K1H","99.69","70.53","127.57",""
"Pol Oulhen","K1H","100.47","65.88","134.87",""
"Xavier Jourdain","K1H","100.52","47.3","135.33",""
"Kilian Blot","K1H","100.56","71.85","135.72",""
"Gael Prodeau","K1H","100.77","49.19","137.68",""
"Louis Philippe Rigal","K1H","101.36","55.68","143.2",""
"Simon Le Friec","K1H","101.45","66.15","144.03",""
"Sami Rocher","K1H","101.48","74.69","144.32",""
"Nicolas Coudert","K1H","101.51","67.82","144.6",""
"Boris Pernelle","K1H","101.53","88.61","144.79",""
"Nicolas Feuillard","K1H","101.86","58.45","147.87",""
"Damien Launay","K1H","101.87","64.34","147.97",""
"Simon Despres","K1H","101.93","91.02","148.53",""
"Nicolas Veillard","K1H","102.1","76.18","150.12",""
"Hugo Maher","K1H","102.28","88.71","151.8",""
"Stann Savels","K1H","102.49","72.82","153.77",""
"Alexis Caspar","K1H","102.56","54.63","154.43",""
"Herve Busson","K1H","102.97","61.66","158.25",""
"Boris Sacre","K1H","103.05","59.18","159.01",""
"Maxime Texier","K1H","103.45","101.88","162.76",""
"Pol Euzenes","K1H","103.71","84.26","165.18",""
"Titouan Dupras","K1H","103.97","92.92","167.62",""
"Jean Christophe Boivin","K1H","104","79.54","167.89",""
"Leo Le Druillennec","K1H","104.28","116.14","170.52",""
"Francois Gillot","K1H","104.44","97.51","172.01",""
"Nizar Samlal","K1H","104.52","85.63","172.77",""
"Romain Faurie","K1H","104.72","54.84","174.63",""
"Anthony Thuillier","K1H","104.97","57.12","176.98",""
"Liam Jegou","K1H","105.02","87.56","177.44",""
"Mathurin Madore","K1H","105.08","92.47","178",""
"Denis Guilmard","K1H","105.29","120.06","179.97",""
"Maxime Foucault","K1H","105.31","98.75","180.16",""
"Laurent Starck","K1H","105.65","98.7","183.33",""
"Romain Bertrand","K1H","106.38","102.39","190.17",""
"Franck Delachair","K1H","106.6","117.16","192.22",""
"Vincent Froger","K1H","106.75","92.63","193.62",""
"Nowan Bertin","K1H","106.93","114.2","195.3",""
"Benjamin Thiboust","K1H","106.97","41.38","195.69",""
"Charlie Barbier","K1H","107.02","112.69","196.15",""
"Gael Wassmer","K1H","107.47","113.41","200.36",""
"Lionel Tinevez","K1H","107.49","103.66","200.55",""
"Cedric Jegouzo","K1H","107.54","70.11","201.01",""
"Bertrand Avril","K1H","107.59","101.14","201.49",""
"Stephane Broute","K1H","107.9","104.46","204.39",""
"Maxence Grandadam","K1H","107.91","103.14","204.48",""
"Kevin Lemenaheze","K1H","108.6","101.56","210.93",""
"Aurelien Ballandras","K1H","109.2","107.07","216.54",""
"Quentin Moreaux","K1H","109.37","79.14","218.15",""
"Pierre Dampeyrou","K1H","109.39","127.41","218.33",""
"Alan Dollo","K1H","109.52","87.14","219.54",""
"Tom Barthelemy","K1H","109.93","123.09","223.38",""
"Arnaud Gallois","K1H","109.95","92.97","223.56",""
"Matthieu Chauvel","K1H","109.99","102.24","223.95",""
"Nicolas Rouleaud","K1H","110.39","96.49","227.68",""
"Alexis Pernelle","K1H","111.42","103.48","237.32",""
"Luc Hellard","K1H","112.75","97.74","249.77",""
"Pierre Audouin","K1H","113.42","89.14","256.03",""
"Guillaume Blin","K1H","114.2","106.63","263.33",""
"Vincent Dubois","K1H","116.18","122.17","281.85",""
"Thibaut Chariot","K1H","117.17","100.05","291.12",""
"Guillaume Doutreix","K1H","118.47","124.52","303.28",""
"Dimitri Etienne","K1H","119.42","109.59","312.17",""
"Arnaud Pellizzoni","K1H","120.28","105.63","320.21",""
"Romain Guyomard","K1H","146.12","91.28","561.98",""
"Loic Monbel","K1H","155.97","59.35","654.14",""
"Xavier Sucker","K1H","164.65","90.06","735.35",""
"Theo Quenouillere","K1H","170.38","83.59","788.97",""
"Damien Fontaine","K1H","218.91","125.62","1243.03",""
"Arnaud Delattre","K1H","Nt","-","-",""
"Antoine Dubost","K1H","Nt","-","-",""
