"Selectif Régional Slalom - Corbeil Essonnes - 2007-11-18","Course 1","2007-11-18","Régional","224"
"Henry Sirot-Florian Thomann","C2H","270.48","-","483",""
"Cremonesi Jeremy- Lhegu Samuel","C2H","277.25","-","522",""
"Baptiste Humbert-Florian Souchaire","C2H","285.86","760","569",""
"Teddy Poulard-Alize Bachelot","C2M","272.53","-","469",""
"Alexandre Diemert-Rosalie Kempf","C2M","279.95","779","509",""
"Hubert Sandrine- Marechal Loic","C2M","304.86","729","647",""
"Caroline Bourry","K1D","204.30","76","123",""
"Fiora Bourges","K1D","216.82","235","194",""
"Anne Sophie Le Bailly","K1D","217.85","127","200",""
"Julie Paoletti","K1D","220.85","231","217",""
"Flora Bove","K1D","221.84","180","222",""
"Marion Gallois","K1D","227.96","308","257",""
"Sophie Machiels","K1D","230.99","278","274",""
"Lisa Tanet","K1D","232.40","-","282",""
"Paoletti Camille","K1D","236.48","-","305",""
"Lea Feuillard","K1D","236.67","302","306",""
"Hubert Sandrine","K1D","237.61","353","311",""
"Lucie Baudu","K1D","243.91","365","347",""
"Rosalie Kempf","K1D","243.99","357","347",""
"Godron Camille","K1D","246.16","-","360",""
"Celia Jodar","K1D","249.96","305","381",""
"Emilie Hernandez-brossard","K1D","250.40","477","384",""
"Alize Bachelot","K1D","252.12","368","393",""
"Clara Dos Santos","K1D","252.83","309","397",""
"Cloe Hun","K1D","269.38","-","491",""
"Marie-helene Bruyen","K1D","292.55","614","622",""
"Ladouce Charline","K1D","294.03","568","630",""
"Kronousek Justine","K1D","300.92","491","669",""
"Cart Sophie","K1D","302.65","-","679",""
"Amalia Mazzilli","K1D","319.16","725","772",""
"Stephanie Bender","K1D","324.03","-","800",""
"Backscheider Marie","K1D","326.45","-","814",""
"Marine Vegnaduzzo","K1D","330.94","733","839",""
"Ottemer Abigail","K1D","394.46","-","1198",""
"Joly Gabrielle","K1D","399.10","-","1225",""
"Soyer Ombeline","K1D","430.53","-","1402",""
"Manon Liard","K1D","433.20","1689","1417",""
"Sylvie Bourdon","K1D","569.81","-","2190",""
"Duthoit Violaine","K1D","630.00","-","2529",""
"Laurence Carrecabe","K1D","981.13","-","4514",""
"Louis Philippe Rigal","K1H","179.25","94","103",""
"Ronan Lucas","K1H","181.61","60","118",""
"Jeremy Cremonesi","K1H","183.18","104","128",""
"Vincent Reiter","K1H","183.44","95","130",""
"Benoit Chantry","K1H","184.89","-","138",""
"Ciaran Heurteau","K1H","185.57","46","143",""
"Pierre Baux","K1H","188.78","145","164",""
"Gregory Busson","K1H","189.29","85","167",""
"Xavier Jourdain","K1H","189.49","86","168",""
"Yoann Hautecloche","K1H","190.82","127","177",""
"Julien Daumont","K1H","191.87","120","183",""
"Le Berte Maxime","K1H","191.98","166","184",""
"Yves Lecointe","K1H","192.84","186","189",""
"Beaudoin Fabien","K1H","193.62","160","194",""
"Julien Antide","K1H","193.78","159","195",""
"Valadon Louis","K1H","193.86","225","196",""
"Philippe Daumont","K1H","194.23","141","198",""
"Louison Tanet","K1H","194.47","204","200",""
"Florian Perenchio","K1H","194.54","169","200",""
"Samuel Lhegu","K1H","194.83","132","202",""
"Anthony Thuillier","K1H","197.07","163","216",""
"Loic Monbel","K1H","198.94","160","227",""
"Dupont Eric","K1H","199.47","174","231",""
"Michel Gombert","K1H","200.35","161","237",""
"Emmanuel Moreau","K1H","200.40","215","237",""
"Valentin Casse","K1H","200.82","275","239",""
"Paul Poulet","K1H","203.06","214","254",""
"Nicolas Arnoult","K1H","203.58","265","257",""
"Bram Peeters","K1H","203.66","-","257",""
"Nicolas Feuillard","K1H","203.92","229","259",""
"Antoine Lebastard","K1H","205.90","219","272",""
"Quentin Moreaux","K1H","206.49","208","275",""
"Romain Content","K1H","206.62","249","276",""
"Sergent Sylvain","K1H","207.03","246","278",""
"Alban Planchais","K1H","207.59","301","283",""
"Silvere Desongins","K1H","208.03","271","285",""
"Thibaud Kudla","K1H","208.10","326","286",""
"Venceslas Viseur","K1H","208.28","134","287",""
"Julien Fougeron","K1H","208.56","252","289",""
"Salinie Sylvain","K1H","208.92","355","291",""
"Gregory Booth","K1H","209.53","264","294",""
"Denis Parizia","K1H","210.15","284","299",""
"Adel Faycal","K1H","210.22","-","299",""
"Julien Darees","K1H","210.61","-","302",""
"Julien Signarbieux","K1H","210.78","238","303",""
"Samuel Hun","K1H","210.90","434","304",""
"Stephane Broute","K1H","211.79","265","309",""
"Guillaume Maraquin","K1H","212.36","-","312",""
"Jerome Trousson","K1H","212.39","232","312",""
"Benoit Monvoisin","K1H","212.99","287","317",""
"Maxime Cousin","K1H","213.19","284","318",""
"Philippe Valeri","K1H","213.44","302","320",""
"Thomas Viratelle","K1H","213.49","392","320",""
"Leo Capelle","K1H","213.65","333","321",""
"Germain Carre","K1H","214.54","274","326",""
"Jeremy Bretteville","K1H","214.66","258","327",""
"Ludovic Lino","K1H","214.69","301","327",""
"Tourneur Yoan","K1H","214.88","597","328",""
"Tristan Lejot","K1H","215.48","-","333",""
"Romaric Baron","K1H","218.35","383","351",""
"Jean-loup Bachmann","K1H","218.78","428","354",""
"Florent Tamburini","K1H","219.05","181","355",""
"Gerard Lafargue","K1H","219.22","347","356",""
"Flavien Odile","K1H","219.58","307","358",""
"Romain Lemaire","K1H","219.68","316","359",""
"Simon Boulan","K1H","221.84","302","373",""
"Matthieu Walfard","K1H","221.87","232","373",""
"Adrien Helbert","K1H","224.67","526","391",""
"Bastien Pailler","K1H","225.63","302","396",""
"Guillaume Cochut","K1H","225.78","425","397",""
"Domenger Paul","K1H","226.36","463","402",""
"Mehdi Rouich","K1H","226.80","330","404",""
"Romain Chane","K1H","226.88","366","405",""
"Stephane Helle","K1H","227.23","699","407",""
"Benjamin Fourmet","K1H","229.69","314","423",""
"Remy Daumont","K1H","234.06","396","450",""
"William Ozanne","K1H","235.04","-","456",""
"Matthieu Laruelle","K1H","238.42","637","478",""
"Simon Bernard","K1H","238.97","559","481",""
"Jeremy Huguenin","K1H","243.41","469","509",""
"Joel Ramillon","K1H","243.41","491","509",""
"Arnaud Delachaux","K1H","244.68","536","517",""
"Sebastien Dupont","K1H","246.80","-","531",""
"Roberge Sebastien","K1H","247.37","442","534",""
"Guilherme Goncalves Maghin","K1H","247.76","-","536",""
"Damien Jacques","K1H","249.55","606","548",""
"Tom Lay","K1H","249.63","-","548",""
"Camille Mege","K1H","251.08","-","558",""
"Jerome Mailfait","K1H","251.55","389","561",""
"Maxime Boisgontier","K1H","252.86","-","569",""
"Anton Chervontsev","K1H","258.02","725","601",""
"Guilhem Goubert","K1H","259.32","-","610",""
"Sylvain Pionnier","K1H","259.35","772","610",""
"Benjamin Millet Naas","K1H","259.91","568","614",""
"Thomas Van Craenenbroeck","K1H","264.29","622","642",""
"Clerc Romain","K1H","266.02","648","652",""
"Baptiste Humbert","K1H","267.64","-","663",""
"Pierron Aurelien","K1H","267.77","-","664",""
"Gilles Lucas","K1H","267.98","484","665",""
"Leclerc Julien","K1H","268.18","-","666",""
"Maxime Nares","K1H","268.44","-","668",""
"Louis Piot","K1H","269.23","-","672",""
"Xavier Leclercq","K1H","269.76","-","676",""
"Corentin Marteau","K1H","273.06","-","697",""
"Benjamin Poutonnet","K1H","273.30","-","699",""
"Mathieu Monvoisin","K1H","274.08","-","703",""
"Patrick Hun","K1H","275.27","923","711",""
"Jean Marc Lejot","K1H","276.60","-","719",""
"Ernou Gregoire","K1H","277.63","-","725",""
"Maxime Huvelin","K1H","280.73","-","746",""
"Etienne Carpentier","K1H","280.93","415","747",""
"Laurent Ernou","K1H","281.45","746","750",""
"Aimeric Brouillard","K1H","285.94","912","779",""
"Jonathan Matern","K1H","286.53","-","782",""
"Valentin Millet Naas","K1H","286.57","757","783",""
"Claude Breuzard","K1H","289.42","705","801",""
"Florian Souchaire","K1H","289.50","-","801",""
"Marteau Thiebault","K1H","290.22","-","805",""
"Hassan Zaryoh","K1H","291.51","-","814",""
"Benon Louis","K1H","297.01","-","849",""
"Pak Jonathan","K1H","309.24","-","926",""
"Denis Gaetan","K1H","313.16","-","951",""
"Villeneuve Vincent","K1H","313.83","-","955",""
"Eric Bernard","K1H","322.51","766","1010",""
"Kronovsek Patrick","K1H","326.16","746","1033",""
"Christophe Dufresne","K1H","333.26","1239","1078",""
"Elie Mahfouz","K1H","341.19","-","1128",""
"Jerome Urbanczyk","K1H","345.13","442","1153",""
"Brouillard Aurelien","K1H","346.42","686","1162",""
"Bruno Dumouilla","K1H","349.10","2809","1179",""
"Elie Voltz","K1H","362.65","-","1264",""
"Tristan Breuilly","K1H","373.00","-","1330",""
"Thomas Laverdure","K1H","403.31","-","1522",""
"Adrien Barlier","K1H","419.42","3471","1624",""
"Pierre Gulli","K1H","458.73","-","1872",""
"Christopher Deschamps-colonual","K1H","522.03","-","2274",""
"Antoine Beaudoin","K1H","538.42","506","2377",""
"Caillot Thierry","K1H","625.97","-","2931",""
