"Championnat de France C sur J sur S - Bourg St Maurice - Championnats de France slalom par équipe - 2012-07-21","Championnats de France slalom par équipe","2012-07-21","Championnats de France","113"
"Clement Cierocki-Thibault Marchand-Louison Turmeau","EKH","195.15","-","1404",""
"Baptiste Simon","EKH","195.23","-","500",""
"Baptiste Simon","EKH","200.2","-","1343",""
"Davy Egraz-Thomas Dandel-Sylvain Dandel","EKH","204.86","-","500",""
"Baptiste Simon","EKH","210.23","-","500",""
"Baptiste Simon","EKH","210.8","-","1253",""
"Baptiste Simon","EKH","212.8","-","500",""
"Baptiste Simon","EKH","216.01","-","1193",""
"Baptiste Simon","EKH","218.39","-","1163",""
"Baptiste Simon","EKH","222.59","-","1133",""
"Baptiste Simon","EKH","225.2","-","1102",""
"Baptiste Simon","EKH","226.24","-","1072",""
"Baptiste Simon","EKH","226.67","-","1042",""
"Baptiste Simon","EKH","227.38","-","1012",""
"Baptiste Simon","EKH","233.78","-","500",""
"Baptiste Simon","EKH","234.16","-","500",""
"Baptiste Simon","EKH","238.06","-","922",""
"Baptiste Simon","EKH","252.58","-","500",""
"Baptiste Simon","EKH","255.57","-","500",""
"Baptiste Simon","EKH","272.59","-","500",""
"Gabin Repellin-Emeric Vibert-Valentin Vibert","EKH","290.27","-","500",""
"Baptiste Simon","EKH","304.49","-","500",""
"Baptiste Simon","EKH","311.09","-","500",""
"Baptiste Simon","EKH","321.35","-","500",""
"Baptiste Simon","EKH","335.25","-","681",""
"Baptiste Simon","EKH","384.14","-","651",""
"Baptiste Simon","EKH","396.91","-","500",""
"Baptiste Simon-Baptiste Simon","EKH","397.98","-","500",""
"Baptiste Simon","EKH","483.87","-","500",""
"Baptiste Simon","EKH","595.46","-","500",""
"Baptiste Simon","EKH","610.66","-","500",""
