"Championnat Rhône Alpes slalom - Bassin des Aravis - Fier - Argonay sur Annecy - 2008-05-18","Course 1","2008-05-18","Régional","119"
"Theo Moquet","K1H","231.21","387","323",""
"Baptiste Provost","K1H","232.08","275","327",""
"Frederic Blanrue","K1H","233.73","372","337",""
"Thomas Lacroix","K1H","235.39","376","347",""
"Jimy Bercon","K1H","241.16","68","382",""
"Alexandre Bordas","K1H","241.63","361","385",""
"Jean Baptiste Thiel","K1H","243.71","-","397",""
"Lois Guillermond","K1H","243.77","450","397",""
"Gael Wassmer","K1H","244.45","258","401",""
"Malnory Jean","K1H","246.12","-","411",""
"Thomas Neime","K1H","250.54","469","438",""
"Kevin Deschamps","K1H","251.59","436","444",""
"Loick Aupee","K1H","256.28","492","472",""
"Yan Labeye","K1H","257.27","436","478",""
"Tom Jackson","K1H","258.23","391","484",""
"Sylvain Dandel","K1H","259.69","218","492",""
"Felix Balas","K1H","261.90","482","505",""
"Robin Dupras","K1H","262.61","491","510",""
"Corentin Metral","K1H","264.20","333","520",""
"Thomas Genet","K1H","268.19","494","543",""
"Hugues Peyret","K1H","271.60","478","563",""
"Sylvain Ferry","K1H","275.49","312","587",""
"Antoine Lhermite","K1H","280.49","220","616",""
"Charriere Jordan","K1H","280.83","677","618",""
"Simon Fressynet","K1H","282.83","643","630",""
"Pedro Farias Barbas","K1H","283.23","-","632",""
"Charles Redon","K1H","293.13","794","692",""
"Clement Gourmelon","K1H","305.71","563","767",""
"Colas Geier","K1H","317.44","558","836",""
"Florent Ferro","K1H","318.88","-","845",""
"Escalier Guillaume","K1H","327.86","-","898",""
"Mathieu Chossat","K1H","344.70","-","999",""
"Hollender Julien","K1H","347.70","-","1017",""
"Dupont Benjamin","K1H","351.26","-","1038",""
"Pierrick Bonnefoy","K1H","362.94","638","1108",""
"Boris Gailleton","K1H","423.12","-","1466",""
"Pureur Sebastien","K1H","580.65","-","2405",""
"Jules Creveaux","K1H","800.67","-","3716",""
