"Sélectif Régional de Slalom - Slalom De Troyes (double Sr) - Course n°2 | Finale - 2016-09-25","Course n°2 | Finale","2016-09-25","Régional","183"
"Loic Bourgeois","K1H","108.5","429.67","492.23","Course n°2 | Finale A"
"Pierre Biagui","K1H","109.43","461.18","504.64","Course n°2 | Finale A"
"Louis Labbe","K1H","109.51","478.27","505.71","Course n°2 | Finale A"
"Guillaume Cochut","K1H","113.41","547.9","557.77","Course n°2 | Finale A"
"Thomas Argenson","K1H","120.73","-","655.47","Course n°2 | Finale A"
"Philippe Piat","K1H","132.89","473.17","817.78","Course n°2 | Finale A"
"Lucas Augu","K1HM","93.4","281.06","290.68","Course n°2 | Finale A"
"LoÏc Pottier","K1HM","100.12","379.28","380.38","Course n°2 | Finale A"
"Jean Charles Hacquart","K1HM","102.2","283.65","408.14","Course n°2 | Finale A"
"Thomas Ukalovic","K1HM","109.11","587.43","500.37","Course n°2 | Finale A"
"Aurelien Merieux Danneaux","K1HM","109.74","-","508.78","Course n°2 | Finale A"
"Matheo Dejonghe","K1HM","110.89","525.88","524.13","Course n°2 | Finale A"
"Antonin Robert","K1HM","115.64","616.3","587.53","Course n°2 | Finale A"
"Theo Douady","K1HM","115.73","572.27","588.73","Course n°2 | Finale A"
"Matthew Vuillard","K1HM","119.06","682.91","633.18","Course n°2 | Finale A"
"Samuel Tahaafe","K1HM","120.1","-","647.06","Course n°2 | Finale A"
"Margaux Barbier","C1D","153.22","714.51","753.28","Course n°2 | Finale B"
"Ilhame Siraj","C1D","155.12","-","774.42","Course n°2 | Finale B"
"Kelly Capitaine","C1D","170.93","-","950.27","Course n°2 | Finale B"
"Heloise Pinon","C1D","189.68","573.81","1158.83","Course n°2 | Finale B"
"Athenais Reby","C1D","Des","-","-","Course n°2 | Finale B"
"Jean Christophe Boivin","C1H","117.25","-","539.5","Course n°2 | Finale B"
"Guerlain Robin","C1H","121.13","550.86","588.82","Course n°2 | Finale B"
"Gregory Menuat","C1H","121.61","590.33","594.92","Course n°2 | Finale B"
"Angelino Castagnetti","C1H","130.76","702.34","711.23","Course n°2 | Finale B"
"Boris Bonenfant","C1H","133.32","769.66","743.77","Course n°2 | Finale B"
"Erwan Degreve","C1H","134.77","-","762.21","Course n°2 | Finale B"
"Kilian Godart","C1H","139.07","-","816.88","Course n°2 | Finale B"
"Patrick Choiseau","C1H","140.06","760.72","829.45","Course n°2 | Finale B"
"Paul Farrugio","C1H","143.7","725.89","875.73","Course n°2 | Finale B"
"Benjamin Dubert","C1H","144.72","-","888.7","Course n°2 | Finale B"
"Arthur Dupont","C1H","145.51","704.52","898.74","Course n°2 | Finale B"
"Nicolas Gallais","C1H","158.44","696.78","1063.1","Course n°2 | Finale B"
"Djimy Kar","C1H","184.88","777.61","1399.21","Course n°2 | Finale B"
"Hugo Pierre","C1H","212.46","-","1749.81","Course n°2 | Finale B"
"Anthony Dubois","C1H","247.61","1288.44","2196.63","Course n°2 | Finale B"
"Clement Prelot","C1H","299.88","-","2861.09","Course n°2 | Finale B"
"Theo Viallard","C1H","Abs","-","-","Course n°2 | Finale B"
"LoÏc Pottier","C1HM","132.9","524.37","738.43","Course n°2 | Finale B"
"Tanguy Malingre","C1HM","185.88","1197.54","1411.93","Course n°2 | Finale B"
"Matheo Dejonghe","C1HM","187.78","805.67","1436.07","Course n°2 | Finale B"
"Yann Mercier","C1HM","251.65","-","2247.99","Course n°2 | Finale B"
"Antonin Robert","C1HM","Des","-","-","Course n°2 | Finale B"
"Benjamin Dubert-Thomas Lesage","C2H","160.32","-","994.36","Course n°2 | Finale B"
"Emrys Meddour-Cyprien Dufour","C2H","Des","-","-","Course n°2 | Finale B"
"Leo Fresneda-Baptist Besancon","C2H","Des","-","-","Course n°2 | Finale B"
"Quentin Henri-Matthieu Marat","C2H","Des","-","-","Course n°2 | Finale B"
"Athenais Reby","K1D","121.73","381.52","486.9","Course n°2 | Finale B"
"Lea Riera","K1D","130.46","521.45","590.01","Course n°2 | Finale B"
"Brigitte Marechal","K1D","132.13","398.28","609.74","Course n°2 | Finale B"
"Kelly Capitaine","K1D","135.31","459.59","647.3","Course n°2 | Finale B"
"Sarah Rothenbuhler","K1D","151.93","575.94","843.61","Course n°2 | Finale B"
"Margaux Barbier","K1D","155.39","620.71","884.48","Course n°2 | Finale B"
"Heloise Pinon","K1D","161.14","771.32","952.41","Course n°2 | Finale B"
"Ludivine Jeanray","K1D","249.11","-","1991.51","Course n°2 | Finale B"
"Loane Foulongani","K1D","Abs","-","-","Course n°2 | Finale B"
"Zoe Dufour","K1DM","Abs","-","-","Course n°2 | Finale B"
"Alexandre Mathis","K1H","109.8","436.07","514.58","Course n°2 | Finale B"
"Aymeric Dollat","K1H","109.82","493.18","514.85","Course n°2 | Finale B"
"Nicolas Gallais","K1H","113.01","502.44","557.43","Course n°2 | Finale B"
"Basile Guerrapin","K1H","113.7","533.7","566.64","Course n°2 | Finale B"
"Gauthier Maillot","K1H","115.53","737.76","591.06","Course n°2 | Finale B"
"Quentin Henri","K1H","120.21","812.83","653.53","Course n°2 | Finale B"
"Paul Farrugio","K1H","120.7","642.75","660.07","Course n°2 | Finale B"
"Lucas Gamain","K1H","121.87","601.3","675.69","Course n°2 | Finale B"
"Angelino Castagnetti","K1H","129.58","642.5","778.6","Course n°2 | Finale B"
"Emrys Meddour","K1H","130.6","884.55","792.21","Course n°2 | Finale B"
"Leo Fresneda","K1H","131.08","880.34","798.62","Course n°2 | Finale B"
"Romain Caburol","K1H","139.26","729.36","907.8","Course n°2 | Finale B"
"Eric Pouradier","K1H","139.59","745.24","912.21","Course n°2 | Finale B"
"Claude Breuzard","K1H","140.91","664.4","929.82","Course n°2 | Finale B"
"Sebastien Guillaume","K1H","143.39","-","962.93","Course n°2 | Finale B"
"Quentin Henry","K1H","144.01","2348.68","971.2","Course n°2 | Finale B"
"Thibault Pereira","K1H","145.2","1283.93","987.09","Course n°2 | Finale B"
"Joshua Ravet","K1H","148.83","776.66","1035.54","Course n°2 | Finale B"
"Antoine Jacquet","K1H","149.53","-","1044.88","Course n°2 | Finale B"
"Yann Dhieux","K1H","150.55","671.17","1058.49","Course n°2 | Finale B"
"Thibault Chausson","K1H","153.95","1174.3","1103.88","Course n°2 | Finale B"
"Christophe Come","K1H","155.35","-","1122.56","Course n°2 | Finale B"
"Arnaud Geoffroy","K1H","155.6","-","1125.9","Course n°2 | Finale B"
"Gaetan Cornu","K1H","165.2","-","1254.04","Course n°2 | Finale B"
"Mickael Dubois","K1H","167.29","867.35","1281.93","Course n°2 | Finale B"
"Theo Viallard","K1H","168.28","527.2","1295.15","Course n°2 | Finale B"
"Clement Prelot","K1H","178.14","-","1426.76","Course n°2 | Finale B"
"Cyprien Dufour","K1H","181.22","607.47","1467.87","Course n°2 | Finale B"
"Gerald Oudin","K1H","187.54","-","1552.22","Course n°2 | Finale B"
"Ilan Foulongani","K1H","195.36","1565.4","1656.6","Course n°2 | Finale B"
"Anthony Dubois","K1H","208.26","994.51","1828.78","Course n°2 | Finale B"
"Barnabe Sennelier","K1H","240.88","-","2264.18","Course n°2 | Finale B"
"Bruno Brousselle","K1H","346.9","-","3679.3","Course n°2 | Finale B"
"Nicolas Castagnetti","K1H","Abs","-","-","Course n°2 | Finale B"
"Tom Gry","K1H","Des","-","-","Course n°2 | Finale B"
"Lucas Lelarge","K1H","Des","-","-","Course n°2 | Finale B"
"Noah Fresneda","K1HM","126.35","785.31","735.48","Course n°2 | Finale B"
"Antoine Marion","K1HM","132.67","-","819.84","Course n°2 | Finale B"
"Gustave Wuhrlin","K1HM","142.95","929.67","957.05","Course n°2 | Finale B"
"Victor Lagleyze","K1HM","152.31","879.26","1081.99","Course n°2 | Finale B"
"Tanguy Malingre","K1HM","153.14","727.12","1093.07","Course n°2 | Finale B"
"Romain Brouard","K1HM","163.39","-","1229.88","Course n°2 | Finale B"
"Francisco Lafarga","K1HM","175.18","-","1387.25","Course n°2 | Finale B"
"Corentin Rogalski","K1HM","421.23","-","4671.42","Course n°2 | Finale B"
"Yann Mercier","K1HM","Abs","-","-","Course n°2 | Finale B"
"Leo Lahely","K1HM","242.24","-","-","Course n°2 | Finale B"
