"Sélectif Championnat National 2 Slalom - Orthez - Finale - 2016-05-22","Finale","2016-05-22","Nationale 2","143"
"Anthony Drouhin","K1H","108.33","209.75","329.38","Finale B"
"Corentin Douady","K1H","109.47","209.28","342.34","Finale B"
"Maxime Foucault","K1H","110.06","158.64","349.04","Finale B"
"Pascal Marrec","K1H","110.08","271.83","349.27","Finale B"
"Clement Le Collinet","K1H","110.27","215.17","351.43","Finale B"
"Yann Le Pennec","K1H","110.5","273.26","354.05","Finale B"
"Alexandre Pouille","K1H","111.23","325.63","362.34","Finale B"
"Denis Guilmard","K1H","114.47","245.73","399.17","Finale B"
"Martin Belliot","K1H","114.47","276.63","399.17","Finale B"
"Edouard Lecomte","K1H","116.9","217.19","426.8","Finale B"
"Olivier Cain","K1H","121.31","230.55","476.92","Finale B"
"Guillaume De Fierville","K1H","125.33","278.26","522.62","Finale B"
"Isaac Dufrene","K1H","149.65","184.79","799.07","Finale B"
"Adrien Verite","K1H","157.72","258.85","890.8","Finale B"
"Adrien Picco","K1H","161.15","208.06","929.79","Finale B"
"Timothee Le Mort","K1H","211.35","265.08","1500.42","Finale B"
