"Sélectif régional - Slalom du Fier - Annecy - 2009-04-05","Course 2","2009-04-05","Régional","144"
"Mathieu Chossat","K1H","254.30","-","569",""
"Pascal Ferry","K1H","256.58","136","583",""
"Frederic Blanrue","K1H","257.64","277","589",""
"Romain Delachenal","K1H","268.98","445","658",""
"Joen Saint Requier","K1H","276.11","494","701",""
"Guillaume Gery","K1H","276.37","255","702",""
"Adrien Kaiser","K1H","279.06","402","719",""
"Dylan Bard","K1H","286.44","851","763",""
"Hugo Hager","K1H","293.45","25","805",""
"Pierrick Bonnefoy","K1H","305.94","502","881",""
"Martin Daviet","K1H","327.14","318","1009",""
"Hippolyte Brunier","K1H","333.91","-","1050",""
"Maxime Blanc","K1H","357.26","1057","1191",""
"Remi Vallin","K1H","361.61","424","1217",""
"Matthias Ollivier","K1H","372.70","616","1284",""
"Stephane Gibert","K1H","399.55","-","1446",""
"Florent Bernard","K1H","425.39","-","1602",""
"Francois Emin","K1H","496.41","-","2031",""
"Theo Olinger","K1H","555.48","1392","2388",""
"Kevin Giannini","K1H","Abs","-","-",""
"Elie Pauget","K1H","Abs","-","-",""
"Eloi Seemann","K1H","Abs","-","-",""
"Renaud Metereau","K1H","Abs","-","-",""
"Jules Marragou","K1H","Abs","-","-",""
"Sylvain Dandel","K1H","Abs","-","-",""
"Christophe Lacave","K1H","Des","-","-",""
"Jeremy Vibert","K1H","Abs","-","-",""
"Matthias Meyer","K1H","Abs","-","-",""
"Timothee Vananty","K1H","Des","-","-",""
"Sebastien De Kerleau","K1H","Abs","-","-",""
"Clement Gourmelon","K1H","Abs","-","-",""
"Matthieu Basset","K1H","Abs","-","-",""
"Jeremy Pitton","K1H","Abs","-","-",""
