"CHAMPIONNAT DEPARTEMENTAL - Servon Sur Vilaine - 2002-10-20","Course 1","2002-10-20","Régional","130"
"L'haridon Olivier","K1H","202.91","262","223",""
"Besnard Thomas","K1H","204.00","207","230",""
"Louet Jeremie","K1H","206.71","359","249",""
"Erwan Cadio","K1H","208.17","280","258",""
"Dagois Pierre","K1H","208.61","-","261",""
"Jacques Despierres","K1H","210.53","275","274",""
"Herfray Francois","K1H","210.86","317","275",""
"Jean Yves Prigent","K1H","211.16","243","277",""
"Kevin Gouabault","K1H","212.22","351","284",""
"Louet Gwenael","K1H","215.17","417","304",""
"Brieuc Cadic","K1H","215.84","-","308",""
"Laurent Rigaud","K1H","217.38","420","319",""
"Denays Sylvain","K1H","218.18","370","324",""
"Nicolas Veillard","K1H","218.43","347","326",""
"Simon Despres","K1H","218.74","-","328",""
"Blesteau Jerome","K1H","218.84","-","328",""
"Berree Guillaume","K1H","220.01","457","336",""
"Louet Steven","K1H","222.07","457","350",""
"Arnaud Le Calvez","K1H","223.37","713","358",""
"Deportzamparc David","K1H","223.49","-","359",""
"Flageul Pierre","K1H","223.80","672","361",""
"Hamon Sylvain","K1H","224.42","-","366",""
"Guillotin Simon","K1H","226.04","619","376",""
"Deffay Axel","K1H","226.19","425","377",""
"Reine Benoit","K1H","226.29","-","377",""
"Martinez Paco","K1H","228.46","-","392",""
"Sebastien Delaunay","K1H","228.63","-","393",""
"Georgin Etienne","K1H","229.22","504","397",""
"Pierre Yves Tanguy","K1H","230.55","-","406",""
"Herve Gwenn","K1H","230.87","458","408",""
"Stephen Le Diagon","K1H","231.70","556","413",""
"Mathieu Bourdet","K1H","232.28","488","418",""
"Gardan Benjamin","K1H","232.86","-","421",""
"Mainguene Cedric","K1H","233.62","-","426",""
"Gacogne Yves","K1H","235.71","1802","439",""
"Buttifant Guillaume","K1H","236.24","-","444",""
"Rossignol Yves","K1H","236.56","548","445",""
"Lebreton Simon","K1H","239.49","500","465",""
"Chaplais Sebastien","K1H","241.14","-","476",""
"Martin Aymeric","K1H","241.42","-","477",""
"Simon Ddamien","K1H","242.82","-","487",""
"Morel Francois","K1H","243.63","-","492",""
"Massot Sebastien","K1H","245.11","-","503",""
"Perrin Guenole","K1H","253.12","-","556",""
"Rogue Clement","K1H","259.57","924","598",""
"Guesny Thomas","K1H","262.40","-","617",""
"Brize Guillaume","K1H","273.18","-","688",""
"Le Tulzo Jean","K1H","276.90","-","713",""
"Rivoal Yoann","K1H","285.42","620","770",""
"Cherel Florent","K1H","291.38","-","809",""
"Ader Mathieu","K1H","293.87","-","825",""
"Huckert Regis","K1H","311.46","-","941",""
"Lemoigne Gael","K1H","318.36","-","987",""
"Gomet Fabien","K1H","321.47","-","1008",""
"Tessier Erwan","K1H","330.97","-","1071",""
"Roy Pierre Emmanuel","K1H","331.43","-","1073",""
"Froger Jeremie","K1H","335.00","-","1097",""
"Hamou Charles-Elie","K1H","347.00","-","1177",""
"Congar Herve","K1H","349.82","-","1195",""
"Leport Gael","K1H","352.59","-","1213",""
"Soson Alexandre","K1H","353.91","-","1223",""
"Frappier Clement","K1H","369.36","-","1325",""
"Gastard Matthieu","K1H","404.53","-","1557",""
"Gelan Guillaume","K1H","441.76","-","1803",""
"Rault Germain","K1H","470.58","-","1994",""
"Denebe Guillaume","K1H","570.87","-","2658",""
