"Sélectif N2 - Inzinzac Lochrist - 2010-03-07","Course 1","2010-03-07","Nationale 2","223"
"Mathieu Le Gal","K1H","115.62","119","122",""
"Gregory Busson","K1H","115.69","106","123",""
"Medhi Deguil","K1H","115.74","159","123",""
"Simon Despres","K1H","115.75","125","123",""
"Florian Ordonneau","K1H","115.92","116","125",""
"Antoine Colas","K1H","116.38","165","129",""
"Fabien Tournadre","K1H","116.38","81","129",""
"Yves Prigent","K1H","116.50","154","130",""
"Vincent Lemonnier","K1H","116.62","143","130",""
"Emeric Bertrand","K1H","116.75","237","131",""
"Quentin Lyphout","K1H","117.09","158","135",""
"Nikolas Stanik","K1H","117.29","172","136",""
"Felix Merzeau","K1H","117.42","194","137",""
"Anthony Mottais","K1H","117.53","100","138",""
"Quentin Moreaux","K1H","117.54","140","138",""
"Bastien Belembert","K1H","117.65","162","139",""
"Pierre Bontoux","K1H","118.16","111","143",""
"Kevin Gouabault","K1H","118.18","118","143",""
"Sebastien Kerneis","K1H","118.32","154","144",""
"Richard Davy","K1H","118.36","180","144",""
"Loic Kervella","K1H","118.59","152","147",""
"Melaine Pichard","K1H","118.61","116","147",""
"Stephane Odot","K1H","118.79","158","149",""
"Nowan Bertin","K1H","118.80","172","149",""
"Anthony Thuillier","K1H","118.83","141","149",""
"Bertrand Avril","K1H","118.95","180","149",""
"Benoit Letellier","K1H","119.07","69","150",""
"Romain Faurie","K1H","119.13","147","151",""
"Philippe Daumont","K1H","119.25","161","152",""
"Charles Edouard Dherment","K1H","119.27","129","152",""
"Anthony Themines","K1H","119.31","165","153",""
"Silvere Desongins","K1H","119.61","165","155",""
"Stephane Broute","K1H","119.87","144","157",""
"Jean Messialle","K1H","120.15","183","159",""
"Nizar Samlal","K1H","120.35","177","161",""
"Remi Thomas","K1H","120.42","138","162",""
"Didier Niel","K1H","120.48","166","162",""
"Lionel Tinevez","K1H","120.52","155","163",""
"Gurgen Brun","K1H","120.58","145","163",""
"Emmanuel Sarazin","K1H","120.83","168","165",""
"Fabien Cambon","K1H","120.93","168","166",""
"Fabien Le Nechet","K1H","121.17","160","168",""
"Antoine Roux","K1H","121.18","183","168",""
"Vincent Froger","K1H","121.18","139","168",""
"Erwan Cadio","K1H","121.18","93","168",""
"Romain Viry","K1H","121.28","163","168",""
"Julien Fougeron","K1H","121.32","196","169",""
"Simon Boulan","K1H","121.40","185","169",""
"Boris Pernelle","K1H","121.44","113","170",""
"Jean Yves Prigent","K1H","121.47","162","170",""
"Thibaud Delaunay","K1H","121.69","162","172",""
"Ludovic Lino","K1H","121.72","174","173",""
"Adrien Ferec","K1H","121.79","-","173",""
"Jeremy Moreaux","K1H","121.81","-","173",""
"Christophe Le Mercier","K1H","121.87","128","173",""
"Mathieu Godin","K1H","121.89","174","173",""
"Gwenael Marquer","K1H","122.09","217","175",""
"Loic Monbel","K1H","122.26","115","177",""
"Pierre-yves Lebreton","K1H","122.56","215","179",""
"Clement Burel","K1H","122.66","187","180",""
"Matthieu Walfard","K1H","122.83","199","182",""
"Emmanuel Moreau","K1H","123.01","177","182",""
"Etienne Legeay","K1H","123.07","191","183",""
"Antoine Godet","K1H","123.22","180","185",""
"Lucas Ferraina","K1H","123.23","176","185",""
"Manuel Coquelin","K1H","123.28","183","185",""
"David Riffaud","K1H","123.66","177","188",""
"Maxime Beaulieu","K1H","123.88","188","190",""
"Riwal Chardon","K1H","124.28","172","193",""
"Mathieu Desnos","K1H","124.57","197","196",""
"Michel Gombert","K1H","124.83","162","198",""
"Alexandre Di Nisi","K1H","124.92","119","198",""
"Nicolas Feuillard","K1H","125.36","139","202",""
"Yves Lecointe","K1H","125.59","201","204",""
"Guillaume Huppert","K1H","126.10","153","208",""
"Kevin Lucas Mendes","K1H","126.53","151","211",""
"Julien Signarbieux","K1H","126.66","229","213",""
"Damien Caillon","K1H","127.04","212","215",""
"Valentin Lesseau","K1H","127.05","219","216",""
"Alain Droniou","K1H","127.78","196","222",""
"Julien Daumont","K1H","128.90","129","231",""
"Marc Robert","K1H","128.91","210","231",""
"Marc Laborde","K1H","128.95","229","231",""
"Mehdi Rouich","K1H","129.21","170","234",""
"Eric Lamour","K1H","129.76","226","238",""
"Pierre Yves Tanguy","K1H","129.79","201","239",""
"Florent Tamburini","K1H","130.03","244","240",""
"Jacques Despierres","K1H","130.36","215","243",""
"Nicolas Dupres","K1H","131.71","227","254",""
"Julien Bley","K1H","131.95","212","256",""
"Nicolas Mangeolle","K1H","133.21","188","267",""
"Philippe Devillers","K1H","133.87","199","272",""
"Christophe Billaud","K1H","137.43","213","301",""
"Guillaume Doutreix","K1H","183.97","206","683",""
"Benoit Ricard","K1H","Nt","-","-",""
"Frederic Leclerc","K1H","Nt","-","-",""
