"Sélectif Régional - Sélestat - 2007-09-09","Course 1","2007-09-09","Régional","118"
"Bientz Camille","K1D","301.82","810","474",""
"Victorine Gerard","K1D","304.85","-","490",""
"Oudenot-Gounant Marion","K1D","328.44","-","609",""
"Amalia Mazzilli","K1D","342.35","728","679",""
"Francke Camille","K1D","359.07","-","764",""
"Angelique Bakalarz","K1D","394.57","-","944",""
"Rozant Jeanne","K1D","504.22","-","1499",""
"Frederic Walczak","K1H","192.07","10","35",""
"Julien Arribe","K1H","204.21","57","104",""
"Alexis Caspar","K1H","205.27","111","110",""
"Emmanuel Walczak","K1H","205.57","84","111",""
"Quentin Burgi","K1H","213.23","164","156",""
"Nathan Barbier","K1H","216.74","193","175",""
"Christophe Siffert","K1H","217.44","185","180",""
"Kevin Burgi","K1H","218.95","165","187",""
"Mathieu Haberland","K1H","221.65","156","203",""
"Stefan Stanik","K1H","222.92","203","210",""
"Christophe Billaud","K1H","223.61","226","214",""
"Nicolas Burgi","K1H","223.61","179","214",""
"Bertrand Gutierrez","K1H","225.07","168","222",""
"William Boutet","K1H","225.88","273","227",""
"Guillaume Carpentier","K1H","226.90","250","233",""
"Remi Thomas","K1H","229.94","231","250",""
"Julien Haberland","K1H","230.76","135","254",""
"Samuel Wey","K1H","232.34","-","264",""
"Loic Sieber","K1H","232.85","262","266",""
"Thomas Michel","K1H","234.72","236","277",""
"Sebastien Thevenin","K1H","234.72","242","277",""
"Jeremy Lehning","K1H","235.17","234","279",""
"Thibaut Chariot","K1H","236.77","259","289",""
"Arnaud Jamet","K1H","237.12","349","291",""
"Gabriel Schnetz","K1H","237.56","299","293",""
"Mael Othenin Girard","K1H","239.90","274","306",""
"Frederic Blanrue","K1H","243.56","399","327",""
"Nicolas Fritsch","K1H","245.85","-","340",""
"Florian Balhuizen","K1H","248.67","260","356",""
"Matthieu Deletre","K1H","249.74","-","363",""
"Mathieu Biazizzo","K1H","257.23","162","405",""
"Thevenin Johann","K1H","259.28","355","416",""
"Geoffrey Walczak","K1H","259.50","-","418",""
"Risser Arthur","K1H","260.17","455","421",""
"Xavier Sucker","K1H","264.87","-","448",""
"Deletre Nicolas","K1H","268.19","-","467",""
"Silvere Desongins","K1H","269.51","344","474",""
"Andre Kempf","K1H","276.19","624","512",""
"Anthony Jouannic","K1H","277.38","-","519",""
"Emilien Kempf","K1H","279.80","-","533",""
"Antoine Stadler","K1H","281.52","-","543",""
"Esteve Del Canto","K1H","286.92","-","573",""
"Oueslati Pierre-Yves","K1H","287.65","621","577",""
"Eric Louis","K1H","289.34","606","587",""
"Gasser Daniel","K1H","289.71","578","589",""
"Simon Barthelemy","K1H","289.92","-","590",""
"Thibaut Lebrun","K1H","291.22","-","598",""
"Fabien Fritsch","K1H","291.66","288","600",""
"Bernhard Thomas","K1H","327.30","-","802",""
"Florent Bronchain","K1H","359.18","-","983",""
"Laurent Starck","K1H","361.04","-","994",""
