"Sélectif Régional - Bassin de Cergy-Pontoise - 2012-04-15","Course 1","2012-04-15","Régional","230"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","102.52","54.73","66.08",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","114.42","166.56","165.69",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","118.02","172.58","195.83",""
"Bastien Damiens-Francois Palant","C2H","124.79","404.44","252.49",""
"Xavier Jourdain-Emmanuel Brugvin","C2H","126.17","-","264.05",""
"Benjamin Soroka-Edouard Gracias","C2H","129.68","203.63","293.43",""
"Simon Boulan-Anthony Thuillier","C2H","130.35","-","299.04",""
"Guillaume Cochut-Louison Tanet","C2H","134.52","-","333.94",""
"Adrien Herbert-Antoine Riard","C2H","148.95","414.38","454.73",""
"Frederic Momot-Matthieu Walfard","C2H","186.76","304.48","771.23",""
"Damien Jacques-Teddy Poulard","C2H","187.8","284.66","779.93",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","196.77","379.05","855.02",""
"Arthur Leduc-Leo Zouggari","C2H","238.99","293.79","1208.44",""
"Olivier Gesbert-Xavier Jourdain","C2H","Nt","-","-",""
"Catherine Boulan-Xavier Jourdain","C2M","167.2","222.56","512.61",""
"Julien Fougeron-Lea Feuillard","C2M","210.6","296.17","851.28",""
"Agnes Gigan-Thibault Dhennin","C2M","Nt","-","-",""
"Mathieu Dutendas-Alice Rietzmann","C2M","Nt","-","-",""
"Bertrand Avril-Chloe Gatuingt","C2M","Nt","-","-",""
"Claire Gaigeot","K1D","119.94","93.24","185.25",""
"Flora Huvelin","K1D","120.29","109.97","188.09",""
"Flora Bove","K1D","122.32","56.92","204.64",""
"Juliette Legendre","K1D","122.8","112.77","208.55",""
"Ophelie Delaplace","K1D","124.66","229.57","223.71",""
"Manon Caveribere","K1D","125.09","145.36","227.21",""
"Anne Sophie Le Bailly","K1D","125.82","83.03","233.16",""
"Charlotte Lubineau","K1D","126.17","159.6","236.01",""
"Marianne Herault","K1D","134.14","255.3","300.95",""
"Laurine Naveau","K1D","135.38","146.86","311.05",""
"Lea Feuillard","K1D","140.65","216","354",""
"Juliette Pitrey","K1D","142.83","268.21","371.76",""
"Lea Gaigeot","K1D","146.57","108.02","402.24",""
"Laurene Cougnet","K1D","164.33","251.77","546.96",""
"Marion Laurain","K1D","179.23","137.71","668.37",""
"Camille Andrieux","K1D","190.25","123.95","758.17",""
"Marion Gallois","K1D","196.59","173.66","809.82",""
"Justine Cougnet","K1D","217.67","268.08","981.59",""
"Alice Rietzmann","K1D","258.07","317.59","1310.8",""
"Mathilde Bouquin","K1D","Nt","-","-",""
"Emmanuelle Delrue","K1D","Nt","-","-",""
"Agathe Villien","K1D","Nt","-","-",""
"Olivia Byrne-sutton","K1D","Nt","-","-",""
"Jeremy Cremonesi","K1H","89.41","18.72","31.18",""
"Sullivan Porcher","K1H","90.35","34.15","39.84",""
"Bertrand Gutierrez","K1H","92.67","47.72","61.2",""
"Emile Devaux","K1H","92.72","38.79","61.66",""
"Ronan Lucas","K1H","92.92","23.99","63.5",""
"Oswald Besch","K1H","92.99","14.82","64.15",""
"Nicolas Feuillard","K1H","93.59","83.53","69.67",""
"Quentin Bove","K1H","95.4","13.55","86.34",""
"Mathys Huvelin","K1H","95.5","35.24","87.26",""
"Benoit Chantry","K1H","96.23","75.66","93.98",""
"Louis Philippe Rigal","K1H","96.28","61.28","94.44",""
"Xavier Jourdain","K1H","96.57","72.33","97.11",""
"Louison Tanet","K1H","98.36","165.36","113.59",""
"Nicolas Germay","K1H","99.25","162.62","121.79",""
"Samuel Lhegu","K1H","99.34","28","122.62",""
"Antoine Germay","K1H","100.17","145.27","130.26",""
"Anthony Thuillier","K1H","100.43","93.09","132.65",""
"Arnaud Gallois","K1H","101.19","104.4","139.65",""
"Antoine Lebastard","K1H","102.12","148.66","148.21",""
"Antoine Dubost","K1H","102.16","115.2","148.58",""
"Cedric Jegouzo","K1H","102.26","156.05","149.5",""
"Quentin Moreaux","K1H","102.27","99.31","149.59",""
"Nizar Samlal","K1H","102.4","105.9","150.79",""
"Mathurin Madore","K1H","103.02","140.75","156.5",""
"Valentin Casse","K1H","103.02","139.79","156.5",""
"Vincent Ablin","K1H","103.93","134.4","164.88",""
"Romain Faurie","K1H","103.96","62.94","165.16",""
"Julien Arribe","K1H","104.39","122.92","169.11",""
"Maxime Degesves","K1H","104.67","171.93","171.69",""
"Lucas Ferraina","K1H","105.24","124.92","176.94",""
"Nikolas Stanik","K1H","105.42","118.15","178.6",""
"Loic Monbel","K1H","105.69","89.52","181.09",""
"Simon Boulan","K1H","105.76","165.72","181.73",""
"Bertrand Avril","K1H","105.87","161.84","182.74",""
"Arnaud Delattre","K1H","106.6","130.95","189.46",""
"Nicolas Lair","K1H","106.84","182.87","191.67",""
"Michel Gombert","K1H","107.43","138.13","197.11",""
"Didier Niel","K1H","108.44","135.21","206.41",""
"Victor Duhamel","K1H","108.89","120.2","210.55",""
"Mathieu Dutendas","K1H","109.34","246.63","214.69",""
"Julien Fougeron","K1H","110","148.25","220.77",""
"Denis Parizia","K1H","110.69","107.36","227.12",""
"Etienne Carpentier","K1H","110.76","124.03","227.77",""
"Thomas Theunissen","K1H","112.66","301.3","245.26",""
"Tom Barthelemy","K1H","112.71","161.8","245.72",""
"Matthieu Walfard","K1H","114.6","208.07","263.13",""
"Yoann Turowsky","K1H","116.22","164.23","278.04",""
"Dylan Garin","K1H","116.35","251.29","279.24",""
"Leo Zouggari","K1H","116.53","226.98","280.9",""
"Louis Savart","K1H","117.8","183.42","292.59",""
"Romain Bertrand","K1H","118.24","123.82","296.64",""
"Bastien Meslet","K1H","118.61","281.97","300.05",""
"Mickael Louchard","K1H","118.74","146.03","301.25",""
"Guillaume Doutreix","K1H","119.26","145.01","306.04",""
"Fabien Perruchet","K1H","119.9","205.73","311.93",""
"Alexis Averlant","K1H","120.46","382.45","317.08",""
"Guillaume Cochut","K1H","121.87","312.94","330.07",""
"Emmanuel Moreau","K1H","122.06","181.9","331.82",""
"Edouard Gracias","K1H","122.08","178.43","332",""
"Olivier Dulouard","K1H","122.09","282.35","332.09",""
"Robin Pilard","K1H","123.06","210.61","341.02",""
"Yohan Marck","K1H","123.69","247.31","346.83",""
"Charles Pain","K1H","123.73","-","347.19",""
"Louis Vandeville","K1H","124.07","393.32","350.32",""
"Jules Guilbaud","K1H","124.39","202.96","353.27",""
"Maxime Poupart","K1H","124.86","280.24","357.6",""
"Xavier Chantry","K1H","127.4","240.04","380.99",""
"Francois Durand","K1H","128","-","386.51",""
"Florian Perenchio","K1H","129.37","156.77","399.13",""
"Arthur Leduc","K1H","130.5","212.56","409.53",""
"Maxime Cousin","K1H","133.18","276.18","434.21",""
"Philippe Valeri","K1H","133.46","286.27","436.79",""
"Teddy Poulard","K1H","139.6","247.99","493.32",""
"Thibault Dhennin","K1H","141","296.57","506.21",""
"Romain Philippe","K1H","141.83","404.51","513.86",""
"Mederic Larrive","K1H","145.95","229.97","551.79",""
"Jerome Urbanczyk","K1H","146.97","378.21","561.18",""
"Vincent Reiter","K1H","148.13","29.94","571.86",""
"Benjamin Soroka","K1H","148.69","234","577.02",""
"Adrien Barlier","K1H","148.76","355.96","577.67",""
"Matthieu Rousseau","K1H","148.85","366.7","578.49",""
"Benjamin Dubert","K1H","151.73","334.86","605.01",""
"Gael Wassmer","K1H","157.3","113.37","656.3",""
"Gerard Lafargue","K1H","157.72","328.97","660.17",""
"Henri Molet","K1H","160.96","610.82","690",""
"Alexandre Lismonde","K1H","162.62","123.83","705.29",""
"Venceslas Viseur","K1H","165.57","-","732.45",""
"Yoann Nurit","K1H","166.09","265.07","737.24",""
"Clement Bekaert","K1H","166.49","422.96","740.92",""
"Ludovic Ngo","K1H","167.63","205.12","751.42",""
"Laurent Dupuis","K1H","175.74","193.59","826.09",""
"Pierre Dampeyrou","K1H","179.83","176.58","863.75",""
"Benjamin Fourmet","K1H","185.28","348.29","913.93",""
"Clement Carbonnel","K1H","186.65","294.52","926.55",""
"Jean Rassez","K1H","187.33","417.86","932.81",""
"Marc Laurent","K1H","187.4","-","933.46",""
"Aymeric Dollat","K1H","188.39","370.93","942.57",""
"Maxime Pilard","K1H","192.22","371.14","977.84",""
"Romain Bouillon","K1H","194.35","469.3","997.45",""
"Damien Jacques","K1H","195.5","256.66","1008.04",""
"Billel Khenchouche","K1H","199.33","135.61","1043.3",""
"Martin Rohaut","K1H","204.48","530.04","1090.72",""
"Pierre Ferrand","K1H","206.27","489.16","1107.21",""
"Josselin Laurain","K1H","236.6","295.49","1386.48",""
"Sylvain Barrois","K1H","247.83","392.09","1489.88",""
"Theo Zilber","K1H","254.44","498.62","1550.75",""
"Yann Castryck- -genereux","K1H","265.59","594.25","1653.41",""
"Benjamin Pre","K1H","273.5","433.06","1726.25",""
"Alexandre Tison","K1H","293.6","419.54","1911.32",""
"Theo Deslances","K1H","295.18","390.24","1925.87",""
"Jeremy Grippon","K1H","297.16","328.05","1944.1",""
"Alban Petit","K1H","300.16","480.98","1971.73",""
"Joseph Enguehard","K1H","304.64","366.04","2012.98",""
"Nathan Aubert","K1H","334.62","362.27","2289.03",""
"Quentin Mannier","K1H","336.88","-","2309.84",""
"Mehdy Lakenal","K1H","361.25","396.08","2534.23",""
"Jean-francois Dulouard","K1H","380.43","726.25","2710.84",""
"Pascal Andrieux","K1H","409.61","435.79","2979.52",""
"Aurelien Coiffeteau","K1H","437.15","408.79","3233.11",""
"Maxime Huvelin","K1H","Nt","-","-",""
"Daniel Godin","K1H","Nt","-","-",""
"Romain Lemaire","K1H","Nt","-","-",""
"Pierre Navier","K1H","Nt","-","-",""
"Axel Manach","K1H","Nt","-","-",""
"Paul Beteille","K1H","Nt","-","-",""
"Claude Breuzard","K1H","Nt","-","-",""
"Jeanbaptiste Truy","K1H","Nt","-","-",""
"Julien Daumont","K1H","Nt","-","-",""
"Gaspard Gindt","K1H","Nt","-","-",""
"Corentin Robin","K1H","Nt","-","-",""
"Tristan Lejot","K1H","Nt","-","-",""
"Jan Baudet","K1H","Nt","-","-",""
