"Manche de la Coupe de France National 3 Slalom Nord-Est - 57050 Longeville Les Metz - Finale - 2019-03-31","Finale","2019-03-31","Nationale 3","195"
"Fransiska Granzow","K1D","112.13","402.1","306.32","Finale A"
"Anne Fischer","K1D","120.13","362.09","398.14","Finale A"
"Lucille Meunier-cheyssac","K1D","121.24","410.89","410.88","Finale A"
"Anastasia Pagel","K1D","121.93","433.15","418.8","Finale A"
"Zelie Wendling","K1D","126.66","441.33","473.08","Finale A"
"Luisa Buerner","K1D","131.73","333.38","531.27","Finale A"
"Jade Robin","K1D","166.06","647.3","925.29","Finale A"
"Fiona Gille","K1D","195.75","518.32","1266.05","Finale A"
"Melyne Jost","K1D","201.1","462.83","1327.46","Finale A"
"Loic Monbel","K1H","97.05","305.83","278.05","Finale A"
"Simon Munch","K1H","98.5","331.12","296.85","Finale A"
"Ianis Fleury","K1H","99.52","313.54","310.08","Finale A"
"Aurelien Merieux Danneaux","K1H","100.5","341.8","322.79","Finale A"
"Anthony Rouhier","K1H","100.82","313.72","326.94","Finale A"
"Louis Gasser","K1H","101.45","360.13","335.11","Finale A"
"Pierre Biagui","K1H","101.66","315.27","337.84","Finale A"
"Marvin Tulpin","K1H","101.88","316.33","340.69","Finale A"
"Matthieu Koffel","K1H","102.81","303.21","352.75","Finale A"
"Melvin Queudeville","K1H","103.23","302.39","358.2","Finale A"
"Nathan Huguenin","K1H","103.41","373.33","360.53","Finale A"
"Tanguy Adisson","K1H","103.83","373.58","365.98","Finale A"
"Sebastien De Berchem","K1H","104.14","372.57","370","Finale A"
"Paul Frommer","K1H","104.37","378.05","372.98","Finale A"
"Yann Becker","K1H","105.07","371","382.06","Finale A"
"Oskar Hillion","K1H","105.65","330.14","389.59","Finale A"
"Jules Andrien","K1H","105.67","310.43","389.84","Finale A"
"Axel Colin","K1H","105.97","409.12","393.74","Finale A"
"Nathan Barbier","K1H","106.93","305.47","406.19","Finale A"
"Axel Ganthier","K1H","106.99","406.72","406.96","Finale A"
"Jorg Blees","K1H","107.27","471.86","410.6","Finale A"
"Theo Loury","K1H","108.17","388.27","422.27","Finale A"
"Thomas Stutzmann","K1H","108.27","428.27","423.56","Finale A"
"Paul Cascarino","K1H","108.28","442.36","423.69","Finale A"
"Nathan Frison","K1H","108.51","385.67","426.68","Finale A"
"Maxime Devis","K1H","108.87","499.29","431.35","Finale A"
"Erwan Degreve","K1H","109.08","414.19","434.07","Finale A"
"Clement Fremy","K1H","109.1","358.23","434.33","Finale A"
"Florent Tamburini","K1H","109.48","448.99","439.26","Finale A"
"Quentin Henri","K1H","110.25","399.44","449.24","Finale A"
"Gael Ettwiller","K1H","110.55","419.43","453.13","Finale A"
"Enzo Claeys","K1H","110.74","369.71","455.6","Finale A"
"Matthieu Walfard","K1H","111.47","399.43","465.07","Finale A"
"Loann Delle Dananchet","K1H","112.76","464.42","481.8","Finale A"
"Arnaud Jamet","K1H","113.79","473.49","495.15","Finale A"
"Victor Henry","K1H","115.64","450.26","519.15","Finale A"
"Smail Mouhoub","K1H","117.14","454.52","538.6","Finale A"
"Leni Perreau","K1H","117.14","425.9","538.6","Finale A"
"Jules Ferber","K1H","119.31","565.51","566.75","Finale A"
"Lois Pignon","K1H","119.61","440.69","570.64","Finale A"
"Valentin Bostoen","K1H","120.77","561.59","585.68","Finale A"
"Xavier Rat","K1H","122.08","516.87","602.67","Finale A"
"Loic Bourgeois","K1H","124.19","478.91","630.04","Finale A"
"Alexis Sevrez","K1H","124.39","506.09","632.63","Finale A"
"Arnaud Caillet","K1H","124.84","519.75","638.47","Finale A"
"Loick Manoury","K1H","125.2","456.33","643.13","Finale A"
"Olivier Urbain","K1H","126.34","401.11","657.92","Finale A"
"Evan Trenchant","K1H","128.75","631.09","689.18","Finale A"
"Jeremy Huguenin","K1H","130.06","329.1","706.16","Finale A"
"Remy Perrin","K1H","131.25","527.67","721.6","Finale A"
"Patrick Gass","K1H","132.48","508.47","737.55","Finale A"
"Alexis Gombert","K1H","133.4","519.93","749.48","Finale A"
"Leo Hauck","K1H","146.89","730","924.44","Finale A"
"Leonard Painteaux","K1H","153.85","369.6","1014.7","Finale A"
"Quentin Maillefer","K1H","154.56","624.91","1023.91","Finale A"
"Oscar Pasteur","K1H","160.21","515.6","1097.19","Finale A"
"Gerard Menissier","K1H","169.57","487.65","1218.58","Finale A"
"Marc Jegou","K1H","210.73","378.63","1752.4","Finale A"
"Camille De Araujo","C1D","207.02","480.77","1261.8","Finale B"
"Louis Guggenbuhl","C1H","124.58","604.39","563.16","Finale B"
"Anthony Menissier","C1H","124.69","500.44","564.51","Finale B"
"Loic Bourgeois","C1H","125.72","417.21","577.23","Finale B"
"Vivien Stemmelen","C1H","129.3","431.94","621.46","Finale B"
"Oskar Hillion","C1H","131.4","684.42","647.4","Finale B"
"Maxime Devis","C1H","133,66","618.01","675.37","Finale B"
"Loic Dufour","C1H","145.26","543.82","818.59","Finale B"
"Oscar Pasteur","C1H","146.84","720.83","838.11","Finale B"
"Adrien Gaillot","C1H","150.68","778.88","885.54","Finale B"
"Romain Moret","C1H","167.45","1040.26","1092.67","Finale B"
"Angelino Castagnetti","C1H","169.1","511.87","1113.06","Finale B"
"Evan Trenchant","C1H","181.8","893.75","1269.92","Finale B"
"Paul Gstalter","C1H","199.55","767.49","1489.17","Finale B"
"Antoine Dusard","C1H","207.56","834.44","1588.09","Finale B"
"Salim Jemai","C1H","246.67","678.87","2071.17","Finale B"
"Alexandre L'huillier","C1H","253.07","713.58","2150.22","Finale B"
"Adrien Dierstein","C1H","324.37","1864.17","3030.9","Finale B"
"David Monnet","C1H","552.48","1236.92","5848.43","Finale B"
"Victor Henry","C1H","Abd","-","-","Finale B"
"Dyclan Plessis","C1H","Abs","-","-","Finale B"
"Quentin Maillefer","C1H","Abs","-","-","Finale B"
"Alexis Sevrez-Louis Gasser","C2H","166.23","924.28","984.27","Finale B"
"Dimitri Tostain-Jerome Payen","C2H","236.38","930.98","1811.36","Finale B"
"Eddy Cassard-Sebastien Varin","C2H","286.45","561.72","2401.7","Finale B"
"Emilie Delahaye-Nicolas Feuillard","C2M","155.64","666","706.5","Finale B"
"Lucille Meunier-cheyssac-Jules Ferber","C2M","167.69","831.03","836.73","Finale B"
"Clara Delahaye-Leni Perreau","C2M","Abd","-","-","Finale B"
"Lucile Bessot","K1D","122.58","827.86","431.26","Finale B"
"Charlotte Doucet","K1D","160.68","623.56","868.55","Finale B"
"Alyssa Lhomme","K1D","164.81","1118.7","915.95","Finale B"
"Carole Dolmaire","K1D","165.82","631.79","927.53","Finale B"
"Elodie Berrot","K1D","169.23","1171.32","966.67","Finale B"
"Kassandra Wagnier","K1D","217.36","802.28","1519.07","Finale B"
"Margaux Cornet","K1D","291.15","1526.83","2365.98","Finale B"
"Helene Hincelin","K1D","Abd","-","-","Finale B"
"Amaury Brucher","K1H","98.45","279.15","301.21","Finale B"
"Matthew Vuillard","K1H","108.23","376.83","428.05","Finale B"
"Julien Fougeron","K1H","111.39","340.32","469.03","Finale B"
"Antoine Paumier","K1H","111.94","457.56","476.16","Finale B"
"Rafael Pawlus","K1H","114.2","673.66","505.47","Finale B"
"Samuel Tahaafe","K1H","116.02","473.87","529.08","Finale B"
"Virgile Bessot","K1H","119.75","547.29","577.45","Finale B"
"Adrien Gaillot","K1H","120.85","994.66","591.72","Finale B"
"Philippe Thevenin","K1H","123.14","549.43","621.42","Finale B"
"Robin Giurlando","K1H","125.24","631.31","648.65","Finale B"
"Eddy Cassard","K1H","125.93","435.24","657.6","Finale B"
"Anthony Menissier","K1H","127.3","542.29","675.37","Finale B"
"Louis Sibille","K1H","127.7","507.39","680.56","Finale B"
"Guillaume Cochut","K1H","128.48","673.37","690.67","Finale B"
"Louis Guggenbuhl","K1H","129.57","652.36","704.81","Finale B"
"Frederic Caillet","K1H","129.84","887.36","708.31","Finale B"
"Anthony Beaudoing","K1H","130.01","532.45","710.52","Finale B"
"Paul Farrugio","K1H","133.01","470.31","749.42","Finale B"
"Theophile Vincent","K1H","138.31","687.97","818.16","Finale B"
"Theo Zilber","K1H","143.77","753.77","888.97","Finale B"
"Andre Kempf","K1H","146.46","830.24","923.86","Finale B"
"Theo Lejeune","K1H","147.69","737.18","939.81","Finale B"
"Mathieu Jacquelin","K1H","147.71","802.9","940.07","Finale B"
"Lucas Matkovic","K1H","148.63","552.73","952","Finale B"
"Leo Bayard","K1H","149.07","701.21","957.71","Finale B"
"Aymeric Dollat","K1H","152.78","781.16","1005.83","Finale B"
"Alexandre L'huillier","K1H","159.89","548.07","1098.04","Finale B"
"Ludovic Kessler","K1H","163.29","853.46","1142.13","Finale B"
"Kevin Vienny","K1H","163.72","830.05","1147.71","Finale B"
"Salim Jemai","K1H","167.27","542.85","1193.75","Finale B"
"Elias Bouddour","K1H","172.69","1292.46","1264.04","Finale B"
"Dimitri Tostain","K1H","176.89","670.89","1318.52","Finale B"
"Jerome Payen","K1H","181.28","1318.67","1375.45","Finale B"
"Romain Moret","K1H","190.48","742.67","1494.77","Finale B"
"Alain Brucher","K1H","193.87","734.51","1538.73","Finale B"
"Dylan Simon","K1H","196.8","1126.72","1576.73","Finale B"
"Antoine Dusard","K1H","197.27","861.74","1582.83","Finale B"
"Thibaut Boudier","K1H","198.43","671.21","1597.87","Finale B"
"Nolan Lequesne","K1H","199.52","819.41","1612.01","Finale B"
"Thomas Metzinger","K1H","202.35","749.9","1648.71","Finale B"
"Gauthier Principaud","K1H","203.96","530.23","1669.59","Finale B"
"Thibault Rouanet","K1H","213.06","571.15","1787.61","Finale B"
"Loic Dufour","K1H","213.16","645.79","1788.91","Finale B"
"Edy Gasser","K1H","215.44","1150.31","1818.48","Finale B"
"Maixent De Poucques","K1H","217.38","962.84","1843.64","Finale B"
"Loic Merat","K1H","223.76","891.77","1926.38","Finale B"
"Christophe Leone","K1H","223.97","1105.26","1929.11","Finale B"
"Max Cantenot","K1H","231.9","1122.77","2031.95","Finale B"
"Paul Gstalter","K1H","273.96","570.76","2577.44","Finale B"
"Philippe Koffel","K1H","288.98","551.71","2772.24","Finale B"
"Remi Hervieux","K1H","300.45","991.81","2921","Finale B"
"Zakaria Radouani","K1H","311.72","1833.96","3067.16","Finale B"
"Leon Beyreuther","K1H","315.07","839.9","3110.61","Finale B"
"Quentin Dierstein","K1H","335.73","1001.62","3378.55","Finale B"
"David Monnet","K1H","534.38","985.13","5954.9","Finale B"
"Adrien Dierstein","K1H","Abd","-","-","Finale B"
"Dyclan Plessis","K1H","Abs","-","-","Finale B"
