"Coupe d'Automne - Bassin Du Rebech - Ayroule - Qualification - Manche 1 - 2016-10-22","Qualification - Manche 1","2016-10-22","Nationale 1","187"
"Kendaor Le Huitou","K1H","107.69","98.74","143.19",""
"Kawan Thomas","K1H","107.71","223.39","143.39",""
"Julien Pajaud","K1H","108.2","181.2","148.32",""
"Thibault Marchand","K1H","108.28","87.23","149.12",""
"Aaron Penning","K1H","108.57","198.16","152.04",""
"Robin Pottelette","K1H","108.77","179.19","154.05",""
"Pol Euzenes","K1H","108.85","116.32","154.85",""
"William Desnos","K1H","109.2","92.89","158.37",""
"Christophe Marechal","K1H","109.45","113.78","160.88",""
"Pierre Giudicelli","K1H","109.55","112.75","161.89",""
"Lucas Latimier","K1H","109.59","148.03","162.29",""
"Louison Turmeau","K1H","110.02","83.65","166.61",""
"Hugo Regnier","K1H","110.29","196.38","169.32",""
"Paul Cornut-chauvinc","K1H","110.61","103.08","172.54",""
"Theo Foucher","K1H","111.1","201.79","177.47",""
"Hugo Crepeau","K1H","111.15","167.32","177.97",""
"Anatole Delassus","K1H","111.22","195.08","178.67",""
"Yanis Rainaud","K1H","111.77","222.94","184.2",""
"Arthur Mizzi","K1H","113.84","242.64","205.01",""
"Pierre Grapotte","K1H","114.6","176.89","212.65",""
"Nicolas Mevel","K1H","115.69","192.21","223.6",""
"Theo Desvignes","K1H","116.83","169.31","235.06",""
"Alan Dollo","K1H","117.28","110.54","239.58",""
"Vincent Delahaye","K1H","117.52","166.46","242",""
"Hippolyte Cail","K1H","117.76","183.72","244.41",""
"Malo Legrand","K1H","119.04","229.95","257.27",""
"Nicolas Bernardy","K1H","121.71","158.94","284.11",""
"Samuel Bonella","K1H","125.11","218.41","318.28",""
"Emeric Bussonnais","K1H","130.31","231.28","370.55",""
"Pierre-louis Saussereau","K1H","158.57","183.19","654.6",""
"Raphael Lassechere","K1H","161.24","214.58","681.43",""
"Charlie Barbier","K1H","161.67","127.1","685.76",""
"Isaac Dufrene","K1H","205.39","171.77","1125.19",""
"Luca Dos Santos","K1H","214.3","184.51","1214.75",""
"Maxime Bottex","K1H","Abs","-","-",""
