"Sélectif National 3 Slalom Est - Sélectif National 3 Slalom Est - Finale - 2017-04-16","Finale","2017-04-16","Nationale 3","193"
"Pierre Biagui","K1H","112.77","387.3","409.15","Finale B"
"Loic Bourgeois","K1H","115.42","388.4","441.79","Finale B"
"Pascal Philip","K1H","118.83","506.18","483.78","Finale B"
"Victor Henry","K1H","120.19","590.74","500.52","Finale B"
"Matheo Dejonghe","K1H","120.43","481.2","503.48","Finale B"
"Jules Latimier","K1H","122.4","493.07","527.74","Finale B"
"Matthieu Walfard","K1H","122.75","355.34","532.05","Finale B"
"Matthew Vuillard","K1H","123.37","539.35","539.68","Finale B"
"Matthieu Koffel","K1H","124.14","541.08","549.16","Finale B"
"Xavier Rat","K1H","124.34","448.05","551.62","Finale B"
"Quentin Decotte","K1H","125.78","543.3","569.36","Finale B"
"Laurel Hartmann","K1H","126.07","603.37","572.93","Finale B"
"Axel Ganthier","K1H","126.64","643.53","579.95","Finale B"
"William Pawlus","K1H","126.71","444.08","580.81","Finale B"
"Bastien Caillet","K1H","129.13","548.61","610.61","Finale B"
"Andre Kempf","K1H","130.23","641.2","624.15","Finale B"
"Tanguy Malingre","K1H","130.49","514.5","627.35","Finale B"
"Cyprien Dufour","K1H","131.45","601.54","639.17","Finale B"
"Constant Jeandon","K1H","132.01","643.89","646.07","Finale B"
"Frederic Caillet","K1H","132.27","530.57","649.27","Finale B"
"Philippe Koffel","K1H","133.23","544.66","661.09","Finale B"
"Antoine Paumier","K1H","133.63","577.01","666.02","Finale B"
"Yann Mercier","K1H","135.28","754.58","686.34","Finale B"
"Flavien Portier","K1H","136.72","484.96","704.07","Finale B"
"Emrys Meddour","K1H","136.91","723.49","706.41","Finale B"
"Vivien Stemmelen","K1H","137.26","523.48","710.72","Finale B"
"Bastien Delaubier","K1H","137.29","518.85","711.09","Finale B"
"Benjamin Bergin","K1H","137.39","572.27","712.32","Finale B"
"Jean Guyot","K1H","138.09","609.31","720.94","Finale B"
"Lucas Matkovic","K1H","138.47","681.62","725.62","Finale B"
"Charles Billon","K1H","139.07","551.24","733","Finale B"
"Alexis Sevrez","K1H","139.07","607.17","733","Finale B"
"Oscar Pasteur","K1H","139.54","658.73","738.79","Finale B"
"Alexandre L'huillier","K1H","142.66","536.27","777.21","Finale B"
"Antoine Marion","K1H","143.73","609.48","790.39","Finale B"
"Theophile Didierjean","K1H","144.31","743.86","797.53","Finale B"
"Stanislas Ledore","K1H","146.89","670.92","829.3","Finale B"
"Joshua Ravet","K1H","147.58","875.37","837.79","Finale B"
"Theophile Vincent","K1H","147.95","927.17","842.35","Finale B"
"Heino Leveque","K1H","152.99","785.46","904.41","Finale B"
"Bertrand Bourguignon","K1H","154.1","646.11","918.08","Finale B"
"Kevin Vienny","K1H","157.6","740.68","961.18","Finale B"
"Aurelien Merieux Danneaux","K1H","161.65","422.48","1011.05","Finale B"
"Paul Gstalter","K1H","239.66","969.89","1971.64","Finale B"
"Anthony Dubois","K1H","240.59","878.04","1983.09","Finale B"
"Victoryan Krahenbuhl","K1H","247.5","754.62","2068.18","Finale B"
"Etienne Rougeron","K1H","Des","-","-","Finale B"
